Date,Open,High,Low,Close,Returns%
2000-01-31,60.0,63.0,52.0,52.0,-13.333333333333334
2000-02-29,50.0,54.0,37.5,39.35,-21.299999999999997
2000-03-31,36.2,41.0,26.85,32.0,-11.602209944751388
2000-04-30,29.6,35.0,27.9,31.8,7.43243243243243
2000-05-31,30.5,37.3,23.2,23.7,-22.295081967213118
2000-06-30,23.95,28.0,21.85,23.85,-0.4175365344467552
2000-07-31,22.1,24.35,19.9,24.35,10.180995475113122
2000-08-31,24.5,25.0,22.4,23.0,-6.122448979591836
2000-09-30,22.75,26.5,22.0,23.5,3.2967032967032965
2000-10-31,22.85,23.75,21.0,21.0,-8.096280087527358
2000-11-30,22.2,29.0,21.0,27.4,23.42342342342342
2000-12-31,27.1,33.0,26.6,29.9,10.3321033210332
2001-01-31,29.05,30.0,21.05,22.9,-21.170395869191058
2001-02-28,23.2,26.25,21.7,25.3,9.051724137931041
2001-03-31,25.0,25.5,18.0,18.5,-26.0
2001-04-30,17.5,20.0,16.2,18.5,5.714285714285714
2001-05-31,18.85,20.5,14.55,18.6,-1.326259946949602
2001-06-30,18.65,18.7,15.65,16.0,-14.209115281501335
2001-07-31,16.1,19.35,14.05,18.7,16.14906832298135
2001-08-31,18.7,24.9,18.0,23.0,22.994652406417117
2001-09-30,23.9,24.3,18.5,19.8,-17.154811715481163
2001-10-31,19.75,21.5,15.55,19.5,-1.2658227848101267
2001-11-30,20.45,28.05,19.55,23.0,12.46943765281174
2001-12-31,23.2,25.65,16.55,19.0,-18.103448275862068
2002-01-31,19.8,21.55,18.0,18.25,-7.8282828282828305
2002-02-28,18.5,23.3,16.85,18.75,1.3513513513513513
2002-03-31,19.0,27.0,18.4,23.15,21.84210526315789
2002-04-30,23.2,26.5,21.5,23.1,-0.4310344827586115
2002-05-31,26.8,28.0,16.9,19.1,-28.731343283582085
2002-06-30,19.0,36.5,19.0,32.9,73.1578947368421
2002-07-31,34.25,43.2,23.75,27.3,-20.291970802919703
2002-08-31,28.0,28.9,24.1,26.0,-7.142857142857143
2002-09-30,26.2,29.55,22.75,25.55,-2.480916030534346
2002-10-31,26.2,28.3,21.0,22.25,-15.076335877862594
2002-11-30,26.7,27.7,20.5,25.25,-5.430711610486889
2002-12-31,26.0,31.1,23.0,26.6,2.3076923076923133
2003-01-31,25.0,31.3,25.0,26.75,7.0
2003-02-28,27.0,27.0,25.0,25.15,-6.851851851851857
2003-03-31,25.5,25.9,21.7,21.85,-14.313725490196074
2003-04-30,22.0,24.9,22.0,24.15,9.772727272727266
2003-05-31,24.45,35.7,24.45,33.9,38.65030674846626
2003-06-30,33.5,40.0,31.85,37.15,10.895522388059698
2003-07-31,37.9,49.4,37.85,39.4,3.95778364116095
2003-08-31,38.0,47.0,38.0,40.55,6.710526315789466
2003-09-30,41.7,42.7,35.0,38.8,-6.954436450839341
2003-10-31,38.9,44.0,38.15,41.15,5.784061696658098
2003-11-30,41.5,52.5,35.05,49.5,19.27710843373494
2003-12-31,50.5,64.9,48.5,51.8,2.5742574257425686
2004-01-31,53.0,62.2,40.1,46.15,-12.924528301886795
2004-02-29,48.2,48.5,37.4,38.25,-20.64315352697096
2004-03-31,36.55,40.25,30.25,37.2,1.7783857729138324
2004-04-30,37.8,43.9,34.05,41.25,9.126984126984135
2004-05-31,42.0,46.75,31.1,34.8,-17.14285714285715
2004-06-30,34.65,39.2,33.4,37.35,7.792207792207801
2004-07-31,36.6,42.5,35.3,40.35,10.245901639344261
2004-08-31,41.15,47.95,35.95,47.05,14.337788578371809
2004-09-30,47.25,55.0,45.35,48.85,3.386243386243389
2004-10-31,49.6,60.3,44.05,48.55,-2.1169354838709764
2004-11-30,47.7,61.8,47.7,58.5,22.64150943396226
2004-12-31,58.5,69.45,55.7,62.05,6.068376068376064
2005-01-31,63.25,85.5,55.5,81.8,29.328063241106715
2005-02-28,82.5,104.35,79.3,92.95,12.66666666666667
2005-03-31,93.9,107.75,83.3,91.1,-2.981895633652834
2005-04-30,92.4,112.35,85.0,101.75,10.119047619047612
2005-05-31,103.5,118.9,97.5,100.0,-3.3816425120772946
2005-06-30,100.0,104.6,91.45,91.9,-8.099999999999994
2005-07-31,91.5,123.8,91.5,117.65,28.5792349726776
2005-08-31,125.0,145.75,110.15,141.35,13.079999999999997
2005-09-30,142.0,205.7,138.5,178.0,25.35211267605634
2005-10-31,179.3,190.0,140.5,172.45,-3.82041271611825
2005-11-30,176.0,184.0,166.0,174.15,-1.0511363636363604
2005-12-31,174.7,183.4,166.1,169.4,-3.0337721808815017
2006-01-31,170.2,189.0,158.2,163.1,-4.171562867215038
2006-02-28,164.0,168.4,150.5,152.6,-6.951219512195125
2006-03-31,153.2,186.95,152.65,170.55,11.325065274151452
2006-04-30,172.0,224.0,171.8,213.8,24.302325581395355
2006-05-31,210.0,242.9,153.0,161.45,-23.119047619047624
2006-06-30,162.5,179.5,128.3,170.35,4.830769230769227
2006-07-31,171.95,176.4,156.0,163.1,-5.146845013085196
2006-08-31,164.2,192.3,160.15,170.0,3.5322777101096294
2006-09-30,171.1,194.0,169.0,181.5,6.078316773816485
2006-10-31,181.5,198.0,173.6,184.35,1.5702479338842943
2006-11-30,180.2,186.25,160.0,180.0,-0.11098779134294598
2006-12-31,180.0,186.0,157.0,166.35,-7.583333333333336
2007-01-31,167.95,176.95,142.65,157.35,-6.311402203036616
2007-02-28,160.0,164.2,126.0,144.35,-9.781250000000004
2007-03-31,146.8,146.8,128.0,129.95,-11.478201634877399
2007-04-30,127.2,145.0,122.0,139.8,9.905660377358497
2007-05-31,140.0,149.9,131.5,143.75,2.6785714285714284
2007-06-30,144.9,145.0,129.1,138.55,-4.382332643202204
2007-07-31,138.1,146.0,125.1,136.6,-1.0861694424330195
2007-08-31,132.1,139.4,122.05,129.05,-2.308856926570767
2007-09-30,128.05,161.95,128.05,147.4,15.111284654431858
2007-10-31,152.9,170.0,130.0,136.85,-10.497056899934606
2007-11-30,138.8,158.3,123.65,146.4,5.475504322766566
2007-12-31,148.2,214.9,145.55,203.05,37.01079622132255
2008-01-31,205.8,260.0,132.1,157.55,-23.44509232264334
2008-02-29,152.3,165.75,152.3,158.55,4.103742613263296
2008-03-31,153.5,162.95,151.55,158.45,3.2247557003257254
2008-04-30,159.45,164.5,154.0,160.5,0.6585136406397062
2008-05-31,161.5,167.0,151.95,158.3,-1.981424148606804
2008-06-30,160.9,210.0,157.0,172.35,7.116221255438153
2008-07-31,171.0,194.0,163.0,171.2,0.11695906432747873
2008-08-31,170.0,194.0,170.0,172.3,1.352941176470595
2008-09-30,170.7,179.8,138.15,147.8,-13.415348564733439
2008-10-31,142.7,149.0,105.65,129.75,-9.074982480728794
2008-11-30,120.0,148.5,116.7,125.05,4.208333333333331
2008-12-31,127.0,136.0,125.0,131.65,3.6614173228346503
2009-01-31,133.8,133.8,111.0,121.0,-9.566517189835583
2009-02-28,120.0,128.75,112.3,121.8,1.4999999999999976
2009-03-31,110.2,154.0,110.2,144.0,30.67150635208711
2009-04-30,143.0,172.0,140.65,142.25,-0.5244755244755245
2009-05-31,150.0,191.0,138.2,172.85,15.23333333333333
2009-06-30,169.8,175.0,141.0,149.35,-12.043580683156664
2009-07-31,150.0,172.45,139.0,164.85,9.899999999999997
2009-08-31,162.0,178.7,160.5,168.0,3.7037037037037037
2009-09-30,168.9,180.0,156.4,168.6,-0.17761989342807066
2009-10-31,174.0,181.0,163.0,164.7,-5.344827586206903
2009-11-30,165.1,183.0,161.0,167.3,1.3325257419745713
2009-12-31,169.5,183.5,167.0,175.8,3.716814159292042
2010-01-31,177.1,227.4,174.3,188.5,6.4370412196499185
2010-02-28,190.0,225.8,184.25,200.0,5.2631578947368425
2010-03-31,200.05,220.0,197.0,201.75,0.8497875531117164
2010-04-30,204.65,225.0,199.2,218.45,6.743220131932559
2010-05-31,218.5,218.95,200.0,205.35,-6.018306636155608
2010-06-30,206.1,313.0,204.1,290.05,40.73265405143135
2010-07-31,288.5,297.7,260.1,274.25,-4.9393414211438476
2010-08-31,274.3,315.45,274.2,296.9,8.239154210718178
2010-09-30,304.2,311.0,295.6,302.05,-0.706771860618007
2010-10-31,300.1,345.9,292.5,329.75,9.880039986671102
2010-11-30,333.0,334.0,308.0,327.0,-1.8018018018018018
2010-12-31,327.0,352.0,300.0,341.0,4.281345565749236
