Date,Open,High,Low,Close,Returns%
2000-01-31,120.0,150.0,110.0,131.15,9.29166666666667
2000-02-29,121.0,200.0,120.7,165.65,36.900826446281
2000-03-31,160.0,167.0,110.0,133.0,-16.875
2000-04-30,133.0,138.0,110.0,111.0,-16.541353383458645
2000-05-31,118.0,118.0,100.0,101.0,-14.40677966101695
2000-06-30,108.5,141.9,108.5,125.5,15.668202764976959
2000-07-31,125.1,159.0,125.0,125.1,0.0
2000-08-31,125.0,237.6,120.0,187.15,49.720000000000006
2000-09-30,183.0,212.75,169.5,212.75,16.256830601092897
2000-10-31,201.0,215.75,162.0,190.4,-5.273631840796018
2000-11-30,195.0,221.0,119.5,125.0,-35.8974358974359
2000-12-31,125.0,144.6,113.05,119.0,-4.8
2001-01-31,126.5,126.5,105.0,123.4,-2.4505928853754897
2001-02-28,116.0,150.0,115.0,130.7,12.672413793103438
2001-03-31,134.75,144.0,105.1,123.5,-8.348794063079778
2001-04-30,121.0,141.0,109.5,112.0,-7.43801652892562
2001-05-31,106.0,108.0,86.0,88.0,-16.9811320754717
2001-06-30,88.75,115.0,83.05,109.0,22.816901408450704
2001-07-31,109.0,115.0,108.35,109.0,0.0
2001-08-31,116.0,116.0,100.15,112.0,-3.4482758620689653
2001-09-30,109.0,109.0,100.5,102.0,-6.422018348623853
2001-10-31,102.0,107.95,102.0,107.95,5.833333333333336
2001-11-30,102.0,102.0,102.0,102.0,0.0
2001-12-31,95.0,95.0,90.0,90.0,-5.2631578947368425
2002-01-31,91.0,107.3,91.0,94.0,3.2967032967032965
2002-02-28,94.75,107.0,92.85,97.0,2.37467018469657
2002-03-31,100.8,101.3,86.1,95.8,-4.9603174603174605
2002-04-30,93.0,102.8,85.7,99.7,7.20430107526882
2002-05-31,99.9,109.0,83.0,90.75,-9.159159159159165
2002-06-30,90.75,118.9,90.0,103.1,13.608815426997241
2002-07-31,107.5,135.0,90.0,90.0,-16.27906976744186
2002-08-31,87.0,105.9,87.0,103.6,19.08045977011494
2002-09-30,105.0,105.0,89.5,90.5,-13.80952380952381
2002-10-31,89.05,92.0,44.55,48.95,-45.03088152723189
2002-11-30,49.9,59.0,45.0,54.9,10.02004008016032
2002-12-31,56.85,57.75,47.7,53.0,-6.772207563764294
2003-01-31,52.0,75.75,51.6,63.2,21.538461538461544
2003-02-28,67.25,68.9,56.7,65.9,-2.0074349442379096
2003-03-31,65.0,65.9,56.05,58.4,-10.153846153846155
2003-04-30,60.0,94.0,60.0,90.35,50.58333333333333
2003-05-31,90.1,154.9,86.3,144.05,59.87791342952278
2003-06-30,144.9,174.0,141.0,164.45,13.49206349206348
2003-07-31,163.9,202.15,154.05,191.85,17.05308114704087
2003-08-31,190.0,219.0,182.25,194.1,2.157894736842102
2003-09-30,190.1,216.0,174.0,196.2,3.208837453971591
2003-10-31,204.0,229.0,174.35,191.1,-6.323529411764708
2003-11-30,199.0,299.0,190.0,270.8,36.08040201005026
2003-12-31,275.0,369.0,275.0,314.45,14.345454545454542
2004-01-31,320.05,368.0,264.05,286.4,-10.51398219028278
2004-02-29,290.0,327.0,264.25,274.1,-5.482758620689648
2004-03-31,273.0,302.0,47.05,48.55,-82.21611721611721
2004-04-30,49.5,55.85,45.3,47.55,-3.939393939393945
2004-05-31,47.9,48.0,33.7,38.85,-18.89352818371607
2004-06-30,46.55,46.55,33.0,41.15,-11.600429645542425
2004-07-31,42.25,52.0,39.5,44.5,5.325443786982248
2004-08-31,45.45,62.0,44.75,60.4,32.89328932893288
2004-09-30,61.9,76.9,61.9,75.3,21.647819063004842
2004-10-31,75.5,83.95,68.5,80.95,7.218543046357619
2004-11-30,81.2,100.0,79.2,92.4,13.793103448275865
2004-12-31,93.0,104.25,81.25,104.25,12.096774193548388
2005-01-31,112.25,114.8,87.1,92.05,-17.995545657015594
2005-02-28,92.5,109.0,64.05,64.75,-30.0
2005-03-31,65.75,72.5,52.0,59.65,-9.277566539923956
2005-04-30,60.1,75.0,55.0,59.35,-1.2479201331114809
2005-05-31,60.0,70.0,58.15,65.3,8.83333333333333
2005-06-30,65.9,79.0,57.2,71.9,9.104704097116842
2005-07-31,71.5,83.85,71.05,80.0,11.888111888111888
2005-08-31,80.0,84.9,73.0,82.8,3.4999999999999964
2005-09-30,81.25,98.0,77.2,85.8,5.599999999999996
2005-10-31,89.9,90.95,75.1,77.0,-14.349276974416021
2005-11-30,79.0,88.4,74.95,81.0,2.5316455696202533
2005-12-31,81.95,91.0,81.0,84.05,2.5625381330079247
2006-01-31,84.5,86.0,79.15,80.05,-5.266272189349116
2006-02-28,79.0,88.0,74.4,85.1,7.721518987341765
2006-03-31,86.0,107.5,78.3,105.55,22.73255813953488
2006-04-30,111.0,113.5,101.25,103.4,-6.846846846846842
2006-05-31,105.0,109.0,81.55,91.95,-12.428571428571427
2006-06-30,93.5,94.5,70.5,87.25,-6.684491978609626
2006-07-31,85.25,90.5,80.15,81.95,-3.8709677419354804
2006-08-31,81.2,91.9,72.0,88.35,8.805418719211811
2006-09-30,89.45,101.0,84.0,98.45,10.061486864169927
2006-10-31,99.5,103.9,90.0,93.75,-5.778894472361809
2006-11-30,104.0,108.9,91.0,102.45,-1.4903846153846128
2006-12-31,107.0,119.25,100.0,109.7,2.523364485981311
2007-01-31,108.1,114.0,104.05,110.0,1.7576318223866843
2007-02-28,110.0,111.95,101.1,105.85,-3.772727272727278
2007-03-31,105.05,120.0,100.0,107.3,2.1418372203712517
2007-04-30,105.05,115.0,101.0,110.0,4.712041884816757
2007-05-31,111.0,151.8,100.0,124.0,11.711711711711711
2007-06-30,129.9,129.9,113.1,121.45,-6.505003849114705
2007-07-31,124.85,137.0,118.0,128.1,2.603123748498198
2007-08-31,127.0,142.0,90.5,96.1,-24.330708661417326
2007-09-30,95.0,112.2,93.2,110.5,16.31578947368421
2007-10-31,110.0,114.0,89.0,96.05,-12.681818181818183
2007-11-30,94.1,110.0,90.0,97.4,3.5069075451647307
2007-12-31,95.25,119.0,86.4,115.15,20.892388451443573
2008-01-31,115.0,123.2,79.0,90.35,-21.434782608695656
2008-02-29,91.8,110.0,80.0,108.1,17.75599128540305
2008-03-31,93.7,115.0,85.15,110.5,17.929562433297757
2008-04-30,109.9,109.9,92.1,94.25,-14.240218380345773
2008-05-31,95.0,97.35,80.0,84.2,-11.368421052631577
2008-06-30,89.0,89.0,74.2,78.45,-11.85393258426966
2008-07-31,77.0,81.45,67.05,73.8,-4.15584415584416
2008-08-31,74.0,95.0,73.2,82.3,11.216216216216214
2008-09-30,85.5,93.9,70.8,84.0,-1.7543859649122806
2008-10-31,82.55,89.0,55.0,60.5,-26.71108419139915
2008-11-30,71.65,71.65,47.2,50.0,-30.216329378925334
2008-12-31,49.5,70.0,39.5,60.8,22.828282828282823
2009-01-31,59.1,75.8,51.45,58.45,-1.099830795262265
2009-02-28,58.5,75.5,53.0,57.85,-1.1111111111111087
2009-03-31,57.0,71.45,51.0,67.7,18.771929824561408
2009-04-30,62.0,89.0,62.0,74.5,20.161290322580644
2009-05-31,78.4,85.0,67.2,77.95,-0.5739795918367383
2009-06-30,79.95,84.0,62.5,75.45,-5.628517823639775
2009-07-31,76.0,85.0,68.0,77.6,2.105263157894729
2009-08-31,78.3,100.95,71.4,85.7,9.450830140485321
2009-09-30,86.8,130.85,82.25,113.6,30.875576036866356
2009-10-31,114.4,118.9,105.5,112.05,-2.0541958041958117
2009-11-30,112.05,143.5,102.1,126.8,13.163766175814368
2009-12-31,128.4,135.0,123.05,132.0,2.8037383177570048
2010-01-31,132.25,155.5,126.05,142.45,7.712665406427212
2010-02-28,141.0,144.0,118.0,127.55,-9.539007092198583
2010-03-31,122.0,148.75,122.0,123.95,1.5983606557377072
2010-04-30,124.3,156.5,122.05,141.5,13.837489943684636
2010-05-31,139.0,146.0,118.75,140.4,1.0071942446043207
2010-06-30,138.0,150.5,134.4,145.5,5.434782608695652
2010-07-31,143.25,172.4,140.35,168.15,17.382198952879584
2010-08-31,167.6,188.0,164.3,178.25,6.35441527446301
2010-09-30,177.2,200.7,173.8,181.75,2.5677200902934603
2010-10-31,182.0,201.9,177.6,183.3,0.7142857142857205
2010-11-30,186.4,194.6,168.1,188.7,1.2339055793991325
2010-12-31,185.2,196.0,178.5,182.1,-1.67386609071274
2011-01-31,183.55,201.3,167.5,179.85,-2.0157995096703987
2011-02-28,177.5,199.0,162.55,197.85,11.464788732394364
2011-03-31,198.4,227.6,189.0,214.8,8.266129032258066
2011-04-30,215.05,243.6,206.4,230.25,7.068123692164607
2011-05-31,228.05,235.0,205.1,228.0,-0.021925016443767317
2011-06-30,228.9,247.0,205.55,225.45,-1.5072083879423404
2011-07-31,227.8,255.9,219.0,229.1,0.570676031606665
2011-08-31,235.0,239.75,184.5,187.2,-20.340425531914896
2011-09-30,190.0,216.8,162.7,176.7,-7.000000000000006
2011-10-31,173.0,190.0,160.9,187.05,8.121387283237
2011-11-30,185.8,199.4,124.55,152.15,-18.11087190527449
2011-12-31,154.0,160.8,129.0,136.25,-11.525974025974026
2012-01-31,138.9,165.4,131.1,163.35,17.60259179265658
2012-02-29,163.5,206.7,154.5,190.9,16.758409785932724
2012-03-31,192.0,193.95,171.1,186.35,-2.942708333333336
2012-04-30,188.4,203.0,175.5,178.95,-5.01592356687899
2012-05-31,178.55,182.95,157.1,164.65,-7.784934192103054
2012-06-30,165.0,170.0,155.5,163.45,-0.9393939393939463
2012-07-31,165.0,174.5,158.3,160.4,-2.7878787878787845
2012-08-31,160.15,191.0,155.2,182.5,13.955666562597562
2012-09-30,183.6,226.0,181.0,223.6,21.78649237472767
2012-10-31,223.8,234.0,145.6,155.7,-30.4289544235925
2012-11-30,152.0,180.0,152.0,174.3,14.671052631578954
2012-12-31,175.05,207.9,170.35,198.25,13.253356183947437
2013-01-31,199.7,204.2,193.5,197.5,-1.1016524787180715
2013-02-28,197.75,209.4,178.1,196.9,-0.42983565107458627
2013-03-31,170.05,213.2,170.05,194.15,14.172302264039985
2013-04-30,192.0,196.0,173.85,194.8,1.4583333333333393
2013-05-31,195.0,224.75,175.25,214.65,10.076923076923078
2013-06-30,214.0,214.95,193.15,198.25,-7.359813084112149
2013-07-31,198.5,230.0,185.25,205.55,3.5516372795969833
2013-08-31,209.7,241.6,185.3,194.25,-7.367668097281826
2013-09-30,197.9,233.7,191.3,229.95,16.195048004042437
2013-10-31,227.15,271.9,225.0,269.85,18.79815100154084
2013-11-30,272.0,298.3,249.3,283.1,4.080882352941185
2013-12-31,283.1,294.8,179.6,182.5,-35.53514659131049
2014-01-31,184.4,218.4,178.25,204.1,10.683297180043377
2014-02-28,204.8,234.9,191.25,231.75,13.159179687499995
2014-03-31,234.4,259.0,217.2,255.55,9.023037542662118
2014-04-30,257.65,275.85,245.45,253.75,-1.5136813506695042
2014-05-31,255.7,306.8,255.7,299.55,17.149002737583114
2014-06-30,301.4,327.3,295.0,324.25,7.581287325812881
2014-07-31,325.8,382.9,323.65,364.95,12.016574585635352
2014-08-31,361.45,391.2,344.25,371.95,2.9049661087287317
