Date,Open,High,Low,Close,Returns%
2000-01-31,2319.0,2710.0,2070.0,2118.15,-8.661060802069855
2000-02-29,2050.0,2250.0,1800.05,1894.85,-7.568292682926834
2000-03-31,1850.0,1875.0,1340.0,1384.0,-25.18918918918919
2000-04-30,1383.0,1599.0,1041.25,1044.4,-24.483007953723785
2000-05-31,1011.0,1389.0,930.0,1371.7,35.677546983184975
2000-06-30,1367.0,1500.0,1340.0,1375.05,0.5888807607900479
2000-07-31,1377.0,1384.9,1029.0,1078.2,-21.699346405228756
2000-08-31,1080.0,1094.0,965.0,996.0,-7.777777777777778
2000-09-30,996.0,1040.0,900.0,910.4,-8.594377510040163
2000-10-31,900.0,950.0,816.05,944.1,4.900000000000002
2000-11-30,954.9,1100.0,943.25,1083.45,13.46214263273642
2000-12-31,1085.0,1297.0,1072.0,1206.8,11.2258064516129
2001-01-31,1210.0,1249.95,1110.0,1152.05,-4.789256198347111
2001-02-28,1135.2,1158.0,876.0,930.2,-18.0584918957012
2001-03-31,936.5,947.0,770.0,795.35,-15.072076882007472
2001-04-30,739.0,820.0,683.0,715.65,-3.1596752368064984
2001-05-31,670.1,708.0,630.0,674.65,0.6790031338606111
2001-06-30,677.0,679.5,542.0,559.6,-17.341211225997043
2001-07-31,552.0,598.0,500.0,513.9,-6.902173913043482
2001-08-31,502.0,515.0,476.0,480.9,-4.20318725099602
2001-09-30,503.95,515.0,455.0,489.75,-2.8177398551443575
2001-10-31,479.0,509.0,401.0,487.6,1.7954070981210903
2001-11-30,484.95,830.0,480.0,795.95,64.13032271368184
2001-12-31,797.0,829.0,610.0,709.75,-10.947302383939775
2002-01-31,717.0,845.0,700.0,764.0,6.5550906555090656
2002-02-28,756.0,905.0,755.0,840.1,11.124338624338627
2002-03-31,850.0,1000.0,726.0,808.85,-4.841176470588233
2002-04-30,808.9,895.0,750.0,867.9,7.293855853628385
2002-05-31,918.8,920.0,781.0,799.35,-13.00065302568567
2002-06-30,839.6,950.0,805.0,890.85,6.1040971891376845
2002-07-31,910.0,935.0,852.0,889.75,-2.2252747252747254
2002-08-31,898.0,970.0,849.9,901.6,0.4008908685968845
2002-09-30,907.0,928.0,840.0,899.55,-0.8213891951488473
2002-10-31,911.0,911.0,779.45,814.85,-10.554335894621293
2002-11-30,811.0,879.95,805.0,853.0,5.178791615289765
2002-12-31,848.1,949.0,835.0,909.1,7.192548048579177
2003-01-31,914.8,914.85,850.0,890.7,-2.634455618714463
2003-02-28,889.0,910.0,862.0,892.5,0.3937007874015748
2003-03-31,898.8,938.6,854.55,856.75,-4.67846016911437
2003-04-30,856.55,1089.95,856.55,1014.55,18.44609188021715
2003-05-31,1016.0,1348.0,1005.0,1299.5,27.903543307086615
2003-06-30,1300.0,1325.0,1150.0,1234.2,-5.061538461538458
2003-07-31,1247.5,1515.0,1240.0,1334.5,6.973947895791583
2003-08-31,1355.0,1580.0,1300.0,1431.8,5.667896678966787
2003-09-30,1401.05,1625.0,1375.0,1484.6,5.963384604403838
2003-10-31,1524.0,1900.0,1450.0,1700.55,11.584645669291335
2003-11-30,1710.0,1948.95,1641.0,1851.45,8.271929824561406
