Date,Open,High,Low,Close,Returns%
2000-01-31,453.3,619.9,448.9,507.75,12.01191264063534
2000-02-29,509.0,664.0,475.0,482.15,-5.275049115913561
2000-03-31,490.0,490.0,308.5,317.85,-35.13265306122448
2000-04-30,319.0,364.95,261.1,269.0,-15.67398119122257
2000-05-31,269.0,312.0,181.15,248.9,-7.472118959107805
2000-06-30,240.1,240.1,205.0,212.05,-11.68263223656809
2000-07-31,213.9,234.9,159.0,195.9,-8.415147265077138
2000-08-31,191.0,210.5,168.5,184.3,-3.5078534031413553
2000-09-30,187.5,218.8,180.0,185.2,-1.2266666666666728
2000-10-31,180.25,190.0,126.15,128.95,-28.46047156726769
2000-11-30,130.0,156.85,129.0,146.2,12.461538461538453
2000-12-31,145.05,175.0,138.1,148.55,2.412961047914512
2001-01-31,149.9,169.7,143.7,163.6,9.139426284189451
2001-02-28,163.0,189.5,149.1,161.55,-0.8895705521472322
2001-03-31,162.05,173.0,112.5,119.9,-26.010490589324288
2001-04-30,118.35,143.8,110.25,135.3,14.321926489226886
2001-05-31,124.5,140.4,114.8,122.7,-1.4457831325301183
2001-06-30,123.75,123.8,80.05,80.45,-34.98989898989899
2001-07-31,85.5,88.1,67.5,68.5,-19.883040935672515
2001-08-31,67.8,80.0,65.5,67.0,-1.1799410029498483
2001-09-30,68.0,71.8,51.0,53.65,-21.10294117647059
2001-10-31,55.5,73.9,55.0,73.4,32.25225225225226
2001-11-30,74.8,99.0,73.5,90.8,21.390374331550802
2001-12-31,92.0,106.35,79.0,89.2,-3.0434782608695623
2002-01-31,90.4,120.5,86.5,115.7,27.986725663716808
2002-02-28,117.25,133.55,111.2,113.6,-3.113006396588491
2002-03-31,112.95,128.3,110.8,114.05,0.9738822487826422
2002-04-30,114.5,126.9,102.7,105.15,-8.165938864628815
2002-05-31,106.4,111.9,83.3,88.8,-16.541353383458656
2002-06-30,90.85,116.9,83.0,113.4,24.821133736929017
2002-07-31,114.9,120.45,87.5,92.15,-19.799825935596168
2002-08-31,93.0,97.0,83.35,86.55,-6.935483870967745
2002-09-30,88.2,90.45,80.25,81.95,-7.086167800453515
2002-10-31,81.25,87.5,78.5,83.55,2.8307692307692274
2002-11-30,83.75,107.0,83.3,105.9,26.447761194029855
2002-12-31,107.0,113.9,102.0,112.8,5.420560747663549
2003-01-31,113.45,115.4,94.05,97.0,-14.499779638607318
2003-02-28,97.7,110.9,95.8,110.15,12.743091095189357
2003-03-31,111.8,112.95,98.55,99.3,-11.180679785330948
