Date,Open,High,Low,Close,Returns%
2000-01-31,20.0,21.0,14.5,18.05,-9.749999999999996
2000-02-29,18.0,21.95,14.3,15.05,-16.388888888888886
2000-03-31,15.7,19.0,14.6,15.6,-0.6369426751592334
2000-04-30,15.5,16.0,12.4,15.0,-3.225806451612903
2000-05-31,12.6,13.65,10.0,12.8,1.5873015873015959
2000-06-30,12.0,15.0,10.0,14.0,16.666666666666668
2000-07-31,14.0,17.5,13.0,13.8,-1.4285714285714235
2000-08-31,14.05,15.0,11.7,13.55,-3.558718861209964
2000-09-30,14.5,15.9,12.5,12.5,-13.793103448275861
2000-10-31,14.75,14.75,12.0,13.0,-11.864406779661017
2000-11-30,13.0,15.0,13.0,14.25,9.615384615384615
2000-12-31,14.05,15.25,12.05,12.05,-14.234875444839856
2001-01-31,12.3,14.5,11.0,13.15,6.910569105691054
2001-02-28,12.9,15.7,11.0,13.5,4.651162790697671
2001-03-31,12.5,14.25,11.0,13.0,4.0
2001-04-30,12.4,14.5,12.25,13.05,5.24193548387097
2001-05-31,13.0,17.2,12.1,13.5,3.8461538461538463
2001-06-30,13.25,13.25,10.0,11.55,-12.830188679245278
2001-07-31,12.5,12.5,12.0,12.0,-4.0
2001-08-31,12.95,12.95,11.1,11.35,-12.355212355212354
2001-09-30,11.0,12.5,11.0,12.5,13.636363636363637
2001-10-31,12.0,12.0,12.0,12.0,0.0
2001-11-30,12.0,14.0,12.0,13.0,8.333333333333334
2001-12-31,13.5,14.25,13.0,13.85,2.59259259259259
2002-01-31,14.0,17.0,13.85,15.8,12.857142857142861
2002-02-28,16.45,17.0,15.75,16.9,2.735562310030391
2002-03-31,15.85,16.85,15.5,16.85,6.309148264984238
2002-04-30,15.85,17.5,15.0,17.35,9.463722397476351
2002-05-31,16.5,22.5,15.1,15.15,-8.18181818181818
2002-06-30,16.0,29.75,15.15,27.75,73.4375
2002-07-31,31.5,42.0,27.25,29.25,-7.142857142857143
2002-08-31,29.0,31.5,24.1,26.35,-9.137931034482754
2002-09-30,28.65,29.8,20.3,23.95,-16.404886561954623
2002-10-31,22.95,25.0,18.6,22.2,-3.2679738562091503
2002-11-30,24.0,29.95,23.0,29.25,21.875
2002-12-31,28.0,35.0,26.55,34.0,21.428571428571427
2003-01-31,33.95,39.85,33.8,38.05,12.076583210603811
2003-02-28,38.5,46.75,35.0,41.8,8.571428571428564
2003-03-31,39.5,42.0,34.0,37.7,-4.556962025316449
2003-04-30,37.7,41.85,37.7,39.75,5.437665782493361
2003-05-31,40.0,61.5,39.0,57.6,44.00000000000001
2003-06-30,58.0,76.0,57.0,72.5,25.0
2003-07-31,72.05,112.55,70.0,102.45,42.19292158223457
2003-08-31,104.0,105.5,91.0,96.55,-7.163461538461541
2003-09-30,100.95,111.9,89.2,110.45,9.41059930658742
2003-10-31,112.0,128.0,107.0,120.8,7.857142857142855
2003-11-30,124.0,159.0,116.5,152.55,23.024193548387103
2003-12-31,156.0,245.25,150.0,221.75,42.1474358974359
2004-01-31,224.9,237.75,161.0,180.1,-19.91996442863495
2004-02-29,174.1,182.5,161.5,164.7,-5.3991958644457245
2004-03-31,162.0,168.8,117.0,153.0,-5.555555555555555
2004-04-30,154.8,196.0,152.0,164.2,6.072351421188615
2004-05-31,157.25,176.0,130.0,133.5,-15.103338632750397
2004-06-30,138.0,144.55,120.0,137.25,-0.5434782608695652
2004-07-31,138.65,283.0,136.3,278.45,100.82942661377568
2004-08-31,289.0,302.3,244.0,290.25,0.43252595155709345
2004-09-30,292.4,325.95,287.05,309.05,5.694254445964444
2004-10-31,304.1,412.0,304.1,387.95,27.573166721473186
2004-11-30,381.0,415.0,348.75,351.75,-7.677165354330708
2004-12-31,334.9,388.0,334.9,364.85,8.942968050164243
2005-01-31,373.4,378.5,312.0,366.75,-1.7809319764327738
2005-02-28,368.0,428.7,365.1,388.2,5.489130434782606
2005-03-31,390.0,455.0,365.65,392.5,0.6410256410256411
2005-04-30,393.1,414.95,360.0,368.3,-6.308827270414655
2005-05-31,379.4,450.0,361.0,395.1,4.138112809699538
2005-06-30,396.0,397.5,300.1,330.75,-16.477272727272727
2005-07-31,333.0,380.0,321.2,336.55,1.0660660660660695
2005-08-31,333.7,406.8,75.6,81.95,-75.44201378483669
2005-09-30,84.0,84.0,68.75,70.65,-15.892857142857137
2005-10-31,71.5,73.85,48.55,51.0,-28.67132867132867
2005-11-30,52.5,57.6,49.1,49.6,-5.523809523809522
2005-12-31,49.95,50.9,41.8,43.65,-12.61261261261262
2006-01-31,44.6,55.7,42.1,44.2,-0.896860986547082
2006-02-28,43.5,49.9,39.9,46.4,6.666666666666664
2006-03-31,46.0,77.9,44.05,75.75,64.67391304347827
2006-04-30,77.0,118.5,72.7,118.5,53.896103896103895
2006-05-31,124.45,171.0,105.35,106.35,-14.543993571715555
2006-06-30,108.5,111.85,72.3,92.75,-14.516129032258064
2006-07-31,96.0,106.7,80.5,95.05,-0.9895833333333363
2006-08-31,94.0,119.95,90.5,107.8,14.680851063829785
2006-09-30,108.7,119.4,105.1,110.2,1.3799448022079117
2006-10-31,109.6,141.0,105.0,126.8,15.693430656934309
2006-11-30,129.0,144.95,117.0,133.95,3.8372093023255727
2006-12-31,134.5,135.0,101.1,105.05,-21.895910780669148
2007-01-31,106.0,140.0,104.8,120.55,13.72641509433962
2007-02-28,119.05,128.0,92.0,101.3,-14.90970180596388
2007-03-31,104.0,104.0,80.0,93.3,-10.28846153846154
2007-04-30,86.0,129.5,86.0,111.4,29.53488372093024
2007-05-31,112.0,158.0,106.2,154.75,38.169642857142854
2007-06-30,155.0,184.9,148.0,181.9,17.354838709677423
2007-07-31,183.0,209.8,166.15,198.45,8.442622950819667
2007-08-31,195.0,199.0,150.0,174.4,-10.564102564102562
2007-09-30,176.5,231.5,170.0,214.35,21.444759206798864
2007-10-31,217.0,304.35,215.15,291.95,34.53917050691244
2007-11-30,298.8,301.0,241.0,252.25,-15.578982597054889
2007-12-31,260.0,298.7,231.1,286.55,10.211538461538465
2008-01-31,294.0,351.9,164.8,239.8,-18.43537414965986
2008-02-29,241.5,269.5,215.5,223.75,-7.349896480331263
2008-03-31,219.9,234.95,165.0,218.75,-0.522964984083677
2008-04-30,222.0,276.0,210.05,252.85,13.896396396396394
2008-05-31,258.0,308.85,244.95,280.05,8.54651162790698
2008-06-30,277.0,291.9,220.05,245.7,-11.299638989169678
2008-07-31,240.1,299.0,211.0,256.35,6.768013327780103
2008-08-31,252.0,279.5,236.1,246.25,-2.2817460317460316
2008-09-30,243.95,255.0,176.0,182.85,-25.046116007378558
2008-10-31,189.95,191.9,102.1,124.95,-34.21953145564621
2008-11-30,126.0,134.95,97.0,100.75,-20.03968253968254
2008-12-31,102.0,131.7,91.0,124.75,22.30392156862745
2009-01-31,121.0,139.0,98.0,108.3,-10.495867768595042
2009-02-28,108.95,122.0,105.0,110.4,1.3308857273978916
2009-03-31,110.0,144.0,108.3,138.0,25.454545454545453
2009-04-30,141.0,203.0,134.55,189.5,34.39716312056738
2009-05-31,192.55,293.95,185.0,272.0,41.26200986756686
2009-06-30,290.0,328.8,256.15,286.05,-1.3620689655172376
2009-07-31,289.95,370.0,257.05,340.9,17.571995171581303
2009-08-31,339.0,459.4,322.6,400.4,18.11209439528023
