Date,Open,High,Low,Close,Returns%
2000-01-31,226.9,400.0,225.0,315.9,39.224327897752296
2000-02-29,322.9,569.0,322.9,426.0,31.92938990399505
2000-03-31,411.0,480.0,313.1,413.1,0.5109489051094945
2000-04-30,444.0,490.0,334.05,334.05,-24.76351351351351
2000-05-31,315.0,435.0,285.0,397.45,26.17460317460317
2000-06-30,410.0,421.0,337.2,370.1,-9.731707317073166
2000-07-31,363.1,380.0,280.0,285.0,-21.509226108510056
2000-08-31,280.0,358.0,262.0,330.55,18.05357142857143
2000-09-30,330.0,340.0,275.0,281.0,-14.848484848484848
2000-10-31,275.0,314.05,250.05,276.3,0.4727272727272769
2000-11-30,289.9,359.0,286.0,342.0,17.971714384270445
2000-12-31,328.05,445.0,316.05,403.0,22.847126962353297
2001-01-31,414.0,479.0,391.15,418.0,0.966183574879227
2001-02-28,425.0,722.0,410.0,625.25,47.11764705882353
2001-03-31,625.0,643.0,342.0,479.6,-23.263999999999996
2001-04-30,458.0,505.0,342.0,442.8,-3.3187772925764167
2001-05-31,425.0,599.0,410.1,560.3,31.83529411764705
2001-06-30,540.1,550.0,460.0,500.15,-7.396778374375124
2001-07-31,514.0,515.0,450.0,452.0,-12.062256809338521
2001-08-31,395.0,399.0,330.0,359.0,-9.113924050632912
2001-09-30,332.05,332.6,280.0,280.0,-15.675350097876828
2001-10-31,275.0,370.0,275.0,348.5,26.727272727272727
2001-11-30,375.0,450.0,360.1,368.3,-1.7866666666666637
2001-12-31,361.0,401.95,318.45,342.3,-5.180055401662047
2002-01-31,355.0,370.0,330.0,361.4,1.8028169014084443
2002-02-28,379.0,413.0,350.1,357.15,-5.76517150395779
2002-03-31,350.0,377.85,338.0,355.05,1.4428571428571462
2002-04-30,362.1,423.0,356.0,373.4,3.1206848936757674
2002-05-31,382.0,393.0,323.0,333.0,-12.827225130890053
2002-06-30,330.0,374.0,330.0,365.8,10.848484848484851
2002-07-31,364.0,400.0,322.05,331.2,-9.010989010989013
2002-08-31,335.0,363.95,315.0,328.95,-1.8059701492537348
2002-09-30,331.0,352.0,300.0,319.0,-3.6253776435045317
2002-10-31,320.0,335.0,289.0,289.85,-9.421874999999993
2002-11-30,295.05,300.0,270.1,281.2,-4.694119640738865
2002-12-31,285.0,307.9,266.0,276.05,-3.1403508771929785
2003-01-31,272.0,295.0,262.0,274.0,0.7352941176470589
2003-02-28,28.0,40.4,28.0,29.2,4.285714285714283
2003-03-31,30.3,30.35,25.1,25.45,-16.00660066006601
2003-04-30,26.15,27.6,24.0,24.85,-4.9713193116634695
2003-05-31,25.9,29.1,23.45,26.0,0.3861003861003916
2003-06-30,25.0,34.5,25.0,34.5,38.0
2003-07-31,35.95,46.7,32.0,37.6,4.589707927677325
2003-08-31,35.95,42.1,34.0,40.7,13.21279554937413
2003-09-30,42.0,51.95,37.05,42.1,0.23809523809524147
2003-10-31,42.0,54.2,39.5,42.3,0.7142857142857075
2003-11-30,42.0,52.95,39.5,47.75,13.69047619047619
2003-12-31,49.0,62.25,46.15,52.35,6.8367346938775535
2004-01-31,52.95,55.05,40.75,42.45,-19.830028328611895
2004-02-29,45.5,49.8,41.5,43.8,-3.7362637362637425
2004-03-31,44.05,45.8,38.1,42.35,-3.8592508513053256
2004-04-30,42.5,55.0,42.15,51.45,21.05882352941177
2004-05-31,49.05,52.0,35.0,43.0,-12.334352701325175
2004-06-30,42.5,50.5,42.5,46.25,8.823529411764707
2004-07-31,45.5,49.35,38.5,44.45,-2.3076923076923013
2004-08-31,45.7,69.5,45.7,69.5,52.07877461706782
2004-09-30,71.5,83.4,65.75,78.1,9.230769230769223
2004-10-31,79.0,117.1,74.6,100.65,27.405063291139246
2004-11-30,101.8,151.0,101.0,148.1,45.481335952848724
2004-12-31,150.0,156.0,129.0,146.85,-2.1000000000000036
