Date,Open,High,Low,Close,Returns%
2000-01-31,1037.0,1240.0,925.0,1177.1,13.51012536162005
2000-02-29,1271.25,1271.25,876.95,880.95,-30.702064896755157
2000-03-31,918.95,1057.0,740.0,918.75,-0.021763969748086996
2000-04-30,931.0,955.0,805.0,853.25,-8.35123523093448
2000-05-31,841.05,1094.0,780.05,1081.75,28.618988169549972
2000-06-30,1060.0,1177.75,501.0,565.3,-46.669811320754725
2000-07-31,561.1,624.9,541.15,579.1,3.2079843165211193
2000-08-31,577.5,616.0,553.0,578.75,0.21645021645021645
2000-09-30,580.0,652.0,560.0,564.4,-2.689655172413797
2000-10-31,575.0,599.0,541.5,585.9,1.8956521739130394
2000-11-30,580.0,636.4,576.0,615.55,6.129310344827578
2000-12-31,614.0,696.9,600.0,613.4,-0.0977198697068441
2001-01-31,615.0,620.0,555.0,599.05,-2.593495934959357
2001-02-28,592.0,630.45,578.0,609.3,2.92229729729729
2001-03-31,617.25,634.0,531.05,559.45,-9.364115026326441
2001-04-30,531.0,562.45,495.0,527.35,-0.6873822975517848
2001-05-31,535.0,535.0,451.6,503.25,-5.934579439252336
2001-06-30,509.0,522.0,442.0,458.75,-9.87229862475442
2001-07-31,474.8,480.0,415.0,429.25,-9.59351305812974
2001-08-31,435.0,447.0,415.0,420.05,-3.4367816091953998
2001-09-30,427.25,480.0,382.1,401.35,-6.062024575775302
2001-10-31,413.9,415.0,380.25,401.5,-2.995892727712002
2001-11-30,400.0,462.8,400.0,440.75,10.1875
2001-12-31,442.0,500.0,425.05,445.6,0.8144796380090549
2002-01-31,455.65,459.0,423.0,426.7,-6.353560847141445
2002-02-28,430.0,485.45,418.0,444.5,3.372093023255814
2002-03-31,440.0,472.0,430.3,450.35,2.3522727272727324
2002-04-30,455.0,535.0,442.0,484.9,6.571428571428567
2002-05-31,475.95,534.0,460.0,472.25,-0.7773925832545412
2002-06-30,480.0,499.0,450.0,452.65,-5.697916666666671
2002-07-31,469.95,474.5,426.1,449.05,-4.447281625704857
2002-08-31,452.0,465.0,432.1,436.5,-3.4292035398230087
2002-09-30,440.0,444.9,409.25,411.65,-6.443181818181824
