Date,Open,High,Low,Close,Returns%
2000-01-31,17.5,17.85,10.0,10.15,-42.0
2000-02-29,10.0,15.45,9.5,12.55,25.500000000000007
2000-03-31,12.65,13.0,7.2,8.35,-33.992094861660085
2000-04-30,8.45,8.5,6.0,6.25,-26.035502958579876
2000-05-31,6.1,11.45,5.0,8.15,33.60655737704919
2000-06-30,8.25,8.5,6.5,6.95,-15.757575757575754
2000-07-31,6.75,7.4,5.15,5.8,-14.074074074074076
2000-08-31,5.8,7.1,5.35,6.4,10.344827586206907
2000-09-30,6.5,6.9,5.25,5.5,-15.384615384615385
2000-10-31,5.25,6.75,4.75,5.2,-0.952380952380949
2000-11-30,5.2,7.5,5.1,6.25,20.19230769230769
2000-12-31,6.2,10.0,6.2,7.05,13.709677419354835
2001-01-31,7.15,9.9,6.5,7.25,1.3986013986013937
2001-02-28,7.5,10.7,7.1,7.45,-0.6666666666666643
2001-03-31,7.5,7.85,5.3,6.1,-18.66666666666667
2001-04-30,6.2,6.2,5.1,5.8,-6.451612903225812
2001-05-31,5.9,6.5,5.35,6.1,3.389830508474564
2001-06-30,6.25,6.25,5.6,5.7,-8.799999999999997
2001-07-31,6.65,6.65,5.25,5.65,-15.037593984962406
2001-08-31,5.8,6.25,5.25,5.65,-2.586206896551715
2001-09-30,5.35,5.6,4.5,4.9,-8.411214953271015
2001-10-31,4.8,6.1,4.7,5.6,16.666666666666664
2001-11-30,5.7,6.25,5.45,5.65,-0.8771929824561372
2001-12-31,5.7,6.0,4.75,5.45,-4.385964912280701
2002-01-31,5.5,5.7,5.0,5.5,0.0
2002-02-28,5.5,13.0,5.45,9.85,79.09090909090908
2002-03-31,10.35,11.85,8.85,11.15,7.729468599033823
2002-04-30,11.3,16.65,11.2,14.5,28.318584070796454
2002-05-31,15.0,34.65,13.95,34.35,129.00000000000003
2002-06-30,35.0,38.25,28.3,28.6,-18.28571428571428
2002-07-31,29.2,38.2,19.5,22.35,-23.458904109589035
2002-08-31,23.25,25.4,18.3,18.75,-19.35483870967742
2002-09-30,18.95,20.8,12.4,12.45,-34.300791556728235
2002-10-31,12.6,17.6,11.85,14.3,13.492063492063501
2002-11-30,14.55,15.85,13.0,15.75,8.247422680412367
2002-12-31,16.25,20.9,15.9,17.4,7.076923076923068
2003-01-31,17.5,19.9,16.0,17.6,0.5714285714285795
2003-02-28,17.85,18.75,15.9,16.4,-8.123249299719904
2003-03-31,17.4,17.4,12.75,12.8,-26.436781609195393
2003-04-30,13.0,25.3,12.85,23.7,82.3076923076923
2003-05-31,23.9,34.25,21.5,33.8,41.42259414225941
2003-06-30,34.0,40.0,30.35,38.5,13.235294117647058
2003-07-31,38.9,43.9,31.9,34.15,-12.210796915167096
2003-08-31,34.8,40.35,31.2,36.4,4.5977011494252915
2003-09-30,37.1,43.3,24.5,28.95,-21.967654986522916
2003-10-31,29.1,34.5,27.0,32.15,10.481099656357378
2003-11-30,32.85,36.5,28.05,31.35,-4.566210045662101
2003-12-31,32.25,40.95,31.65,38.05,17.984496124031
2004-01-31,38.25,65.75,38.2,51.85,35.555555555555564
2004-02-29,52.75,54.6,42.1,44.1,-16.398104265402843
2004-03-31,44.5,49.2,36.35,43.85,-1.4606741573033677
2004-04-30,44.1,54.3,41.15,46.3,4.9886621315192645
2004-05-31,46.0,51.7,20.15,29.6,-35.65217391304348
2004-06-30,30.0,32.7,24.75,29.05,-3.1666666666666643
2004-07-31,29.4,34.9,26.15,32.25,9.693877551020412
2004-08-31,32.65,34.4,25.15,32.45,-0.6125574272587925
2004-09-30,33.0,37.3,32.5,35.9,8.787878787878784
2004-10-31,35.75,37.5,30.35,32.4,-9.370629370629374
2004-11-30,32.6,37.35,31.1,34.55,5.981595092024526
2004-12-31,34.9,42.4,33.8,40.05,14.756446991404008
2005-01-31,40.4,44.15,34.4,38.15,-5.569306930693069
2005-02-28,38.65,42.5,37.5,38.2,-1.164294954721852
2005-03-31,38.5,40.3,33.1,34.55,-10.259740259740267
2005-04-30,34.3,36.95,32.75,33.0,-3.7900874635568433
2005-05-31,33.25,38.4,30.8,37.05,11.42857142857142
2005-06-30,37.1,39.3,35.1,35.35,-4.716981132075471
2005-07-31,35.1,52.15,35.1,39.25,11.82336182336182
2005-08-31,39.5,47.2,37.05,43.7,10.63291139240507
2005-09-30,42.3,46.0,37.6,40.6,-4.018912529550818
2005-10-31,43.0,44.9,34.5,35.85,-16.627906976744182
2005-11-30,36.4,44.5,36.4,41.95,15.24725274725276
2005-12-31,42.45,52.3,41.7,42.75,0.7067137809187212
2006-01-31,42.95,45.9,39.45,41.9,-2.4447031431897654
2006-02-28,42.0,44.25,38.05,39.75,-5.357142857142857
2006-03-31,40.0,40.05,34.35,37.0,-7.5
2006-04-30,37.4,59.7,35.75,59.7,59.625668449197875
2006-05-31,62.0,72.3,41.8,43.5,-29.838709677419356
2006-06-30,42.75,45.05,27.75,35.85,-16.14035087719298
2006-07-31,36.4,36.5,30.7,33.0,-9.340659340659338
2006-08-31,32.4,42.8,32.4,42.0,29.629629629629633
2006-09-30,42.0,45.9,40.55,41.85,-0.35714285714285376
2006-10-31,42.3,45.75,40.8,41.0,-3.0732860520094496
2006-11-30,41.6,42.0,36.75,37.75,-9.254807692307695
2006-12-31,38.0,40.0,33.1,36.95,-2.7631578947368345
2007-01-31,38.0,47.4,37.2,41.3,8.684210526315782
2007-02-28,42.8,49.85,40.0,40.25,-5.957943925233638
2007-03-31,40.5,44.25,32.5,35.1,-13.33333333333333
2007-04-30,35.0,40.0,34.1,37.25,6.428571428571429
2007-05-31,37.4,42.45,36.8,38.8,3.7433155080213867
2007-06-30,37.05,44.35,37.05,42.9,15.789473684210531
2007-07-31,40.5,56.25,40.5,47.0,16.049382716049383
2007-08-31,46.75,54.5,42.3,50.25,7.4866310160427805
2007-09-30,50.5,67.8,50.05,61.7,22.178217821782184
2007-10-31,62.0,64.2,47.3,55.9,-9.838709677419356
2007-11-30,56.45,85.0,53.0,74.8,32.50664304694419
2007-12-31,76.85,117.8,75.5,117.8,53.285621340273266
2008-01-31,123.7,150.45,85.7,89.85,-27.364591754244145
2008-02-29,93.0,101.45,73.25,84.55,-9.086021505376346
2008-03-31,80.35,82.0,43.35,52.2,-35.03422526446794
2008-04-30,53.5,81.65,48.3,71.3,33.271028037383175
2008-05-31,74.85,78.65,67.0,73.0,-2.471609886439538
2008-06-30,74.9,74.9,50.1,50.1,-33.11081441922564
2008-07-31,50.0,71.9,44.4,67.45,34.900000000000006
2008-08-31,66.8,74.6,59.55,60.3,-9.73053892215569
2008-09-30,60.0,62.95,40.3,49.7,-17.166666666666664
2008-10-31,49.7,50.9,27.0,31.6,-36.418511066398395
2008-11-30,34.0,35.5,25.05,26.05,-23.382352941176467
2008-12-31,26.9,39.4,25.1,34.1,26.765799256505588
2009-01-31,34.25,39.65,30.0,32.75,-4.37956204379562
2009-02-28,33.4,43.4,31.25,34.3,2.6946107784431095
2009-03-31,33.5,40.85,30.5,37.45,11.791044776119412
2009-04-30,37.8,53.3,36.8,44.85,18.650793650793663
2009-05-31,46.1,77.4,44.45,71.2,54.4468546637744
2009-06-30,72.9,89.65,67.75,75.05,2.9492455418381227
2009-07-31,76.4,83.25,52.65,68.4,-10.471204188481675
2009-08-31,68.9,71.0,58.0,67.25,-2.394775036284478
2009-09-30,67.45,73.4,63.55,70.45,4.447739065974796
2009-10-31,70.4,78.9,59.05,60.45,-14.13352272727273
2009-11-30,60.0,80.35,57.0,70.3,17.166666666666664
2009-12-31,71.15,78.7,70.2,74.0,4.0056219255094785
2010-01-31,74.0,117.95,73.9,103.35,39.662162162162154
2010-02-28,102.6,110.9,89.1,92.8,-9.55165692007797
2010-03-31,93.55,93.9,76.6,79.65,-14.858364510956699
2010-04-30,80.35,87.2,76.6,83.7,4.169259489732432
2010-05-31,83.7,85.6,71.3,81.05,-3.16606929510156
2010-06-30,81.5,86.5,76.0,82.7,1.4723926380368133
2010-07-31,82.45,94.75,80.0,83.3,1.0309278350515394
2010-08-31,84.4,88.45,78.8,79.4,-5.924170616113743
2010-09-30,79.8,88.25,79.75,80.75,1.190476190476194
2010-10-31,80.0,112.45,80.0,94.8,18.499999999999996
2010-11-30,95.2,132.4,92.7,105.0,10.29411764705882
2010-12-31,106.5,115.85,83.7,101.95,-4.272300469483565
2011-01-31,102.85,106.6,76.55,78.9,-23.28633932912007
2011-02-28,79.3,89.3,73.4,79.15,-0.18915510718788334
2011-03-31,81.1,84.75,75.25,79.4,-2.096177558569653
2011-04-30,80.65,90.8,79.8,86.6,7.3775573465591915
2011-05-31,86.9,86.9,74.4,81.25,-6.501726121979293
2011-06-30,81.8,85.0,70.2,79.4,-2.933985330073339
2011-07-31,81.6,82.0,72.2,74.35,-8.884803921568627
2011-08-31,75.4,91.45,63.0,79.15,4.973474801061007
2011-09-30,79.8,85.4,70.25,73.15,-8.333333333333321
2011-10-31,71.05,80.05,69.05,73.75,3.800140745953558
2011-11-30,73.5,74.85,54.3,56.45,-23.197278911564624
2011-12-31,57.6,58.5,42.05,46.15,-19.878472222222225
2012-01-31,46.0,72.0,45.4,66.3,44.13043478260869
2012-02-29,66.2,73.4,61.8,66.15,-0.07552870090634012
2012-03-31,66.8,69.9,54.85,56.45,-15.494011976047899
2012-04-30,56.95,63.4,55.5,60.55,6.3213345039508235
2012-05-31,61.0,61.65,53.0,56.65,-7.1311475409836085
2012-06-30,56.0,61.2,53.7,58.45,4.375000000000005
2012-07-31,58.5,63.2,50.4,53.0,-9.401709401709402
2012-08-31,53.05,58.2,47.5,50.35,-5.089538171536279
2012-09-30,50.85,64.5,50.6,60.15,18.28908554572271
2012-10-31,60.25,61.8,53.0,53.7,-10.871369294605806
2012-11-30,53.7,55.7,50.0,53.25,-0.8379888268156477
