Date,Open,High,Low,Close,Returns%
2000-01-31,237.5,341.9,237.5,328.15,38.16842105263157
2000-02-29,330.8,374.0,306.45,310.85,-6.030834340991532
2000-03-31,315.0,329.85,197.15,316.45,0.4603174603174567
2000-04-30,327.65,380.0,278.25,345.05,5.310544788646432
2000-05-31,348.0,356.8,306.5,343.9,-1.1781609195402365
2000-06-30,342.1,354.65,323.25,340.8,-0.3800058462437917
2000-07-31,338.0,377.7,320.2,336.8,-0.3550295857988132
2000-08-31,336.0,346.0,322.3,336.55,0.16369047619047958
2000-09-30,338.9,389.8,334.0,342.5,1.0622602537621786
2000-10-31,340.05,348.5,283.35,302.15,-11.145419791207186
2000-11-30,310.45,332.4,301.15,328.15,5.7014011918183245
2000-12-31,327.0,352.8,324.0,338.95,3.6544342507645227
2001-01-31,340.0,405.0,339.0,384.6,13.117647058823534
2001-02-28,383.5,429.35,372.7,414.1,7.979139504563239
2001-03-31,416.0,451.0,365.25,389.55,-6.358173076923075
2001-04-30,386.5,395.0,290.0,342.5,-11.384217335058215
2001-05-31,342.0,406.95,336.2,392.3,14.707602339181289
2001-06-30,393.25,394.25,335.0,368.5,-6.293706293706293
2001-07-31,370.8,395.0,300.0,318.85,-14.010248112189856
2001-08-31,320.95,341.45,309.55,311.15,-3.0534351145038205
2001-09-30,311.0,318.0,203.6,264.6,-14.919614147909963
2001-10-31,264.0,286.7,240.5,254.4,-3.636363636363634
2001-11-30,257.0,311.0,251.85,289.95,12.821011673151748
2001-12-31,291.1,324.5,286.0,306.2,5.187220886293358
2002-01-31,304.9,344.0,295.25,300.1,-1.5742866513610871
2002-02-28,300.65,330.25,290.35,307.85,2.3948112423083474
2002-03-31,308.0,340.0,291.5,300.3,-2.4999999999999964
2002-04-30,301.65,319.9,272.65,278.35,-7.724183656555597
2002-05-31,283.95,295.4,248.6,263.5,-7.201972178200384
2002-06-30,267.55,291.4,262.2,269.4,0.6914595402728334
2002-07-31,270.05,278.95,238.8,244.35,-9.516756156267364
2002-08-31,246.5,260.0,229.6,255.5,3.6511156186612577
2002-09-30,260.0,270.95,252.0,258.05,-0.7499999999999957
2002-10-31,256.1,269.4,218.05,265.5,3.6704412338930013
2002-11-30,265.8,295.8,251.75,287.9,8.314522197140693
2002-12-31,289.9,306.4,282.2,297.95,2.7768195929630948
2003-01-31,300.8,310.0,263.3,275.05,-8.560505319148936
2003-02-28,282.0,303.75,276.55,294.75,4.5212765957446805
2003-03-31,295.0,301.2,274.1,278.1,-5.728813559322027
2003-04-30,276.0,302.0,264.75,274.45,-0.5615942028985549
2003-05-31,274.6,302.0,257.15,298.6,8.73998543335761
2003-06-30,299.0,337.75,291.25,324.9,8.662207357859524
2003-07-31,326.05,361.85,323.25,357.9,9.768440423247956
2003-08-31,359.7,424.7,343.6,400.7,11.398387545176536
2003-09-30,398.25,510.0,392.0,443.8,11.437539234149407
2003-10-31,441.0,497.9,370.0,486.45,10.30612244897959
2003-11-30,486.95,510.0,446.2,487.05,0.02053598932129022
2003-12-31,490.1,582.8,435.0,572.85,16.884309324627626
2004-01-31,580.0,605.9,527.25,560.55,-3.353448275862077
2004-02-29,562.0,620.0,539.0,554.7,-1.298932384341629
2004-03-31,569.0,600.0,505.25,538.05,-5.439367311072064
2004-04-30,539.0,650.0,522.2,526.45,-2.328385899814463
2004-05-31,527.0,633.05,381.7,429.8,-18.44402277039848
2004-06-30,435.0,458.25,409.15,429.65,-1.2298850574712696
2004-07-31,439.4,490.5,400.0,488.9,11.265361857077833
2004-08-31,488.0,555.0,448.5,475.65,-2.5307377049180375
2004-09-30,475.65,519.75,468.6,517.9,8.88258173026385
2004-10-31,518.1,600.0,512.25,529.15,2.1327928971240984
2004-11-30,531.9,587.0,487.0,517.05,-2.791878172588837
2004-12-31,523.0,547.9,472.1,533.7,2.0458891013384406
2005-01-31,539.4,550.0,490.0,532.3,-1.316277345198373
2005-02-28,533.9,597.8,528.65,556.25,4.186177186739094
2005-03-31,557.5,600.8,539.1,546.05,-2.0538116591928333
2005-04-30,557.0,576.9,512.0,528.05,-5.197486535008985
2005-05-31,529.5,555.75,515.6,535.0,1.0387157695939566
2005-06-30,538.0,675.0,528.0,642.55,19.43308550185873
2005-07-31,643.0,711.9,609.3,703.35,9.385692068429242
2005-08-31,703.0,799.0,683.05,719.4,2.332859174964435
2005-09-30,719.0,840.0,719.0,793.55,10.368567454798324
2005-10-31,785.0,809.9,735.0,762.5,-2.8662420382165603
2005-11-30,777.0,865.85,735.0,832.7,7.1685971685971746
2005-12-31,833.0,900.85,827.0,889.3,6.758703481392551
2006-01-31,893.0,937.0,580.1,713.9,-20.055991041433376
2006-02-28,714.6,724.35,683.5,708.85,-0.804645955779457
2006-03-31,708.0,808.0,702.1,795.35,12.33757062146893
2006-04-30,801.0,1050.0,801.0,1022.95,27.709113607990016
2006-05-31,1025.0,1184.4,840.0,954.15,-6.912195121951221
2006-06-30,965.0,1064.0,807.0,1059.85,9.829015544041441
2006-07-31,1061.65,1100.0,941.5,978.8,-7.803890170960311
2006-08-31,974.0,1139.9,952.0,1117.35,14.717659137576993
2006-09-30,1115.0,1196.8,1073.1,1171.75,5.089686098654709
2006-10-31,1165.25,1240.0,1138.5,1226.0,5.213473503540013
2006-11-30,1221.0,1315.95,1220.1,1244.45,1.9205569205569242
2006-12-31,1245.1,1309.0,1176.35,1270.15,2.0118865954541953
2007-01-31,1275.0,1428.0,1264.1,1366.45,7.172549019607846
2007-02-28,1368.0,1444.4,1305.1,1352.5,-1.1330409356725146
2007-03-31,1375.0,1383.8,1248.2,1370.3,-0.34181818181818513
2007-04-30,1355.0,1626.6,1305.25,1561.05,15.206642066420661
2007-05-31,1575.0,1797.8,1531.25,1758.8,11.669841269841267
2007-06-30,1772.8,1800.0,1647.1,1700.55,-4.075473826714801
2007-07-31,1704.0,1948.5,1676.1,1893.5,11.120892018779342
2007-08-31,1865.0,1970.0,1683.2,1960.9,5.142091152815018
2007-09-30,1960.9,2426.0,1921.25,2298.05,17.193635575501048
2007-10-31,2310.0,2989.0,2197.7,2783.8,20.510822510822518
2007-11-30,2820.0,2928.0,2577.0,2851.65,1.122340425531918
2007-12-31,2888.2,2988.0,2651.55,2882.7,-0.19043002562149436
2008-01-31,2890.0,3298.0,2120.0,2478.9,-14.224913494809686
2008-02-29,2490.0,2642.0,2235.0,2463.45,-1.0662650602409711
2008-03-31,2399.8,2428.4,2120.0,2265.8,-5.58379864988749
2008-04-30,2299.0,2718.0,2243.5,2614.5,13.723357981731187
