Date,Open,High,Low,Close,Returns%
2000-01-31,47.5,52.3,39.05,39.55,-16.73684210526316
2000-02-29,40.0,51.9,39.0,50.8,26.999999999999993
2000-03-31,52.5,87.25,50.25,66.05,25.809523809523807
2000-04-30,66.5,67.0,46.65,49.0,-26.31578947368421
2000-05-31,48.0,48.0,34.15,46.0,-4.166666666666667
2000-06-30,45.8,46.25,37.75,41.2,-10.04366812227073
2000-07-31,42.1,46.9,36.5,38.85,-7.719714964370546
2000-08-31,37.6,38.5,35.0,38.25,1.7287234042553152
2000-09-30,38.15,43.2,34.75,36.8,-3.5386631716906987
2000-10-31,36.4,38.2,31.55,33.85,-7.005494505494498
2000-11-30,33.55,38.85,33.5,37.8,12.667660208643817
2000-12-31,39.75,44.9,36.5,40.05,0.7547169811320683
2001-01-31,39.85,42.5,38.5,41.6,4.391468005018821
2001-02-28,42.0,50.8,39.0,42.2,0.47619047619048294
2001-03-31,45.0,45.25,32.75,35.0,-22.22222222222222
2001-04-30,35.0,38.0,32.8,34.95,-0.14285714285713474
2001-05-31,35.3,43.0,35.25,37.75,6.940509915014173
2001-06-30,37.25,37.85,32.6,33.45,-10.201342281879187
2001-07-31,33.65,35.9,30.05,32.65,-2.971768202080238
2001-08-31,30.75,33.9,30.75,32.95,7.154471544715457
2001-09-30,32.0,33.45,28.45,31.65,-1.0937500000000044
2001-10-31,30.5,31.95,29.2,30.5,0.0
2001-11-30,31.5,35.2,30.9,32.85,4.28571428571429
2001-12-31,32.65,36.5,30.0,33.15,1.5313935681470139
2002-01-31,32.6,34.0,32.0,33.05,1.3803680981594961
2002-02-28,32.5,41.4,32.5,34.05,4.76923076923076
2002-03-31,34.6,38.0,34.05,34.65,0.14450867052022298
2002-04-30,33.65,40.0,32.0,34.35,2.080237741456175
2002-05-31,35.0,37.4,32.05,34.8,-0.5714285714285795
2002-06-30,35.0,37.4,31.35,34.0,-2.857142857142857
2002-07-31,34.0,42.0,32.0,32.65,-3.9705882352941217
2002-08-31,32.4,34.9,31.1,32.55,0.4629629629629586
2002-09-30,32.8,33.5,31.25,32.05,-2.2865853658536586
2002-10-31,31.8,33.0,30.85,32.75,2.9874213836477965
2002-11-30,33.0,36.9,31.65,36.15,9.545454545454541
2002-12-31,36.7,37.6,35.0,36.0,-1.9073569482288903
2003-01-31,35.6,37.5,34.3,34.5,-3.089887640449442
2003-02-28,34.5,38.0,34.3,36.7,6.376811594202906
