Date,Open,High,Low,Close,Returns%
2000-01-31,12.25,14.2,9.55,9.6,-21.632653061224495
2000-02-29,9.4,15.9,9.0,10.55,12.234042553191491
2000-03-31,10.25,11.4,7.8,8.05,-21.463414634146336
2000-04-30,8.1,8.8,6.2,6.7,-17.283950617283946
2000-05-31,6.7,7.5,5.95,6.6,-1.4925373134328437
2000-06-30,6.5,7.55,6.35,6.45,-0.7692307692307665
2000-07-31,6.4,6.8,5.8,6.2,-3.1250000000000027
2000-08-31,6.3,6.5,5.6,5.65,-10.31746031746031
2000-09-30,5.6,6.9,5.2,5.35,-4.464285714285714
2000-10-31,5.3,5.5,4.75,4.85,-8.490566037735851
2000-11-30,4.9,7.75,4.9,6.6,34.69387755102039
2000-12-31,6.6,7.25,5.8,6.4,-3.0303030303030196
2001-01-31,6.3,7.4,6.2,6.95,10.317460317460322
2001-02-28,6.9,10.05,6.7,7.75,12.318840579710141
2001-03-31,7.95,9.0,5.0,5.65,-28.93081761006289
2001-04-30,5.6,6.4,5.25,5.7,1.7857142857142954
2001-05-31,5.85,6.2,5.35,5.9,0.8547008547008669
2001-06-30,5.95,5.95,5.35,5.4,-9.243697478991594
2001-07-31,5.65,5.65,4.95,5.0,-11.504424778761067
2001-08-31,5.0,5.15,4.9,4.95,-0.9999999999999964
2001-09-30,4.9,5.0,3.95,4.2,-14.285714285714288
2001-10-31,4.5,4.95,4.05,4.65,3.333333333333341
2001-11-30,4.7,5.35,4.4,5.0,6.382978723404252
2001-12-31,5.3,5.6,4.55,4.85,-8.490566037735851
2002-01-31,4.75,5.1,4.6,4.9,3.157894736842113
2002-02-28,4.95,6.45,4.8,5.05,2.020202020202013
2002-03-31,5.1,5.5,4.7,4.8,-5.8823529411764675
2002-04-30,4.9,5.4,4.8,4.85,-1.0204081632653206
2002-05-31,4.9,9.05,4.85,8.4,71.42857142857142
2002-06-30,8.75,13.2,8.4,12.3,40.57142857142858
2002-07-31,12.5,12.7,7.8,8.25,-34.0
2002-08-31,8.6,9.55,8.05,8.45,-1.7441860465116321
2002-09-30,8.6,8.95,6.35,6.45,-24.999999999999993
