Date,Open,High,Low,Close,Returns%
2000-01-31,77.0,79.9,57.5,60.3,-21.688311688311693
2000-02-29,61.75,62.9,42.0,43.15,-30.121457489878548
2000-03-31,46.0,46.0,29.7,37.7,-18.04347826086956
2000-04-30,37.0,41.85,35.35,41.65,12.567567567567565
2000-05-31,42.0,45.0,36.0,41.0,-2.380952380952381
2000-06-30,42.75,46.25,38.1,38.95,-8.888888888888882
2000-07-31,40.5,40.5,34.0,37.7,-6.913580246913574
2000-08-31,37.05,37.55,31.1,36.25,-2.159244264507415
2000-09-30,36.7,41.75,34.55,35.9,-2.1798365122615917
2000-10-31,34.4,36.0,31.35,32.2,-6.395348837209291
2000-11-30,33.4,35.0,31.65,34.55,3.4431137724550855
2000-12-31,35.0,39.45,33.2,34.9,-0.28571428571428975
2001-01-31,35.0,36.0,32.85,33.75,-3.5714285714285716
2001-02-28,33.65,40.2,33.0,37.7,12.035661218424977
2001-03-31,38.0,38.9,31.35,34.25,-9.868421052631579
2001-04-30,32.65,38.2,32.25,36.0,10.260336906584996
2001-05-31,36.0,42.45,35.0,41.45,15.138888888888895
2001-06-30,41.0,41.5,33.4,33.7,-17.80487804878048
2001-07-31,34.5,36.25,31.65,35.5,2.898550724637681
2001-08-31,36.5,44.85,36.0,41.8,14.520547945205474
2001-09-30,44.9,44.9,37.0,42.65,-5.011135857461024
2001-10-31,41.25,51.0,40.55,50.65,22.787878787878785
2001-11-30,47.6,53.75,43.5,51.4,7.983193277310918
2001-12-31,55.0,60.0,46.5,52.8,-4.000000000000005
2002-01-31,61.5,64.0,50.9,54.95,-10.650406504065037
2002-02-28,54.75,60.5,45.8,46.0,-15.981735159817351
2002-03-31,46.25,50.0,40.0,45.65,-1.2972972972973005
2002-04-30,45.5,55.0,44.2,50.4,10.769230769230766
2002-05-31,51.0,53.5,45.0,46.75,-8.333333333333334
2002-06-30,46.55,63.8,45.25,61.8,32.76047261009667
2002-07-31,61.75,68.7,43.0,47.85,-22.510121457489873
2002-08-31,49.2,52.5,47.55,49.0,-0.40650406504065617
2002-09-30,50.55,50.55,44.25,44.75,-11.47378832838773
2002-10-31,53.0,53.0,42.0,49.5,-6.60377358490566
2002-11-30,49.0,55.9,48.1,54.8,11.836734693877546
2002-12-31,56.0,64.0,50.7,54.0,-3.5714285714285716
2003-01-31,54.4,58.0,51.0,53.55,-1.5625000000000027
2003-02-28,54.0,59.9,54.0,56.8,5.18518518518518
2003-03-31,57.25,57.85,50.05,50.1,-12.489082969432312
2003-04-30,50.0,54.95,49.85,52.25,4.5
2003-05-31,52.0,64.25,50.5,62.05,19.326923076923073
2003-06-30,61.5,72.5,58.6,69.3,12.68292682926829
2003-07-31,70.0,76.5,69.0,75.1,7.285714285714278
2003-08-31,77.9,93.1,75.85,85.25,9.435173299101404
2003-09-30,78.15,91.9,78.15,88.35,13.051823416506702
2003-10-31,88.5,111.3,88.5,96.9,9.49152542372882
2003-11-30,98.0,111.0,94.0,105.55,7.704081632653059
2003-12-31,106.0,138.5,105.5,129.55,22.21698113207548
2004-01-31,132.0,137.0,109.15,113.95,-13.674242424242422
2004-02-29,117.0,128.05,105.0,111.5,-4.700854700854701
2004-03-31,113.0,113.0,102.5,105.05,-7.035398230088497
2004-04-30,106.6,128.4,105.6,115.75,8.583489681050663
2004-05-31,117.0,139.9,80.75,96.0,-17.94871794871795
2004-06-30,98.95,115.9,77.4,91.2,-7.832238504295098
2004-07-31,91.0,118.7,90.4,111.25,22.252747252747252
2004-08-31,110.5,138.8,108.0,128.95,16.69683257918551
2004-09-30,129.6,142.5,126.15,138.95,7.214506172839502
2004-10-31,138.5,159.0,135.0,143.9,3.898916967509029
2004-11-30,143.1,167.95,132.0,160.0,11.809923130677852
2004-12-31,157.1,171.0,153.1,162.8,3.6282622533418314
2005-01-31,164.3,167.9,147.7,158.2,-3.7127206329884492
2005-02-28,160.0,193.0,155.0,187.2,16.999999999999993
2005-03-31,184.0,204.95,179.25,189.15,2.798913043478264
2005-04-30,190.0,209.6,180.1,197.95,4.184210526315783
2005-05-31,198.25,228.0,194.0,209.4,5.624211853720053
2005-06-30,220.0,234.9,205.1,217.55,-1.1136363636363584
2005-07-31,214.0,230.0,206.0,225.0,5.140186915887851
2005-08-31,226.0,275.0,220.05,242.3,7.212389380530978
2005-09-30,238.3,321.0,238.25,303.0,27.15065044062106
2005-10-31,301.6,372.0,272.0,328.15,8.803050397877968
2005-11-30,331.95,409.95,329.0,388.15,16.93026058141286
2005-12-31,397.65,424.0,388.0,400.25,0.6538413177417385
2006-01-31,399.0,440.0,382.0,386.1,-3.2330827067669117
2006-02-28,394.0,454.4,372.5,419.95,6.5862944162436525
2006-03-31,415.0,608.4,402.85,538.95,29.86746987951808
2006-04-30,545.0,650.0,527.0,637.75,17.01834862385321
2006-05-31,638.0,784.8,555.25,556.5,-12.774294670846395
2006-06-30,578.6,583.0,380.15,507.75,-12.245074317317666
2006-07-31,505.0,528.05,452.05,519.7,2.9108910891089197
2006-08-31,505.0,544.0,481.5,514.2,1.8217821782178307
2006-09-30,518.8,625.0,505.0,580.65,11.921742482652279
2006-10-31,599.95,704.0,581.0,665.8,10.975914659554947
2006-11-30,669.0,710.0,621.3,652.2,-2.5112107623318316
2006-12-31,653.0,698.0,621.0,643.6,-1.4395099540581895
2007-01-31,642.1,700.0,640.1,659.95,2.779940819187046
2007-02-28,669.0,717.0,635.0,660.95,-1.203288490283999
2007-03-31,670.0,680.0,559.25,612.0,-8.656716417910447
2007-04-30,620.0,625.0,566.0,614.25,-0.9274193548387096
2007-05-31,620.0,714.9,595.0,688.0,10.96774193548387
2007-06-30,688.0,688.0,591.0,646.25,-6.068313953488372
2007-07-31,659.9,740.0,630.0,656.85,-0.46219124109712906
2007-08-31,654.0,724.95,601.5,696.75,6.536697247706422
2007-09-30,677.0,754.9,617.0,657.1,-2.939438700147707
2007-10-31,655.0,674.0,570.6,599.8,-8.427480916030541
2007-11-30,599.0,714.0,532.0,621.05,3.6811352253756184
2007-12-31,639.9,724.95,583.0,685.15,7.071417408970152
2008-01-31,661.1,705.0,466.85,597.0,-9.695961276660114
2008-02-29,571.0,667.3,485.0,578.8,1.3660245183887836
2008-03-31,548.9,600.0,401.25,594.45,8.298415011841879
2008-04-30,570.0,582.0,500.05,508.45,-10.798245614035089
2008-05-31,510.0,540.0,455.0,457.6,-10.274509803921566
2008-06-30,464.0,464.0,370.1,381.75,-17.726293103448278
2008-07-31,381.0,423.95,340.0,394.0,3.4120734908136483
2008-08-31,386.0,426.0,362.35,371.1,-3.8601036269429994
2008-09-30,375.0,450.0,313.0,327.4,-12.693333333333339
2008-10-31,330.0,350.0,230.0,329.5,-0.15151515151515152
2008-11-30,317.2,338.0,220.7,239.4,-24.52711223203026
2008-12-31,236.0,257.4,215.0,241.5,2.330508474576271
2009-01-31,239.5,281.95,222.0,229.6,-4.133611691022967
2009-02-28,226.0,287.5,219.0,261.9,15.88495575221238
2009-03-31,255.1,295.0,225.0,291.35,14.210113680909458
2009-04-30,300.0,349.95,272.0,305.0,1.6666666666666667
2009-05-31,299.0,392.0,280.0,371.35,24.197324414715727
2009-06-30,325.0,474.4,325.0,438.4,34.89230769230769
2009-07-31,442.0,469.95,404.0,444.9,0.6561085972850628
2009-08-31,454.0,509.0,431.0,453.0,-0.22026431718061673
2009-09-30,469.55,478.9,442.75,471.5,0.41529123629006254
2009-10-31,471.05,522.8,460.2,487.9,3.577114955949467
2009-11-30,484.0,560.0,459.95,524.0,8.264462809917354
2009-12-31,539.95,674.9,516.4,615.65,14.019816649689771
2010-01-31,619.9,635.0,530.15,546.4,-11.856751088885305
2010-02-28,550.0,588.0,518.0,542.9,-1.290909090909095
2010-03-31,545.0,573.5,502.0,524.7,-3.7247706422018263
2010-04-30,525.0,625.9,510.1,574.1,9.352380952380956
2010-05-31,572.05,585.0,521.1,543.3,-5.025784459400403
2010-06-30,554.0,648.8,523.0,569.85,2.861010830324914
2010-07-31,570.0,812.4,539.0,767.35,34.62280701754386
2010-08-31,790.0,849.9,710.0,816.3,3.329113924050627
2010-09-30,819.0,910.0,758.0,838.7,2.405372405372411
2010-10-31,826.35,980.0,826.1,910.6,10.19543776850003
2010-11-30,919.0,939.0,797.3,873.15,-4.989118607181721
2010-12-31,884.0,909.9,802.0,878.8,-0.5882352941176522
2011-01-31,891.0,917.0,786.0,806.95,-9.433221099887762
2011-02-28,809.0,880.0,760.05,795.5,-1.6687268232385661
2011-03-31,840.0,845.0,760.0,837.0,-0.35714285714285715
2011-04-30,849.5,1248.0,830.05,1142.35,34.473219540906406
2011-05-31,1142.0,1199.0,1030.0,1107.0,-3.0647985989492117
2011-06-30,1111.0,1200.0,1082.2,1191.3,7.2277227722772235
2011-07-31,1195.0,1432.9,1130.05,1317.65,10.26359832635984
2011-08-31,1340.0,1348.9,1133.3,1163.35,-13.182835820895528
2011-09-30,1165.0,1285.0,1153.55,1167.15,0.18454935622318377
2011-10-31,1188.0,1350.0,1125.5,1296.8,9.158249158249156
2011-11-30,1285.5,1382.0,1112.35,1149.7,-10.563982886036559
2011-12-31,1175.55,1193.0,960.1,1044.2,-11.17349325847475
2012-01-31,1075.0,1245.3,1006.0,1184.7,10.204651162790702
2012-02-29,1165.1,1559.95,1165.1,1479.0,26.94189339970819
2012-03-31,1459.5,1699.4,1415.0,1686.75,15.570400822199383
2012-04-30,1699.4,1813.9,1535.0,1548.4,-8.885488996116276
2012-05-31,1560.0,1615.0,1450.05,1514.0,-2.948717948717949
2012-06-30,1490.05,1587.0,1421.0,1438.35,-3.46968222542868
2012-07-31,1449.0,1554.0,1422.0,1450.8,0.12422360248446891
2012-08-31,1443.05,1626.0,1443.05,1598.05,10.741138560687434
2012-09-30,1614.0,1799.85,1500.1,1774.25,9.928748451053284
2012-10-31,1774.2,1849.95,1665.0,1732.4,-2.3559914327584237
2012-11-30,1740.0,1769.0,1635.15,1687.4,-3.0229885057471213
2012-12-31,1690.0,1854.6,1669.15,1699.95,0.5887573964497068
2013-01-31,1699.0,1700.0,1520.0,1534.7,-9.67039434961742
2013-02-28,1588.0,1588.0,1341.6,1520.35,-4.260075566750635
2013-03-31,1515.05,1569.7,1390.0,1470.1,-2.966898782218412
2013-04-30,1494.9,1529.9,1269.5,1361.0,-8.957120877650684
2013-05-31,1359.95,1498.0,1359.95,1440.3,5.908305452406331
2013-06-30,1470.0,1480.0,1410.0,1425.05,-3.057823129251704
2013-07-31,1594.95,1594.95,1230.0,1252.9,-21.44581334838082
