Date,Open,High,Low,Close,Returns%
2000-01-31,25.5,25.5,17.0,17.05,-33.13725490196078
2000-02-29,17.0,21.6,15.4,18.0,5.882352941176471
2000-03-31,19.05,19.1,12.85,14.5,-23.88451443569554
2000-04-30,14.4,15.5,11.4,13.25,-7.9861111111111125
2000-05-31,13.25,14.9,12.3,14.05,6.0377358490566095
2000-06-30,14.05,18.5,13.45,15.75,12.099644128113875
2000-07-31,15.5,17.0,14.0,15.85,2.25806451612903
2000-08-31,15.5,19.5,13.55,18.55,19.67741935483871
2000-09-30,17.5,22.9,15.75,16.4,-6.285714285714294
2000-10-31,16.3,18.4,14.0,17.4,6.7484662576686985
2000-11-30,20.0,27.2,17.65,24.9,24.499999999999993
2000-12-31,24.65,31.8,24.15,26.0,5.4766734279918925
2001-01-31,26.7,35.05,26.65,33.85,26.779026217228473
2001-02-28,34.85,48.2,32.25,43.2,23.959827833572454
2001-03-31,43.5,46.4,26.25,30.5,-29.885057471264368
2001-04-30,28.35,38.25,28.1,37.0,30.511463844797174
2001-05-31,39.95,47.0,33.7,43.4,8.635794743429274
2001-06-30,43.35,44.3,30.05,30.65,-29.2964244521338
2001-07-31,31.45,38.9,28.15,30.15,-4.1335453100159
2001-08-31,33.0,33.0,25.2,25.7,-22.121212121212125
2001-09-30,25.6,26.2,20.15,23.3,-8.984375000000002
2001-10-31,24.0,26.0,20.2,24.9,3.7499999999999942
2001-11-30,24.0,33.75,23.65,31.35,30.625000000000004
2001-12-31,32.4,32.5,25.3,30.25,-6.635802469135799
2002-01-31,30.35,41.7,29.2,34.75,14.49752883031301
2002-02-28,34.7,67.7,34.7,61.0,75.79250720461093
2002-03-31,60.1,71.0,60.1,68.8,14.47587354409317
2002-04-30,68.7,78.4,63.6,77.15,12.299854439592433
2002-05-31,78.05,108.8,78.05,97.75,25.240230621396545
2002-06-30,98.45,111.75,85.6,86.65,-11.985779583544945
2002-07-31,88.5,95.0,74.0,77.8,-12.090395480225991
2002-08-31,79.0,84.0,74.4,78.95,-0.06329113924050273
2002-09-30,81.05,88.4,65.0,73.2,-9.68537939543491
2002-10-31,71.9,78.4,64.0,64.15,-10.778859527121
2002-11-30,64.8,64.95,51.25,57.85,-10.725308641975301
2002-12-31,58.5,72.0,56.55,67.5,15.384615384615385
2003-01-31,66.5,67.25,56.15,62.2,-6.4661654135338305
2003-02-28,62.5,73.9,59.1,60.0,-4.0
2003-03-31,60.3,62.0,50.35,50.6,-16.086235489220556
2003-04-30,50.7,68.9,50.7,67.05,32.24852071005916
2003-05-31,66.7,79.5,66.1,78.5,17.691154422788603
2003-06-30,79.0,82.15,68.9,74.9,-5.189873417721512
2003-07-31,72.9,74.5,60.5,68.4,-6.172839506172839
2003-08-31,69.5,102.3,68.25,99.3,42.877697841726615
2003-09-30,99.85,111.85,92.25,107.35,7.511266900350527
2003-10-31,108.1,144.25,104.8,119.45,10.499537465309908
2003-11-30,120.9,172.85,117.25,167.4,38.46153846153846
