Date,Open,High,Low,Close,Returns%
2000-01-31,33.8,33.85,28.0,30.0,-11.24260355029585
2000-02-29,31.95,32.0,25.0,26.0,-18.622848200312987
2000-03-31,25.5,28.1,21.0,26.9,5.490196078431367
2000-04-30,26.5,27.4,22.5,25.55,-3.584905660377356
2000-05-31,24.25,27.5,22.5,25.9,6.804123711340201
2000-06-30,26.1,29.9,25.0,29.15,11.685823754789261
2000-07-31,28.0,28.0,20.45,22.35,-20.178571428571423
2000-08-31,23.75,24.8,20.75,21.15,-10.947368421052637
2000-09-30,21.5,22.4,15.35,20.55,-4.418604651162787
2000-10-31,20.25,21.5,15.35,20.5,1.2345679012345678
2000-11-30,19.9,23.75,19.9,22.5,13.065326633165835
2000-12-31,22.6,24.3,18.9,19.5,-13.71681415929204
2001-01-31,20.0,22.9,19.35,20.9,4.499999999999993
2001-02-28,20.1,21.5,18.4,20.0,-0.49751243781095233
2001-03-31,19.6,21.0,16.25,20.05,2.295918367346935
2001-04-30,20.05,23.65,19.4,22.0,9.725685785536156
2001-05-31,22.95,23.0,18.7,19.1,-16.775599128540296
2001-06-30,19.5,19.9,15.4,16.55,-15.128205128205126
2001-07-31,16.75,19.0,12.05,14.25,-14.925373134328359
2001-08-31,16.95,23.3,16.95,23.3,37.463126843657825
2001-09-30,21.0,23.0,20.0,23.0,9.523809523809524
2001-10-31,22.0,22.0,22.0,22.0,0.0
2001-11-30,17.0,17.15,15.6,15.6,-8.23529411764706
2001-12-31,16.0,18.0,16.0,18.0,12.5
2002-01-31,16.65,20.1,15.1,17.0,2.1021021021021107
2002-02-28,16.2,18.9,15.8,17.2,6.172839506172839
2002-03-31,18.0,19.0,16.0,17.6,-2.2222222222222143
2002-04-30,18.5,20.45,16.5,18.5,0.0
2002-05-31,17.5,22.5,16.55,19.0,8.571428571428571
2002-06-30,19.8,44.5,17.3,39.9,101.5151515151515
2002-07-31,40.2,56.0,28.5,31.05,-22.76119402985075
2002-08-31,31.05,34.8,27.3,30.4,-2.0933977455716652
2002-09-30,30.5,31.0,26.6,27.0,-11.475409836065573
2002-10-31,27.6,34.1,27.6,32.25,16.847826086956516
2002-11-30,32.5,32.5,28.2,31.2,-4.000000000000002
