Date,Open,High,Low,Close,Returns%
2000-01-31,523.0,564.8,439.8,442.35,-15.42065009560229
2000-02-29,436.0,468.0,385.0,412.6,-5.366972477064215
2000-03-31,405.0,444.0,270.0,283.8,-29.92592592592592
2000-04-30,285.0,325.15,257.15,308.45,8.228070175438594
2000-05-31,318.0,337.0,251.15,299.55,-5.801886792452827
2000-06-30,292.3,335.0,280.0,304.5,4.173794047211764
2000-07-31,312.0,395.9,305.15,360.4,15.512820512820507
2000-08-31,370.0,385.0,331.05,335.3,-9.378378378378375
2000-09-30,335.0,374.5,281.2,286.9,-14.358208955223885
2000-10-31,282.0,300.0,252.55,286.0,1.4184397163120568
2000-11-30,280.1,342.35,280.1,295.5,5.498036415565861
2000-12-31,299.9,325.0,278.0,288.2,-3.9013004334778225
2001-01-31,290.75,327.4,286.0,297.65,2.373172828890792
2001-02-28,296.0,325.0,272.0,293.85,-0.7263513513513437
2001-03-31,297.0,303.0,240.05,247.1,-16.801346801346803
2001-04-30,244.0,250.0,177.05,179.5,-26.434426229508198
2001-05-31,182.0,214.7,182.0,210.35,15.576923076923075
2001-06-30,210.9,219.95,198.65,203.05,-3.7221431958274036
2001-07-31,201.0,208.5,172.0,187.55,-6.6915422885572085
2001-08-31,185.1,193.25,179.1,187.05,1.0534846029173512
2001-09-30,186.1,207.0,177.0,199.2,7.03922622246104
2001-10-31,196.9,205.0,186.0,192.0,-2.488572879634335
2001-11-30,190.5,205.0,190.5,197.7,3.7795275590551123
2001-12-31,199.05,203.0,169.85,190.35,-4.370761115297673
2002-01-31,178.0,212.0,178.0,205.15,15.252808988764048
2002-02-28,206.0,299.0,204.0,255.45,24.004854368932033
2002-03-31,260.0,295.0,245.0,253.8,-2.38461538461538
2002-04-30,259.35,314.0,256.1,295.15,13.803740119529575
2002-05-31,299.0,327.0,275.6,278.25,-6.9397993311036785
2002-06-30,283.5,330.0,273.0,313.5,10.582010582010582
2002-07-31,313.7,344.5,292.05,294.55,-6.104558495377742
2002-08-31,304.0,304.0,287.1,295.05,-2.9440789473684172
2002-09-30,295.0,306.0,270.0,279.6,-5.22033898305084
2002-10-31,299.0,299.0,256.2,260.1,-13.010033444816045
2002-11-30,269.95,285.4,235.0,280.65,3.963696980922389
2002-12-31,285.0,311.5,263.15,310.35,8.89473684210527
2003-01-31,308.0,337.9,291.0,312.4,1.4285714285714213
2003-02-28,312.7,344.9,310.0,317.1,1.4070994563479482
2003-03-31,315.0,319.5,264.0,280.3,-11.015873015873012
2003-04-30,262.1,301.5,260.0,292.0,11.407859595574198
2003-05-31,295.0,375.0,293.0,359.5,21.864406779661017
2003-06-30,365.0,388.0,348.0,364.05,-0.2602739726027366
2003-07-31,369.7,393.0,344.0,374.35,1.2577765756018486
2003-08-31,378.0,423.0,366.5,415.9,10.02645502645502
2003-09-30,412.0,455.9,411.0,449.45,9.089805825242717
2003-10-31,450.0,570.0,447.5,564.05,25.344444444444438
2003-11-30,564.0,715.0,561.0,708.4,25.602836879432623
2003-12-31,705.0,1084.0,705.0,1070.0,51.773049645390074
2004-01-31,1070.0,1090.0,865.15,890.05,-16.817757009345797
2004-02-29,885.0,1012.0,875.0,994.55,12.378531073446323
2004-03-31,1015.0,1099.0,939.0,982.65,-3.187192118226603
2004-04-30,989.0,1130.0,973.0,1050.2,6.188068756319519
2004-05-31,1030.0,1115.0,750.0,778.4,-24.427184466019423
2004-06-30,810.0,930.0,758.0,880.75,8.734567901234568
2004-07-31,930.0,950.05,801.0,911.5,-1.989247311827957
2004-08-31,940.0,1025.0,920.0,1013.55,7.824468085106378
2004-09-30,997.0,1195.0,997.0,1123.3,12.668004012036105
2004-10-31,1080.0,1185.0,1080.0,1145.75,6.087962962962963
2004-11-30,1142.0,1325.0,1122.05,1275.0,11.646234676007005
2004-12-31,1275.0,1345.0,1205.0,1322.95,3.7607843137254937
2005-01-31,1322.95,1369.0,1212.6,1353.4,2.3016742885218675
2005-02-28,1359.9,1709.4,1335.0,1657.2,21.861901610412527
