Date,Open,High,Low,Close,Returns%
2000-01-31,920.0,970.0,870.5,896.0,-2.608695652173913
2000-02-29,890.0,1019.5,743.0,754.95,-15.174157303370782
2000-03-31,803.2,867.0,635.0,700.0,-12.848605577689247
2000-04-30,710.0,779.0,635.0,697.75,-1.7253521126760563
2000-05-31,695.0,710.0,407.0,515.0,-25.899280575539567
2000-06-30,519.0,558.75,400.0,554.6,6.85934489402698
2000-07-31,550.05,590.0,445.0,502.35,-8.67193891464411
2000-08-31,516.8,521.5,420.0,452.2,-12.499999999999995
2000-09-30,450.0,465.0,400.25,422.8,-6.0444444444444425
2000-10-31,434.0,434.0,345.0,401.0,-7.6036866359447
2000-11-30,396.0,440.0,375.0,381.85,-3.5732323232323173
2000-12-31,365.1,405.0,340.0,364.65,-0.12325390304027539
2001-01-31,373.4,389.0,347.0,369.05,-1.1649705409748168
2001-02-28,368.5,397.0,331.05,361.1,-2.0081411126187185
2001-03-31,348.0,364.95,316.05,331.25,-4.813218390804598
2001-04-30,319.0,337.75,285.0,304.05,-4.686520376175545
2001-05-31,305.0,355.3,289.0,324.0,6.229508196721311
2001-06-30,320.05,331.5,290.4,293.35,-8.342446492735506
2001-07-31,313.0,327.25,285.0,307.7,-1.6932907348242847
2001-08-31,310.0,320.65,270.15,300.0,-3.225806451612903
2001-09-30,315.0,315.5,255.0,269.2,-14.539682539682543
2001-10-31,280.0,280.1,25.25,26.6,-90.5
2001-11-30,27.0,37.0,26.0,31.3,15.925925925925927
2001-12-31,30.25,38.0,26.0,29.55,-2.314049586776857
2002-01-31,29.4,32.4,27.3,29.45,0.1700680272108868
2002-02-28,29.9,43.1,27.0,31.95,6.856187290969902
2002-03-31,31.0,36.5,31.0,32.3,4.193548387096765
2002-04-30,34.0,38.2,32.0,36.35,6.911764705882357
2002-05-31,38.75,38.75,31.5,31.75,-18.06451612903226
2002-06-30,32.5,46.75,32.0,44.5,36.92307692307692
2002-07-31,46.0,48.75,36.5,38.55,-16.19565217391305
2002-08-31,38.9,41.6,37.0,37.55,-3.4704370179948625
2002-09-30,38.0,38.45,33.8,34.15,-10.131578947368425
2002-10-31,34.15,38.0,33.0,35.5,3.9531478770131816
2002-11-30,35.75,44.75,34.5,43.6,21.95804195804196
2002-12-31,44.9,47.9,39.0,46.5,3.563474387527843
2003-01-31,47.3,47.9,40.0,40.9,-13.530655391120506
2003-02-28,41.25,53.0,41.0,45.5,10.303030303030303
2003-03-31,46.65,50.0,37.15,42.45,-9.003215434083591
2003-04-30,42.85,46.6,42.1,42.8,-0.116686114352402
2003-05-31,43.0,61.4,42.75,57.65,34.069767441860456
