Date,Open,High,Low,Close,Returns%
2000-01-31,19.95,20.0,15.0,18.35,-8.020050125313272
2000-02-29,17.75,29.3,16.0,18.1,1.971830985915501
2000-03-31,17.25,21.35,14.4,17.5,1.4492753623188406
2000-04-30,19.0,23.65,14.5,23.6,24.21052631578948
2000-05-31,23.9,25.5,14.3,17.4,-27.196652719665273
2000-06-30,17.5,18.75,16.25,17.7,1.1428571428571388
2000-07-31,17.8,23.0,15.55,19.7,10.674157303370778
2000-08-31,20.0,20.0,17.55,18.35,-8.249999999999993
2000-09-30,18.0,19.25,17.4,18.2,1.1111111111111072
2000-10-31,18.2,21.3,17.6,18.9,3.8461538461538423
2000-11-30,19.0,19.5,18.0,18.65,-1.8421052631579022
2000-12-31,18.6,26.5,18.1,23.95,28.763440860215038
2001-01-31,25.0,34.7,21.3,28.8,15.200000000000003
2001-02-28,28.55,35.95,27.1,29.9,4.728546409807348
2001-03-31,31.85,31.9,21.0,22.05,-30.76923076923077
2001-04-30,20.95,38.15,20.95,33.25,58.711217183770884
2001-05-31,34.4,37.8,30.55,31.35,-8.866279069767433
2001-06-30,30.8,34.25,27.5,28.75,-6.655844155844157
2001-07-31,29.0,31.0,26.5,28.4,-2.0689655172413843
2001-08-31,27.55,30.0,27.15,27.75,0.725952813067148
2001-09-30,28.45,28.5,21.65,26.15,-8.084358523725838
2001-10-31,24.25,26.7,23.15,24.7,1.8556701030927805
2001-11-30,25.1,27.95,24.3,25.0,-0.3984063745019977
2001-12-31,24.5,26.5,21.2,23.05,-5.918367346938773
2002-01-31,23.9,27.9,19.9,24.8,3.765690376569047
2002-02-28,20.1,42.4,20.1,33.85,68.40796019900498
2002-03-31,34.75,51.9,34.0,43.95,26.474820143884898
2002-04-30,46.3,46.3,41.6,42.85,-7.451403887688976
2002-05-31,43.7,44.45,30.0,35.9,-17.848970251716256
2002-06-30,36.2,42.9,36.05,39.1,8.011049723756903
2002-07-31,39.5,42.7,34.0,34.65,-12.278481012658231
2002-08-31,35.0,37.35,33.15,35.45,1.2857142857142938
2002-09-30,36.0,36.0,31.7,32.2,-10.555555555555548
2002-10-31,32.05,33.5,28.0,31.05,-3.120124804992189
2002-11-30,31.45,33.75,28.6,32.75,4.1335453100159
2002-12-31,33.35,37.5,32.1,36.4,9.145427286356812
2003-01-31,36.55,44.1,34.5,36.65,0.27359781121751414
2003-02-28,37.2,39.25,34.55,38.2,2.6881720430107525
2003-03-31,39.45,39.9,34.35,35.65,-9.632446134347285
2003-04-30,36.0,42.0,35.65,39.15,8.749999999999996
2003-05-31,41.0,58.5,39.7,55.0,34.146341463414636
2003-06-30,54.0,54.5,44.8,50.2,-7.037037037037032
2003-07-31,50.75,57.05,47.15,53.4,5.221674876847288
2003-08-31,53.95,62.0,43.9,56.4,4.541241890639473
2003-09-30,52.0,61.0,51.75,55.55,6.826923076923071
2003-10-31,53.0,65.95,53.0,64.45,21.603773584905664
2003-11-30,65.0,70.0,57.2,62.7,-3.538461538461534
2003-12-31,63.0,83.15,62.1,79.05,25.47619047619047
2004-01-31,79.9,94.9,73.2,76.4,-4.380475594493116
2004-02-29,77.7,80.0,67.15,69.25,-10.875160875160878
2004-03-31,80.0,80.0,62.55,72.05,-9.937500000000004
2004-04-30,73.0,93.4,72.1,77.75,6.506849315068493
2004-05-31,78.0,82.0,50.35,54.25,-30.44871794871795
2004-06-30,56.0,58.0,43.5,50.85,-9.19642857142857
2004-07-31,50.9,54.5,44.9,47.0,-7.662082514734772
2004-08-31,46.5,47.0,41.6,43.2,-7.096774193548381
2004-09-30,43.2,50.4,42.5,47.55,10.06944444444443
2004-10-31,47.5,50.45,43.5,44.8,-5.684210526315796
2004-11-30,44.1,53.7,41.7,48.8,10.657596371882075
2004-12-31,49.1,76.3,47.0,73.85,50.40733197556006
2005-01-31,74.5,74.95,60.5,66.1,-11.275167785234906
2005-02-28,66.1,69.9,62.7,65.45,-0.9833585476550553
2005-03-31,67.0,73.5,58.8,64.0,-4.477611940298507
2005-04-30,64.6,69.0,54.0,61.3,-5.108359133126931
2005-05-31,61.5,72.4,54.8,55.0,-10.56910569105691
2005-06-30,55.6,60.75,55.0,55.6,0.0
2005-07-31,56.0,66.7,55.15,61.25,9.375
2005-08-31,61.85,85.7,61.0,74.5,20.452708164915112
2005-09-30,75.6,78.9,66.65,73.55,-2.711640211640208
2005-10-31,74.0,79.4,56.1,58.35,-21.148648648648646
2005-11-30,59.8,70.0,58.45,66.05,10.45150501672241
2005-12-31,65.1,68.45,59.0,64.9,-0.3072196620583543
2006-01-31,65.85,80.9,64.55,70.4,6.909643128321962
2006-02-28,70.8,74.85,66.6,67.8,-4.237288135593221
2006-03-31,68.05,68.75,60.5,61.25,-9.99265246142542
2006-04-30,61.7,66.0,57.55,65.5,6.158833063209071
2006-05-31,67.0,74.65,52.0,64.5,-3.7313432835820897
2006-06-30,64.0,65.8,50.0,54.3,-15.156250000000004
2006-07-31,55.0,66.0,53.3,61.75,12.272727272727273
2006-08-31,60.3,73.8,60.2,68.75,14.01326699834163
2006-09-30,68.2,71.8,65.0,69.55,1.979472140762455
2006-10-31,70.0,80.0,67.0,74.7,6.714285714285718
2006-11-30,74.7,77.0,68.65,75.55,1.1378848728246242
2006-12-31,76.05,87.0,61.6,85.2,12.031558185404347
2007-01-31,86.5,105.5,84.4,98.0,13.294797687861271
2007-02-28,98.25,105.9,87.5,96.9,-1.3740458015267119
2007-03-31,97.0,100.5,86.0,98.7,1.7525773195876317
2007-04-30,90.9,107.45,90.9,105.0,15.511551155115505
2007-05-31,107.8,110.5,98.5,100.75,-6.539888682745824
2007-06-30,100.65,129.0,96.3,127.5,26.676602086438145
2007-07-31,128.75,161.9,128.1,153.8,19.456310679611658
2007-08-31,153.0,158.0,128.1,152.2,-0.5228758169934715
2007-09-30,154.9,178.0,152.5,163.5,5.551969012265975
2007-10-31,164.8,178.7,146.1,165.05,0.15169902912621358
2007-11-30,166.5,191.9,155.0,177.8,6.786786786786793
2007-12-31,175.15,231.9,169.05,221.9,26.691407365115616
2008-01-31,224.95,286.8,153.5,187.05,-16.848188486330287
2008-02-29,188.0,214.2,173.1,181.95,-3.218085106382985
2008-03-31,180.0,180.0,128.4,139.8,-22.33333333333333
2008-04-30,142.0,169.9,134.5,159.4,12.253521126760566
2008-05-31,161.95,170.95,135.2,137.25,-15.251620870639082
2008-06-30,138.0,145.95,99.95,100.7,-27.028985507246375
2008-07-31,101.0,119.0,87.0,104.2,3.168316831683171
2008-08-31,104.0,123.0,102.9,112.6,8.269230769230763
2008-09-30,112.9,117.0,91.5,103.4,-8.41452612931798
2008-10-31,104.85,108.0,54.95,64.9,-38.102050548402474
2008-11-30,67.0,81.0,51.1,53.6,-19.999999999999996
2008-12-31,53.05,58.0,50.0,56.9,7.257304429783226
