Date,Open,High,Low,Close,Returns%
2000-01-31,6.0,6.0,3.6,4.0,-33.333333333333336
2000-02-29,4.15,5.2,4.0,4.2,1.2048192771084294
2000-03-31,4.25,5.5,3.0,3.05,-28.23529411764706
2000-04-30,4.45,4.75,2.55,2.55,-42.69662921348315
2000-05-31,2.5,3.5,2.5,3.0,20.0
2000-06-30,4.35,4.4,3.1,3.1,-28.735632183908038
2000-07-31,3.5,4.5,3.0,4.5,28.571428571428573
2000-08-31,4.0,6.0,3.0,4.05,1.2499999999999956
2000-09-30,3.05,7.25,3.05,5.8,90.16393442622952
2000-10-31,6.75,6.75,4.05,5.1,-24.44444444444445
2000-11-30,5.1,7.2,3.6,5.7,11.764705882352953
2000-12-31,5.0,9.4,4.1,5.5,10.0
2001-01-31,6.5,7.0,5.0,6.0,-7.6923076923076925
2001-02-28,6.0,7.0,5.5,7.0,16.666666666666668
2001-03-31,7.0,7.0,5.8,6.4,-8.571428571428566
2001-04-30,6.4,8.0,5.75,6.1,-4.687500000000011
2001-05-31,6.6,7.75,6.0,7.6,15.151515151515152
2001-06-30,7.8,9.85,7.15,9.5,21.7948717948718
2001-07-31,9.0,12.5,8.25,8.95,-0.5555555555555635
2001-08-31,8.75,9.0,6.5,6.5,-25.714285714285715
2001-09-30,7.0,8.0,5.7,6.75,-3.5714285714285716
2001-10-31,6.75,9.0,6.7,8.25,22.22222222222222
2001-11-30,8.25,10.5,8.0,9.8,18.787878787878796
2001-12-31,9.7,9.9,8.5,9.0,-7.216494845360818
2002-01-31,9.25,10.6,8.15,9.55,3.243243243243251
2002-02-28,10.0,12.0,9.1,9.9,-0.9999999999999964
2002-03-31,9.6,10.75,8.4,9.0,-6.2499999999999964
2002-04-30,9.1,10.5,8.5,9.0,-1.098901098901095
2002-05-31,9.7,14.25,9.25,10.45,7.731958762886599
2002-06-30,10.3,12.95,9.35,12.1,17.475728155339795
2002-07-31,12.0,18.0,11.05,11.95,-0.41666666666667257
2002-08-31,11.8,13.7,10.35,10.5,-11.016949152542377
2002-09-30,11.25,12.35,10.65,11.65,3.555555555555559
2002-10-31,11.55,12.65,11.0,11.2,-3.0303030303030423
2002-11-30,11.25,13.5,10.95,13.2,17.33333333333333
2002-12-31,13.55,15.5,10.5,11.8,-12.915129151291513
2003-01-31,11.6,12.4,11.5,11.55,-0.4310344827586115
2003-02-28,11.7,13.7,11.4,12.75,8.974358974358982
2003-03-31,12.5,14.9,12.5,14.05,12.400000000000004
2003-04-30,14.1,14.95,14.0,14.15,0.35460992907801925
2003-05-31,14.05,17.5,14.05,15.0,6.761565836298927
2003-06-30,18.0,19.0,14.75,17.85,-0.8333333333333255
2003-07-31,17.6,17.75,14.75,15.6,-11.363636363636372
2003-08-31,15.8,19.95,15.6,16.7,5.69620253164556
2003-09-30,16.7,17.7,15.1,15.45,-7.485029940119761
2003-10-31,15.35,18.4,15.1,17.95,16.938110749185665
2003-11-30,17.8,20.9,16.5,19.15,7.5842696629213355
2003-12-31,19.5,36.6,19.4,36.45,86.92307692307693
2004-01-31,36.55,40.45,24.25,25.9,-29.13816689466484
2004-02-29,25.55,26.1,20.0,20.4,-20.15655577299414
2004-03-31,20.35,26.7,18.45,25.2,23.83292383292382
2004-04-30,26.0,28.5,23.9,24.5,-5.769230769230769
2004-05-31,24.25,26.0,20.0,20.8,-14.226804123711338
2004-06-30,21.25,26.75,20.85,25.3,19.058823529411768
2004-07-31,25.85,26.25,24.5,25.0,-3.2882011605415915
2004-08-31,26.0,27.75,24.5,26.4,1.538461538461533
2004-09-30,26.95,31.45,26.5,29.3,8.71985157699444
2004-10-31,29.2,32.4,27.25,29.15,-0.1712328767123312
2004-11-30,29.6,34.7,28.3,31.95,7.9391891891891815
2004-12-31,31.75,36.35,31.0,35.5,11.811023622047244
2005-01-31,35.8,43.0,34.25,36.65,2.374301675977658
2005-02-28,36.55,49.85,36.0,42.75,16.963064295485644
2005-03-31,42.95,64.8,42.3,55.35,28.870779976717106
2005-04-30,55.0,60.45,50.5,55.15,0.27272727272727015
2005-05-31,54.6,61.5,52.3,55.0,0.73260073260073
