Date,Open,High,Low,Close,Returns%
2000-01-31,145.0,170.5,127.4,130.0,-10.344827586206897
2000-02-29,131.9,162.5,113.8,121.15,-8.150113722517059
2000-03-31,122.0,131.0,102.0,118.0,-3.278688524590164
2000-04-30,116.5,140.0,115.0,124.0,6.437768240343348
2000-05-31,130.0,133.9,103.0,112.1,-13.769230769230774
2000-06-30,111.0,120.0,102.0,111.25,0.22522522522522523
2000-07-31,106.1,118.0,100.0,105.0,-1.0367577756833124
2000-08-31,104.95,140.0,104.95,130.5,24.34492615531205
2000-09-30,129.0,135.0,102.0,103.75,-19.573643410852714
2000-10-31,100.5,109.0,84.5,84.5,-15.92039800995025
2000-11-30,81.25,100.75,77.8,95.15,17.107692307692314
2000-12-31,95.0,109.1,90.1,94.0,-1.0526315789473684
2001-01-31,99.55,104.0,91.0,96.5,-3.063787041687591
2001-02-28,94.5,120.05,92.0,99.75,5.555555555555555
2001-03-31,107.75,107.75,74.0,86.1,-20.09280742459397
2001-04-30,80.6,87.95,77.0,83.85,4.032258064516129
2001-05-31,84.9,88.85,79.85,84.0,-1.0600706713780985
2001-06-30,84.9,91.5,78.0,82.0,-3.4157832744405248
2001-07-31,88.0,88.0,71.0,72.0,-18.181818181818183
2001-08-31,73.0,90.0,73.0,88.15,20.753424657534254
2001-09-30,81.25,95.7,81.25,84.1,3.5076923076923006
2001-10-31,84.25,96.0,82.9,92.0,9.198813056379821
2001-11-30,92.5,99.5,90.5,95.0,2.7027027027027026
2001-12-31,95.0,98.7,92.0,94.0,-1.0526315789473684
2002-01-31,94.0,98.7,92.0,96.45,2.606382978723407
2002-02-28,96.0,119.0,94.05,94.55,-1.5104166666666696
2002-03-31,95.0,114.0,90.0,100.1,5.3684210526315725
2002-04-30,100.0,187.65,97.0,170.7,70.69999999999999
2002-05-31,176.0,188.9,110.0,133.45,-24.17613636363637
2002-06-30,136.5,148.0,121.7,129.3,-5.274725274725267
2002-07-31,128.55,171.9,113.55,118.0,-8.20692337611825
2002-08-31,118.0,119.55,110.6,117.4,-0.5084745762711816
2002-09-30,117.0,123.8,115.0,118.5,1.2820512820512822
2002-10-31,119.7,121.45,101.55,113.35,-5.304928989139523
2002-11-30,111.0,117.0,105.0,108.7,-2.0720720720720696
2002-12-31,110.0,119.0,110.0,112.3,2.090909090909088
2003-01-31,112.15,115.4,102.1,108.0,-3.700401248328137
2003-02-28,108.0,111.9,107.1,109.1,1.0185185185185133
2003-03-31,109.0,110.0,102.55,106.55,-2.2477064220183514
2003-04-30,105.0,111.75,98.0,106.55,1.4761904761904734
2003-05-31,108.0,134.0,105.25,130.35,20.69444444444444
2003-06-30,143.0,145.75,126.1,137.25,-4.020979020979021
2003-07-31,135.0,165.0,130.1,143.95,6.629629629629621
2003-08-31,145.25,154.0,132.0,144.05,-0.8261617900172039
2003-09-30,138.4,146.0,130.55,137.2,-0.8670520231213996
2003-10-31,138.95,214.4,137.3,177.0,27.383951061532933
2003-11-30,183.0,193.0,140.7,169.65,-7.295081967213112
2003-12-31,173.9,229.4,173.9,199.65,14.807360552041402
2004-01-31,202.0,310.0,202.0,257.45,27.450495049504944
2004-02-29,257.0,262.0,221.55,254.9,-0.8171206225680911
2004-03-31,250.4,262.0,211.0,222.0,-11.341853035143771
2004-04-30,231.9,248.0,215.0,220.15,-5.066839154808107
2004-05-31,217.6,240.0,178.2,198.6,-8.731617647058824
2004-06-30,202.0,209.0,194.5,197.1,-2.4257425742574283
2004-07-31,198.0,228.9,196.3,212.9,7.525252525252528
2004-08-31,214.55,246.0,196.0,221.4,3.1927289676066155
2004-09-30,221.0,268.5,215.1,247.25,11.877828054298643
2004-10-31,254.9,255.0,223.6,227.15,-10.88662220478619
2004-11-30,226.05,275.0,220.15,244.0,7.940721079407205
2004-12-31,242.0,283.5,235.0,261.7,8.14049586776859
2005-01-31,267.0,289.0,240.1,280.85,5.187265917603005
2005-02-28,290.0,299.0,261.65,270.25,-6.810344827586207
2005-03-31,266.05,329.0,265.0,281.4,5.769592181920679
2005-04-30,281.0,294.95,275.25,281.45,0.16014234875444436
2005-05-31,281.0,329.5,266.2,308.0,9.608540925266905
2005-06-30,305.15,354.0,293.0,301.6,-1.163362280845471
2005-07-31,300.0,342.0,300.0,329.85,9.950000000000008
2005-08-31,325.5,355.0,320.0,339.75,4.377880184331797
2005-09-30,342.0,408.85,340.0,391.25,14.400584795321638
2005-10-31,399.0,400.0,340.0,363.25,-8.959899749373433
2005-11-30,385.0,397.0,355.55,383.0,-0.5194805194805194
2005-12-31,376.0,454.0,362.7,400.25,6.449468085106383
2006-01-31,450.0,457.0,400.0,405.05,-9.988888888888887
2006-02-28,408.0,412.7,370.0,402.75,-1.286764705882353
2006-03-31,403.5,449.0,372.0,388.0,-3.841387856257745
2006-04-30,384.05,424.0,362.15,395.85,3.0725165994011223
2006-05-31,400.0,439.0,305.2,371.7,-7.075000000000002
2006-06-30,390.0,410.0,329.0,351.35,-9.910256410256405
2006-07-31,356.0,390.0,320.1,334.1,-6.151685393258421
2006-08-31,335.0,388.0,320.5,343.25,2.462686567164179
2006-09-30,346.0,367.0,338.2,353.95,2.297687861271673
2006-10-31,361.0,434.95,341.0,430.0,19.113573407202217
2006-11-30,428.0,429.95,382.8,400.8,-6.355140186915886
2006-12-31,424.0,449.9,386.6,411.25,-3.0070754716981134
2007-01-31,409.9,449.9,408.55,429.45,4.769455964869484
2007-02-28,430.0,438.0,350.0,413.25,-3.895348837209302
2007-03-31,415.0,419.75,354.8,395.6,-4.674698795180717
2007-04-30,378.2,419.0,373.1,399.0,5.499735589635116
2007-05-31,400.0,461.0,375.5,446.2,11.549999999999997
2007-06-30,435.1,464.0,410.0,432.3,-0.6435302229372584
2007-07-31,425.0,540.0,425.0,496.3,16.776470588235295
2007-08-31,500.0,515.0,437.0,462.6,-7.479999999999995
2007-09-30,460.0,530.0,447.0,474.75,3.2065217391304346
2007-10-31,475.0,657.0,427.3,592.85,24.810526315789478
2007-11-30,610.0,799.0,594.0,629.95,3.270491803278696
2007-12-31,627.0,760.0,610.0,743.1,18.516746411483258
2008-01-31,761.0,949.0,593.0,700.3,-7.976346911957956
2008-02-29,710.0,745.0,616.2,663.65,-6.52816901408451
2008-03-31,620.0,674.4,530.3,576.8,-6.967741935483878
2008-04-30,620.0,677.85,556.1,617.15,-0.45967741935484235
2008-05-31,619.0,670.0,556.6,623.65,0.7512116316639704
2008-06-30,602.0,663.7,562.2,574.45,-4.576411960132883
2008-07-31,586.7,587.6,545.0,568.2,-3.1532299301176065
2008-08-31,574.0,648.0,275.0,279.5,-51.30662020905923
2008-09-30,287.0,300.0,215.2,240.0,-16.37630662020906
