Date,Open,High,Low,Close,Returns%
2000-01-31,715.0,840.0,700.0,775.35,8.440559440559444
2000-02-29,775.0,775.0,570.0,600.0,-22.580645161290324
2000-03-31,609.9,610.0,495.0,570.0,-6.542056074766352
2000-04-30,550.0,595.0,490.0,565.0,2.727272727272727
2000-05-31,563.0,605.0,495.05,550.0,-2.3090586145648313
2000-06-30,550.0,595.0,496.0,507.1,-7.799999999999996
2000-07-31,525.0,562.0,440.0,444.05,-15.419047619047618
2000-08-31,460.0,485.0,375.0,385.0,-16.304347826086957
2000-09-30,386.1,425.0,372.1,390.0,1.0101010101010042
2000-10-31,384.95,399.75,285.3,313.0,-18.69073905702039
2000-11-30,318.9,340.0,310.0,333.0,4.4214487300094145
2000-12-31,336.0,400.0,325.0,340.0,1.1904761904761905
2001-01-31,330.1,350.0,300.0,309.9,-6.119357770372628
2001-02-28,309.9,327.7,288.0,300.0,-3.1945788964181925
2001-03-31,306.1,306.1,210.0,215.0,-29.761515844495268
2001-04-30,210.0,210.0,176.0,185.7,-11.571428571428577
2001-05-31,198.9,215.0,191.0,198.5,-0.2011060834590275
2001-06-30,198.35,204.9,171.05,177.5,-10.51172170405848
2001-07-31,179.9,214.0,145.0,165.6,-7.948860478043364
2001-08-31,161.5,198.6,151.0,169.4,4.891640866873068
2001-09-30,170.0,179.95,147.75,162.9,-4.176470588235291
2001-10-31,163.95,209.0,151.0,169.05,3.110704483074122
2001-11-30,170.1,238.9,170.0,213.55,25.54379776602
2001-12-31,219.0,243.0,190.0,207.0,-5.47945205479452
2002-01-31,214.95,248.95,203.1,214.8,-0.0697836706210641
2002-02-28,216.25,275.0,210.0,237.45,9.80346820809248
2002-03-31,235.0,275.0,229.3,236.35,0.5744680851063806
2002-04-30,243.85,330.0,229.0,318.2,30.490055361902805
2002-05-31,320.0,330.55,237.0,265.7,-16.968750000000004
2002-06-30,265.45,310.0,256.6,297.75,12.168016575626298
2002-07-31,298.0,328.0,280.0,293.3,-1.5771812080536876
2002-08-31,293.95,305.0,264.0,280.0,-4.745705051879567
2002-09-30,289.0,293.0,276.7,284.0,-1.7301038062283738
2002-10-31,281.0,295.0,276.55,294.9,4.946619217081842
2002-11-30,294.0,317.5,285.1,306.95,4.404761904761901
2002-12-31,310.0,335.0,307.5,329.55,6.3064516129032295
2003-01-31,330.0,361.0,320.5,337.4,2.2424242424242355
2003-02-28,339.95,347.5,320.15,342.15,0.6471539932342958
2003-03-31,339.5,370.0,317.25,333.95,-1.6347569955817411
2003-04-30,321.15,375.0,320.0,359.45,11.92589132803986
2003-05-31,369.0,478.0,366.0,466.25,26.355013550135503
2003-06-30,470.0,489.0,426.4,480.2,2.1702127659574444
2003-07-31,489.0,516.0,460.55,485.1,-0.797546012269934
2003-08-31,486.05,548.0,484.0,539.45,10.986524020162541
2003-09-30,541.0,650.0,500.05,607.1,12.218114602587804
2003-10-31,604.0,848.0,604.0,791.5,31.043046357615893
2003-11-30,837.9,940.0,740.0,919.6,9.750566893424041
2003-12-31,922.4,1235.0,922.4,1062.55,15.194058976582825
2004-01-31,1097.0,1290.75,107.0,110.8,-89.89972652689153
2004-02-29,109.9,112.0,89.1,93.2,-15.195632393084624
2004-03-31,95.0,102.9,86.1,87.05,-8.36842105263158
2004-04-30,88.5,105.75,87.5,95.9,8.36158192090396
2004-05-31,94.75,104.85,81.85,93.2,-1.6358839050131897
2004-06-30,93.95,104.0,81.5,96.15,2.341671101649817
2004-07-31,99.75,101.0,83.95,85.25,-14.536340852130326
2004-08-31,87.7,116.5,85.3,112.55,28.335233751425307
2004-09-30,114.25,120.8,107.25,108.7,-4.857768052516409
2004-10-31,110.0,118.9,105.25,108.65,-1.2272727272727222
2004-11-30,108.1,116.05,102.5,110.05,1.8038852913968575
2004-12-31,110.1,123.8,105.35,118.4,7.538601271571309
2005-01-31,119.0,121.6,103.0,114.15,-4.075630252100836
2005-02-28,116.8,135.35,112.0,114.7,-1.7979452054794471
2005-03-31,116.0,122.0,105.0,109.45,-5.646551724137929
2005-04-30,110.0,128.0,106.1,117.3,6.636363636363634
2005-05-31,118.5,143.75,117.5,132.7,11.983122362869189
2005-06-30,133.5,138.6,122.0,127.05,-4.831460674157305
2005-07-31,127.9,138.9,122.5,132.65,3.713838936669273
2005-08-31,136.0,157.0,131.05,155.25,14.154411764705882
2005-09-30,158.5,160.0,136.1,146.1,-7.8233438485804445
2005-10-31,145.0,159.0,135.0,143.3,-1.1724137931034404
2005-11-30,147.75,167.8,139.5,164.0,10.998307952622673
2005-12-31,166.0,167.0,147.55,158.9,-4.277108433734936
2006-01-31,159.8,172.2,152.0,152.95,-4.286608260325421
2006-02-28,154.5,177.5,145.0,154.0,-0.32362459546925565
2006-03-31,154.0,173.7,154.0,169.3,9.935064935064942
2006-04-30,170.1,175.0,156.0,161.2,-5.232216343327458
2006-05-31,162.0,175.0,130.0,150.65,-7.00617283950617
2006-06-30,153.0,153.0,105.0,117.9,-22.941176470588232
2006-07-31,116.9,118.0,100.1,108.05,-7.570573139435422
2006-08-31,109.4,142.4,103.0,133.8,22.30347349177331
2006-09-30,133.1,144.7,131.35,138.2,3.8317054845980425
2006-10-31,138.5,162.5,136.3,155.8,12.490974729241886
2006-11-30,155.0,177.0,144.35,170.3,9.870967741935491
2006-12-31,156.0,190.0,156.0,180.25,15.544871794871796
2007-01-31,184.9,187.8,74.0,77.85,-57.89616008653327
2007-02-28,78.25,80.0,65.0,67.6,-13.61022364217253
2007-03-31,68.0,70.8,59.6,63.75,-6.25
2007-04-30,63.0,70.0,62.0,64.95,3.0952380952381
2007-05-31,65.7,69.95,64.05,67.1,2.130898021308967
2007-06-30,67.5,68.0,59.75,63.0,-6.666666666666667
2007-07-31,64.5,65.0,53.25,56.7,-12.09302325581395
2007-08-31,55.1,57.0,50.1,52.3,-5.081669691470062
2007-09-30,54.0,57.0,50.15,53.25,-1.3888888888888888
2007-10-31,53.75,58.0,46.25,49.2,-8.465116279069763
2007-11-30,49.8,54.95,45.75,49.35,-0.9036144578313168
2007-12-31,50.8,66.45,49.5,64.95,27.85433070866143
2008-01-31,66.5,69.9,35.8,40.6,-38.94736842105263
2008-02-29,41.4,44.5,36.1,39.9,-3.6231884057971016
2008-03-31,39.0,43.0,30.0,32.35,-17.051282051282048
2008-04-30,32.1,36.5,28.1,33.5,4.361370716510899
2008-05-31,34.0,39.9,30.75,31.15,-8.382352941176475
2008-06-30,31.5,33.55,24.0,24.15,-23.333333333333336
2008-07-31,25.35,25.35,21.0,23.5,-7.297830374753457
2008-08-31,23.5,30.0,23.5,26.95,14.680851063829785
2008-09-30,27.0,29.45,23.5,26.2,-2.9629629629629655
2008-10-31,27.0,27.15,17.5,18.35,-32.03703703703703
2008-11-30,19.05,22.2,15.75,16.25,-14.698162729658796
2008-12-31,16.05,20.6,15.6,16.85,4.984423676012465
2009-01-31,16.9,20.5,14.65,15.1,-10.650887573964491
2009-02-28,15.1,16.25,13.9,14.05,-6.953642384105953
2009-03-31,14.0,16.0,13.0,14.85,6.071428571428569
2009-04-30,15.25,25.3,14.8,20.25,32.78688524590164
2009-05-31,20.95,31.5,20.0,31.0,47.97136038186158
2009-06-30,32.0,36.85,25.2,26.35,-17.656249999999996
2009-07-31,25.8,39.9,23.8,37.7,46.124031007751945
2009-08-31,37.95,41.0,33.0,37.95,0.0
2009-09-30,37.85,43.8,36.1,41.0,8.322324966974898
2009-10-31,40.55,48.1,37.1,47.2,16.39950678175094
2009-11-30,46.95,53.9,45.1,53.05,12.992545260915856
