Date,Open,High,Low,Close,Returns%
2000-01-31,1800.0,2099.6,1361.0,1938.9,7.716666666666672
2000-02-29,1970.0,3107.0,1950.0,2665.15,35.28680203045686
2000-03-31,2610.0,2778.0,570.0,633.15,-75.74137931034483
2000-04-30,648.4,655.0,366.2,369.2,-43.059839605181985
2000-05-31,346.0,498.7,286.0,443.6,28.208092485549138
2000-06-30,425.0,649.0,420.0,540.05,27.07058823529411
2000-07-31,557.0,649.0,531.25,607.1,8.994614003590668
2000-08-31,610.0,635.0,556.0,561.95,-7.8770491803278615
2000-09-30,567.0,588.8,427.0,435.05,-23.2716049382716
2000-10-31,421.0,556.0,411.75,544.0,29.216152019002376
2000-11-30,555.0,586.9,500.0,505.7,-8.882882882882884
2000-12-31,501.1,603.0,493.0,537.9,7.343843544202745
2001-01-31,540.0,616.0,520.0,606.4,12.296296296296292
2001-02-28,603.05,632.65,571.65,589.85,-2.188873227758881
2001-03-31,582.0,620.35,431.0,543.45,-6.623711340206178
2001-04-30,531.0,564.9,472.05,550.65,3.700564971751408
2001-05-31,563.9,647.0,540.0,598.45,6.126972867529716
2001-06-30,600.0,614.85,515.5,519.7,-13.383333333333326
2001-07-31,515.0,635.0,492.35,598.8,16.27184466019417
2001-08-31,599.5,600.0,522.6,536.1,-10.575479566305251
2001-09-30,544.0,602.0,486.4,536.2,-1.4338235294117563
2001-10-31,539.0,584.0,506.0,554.35,2.847866419294995
2001-11-30,560.0,606.0,558.65,572.0,2.142857142857143
2001-12-31,575.5,600.0,541.1,573.2,-0.39965247610772453
2002-01-31,577.0,691.7,551.25,619.8,7.417677642980928
2002-02-28,613.35,667.0,606.0,631.95,3.03252629004647
2002-03-31,639.0,675.0,630.0,667.75,4.499217527386541
2002-04-30,684.3,704.0,580.0,629.95,-7.942422913926627
2002-05-31,622.0,648.7,550.0,559.35,-10.072347266881026
2002-06-30,570.0,605.0,494.0,560.5,-1.6666666666666667
2002-07-31,550.1,570.0,525.15,547.3,-0.5089983639338426
2002-08-31,558.9,599.75,500.0,592.55,6.020755054571476
2002-09-30,592.0,630.0,555.1,560.35,-5.34628378378378
2002-10-31,560.0,598.0,510.0,554.9,-0.9107142857142898
2002-11-30,541.55,565.0,522.0,562.15,3.803896223802054
2002-12-31,563.05,614.0,541.15,601.0,6.740076369771788
2003-01-31,595.1,633.9,275.1,290.25,-51.22668459082507
2003-02-28,290.8,327.45,270.25,281.05,-3.3528198074277853
2003-03-31,284.0,290.0,256.0,271.4,-4.436619718309867
2003-04-30,289.0,299.8,270.75,278.7,-3.564013840830454
2003-05-31,279.95,306.2,266.0,296.05,5.751026969101634
2003-06-30,297.7,362.9,293.05,350.25,17.65199865636547
2003-07-31,350.0,404.9,322.0,401.0,14.571428571428571
2003-08-31,402.0,514.0,371.0,504.95,25.609452736318403
2003-09-30,514.4,540.0,408.45,492.05,-4.344867807153959
2003-10-31,496.2,550.95,482.0,536.6,8.141878274889166
2003-11-30,535.1,618.0,524.0,599.1,11.960381237151934
2003-12-31,610.0,693.0,590.1,595.65,-2.3524590163934462
2004-01-31,602.0,648.7,585.0,610.75,1.4534883720930232
2004-02-29,600.0,725.0,600.0,650.4,8.399999999999997
2004-03-31,664.4,703.5,591.0,651.5,-1.9416014449127
2004-04-30,640.0,837.45,634.0,751.8,17.468749999999993
2004-05-31,748.0,775.0,358.1,387.15,-48.24197860962567
2004-06-30,394.6,419.5,346.2,366.8,-7.045108971109987
2004-07-31,366.6,374.0,332.0,355.3,-3.082378614293511
2004-08-31,359.9,423.5,348.5,387.1,7.557654904140052
2004-09-30,389.45,447.0,374.0,427.7,9.82154320195147
2004-10-31,429.95,454.75,411.15,441.9,2.7793929526689123
2004-11-30,446.9,543.85,442.0,496.4,11.076303423584696
2004-12-31,507.0,575.0,483.4,555.6,9.585798816568051
2005-01-31,567.0,567.0,432.5,496.85,-12.372134038800702
2005-02-28,496.85,510.0,461.1,476.4,-4.115930361276048
