Date,Open,High,Low,Close,Returns%
2000-01-31,285.0,320.0,273.1,283.6,-0.49122807017543063
2000-02-29,280.0,290.0,230.0,270.8,-3.2857142857142816
2000-03-31,269.8,280.0,178.0,182.4,-32.394366197183096
2000-04-30,173.25,186.5,160.0,174.45,0.6926406926406861
2000-05-31,175.0,175.0,125.0,162.75,-7.0
2000-06-30,162.0,162.95,135.1,143.0,-11.728395061728396
2000-07-31,140.0,145.0,123.0,130.65,-6.678571428571424
2000-08-31,129.0,132.0,115.0,131.5,1.937984496124031
2000-09-30,126.15,156.8,113.0,118.25,-6.262386048355137
2000-10-31,115.05,118.5,87.55,110.0,-4.389395914819641
2000-11-30,109.0,123.0,99.0,110.35,1.238532110091738
2000-12-31,109.0,124.05,99.0,112.8,3.486238532110089
2001-01-31,115.4,122.2,102.0,104.9,-9.098786828422876
2001-02-28,100.5,112.0,89.0,92.3,-8.159203980099505
2001-03-31,94.5,95.3,56.0,59.0,-37.56613756613756
2001-04-30,58.9,60.0,47.3,48.2,-18.166383701188447
2001-05-31,50.35,57.9,43.55,54.2,7.646474677259188
2001-06-30,54.0,55.9,41.0,47.9,-11.296296296296298
2001-07-31,50.0,54.5,45.1,49.0,-2.0
2001-08-31,49.0,52.6,43.0,47.0,-4.081632653061225
2001-09-30,47.55,47.55,35.0,42.0,-11.671924290220817
2001-10-31,43.0,50.0,38.0,41.35,-3.837209302325578
2001-11-30,41.3,49.95,35.0,45.1,9.200968523002432
2001-12-31,45.0,63.7,40.6,43.5,-3.3333333333333335
2002-01-31,42.25,50.2,38.0,47.5,12.42603550295858
2002-02-28,48.0,67.0,47.0,52.9,10.20833333333333
2002-03-31,53.0,58.95,50.6,51.2,-3.3962264150943344
2002-04-30,54.5,82.5,54.0,81.05,48.71559633027522
2002-05-31,82.0,109.0,80.05,84.0,2.4390243902439024
2002-06-30,86.25,101.85,82.55,92.65,7.42028985507247
2002-07-31,93.75,108.85,75.8,92.8,-1.0133333333333363
2002-08-31,92.8,98.0,87.6,91.25,-1.6702586206896521
2002-09-30,94.9,96.2,81.0,88.0,-7.270811380400427
2002-10-31,87.0,94.95,80.0,80.65,-7.298850574712637
