Date,Open,High,Low,Close,Returns%
2000-01-31,62.0,64.9,55.1,55.8,-10.000000000000004
2000-02-29,55.5,60.0,45.7,49.65,-10.540540540540542
2000-03-31,53.0,54.4,40.05,52.25,-1.4150943396226414
2000-04-30,52.1,56.15,42.6,43.8,-15.930902111324384
2000-05-31,43.1,47.9,38.8,44.05,2.2041763341067186
2000-06-30,42.5,48.5,40.0,41.95,-1.294117647058817
2000-07-31,42.6,48.5,37.5,37.75,-11.384976525821598
2000-08-31,39.0,40.9,33.9,37.9,-2.8205128205128243
2000-09-30,39.95,41.0,34.3,34.75,-13.016270337922407
2000-10-31,34.0,39.7,31.5,37.7,10.882352941176478
2000-11-30,37.65,45.25,37.05,44.35,17.79548472775565
2000-12-31,43.95,56.2,43.35,50.55,15.017064846416368
2001-01-31,51.5,59.8,49.5,54.6,6.019417475728157
2001-02-28,54.75,64.1,50.0,51.15,-6.575342465753427
2001-03-31,52.05,53.6,32.55,38.25,-26.51296829971181
2001-04-30,38.0,44.25,36.0,39.85,4.868421052631582
2001-05-31,41.9,46.75,38.5,45.9,9.546539379474941
2001-06-30,46.3,48.25,34.55,35.8,-22.67818574514039
2001-07-31,36.25,41.9,34.15,39.45,8.827586206896559
2001-08-31,39.0,44.75,38.5,39.5,1.2820512820512822
2001-09-30,46.85,46.85,33.0,36.85,-21.34471718249733
2001-10-31,37.1,40.1,34.6,38.75,4.4474393530997265
2001-11-30,39.25,46.0,38.3,40.25,2.5477707006369426
2001-12-31,42.0,47.4,38.0,39.7,-5.476190476190469
2002-01-31,39.95,44.75,39.0,40.6,1.6270337922402967
2002-02-28,40.65,46.0,40.25,41.45,1.9680196801968126
2002-03-31,41.0,48.35,40.65,43.8,6.82926829268292
2002-04-30,44.9,47.75,42.15,45.75,1.893095768374168
2002-05-31,45.8,53.5,44.0,44.45,-2.947598253275097
2002-06-30,45.0,65.5,44.85,59.1,31.33333333333334
2002-07-31,59.55,70.0,51.0,59.8,0.41981528127623846
2002-08-31,61.2,61.7,54.1,55.15,-9.885620915032687
2002-09-30,55.95,60.0,51.8,53.25,-4.825737265415555
2002-10-31,53.75,55.0,46.4,47.8,-11.069767441860469
2002-11-30,48.45,54.5,46.75,54.35,12.177502579979357
2002-12-31,54.0,63.8,52.65,58.15,7.685185185185183
2003-01-31,58.35,68.4,56.15,58.35,0.0
2003-02-28,58.5,67.8,57.7,64.35,9.999999999999991
2003-03-31,63.5,65.25,57.1,61.2,-3.6220472440944835
2003-04-30,61.7,72.4,61.3,67.4,9.238249594813617
2003-05-31,68.2,79.9,67.6,69.8,2.3460410557184668
2003-06-30,70.05,77.8,65.6,74.5,6.352605281941475
2003-07-31,75.3,87.0,72.1,79.15,5.112881806108909
2003-08-31,80.0,99.0,77.85,92.7,15.875000000000004
2003-09-30,93.1,99.2,83.8,93.2,0.1074113856068835
2003-10-31,93.85,126.0,92.05,124.7,32.871603622802354
2003-11-30,125.55,134.35,120.5,127.2,1.3142174432497058
2003-12-31,128.5,188.8,127.8,153.45,19.416342412451353
2004-01-31,155.45,171.8,117.55,123.0,-20.874879382438078
2004-02-29,124.8,133.4,110.0,115.45,-7.491987179487175
2004-03-31,115.3,127.7,98.0,126.95,10.104076322636605
2004-04-30,126.7,148.6,125.1,138.65,9.431728492501975
2004-05-31,137.0,147.0,94.1,122.9,-10.291970802919705
2004-06-30,122.0,142.9,109.5,117.85,-3.4016393442623
2004-07-31,119.4,129.0,111.25,119.0,-0.335008375209385
2004-08-31,120.0,131.0,116.45,124.05,3.374999999999998
2004-09-30,124.5,132.95,119.8,131.75,5.823293172690763
2004-10-31,131.65,139.8,124.35,128.35,-2.506646410938102
2004-11-30,127.5,158.0,125.0,145.8,14.352941176470598
2004-12-31,145.9,175.0,144.6,165.5,13.433858807402327
2005-01-31,166.45,168.5,145.05,157.85,-5.166716731751274
2005-02-28,159.0,174.9,151.0,156.65,-1.4779874213836441
2005-03-31,158.4,167.95,141.25,151.6,-4.2929292929293
2005-04-30,153.1,160.9,142.55,151.95,-0.7511430437622506
2005-05-31,152.0,183.7,151.25,178.5,17.43421052631579
2005-06-30,189.0,189.0,164.15,165.2,-12.592592592592597
2005-07-31,166.35,202.5,165.5,180.9,8.746618575293065
2005-08-31,182.5,194.9,176.3,188.3,3.178082191780828
2005-09-30,189.8,210.85,182.55,191.9,1.1064278187565828
2005-10-31,193.0,205.55,174.7,191.25,-0.9067357512953368
2005-11-30,192.9,222.5,187.95,212.2,10.005184033177803
2005-12-31,212.05,236.0,210.65,235.0,10.82291912284838
2006-01-31,236.0,257.9,227.0,242.75,2.860169491525424
2006-02-28,235.55,260.4,223.35,237.35,0.7641689662491967
2006-03-31,237.8,266.8,230.6,263.65,10.8704793944491
2006-04-30,270.0,279.8,231.1,258.15,-4.388888888888897
2006-05-31,259.75,275.0,187.0,229.35,-11.703561116458134
2006-06-30,233.7,254.0,187.9,213.65,-8.579375267436877
2006-07-31,214.0,217.0,188.15,200.9,-6.121495327102801
2006-08-31,200.9,232.7,197.1,224.75,11.871577899452461
2006-09-30,228.4,244.0,211.0,241.15,5.58231173380035
2006-10-31,244.0,245.15,220.1,230.6,-5.4918032786885265
2006-11-30,231.05,236.5,217.55,219.15,-5.150400346245403
2006-12-31,218.0,228.9,200.5,215.6,-1.100917431192663
2007-01-31,215.6,232.95,210.1,226.95,5.264378478664191
2007-02-28,228.0,243.0,202.0,214.4,-5.9649122807017525
2007-03-31,215.0,218.9,187.0,207.55,-3.465116279069762
2007-04-30,202.0,225.15,199.6,217.95,7.89603960396039
2007-05-31,220.0,265.05,220.0,256.25,16.477272727272727
2007-06-30,257.9,257.9,230.5,248.9,-3.489724699495918
2007-07-31,249.9,275.0,239.0,263.15,5.3021208483393245
2007-08-31,257.1,261.9,231.0,252.05,-1.9642162582652707
2007-09-30,252.0,300.0,247.55,298.65,18.511904761904756
2007-10-31,299.0,339.9,279.9,321.7,7.591973244147154
2007-11-30,325.0,336.0,290.0,312.0,-4.0
2007-12-31,313.0,421.0,313.0,413.05,31.964856230031955
2008-01-31,419.95,430.9,227.2,307.0,-26.89605905464936
2008-02-29,321.0,336.5,265.0,329.35,2.60124610591901
2008-03-31,316.05,338.0,256.6,280.55,-11.232399936718874
2008-04-30,288.0,381.2,280.0,358.75,24.56597222222222
2008-05-31,367.7,440.45,325.0,404.9,10.116943160184931
2008-06-30,409.0,409.8,285.0,286.9,-29.853300733496337
2008-07-31,289.0,324.0,250.7,319.6,10.588235294117656
2008-08-31,316.5,360.7,306.2,330.4,4.391785150078982
2008-09-30,329.0,336.0,208.0,226.25,-31.231003039513677
2008-10-31,230.0,231.0,118.0,158.7,-31.000000000000004
2008-11-30,157.15,190.0,133.0,148.0,-5.82246261533567
2008-12-31,149.15,174.95,132.85,165.25,10.794502179014412
2009-01-31,165.95,183.9,147.0,153.15,-7.713166616450728
2009-02-28,153.0,157.4,123.6,124.1,-18.888888888888893
2009-03-31,124.1,152.4,95.2,141.55,14.06124093473007
2009-04-30,142.0,175.25,140.0,171.55,20.809859154929583
2009-05-31,175.0,249.4,171.5,216.35,23.628571428571423
2009-06-30,220.0,269.0,215.3,217.35,-1.204545454545457
2009-07-31,220.0,259.35,189.0,254.15,15.522727272727275
2009-08-31,256.5,271.85,240.1,248.2,-3.2358674463937667
2009-09-30,252.85,304.5,240.0,281.35,11.271504844769638
2009-10-31,281.0,305.0,248.5,262.85,-6.459074733096077
2009-11-30,263.0,293.7,255.65,281.15,6.901140684410637
2009-12-31,280.1,341.5,280.1,321.85,14.905390931810066
2010-01-31,325.1,336.2,276.05,296.85,-8.689633958781913
2010-02-28,300.0,309.45,273.75,288.0,-4.0
2010-03-31,290.0,331.85,284.5,328.15,13.155172413793096
2010-04-30,329.0,356.5,317.25,353.85,7.553191489361709
2010-05-31,348.5,356.05,295.0,321.55,-7.7331420373027235
2010-06-30,323.0,339.4,304.5,334.3,3.4984520123839045
2010-07-31,331.65,340.6,319.0,336.8,1.5528418513493245
2010-08-31,339.7,412.25,338.2,395.4,16.396820724168382
2010-09-30,398.0,434.0,392.1,399.6,0.402010050251262
2010-10-31,401.0,446.5,386.0,390.45,-2.630922693266836
2010-11-30,395.0,419.0,341.0,354.85,-10.16455696202531
2010-12-31,355.0,399.85,330.1,393.9,10.957746478873233
2011-01-31,394.0,411.85,335.2,350.85,-10.951776649746188
2011-02-28,352.7,356.7,302.3,321.5,-8.846044797278138
2011-03-31,326.2,351.0,309.0,342.0,4.843654199877379
2011-04-30,345.1,394.0,340.35,376.45,9.084323384526213
2011-05-31,379.55,385.0,343.45,381.35,0.47424581741536326
2011-06-30,381.0,385.75,345.05,372.8,-2.152230971128606
2011-07-31,375.9,389.7,353.05,354.5,-5.693003458366581
2011-08-31,360.0,367.0,328.0,334.75,-7.013888888888889
2011-09-30,339.9,342.3,313.0,316.15,-6.987349220358929
2011-10-31,314.0,341.0,287.0,332.8,5.987261146496819
2011-11-30,328.0,359.9,318.4,346.05,5.503048780487808
2011-12-31,349.0,360.35,301.5,312.55,-10.444126074498564
2012-01-31,313.0,344.7,307.35,341.35,9.057507987220454
2012-02-29,348.95,374.7,333.95,362.45,3.868749104456226
2012-03-31,364.05,367.0,335.1,346.65,-4.779563246806767
2012-04-30,348.0,354.7,325.0,336.25,-3.3764367816091956
2012-05-31,337.0,345.0,304.15,307.85,-8.64985163204747
2012-06-30,307.0,322.0,299.0,311.0,1.3029315960912051
2012-07-31,315.85,328.35,303.0,305.9,-3.1502295393383077
2012-08-31,305.0,319.25,298.0,304.9,-0.03278688524590909
2012-09-30,302.55,330.8,302.55,320.85,6.048587010411506
2012-10-31,319.9,331.9,315.35,316.45,-1.078462019381053
2012-11-30,318.0,328.45,309.1,327.2,2.8930817610062856
2012-12-31,328.5,366.7,322.95,354.0,7.762557077625571
2013-01-31,353.95,381.5,350.85,357.85,1.101850543862137
2013-02-28,357.6,367.45,325.1,327.25,-8.48713646532439
2013-03-31,329.3,332.9,308.2,321.6,-2.3382933495293012
2013-04-30,319.1,329.8,305.9,323.85,1.488561579442181
2013-05-31,325.0,333.5,298.25,301.7,-7.169230769230772
2013-06-30,300.0,311.7,260.25,281.55,-6.149999999999996
2013-07-31,282.15,292.75,256.2,258.3,-8.452950558213704
2013-08-31,256.5,272.0,238.0,247.65,-3.4502923976608164
2013-09-30,247.0,255.0,233.2,237.9,-3.684210526315787
2013-10-31,238.5,270.0,236.05,267.9,12.327044025157223
2013-11-30,264.8,285.6,259.75,277.9,4.947129909365546
2013-12-31,279.35,280.65,257.0,274.9,-1.5929837121890265
2014-01-31,276.8,279.5,244.2,262.6,-5.130057803468204
