Date,Open,High,Low,Close,Returns%
2000-01-31,145.0,175.0,140.0,170.0,17.24137931034483
2000-02-29,170.0,177.0,140.0,140.8,-17.17647058823529
2000-03-31,144.0,144.9,88.1,95.7,-33.541666666666664
2000-04-30,98.0,98.0,82.65,87.0,-11.224489795918368
2000-05-31,82.0,84.0,67.0,79.0,-3.658536585365854
2000-06-30,79.0,94.7,75.0,92.0,16.455696202531644
2000-07-31,90.0,112.7,86.0,94.0,4.444444444444445
2000-08-31,94.9,100.0,73.0,73.65,-22.39199157007376
2000-09-30,76.0,90.5,69.5,75.9,-0.13157894736841358
2000-10-31,71.0,80.0,71.0,75.5,6.338028169014085
2000-11-30,69.5,79.8,67.25,73.6,5.89928057553956
2000-12-31,73.0,85.8,71.0,73.05,0.06849315068492762
2001-01-31,74.0,81.0,66.3,76.5,3.3783783783783785
2001-02-28,79.5,81.0,71.05,75.0,-5.660377358490566
2001-03-31,79.0,79.0,65.0,71.75,-9.177215189873417
2001-04-30,70.0,70.0,58.0,58.0,-17.142857142857142
2001-05-31,60.0,69.0,53.0,63.5,5.833333333333333
2001-06-30,67.95,70.0,60.0,62.0,-8.756438557763063
2001-07-31,65.0,67.0,51.25,52.15,-19.769230769230774
2001-08-31,54.0,59.95,54.0,54.0,0.0
2001-09-30,62.25,62.25,62.25,62.25,0.0
2001-10-31,52.25,53.0,52.25,53.0,1.4354066985645932
2001-11-30,53.0,62.25,53.0,61.0,15.09433962264151
2001-12-31,64.4,67.0,56.45,56.45,-12.344720496894412
2002-01-31,56.5,65.0,53.0,55.4,-1.9469026548672592
2002-02-28,57.0,76.0,55.55,62.5,9.649122807017545
2002-03-31,61.1,84.0,59.5,79.7,30.441898527004913
2002-04-30,77.55,100.0,72.75,95.0,22.501611863313993
2002-05-31,96.25,96.5,74.05,81.5,-15.324675324675324
2002-06-30,81.3,99.0,72.0,92.75,14.083640836408367
2002-07-31,92.0,95.0,66.0,68.85,-25.163043478260875
2002-08-31,69.0,72.0,66.0,69.3,0.43478260869564805
2002-09-30,67.05,70.0,64.3,67.55,0.7457121551081283
2002-10-31,68.0,74.8,61.85,63.5,-6.617647058823529
2002-11-30,63.0,68.0,61.1,66.25,5.158730158730159
2002-12-31,67.75,69.0,62.0,66.15,-2.361623616236154
2003-01-31,66.2,82.0,66.0,67.25,1.5861027190332282
2003-02-28,67.0,78.0,67.0,72.45,8.13432835820896
2003-03-31,73.1,75.0,64.0,67.85,-7.181942544459645
2003-04-30,67.35,75.0,66.5,72.0,6.904231625835198
2003-05-31,73.3,84.3,70.3,80.5,9.822646657571626
2003-06-30,82.25,98.5,80.0,92.4,12.340425531914901
2003-07-31,93.5,101.0,86.2,96.8,3.529411764705879
2003-08-31,97.5,125.45,97.05,104.45,7.12820512820513
2003-09-30,107.75,133.0,106.0,118.0,9.51276102088167
2003-10-31,118.0,132.7,103.25,112.05,-5.042372881355934
2003-11-30,115.9,134.0,111.0,121.15,4.5297670405522
2003-12-31,122.95,170.0,120.5,148.25,20.577470516470104
2004-01-31,151.75,192.0,136.65,140.55,-7.3805601317957095
2004-02-29,143.4,147.5,125.2,132.05,-7.914923291492325
2004-03-31,133.0,138.85,117.0,122.0,-8.270676691729323
2004-04-30,124.95,147.95,122.95,133.2,6.602641056422558
2004-05-31,135.75,161.0,107.05,122.05,-10.092081031307552
2004-06-30,126.95,145.0,122.05,130.0,2.4025206774320575
2004-07-31,129.15,155.0,126.0,135.05,4.568331397599694
2004-08-31,140.0,147.9,121.0,145.85,4.178571428571424
2004-09-30,145.0,190.0,144.0,184.05,26.931034482758626
2004-10-31,185.5,218.5,153.2,210.15,13.288409703504046
2004-11-30,211.0,271.5,193.0,235.55,11.635071090047397
2004-12-31,226.2,306.25,226.2,260.05,14.964633068081355
2005-01-31,265.0,345.0,259.5,319.55,20.584905660377363
2005-02-28,323.5,355.0,296.0,313.85,-2.982998454404939
2005-03-31,315.25,349.85,267.0,295.4,-6.296590007930221
2005-04-30,281.0,309.0,262.1,267.1,-4.946619217081842
2005-05-31,272.0,311.5,252.0,291.7,7.242647058823525
2005-06-30,295.0,324.0,284.1,293.95,-0.3559322033898344
2005-07-31,291.0,339.95,280.0,301.05,3.453608247422684
2005-08-31,300.5,385.0,292.2,346.35,15.257903494176379
2005-09-30,346.0,399.0,325.0,333.6,-3.5838150289017277
2005-10-31,345.0,349.0,292.05,295.75,-14.27536231884058
2005-11-30,305.0,323.0,290.0,309.65,1.5245901639344188
2005-12-31,310.0,340.0,305.0,330.55,6.629032258064519
2006-01-31,335.0,375.55,316.05,325.1,-2.9552238805970084
2006-02-28,321.0,405.5,310.5,369.3,15.04672897196262
2006-03-31,372.0,424.9,358.5,364.95,-1.8951612903225836
2006-04-30,375.0,390.0,341.95,359.75,-4.066666666666666
2006-05-31,360.0,380.0,267.0,308.4,-14.33333333333334
2006-06-30,305.05,391.65,260.0,346.65,13.637108670709708
2006-07-31,344.0,417.9,277.0,313.05,-8.997093023255811
2006-08-31,315.0,351.0,302.0,322.7,2.4444444444444406
2006-09-30,320.0,394.0,316.0,327.95,2.4843749999999964
2006-10-31,331.0,354.7,320.1,324.25,-2.039274924471299
2006-11-30,333.0,336.95,275.0,295.35,-11.306306306306299
2006-12-31,295.35,328.4,283.0,301.0,1.9129845945488324
2007-01-31,307.9,348.0,293.15,300.15,-2.5170509905813576
2007-02-28,303.9,303.9,235.25,267.8,-11.878907535373466
2007-03-31,283.0,283.0,236.5,239.0,-15.547703180212014
2007-04-30,237.5,284.9,227.5,256.65,8.063157894736833
2007-05-31,260.0,324.0,250.0,317.9,22.269230769230763
2007-06-30,318.0,331.8,279.0,282.45,-11.17924528301887
2007-07-31,282.0,298.0,249.1,261.35,-7.322695035460985
2007-08-31,260.05,262.5,232.7,248.85,-4.3068640646029674
2007-09-30,234.0,284.9,234.0,263.7,12.692307692307688
2007-10-31,308.0,308.0,234.3,246.8,-19.870129870129865
2007-11-30,249.9,299.0,231.6,253.35,1.3805522208883507
2007-12-31,255.0,314.5,251.0,309.1,21.21568627450981
2008-01-31,315.0,347.0,210.05,250.2,-20.571428571428573
2008-02-29,247.9,290.9,230.0,267.55,7.926583299717629
2008-03-31,262.0,269.8,178.0,211.7,-19.19847328244275
2008-04-30,215.0,236.5,200.1,228.75,6.395348837209302
2008-05-31,231.9,263.0,212.1,223.9,-3.4497628288055195
2008-06-30,232.85,232.85,200.0,204.05,-12.368477560661363
2008-07-31,204.1,224.0,187.05,210.0,2.8907398334149956
2008-08-31,200.1,213.0,194.1,204.75,2.323838080959523
2008-09-30,209.0,214.0,175.0,187.95,-10.071770334928233
2008-10-31,191.1,197.0,147.0,170.6,-10.727367870225013
2008-11-30,165.0,209.9,153.0,154.95,-6.090909090909098
2008-12-31,159.95,165.0,131.1,156.0,-2.469521725539224
2009-01-31,160.0,160.0,148.15,150.2,-6.125000000000007
2009-02-28,151.05,160.0,146.15,147.95,-2.0523005627275888
2009-03-31,151.0,151.8,132.55,147.55,-2.284768211920522
2009-04-30,152.6,181.95,146.0,161.25,5.668414154652691
2009-05-31,163.1,214.1,161.0,193.55,18.66952789699572
2009-06-30,199.0,225.0,190.2,201.0,1.0050251256281406
2009-07-31,201.5,235.0,181.15,225.05,11.68734491315137
2009-08-31,216.1,391.0,216.1,358.15,65.73345673299397
2009-09-30,362.55,403.65,340.0,375.45,3.558129913115426
2009-10-31,375.45,386.9,290.25,304.1,-19.003862032227985
2009-11-30,304.1,364.0,290.0,340.25,11.887536994409725
2009-12-31,340.0,422.4,333.0,398.0,17.058823529411764
2010-01-31,397.0,449.0,318.0,349.4,-11.989924433249374
2010-02-28,358.0,386.7,333.0,350.3,-2.1508379888268125
2010-03-31,355.0,374.0,348.15,356.3,0.3661971830985947
2010-04-30,358.0,419.5,356.25,388.05,8.393854748603355
2010-05-31,386.0,428.0,351.4,370.0,-4.1450777202072535
2010-06-30,369.8,474.8,360.5,428.25,15.8058409951325
2010-07-31,427.0,477.9,405.0,446.85,4.648711943793916
2010-08-31,453.3,547.85,437.6,481.85,6.298257224795942
2010-09-30,489.55,650.0,484.0,600.6,22.68409764069043
2010-10-31,606.8,662.0,592.0,605.35,-0.23895847066577652
2010-11-30,619.7,647.0,480.15,524.15,-15.418751008552537
2010-12-31,524.9,568.75,360.0,501.5,-4.4579919984758964
2011-01-31,508.0,761.3,455.0,680.65,33.98622047244094
2011-02-28,685.0,715.9,509.8,564.55,-17.58394160583942
2011-03-31,569.7,1026.9,557.45,961.8,68.82569773565032
2011-04-30,946.1,989.8,890.0,896.2,-5.274283902335903
2011-05-31,905.0,905.75,769.25,849.05,-6.1823204419889555
