Date,Open,High,Low,Close,Returns%
2000-01-31,1890.0,2180.0,1576.05,1862.85,-1.4365079365079414
2000-02-29,1825.0,3298.7,1800.0,2172.15,19.021917808219182
2000-03-31,2050.0,2750.0,1825.0,1852.5,-9.634146341463415
2000-04-30,1897.0,1990.0,1205.0,1325.05,-30.150237216657885
2000-05-31,1301.0,1505.0,801.0,1274.55,-2.033051498847044
2000-06-30,1280.0,1549.0,1151.75,1198.75,-6.34765625
2000-07-31,1235.9,1248.95,826.0,854.25,-30.880330123796426
2000-08-31,855.0,957.7,700.0,818.65,-4.251461988304096
2000-09-30,829.0,848.1,673.0,718.9,-13.281061519903501
2000-10-31,701.0,815.0,595.0,611.75,-12.731811697574893
2000-11-30,216.9,308.0,208.55,293.1,35.13139695712311
2000-12-31,291.0,355.6,247.0,300.55,3.28178694158076
2001-01-31,298.0,370.0,280.0,354.55,18.9765100671141
2001-02-28,353.1,414.5,305.6,321.75,-8.878504672897202
2001-03-31,328.0,367.7,279.5,293.3,-10.579268292682924
2001-04-30,290.05,333.0,270.0,316.6,9.153594207895193
2001-05-31,325.0,400.0,306.0,347.15,6.815384615384608
2001-06-30,350.0,366.7,311.05,318.45,-9.014285714285716
2001-07-31,325.0,340.1,258.05,274.85,-15.430769230769226
2001-08-31,282.0,296.0,230.0,282.7,0.2482269503546059
2001-09-30,280.0,289.95,160.9,211.75,-24.375
2001-10-31,215.0,245.1,198.0,230.1,7.023255813953487
2001-11-30,233.0,258.95,208.0,232.5,-0.2145922746781116
2001-12-31,235.0,255.0,202.0,206.4,-12.170212765957444
2002-01-31,210.0,235.0,134.7,158.1,-24.71428571428572
2002-02-28,162.0,182.95,155.6,169.6,4.691358024691355
2002-03-31,167.65,195.05,167.55,187.6,11.89979123173277
2002-04-30,189.0,195.0,182.75,191.65,1.4021164021164052
2002-05-31,191.6,197.4,174.1,186.7,-2.557411273486433
2002-06-30,188.0,189.7,146.25,147.7,-21.436170212765962
2002-07-31,148.0,156.0,110.5,116.15,-21.520270270270267
2002-08-31,116.05,131.7,115.0,123.85,6.721240844463591
2002-09-30,124.9,127.0,108.0,112.9,-9.607686148919134
2002-10-31,113.05,115.0,90.2,90.85,-19.637328615656795
2002-11-30,92.8,105.95,88.4,103.2,11.206896551724142
2002-12-31,105.4,110.7,98.1,98.45,-6.593927893738142
2003-01-31,100.0,100.0,80.15,88.1,-11.900000000000004
2003-02-28,89.0,95.4,84.4,89.7,0.7865168539325874
2003-03-31,90.45,90.75,71.2,73.15,-19.126589275843003
2003-04-30,73.0,78.9,68.5,75.75,3.767123287671233
2003-05-31,76.5,93.3,74.9,90.2,17.908496732026148
2003-06-30,92.0,131.4,91.5,125.55,36.46739130434782
2003-07-31,127.8,142.1,109.0,115.65,-9.507042253521119
2003-08-31,115.0,133.5,113.2,121.0,5.217391304347826
2003-09-30,121.2,126.9,112.0,121.95,0.6188118811881188
2003-10-31,121.9,134.0,109.05,121.6,-0.24610336341264263
2003-11-30,121.5,143.8,118.75,135.2,11.275720164609044
2003-12-31,135.25,161.75,122.15,147.25,8.872458410351202
2004-01-31,148.9,188.9,148.9,167.55,12.525184687709874
2004-02-29,168.95,189.0,155.15,187.9,11.21633619414029
2004-03-31,191.4,210.4,177.2,205.1,7.157784743991634
2004-04-30,207.0,209.9,162.4,163.55,-20.990338164251202
2004-05-31,164.4,173.0,110.05,143.2,-12.895377128953783
2004-06-30,145.0,165.0,123.8,161.9,11.655172413793107
2004-07-31,163.25,188.85,155.0,181.1,10.934150076569676
2004-08-31,195.0,195.0,157.0,167.45,-14.128205128205133
2004-09-30,169.85,177.5,166.0,175.7,3.4442154842508064
2004-10-31,175.5,181.1,163.3,167.15,-4.757834757834755
2004-11-30,166.5,237.9,166.15,228.4,37.177177177177185
2004-12-31,229.95,249.0,211.25,232.1,0.9349858664927183
2005-01-31,233.95,252.0,198.0,229.85,-1.7525112203462254
2005-02-28,230.0,247.0,215.05,219.65,-4.499999999999998
2005-03-31,219.0,226.95,175.8,183.8,-16.07305936073059
2005-04-30,186.0,218.0,161.0,208.6,12.1505376344086
2005-05-31,210.0,215.0,202.1,206.65,-1.5952380952380925
2005-06-30,207.5,251.95,206.5,246.65,18.867469879518076
2005-07-31,245.0,444.6,243.3,417.5,70.40816326530613
2005-08-31,419.0,444.0,347.35,376.65,-10.107398568019098
2005-09-30,380.0,409.0,327.1,357.2,-6.000000000000003
2005-10-31,358.5,423.0,270.0,291.35,-18.730822873082282
2005-11-30,293.0,379.9,287.5,356.6,21.70648464163823
2005-12-31,358.0,430.9,355.7,382.7,6.89944134078212
2006-01-31,383.0,406.45,350.55,383.05,0.013054830287209235
2006-02-28,383.0,402.0,361.55,364.95,-4.712793733681465
2006-03-31,370.0,493.5,361.2,469.7,26.94594594594594
2006-04-30,472.2,515.8,380.0,440.75,-6.660313426514187
2006-05-31,444.4,506.9,317.0,380.5,-14.378937893789375
2006-06-30,392.0,415.8,300.1,400.1,2.0663265306122507
2006-07-31,403.0,425.0,337.4,354.45,-12.047146401985113
2006-08-31,351.0,427.5,348.0,417.65,18.988603988603984
2006-09-30,417.5,431.9,384.25,397.8,-4.718562874251495
2006-10-31,400.0,452.4,393.55,435.25,8.8125
2006-11-30,437.5,472.9,392.0,427.25,-2.342857142857143
2006-12-31,428.8,448.0,370.05,425.15,-0.8512126865671721
2007-01-31,430.0,496.0,409.0,462.25,7.5
2007-02-28,471.65,514.9,352.25,365.8,-22.44248913389165
2007-03-31,378.0,433.0,336.6,402.3,6.428571428571431
2007-04-30,404.0,454.5,385.0,438.45,8.527227722772276
2007-05-31,446.9,497.8,439.0,465.45,4.150816737525176
2007-06-30,468.65,486.9,446.0,469.3,0.13869625520111686
2007-07-31,474.0,506.2,445.0,457.2,-3.544303797468357
2007-08-31,452.0,457.9,359.0,402.3,-10.995575221238935
2007-09-30,402.5,460.75,382.0,437.85,8.78260869565218
2007-10-31,438.0,600.0,433.25,557.35,27.248858447488587
2007-11-30,560.1,643.0,455.6,627.95,12.113908230673097
2007-12-31,560.0,775.0,560.0,764.45,36.50892857142858
2008-01-31,775.0,783.0,420.05,519.85,-32.92258064516128
2008-02-29,525.0,566.0,438.0,512.15,-2.447619047619052
2008-03-31,500.0,580.0,447.0,512.95,2.590000000000009
2008-04-30,513.0,556.0,442.25,498.55,-2.816764132553604
2008-05-31,508.65,525.0,478.0,509.2,0.10812936203676622
2008-06-30,510.0,516.95,339.9,372.7,-26.921568627450984
2008-07-31,375.0,479.9,340.1,450.65,20.17333333333333
2008-08-31,450.0,473.1,390.35,414.55,-7.8777777777777755
2008-09-30,414.55,483.9,380.0,472.35,13.942829574237127
2008-10-31,485.0,523.9,323.05,484.95,-0.010309278350517807
2008-11-30,475.1,560.0,380.65,394.35,-16.99642180593559
2008-12-31,397.9,522.0,329.85,501.75,26.09952249308872
2009-01-31,501.0,540.0,410.85,453.05,-9.570858283433132
2009-02-28,449.85,489.55,380.15,404.35,-10.114482605312881
2009-03-31,404.35,545.0,390.15,518.35,28.19339680969457
2009-04-30,523.75,593.75,510.0,548.5,4.725536992840095
2009-05-31,574.9,660.0,457.35,467.8,-18.629326839450332
