Date,Open,High,Low,Close,Returns%
2000-01-31,306.0,332.5,196.85,197.3,-35.522875816993455
2000-02-29,191.3,268.0,179.35,191.2,-0.05227391531626907
2000-03-31,180.1,223.05,128.0,128.6,-28.595224875069405
2000-04-30,131.1,132.8,91.05,106.3,-18.916857360793284
2000-05-31,108.1,124.9,83.0,108.1,0.0
2000-06-30,107.4,145.0,102.05,129.3,20.39106145251397
2000-07-31,132.0,134.35,93.05,100.4,-23.939393939393938
2000-08-31,101.9,113.8,92.5,109.5,7.458292443572123
2000-09-30,111.8,130.0,98.1,101.6,-9.123434704830055
2000-10-31,99.0,103.85,86.5,90.8,-8.282828282828286
2000-11-30,92.5,107.95,91.6,97.1,4.972972972972967
2000-12-31,96.85,117.8,91.0,96.85,0.0
2001-01-31,96.9,116.0,92.55,110.7,14.241486068111453
2001-02-28,108.0,158.85,106.0,122.0,12.962962962962964
2001-03-31,123.5,128.65,61.5,70.35,-43.03643724696357
2001-04-30,69.0,83.5,55.5,73.5,6.521739130434782
2001-05-31,77.8,98.0,65.0,85.8,10.282776349614396
2001-06-30,87.25,93.4,55.5,65.85,-24.527220630372497
2001-07-31,66.7,68.6,47.0,47.65,-28.560719640179915
2001-08-31,47.4,55.0,44.6,47.4,0.0
2001-09-30,47.75,48.75,29.1,39.3,-17.696335078534037
2001-10-31,38.0,46.9,35.3,42.7,12.368421052631586
2001-11-30,43.05,74.9,43.05,61.95,43.902439024390254
2001-12-31,63.25,73.8,46.0,59.15,-6.4822134387351795
2002-01-31,60.5,64.8,54.6,56.45,-6.694214876033053
2002-02-28,57.4,85.9,54.5,68.7,19.686411149825794
2002-03-31,68.0,82.5,67.1,77.05,13.308823529411761
2002-04-30,79.0,124.0,75.0,121.0,53.164556962025316
2002-05-31,122.5,129.4,90.5,99.65,-18.653061224489793
2002-06-30,100.2,120.4,100.2,114.4,14.171656686626749
2002-07-31,115.95,140.5,85.5,94.5,-18.499353169469604
2002-08-31,94.5,110.95,87.9,106.5,12.698412698412698
2002-09-30,107.6,109.3,91.8,92.7,-13.847583643122668
2002-10-31,91.95,98.5,79.2,87.35,-5.0027188689505255
2002-11-30,88.5,95.8,82.05,94.8,7.118644067796607
2002-12-31,95.55,101.75,91.5,95.65,0.1046572475143993
2003-01-31,96.5,97.7,71.1,76.75,-20.466321243523318
2003-02-28,77.05,81.8,69.1,75.8,-1.6223231667748217
2003-03-31,74.25,76.9,63.7,65.95,-11.178451178451175
2003-04-30,65.95,76.2,65.0,66.8,1.2888551933282704
2003-05-31,67.5,73.0,61.15,66.6,-1.3333333333333417
2003-06-30,67.0,89.8,66.8,86.05,28.43283582089552
2003-07-31,85.0,98.3,73.15,77.9,-8.352941176470582
2003-08-31,78.5,93.15,65.5,90.1,14.777070063694262
2003-09-30,90.45,95.5,80.1,90.7,0.2763957987838585
2003-10-31,91.25,98.8,81.1,88.95,-2.520547945205476
2003-11-30,89.45,97.75,84.2,91.65,2.4594745667970965
2003-12-31,92.65,129.3,92.2,120.85,30.43712898003237
2004-01-31,121.7,144.9,90.5,97.9,-19.55628594905505
2004-02-29,98.7,106.7,86.0,90.6,-8.206686930091195
2004-03-31,91.2,93.0,72.65,79.3,-13.048245614035093
2004-04-30,79.95,98.0,79.6,87.3,9.193245778611624
2004-05-31,89.9,106.45,70.0,93.0,3.448275862068959
2004-06-30,95.05,114.2,91.7,110.4,16.1493950552341
2004-07-31,110.7,125.8,99.0,124.5,12.46612466124661
2004-08-31,125.9,149.4,111.25,142.35,13.06592533756949
2004-09-30,142.75,161.6,141.1,154.25,8.056042031523642
2004-10-31,152.0,168.5,146.0,155.25,2.138157894736842
2004-11-30,155.5,170.0,152.75,156.95,0.9324758842443657
2004-12-31,157.0,164.9,145.1,155.05,-1.2420382165605024
2005-01-31,156.2,175.0,141.1,163.25,4.513444302176704
2005-02-28,163.5,184.9,157.0,168.75,3.2110091743119265
2005-03-31,169.5,191.3,165.5,183.8,8.436578171091453
2005-04-30,180.0,204.5,156.55,173.0,-3.888888888888889
2005-05-31,175.9,189.0,169.75,184.35,4.8038658328595725
2005-06-30,186.0,202.8,180.0,186.9,0.48387096774193855
2005-07-31,186.0,225.75,176.0,202.05,8.629032258064523
2005-08-31,202.5,231.9,192.65,226.9,12.049382716049385
2005-09-30,224.0,232.0,186.0,201.2,-10.178571428571432
2005-10-31,200.65,208.55,180.8,184.9,-7.849489160229255
2005-11-30,194.9,210.7,187.75,202.75,4.027706516162131
2005-12-31,203.75,228.8,198.5,204.8,0.515337423312889
2006-01-31,206.9,221.0,183.15,189.8,-8.264862252295792
2006-02-28,190.0,210.0,182.0,193.6,1.8947368421052602
2006-03-31,182.7,203.85,182.7,193.2,5.74712643678161
2006-04-30,194.95,248.45,188.0,245.65,26.00666837650681
2006-05-31,250.55,261.9,175.0,194.85,-22.231091598483342
2006-06-30,201.5,202.0,147.5,180.65,-10.347394540942926
2006-07-31,184.0,188.0,146.5,174.0,-5.434782608695652
2006-08-31,172.4,224.95,161.5,217.7,26.276102088167043
2006-09-30,210.0,249.0,210.0,220.55,5.023809523809529
2006-10-31,220.0,243.9,215.15,228.8,4.000000000000005
2006-11-30,235.0,269.9,225.05,251.35,6.957446808510636
