Date,Open,High,Low,Close,Returns%
2000-01-31,76.5,88.0,72.4,82.4,7.712418300653602
2000-02-29,80.35,93.0,74.05,84.8,5.538270068450533
2000-03-31,84.9,85.0,62.0,67.3,-20.73027090694936
2000-04-30,67.95,69.75,46.8,47.25,-30.463576158940402
2000-05-31,46.4,57.5,44.25,54.5,17.456896551724142
2000-06-30,53.9,97.4,51.5,80.95,50.18552875695734
2000-07-31,82.0,92.95,72.5,77.75,-5.182926829268292
2000-08-31,77.05,88.45,72.6,81.45,5.71057754704738
2000-09-30,81.5,85.7,66.6,68.35,-16.13496932515338
2000-10-31,70.0,72.5,62.0,68.0,-2.857142857142857
2000-11-30,68.75,82.0,67.25,81.2,18.109090909090913
2000-12-31,81.0,100.9,77.5,98.2,21.23456790123457
2001-01-31,99.0,118.4,98.65,114.4,15.55555555555556
2001-02-28,113.5,181.0,111.0,146.05,28.678414096916306
2001-03-31,144.0,155.0,88.1,99.75,-30.729166666666668
2001-04-30,94.25,132.0,91.85,120.7,28.063660477453585
2001-05-31,123.9,154.8,113.0,146.35,18.11945117029862
2001-06-30,147.9,149.0,117.15,129.3,-12.576064908722106
2001-07-31,132.05,146.35,121.0,127.65,-3.3320711851571416
2001-08-31,129.1,137.0,116.1,117.4,-9.062742060418271
2001-09-30,117.5,121.95,93.05,100.35,-14.595744680851068
2001-10-31,101.0,116.1,91.7,105.2,4.158415841584161
2001-11-30,107.0,135.8,106.1,122.9,14.859813084112155
2001-12-31,130.0,142.0,110.0,119.65,-7.961538461538458
2002-01-31,121.0,131.0,111.0,115.6,-4.462809917355377
2002-02-28,116.95,136.4,116.15,119.25,1.9666524155622036
2002-03-31,119.5,132.4,112.1,113.25,-5.2301255230125525
2002-04-30,114.85,121.4,110.0,112.0,-2.481497605572481
2002-05-31,112.8,125.9,110.3,114.7,1.6843971631205725
2002-06-30,116.9,138.2,115.0,130.35,11.505560307955507
2002-07-31,131.8,134.8,100.8,103.8,-21.24430955993931
2002-08-31,105.0,108.75,98.1,101.95,-2.904761904761902
2002-09-30,102.95,104.4,89.0,95.75,-6.993686255463819
2002-10-31,95.1,104.0,93.95,96.15,1.1041009463722518
2002-11-30,96.2,107.65,95.05,106.7,10.914760914760915
2002-12-31,107.0,114.0,102.25,111.7,4.392523364485984
2003-01-31,112.3,114.95,106.05,111.1,-1.0685663401602876
2003-02-28,112.0,126.5,111.0,122.25,9.151785714285714
2003-03-31,123.0,123.65,110.15,113.15,-8.00813008130081
2003-04-30,113.95,120.85,112.6,119.75,5.089951733216321
