Date,Open,High,Low,Close,Returns%
2000-01-31,148.0,184.9,138.6,139.35,-5.844594594594598
2000-02-29,139.1,150.25,120.3,120.55,-13.335729690869877
2000-03-31,123.0,126.85,89.1,115.15,-6.382113821138207
2000-04-30,116.75,125.8,104.1,108.1,-7.408993576017136
2000-05-31,108.1,124.9,98.0,122.2,13.043478260869575
2000-06-30,124.0,141.5,117.9,118.45,-4.475806451612901
2000-07-31,119.9,145.7,110.0,117.95,-1.6263552960800691
2000-08-31,118.4,120.9,104.0,109.0,-7.939189189189194
2000-09-30,109.75,115.45,93.75,94.3,-14.077448747152621
2000-10-31,93.55,104.9,85.05,96.6,3.2602886157135194
2000-11-30,98.25,124.9,96.75,123.1,25.292620865139945
2000-12-31,122.25,132.9,117.5,130.1,6.421267893660527
2001-01-31,130.7,140.6,123.4,137.35,5.087987758224948
2001-02-28,136.1,164.55,133.0,154.5,13.519470977222634
2001-03-31,152.15,169.45,109.0,122.35,-19.585934932632277
2001-04-30,121.15,149.3,113.1,134.35,10.895583986793222
2001-05-31,136.4,147.4,118.6,141.2,3.5190615835777
2001-06-30,142.5,144.75,112.85,115.25,-19.12280701754386
2001-07-31,117.4,127.0,89.3,93.95,-19.97444633730835
2001-08-31,94.0,95.25,79.75,80.1,-14.787234042553196
2001-09-30,80.1,86.45,66.0,69.3,-13.483146067415728
2001-10-31,70.0,82.0,69.05,75.3,7.5714285714285685
2001-11-30,75.5,98.5,74.8,89.8,18.940397350993376
2001-12-31,90.25,98.4,79.15,87.1,-3.4903047091412804
2002-01-31,87.0,114.0,85.5,100.2,15.17241379310345
2002-02-28,101.9,115.8,97.55,105.65,3.680078508341511
2002-03-31,105.9,112.8,96.6,97.75,-7.695939565627956
2002-04-30,98.4,113.9,97.6,111.4,13.211382113821138
2002-05-31,112.25,123.4,104.05,109.55,-2.4053452115812943
2002-06-30,111.55,155.8,111.55,140.8,26.221425369789344
2002-07-31,141.75,146.85,117.55,124.8,-11.957671957671959
2002-08-31,126.45,127.25,113.8,123.55,-2.293396599446426
2002-09-30,125.3,126.5,114.65,116.25,-7.222665602553869
2002-10-31,116.5,126.6,113.1,125.3,7.553648068669526
2002-11-30,126.45,142.55,121.0,139.5,10.320284697508894
2002-12-31,140.05,152.0,135.1,151.55,8.211353088182792
2003-01-31,151.95,175.0,144.75,152.05,0.06581112207964643
2003-02-28,152.5,159.9,146.7,150.4,-1.377049180327865
2003-03-31,151.5,152.0,131.3,133.7,-11.749174917491757
2003-04-30,134.0,146.0,126.15,132.15,-1.3805970149253688
2003-05-31,132.4,168.0,131.0,158.0,19.335347432024165
2003-06-30,158.5,171.7,147.4,169.35,6.845425867507884
2003-07-31,171.0,213.7,167.65,208.05,21.66666666666667
2003-08-31,209.65,265.8,208.15,253.35,20.844264249940373
2003-09-30,253.0,300.0,243.05,271.35,7.2529644268774796
2003-10-31,272.8,363.45,269.15,357.85,31.176686217008804
2003-11-30,362.0,383.9,332.8,360.9,-0.3038674033149234
2003-12-31,364.0,469.8,352.1,443.3,21.78571428571429
2004-01-31,445.3,490.15,386.5,406.2,-8.780597350101061
2004-02-29,406.1,457.25,382.4,427.35,5.232701305097266
2004-03-31,434.7,451.9,352.1,383.65,-11.743731308948703
2004-04-30,383.0,425.0,355.0,357.95,-6.540469973890342
2004-05-31,356.0,368.6,232.0,296.25,-16.78370786516854
2004-06-30,300.0,323.7,268.1,300.95,0.3166666666666629
2004-07-31,302.0,396.35,280.25,391.95,29.784768211920525
2004-08-31,391.8,410.0,241.35,251.85,-35.7197549770291
2004-09-30,253.5,298.0,246.75,289.15,14.06311637080867
2004-10-31,289.5,305.3,278.0,287.8,-0.5872193436960237
2004-11-30,291.1,326.7,284.85,323.5,11.130195809000336
2004-12-31,323.5,396.9,314.15,385.1,19.041731066460592
2005-01-31,395.0,400.0,329.0,386.45,-2.1645569620253196
2005-02-28,390.0,425.9,380.25,422.25,8.26923076923077
2005-03-31,421.0,446.65,391.1,401.05,-4.738717339667455
2005-04-30,403.25,412.45,339.35,340.95,-15.449473031618105
2005-05-31,345.0,369.0,339.1,363.3,5.30434782608696
2005-06-30,364.0,372.6,330.0,339.75,-6.662087912087912
2005-07-31,342.0,401.0,336.1,367.65,7.499999999999994
2005-08-31,367.45,416.9,360.0,390.55,6.286569601306306
2005-09-30,392.7,455.65,349.9,423.5,7.843137254901963
2005-10-31,423.0,436.1,329.0,339.4,-19.76359338061466
2005-11-30,345.0,375.0,331.0,349.7,1.3623188405797069
2005-12-31,356.9,384.7,345.85,379.95,6.458391706360328
2006-01-31,381.95,407.5,343.6,404.45,5.8908234062050004
2006-02-28,406.0,437.85,379.1,431.0,6.157635467980295
2006-03-31,431.3,542.5,425.2,536.5,24.391374913053554
2006-04-30,541.0,745.0,531.05,645.85,19.38077634011091
2006-05-31,649.1,680.0,430.0,517.2,-20.320443691264824
2006-06-30,530.0,546.0,375.65,533.65,0.6886792452830146
2006-07-31,537.0,566.1,405.0,496.2,-7.597765363128493
2006-08-31,493.3,542.8,487.0,496.25,0.5980133792823816
2006-09-30,492.6,537.35,484.45,535.65,8.739342265529832
2006-10-31,538.4,548.7,487.25,490.45,-8.906017830609212
2006-11-30,495.5,512.0,458.55,467.9,-5.570131180625635
2006-12-31,470.0,502.0,424.75,482.25,2.606382978723404
2007-01-31,481.0,539.0,450.1,464.9,-3.3471933471933517
2007-02-28,469.9,483.0,426.25,442.5,-5.831027878271968
2007-03-31,445.7,465.65,399.15,449.65,0.8862463540498068
2007-04-30,441.0,585.95,421.25,549.45,24.591836734693885
2007-05-31,555.0,669.55,540.25,632.15,13.900900900900897
2007-06-30,635.1,646.9,576.65,597.4,-5.936073059360737
2007-07-31,597.4,732.4,591.0,656.25,9.851021091396053
2007-08-31,652.95,692.8,527.5,689.7,5.628302320238915
2007-09-30,690.0,868.45,676.05,850.5,23.26086956521739
2007-10-31,855.0,1048.0,769.0,905.8,5.941520467836252
2007-11-30,925.0,935.0,774.9,825.9,-10.713513513513515
2007-12-31,830.0,947.25,802.35,935.4,12.69879518072289
2008-01-31,939.0,957.0,538.0,738.6,-21.341853035143767
2008-02-29,740.0,846.0,702.0,801.75,8.344594594594595
2008-03-31,785.1,831.8,573.5,694.35,-11.559037065341995
2008-04-30,699.0,823.6,638.55,818.25,17.06008583690987
2008-05-31,821.0,925.5,786.25,902.8,9.963459196102308
2008-06-30,906.0,915.95,680.0,728.85,-19.552980132450326
2008-07-31,722.5,750.0,577.8,655.1,-9.328719723183388
2008-08-31,652.35,700.0,567.15,600.7,-7.9175289338545225
2008-09-30,598.0,598.0,412.65,427.15,-28.57023411371238
2008-10-31,430.0,446.9,150.0,209.75,-51.22093023255814
2008-11-30,223.0,254.8,137.5,151.4,-32.10762331838565
2008-12-31,154.8,237.4,146.5,217.2,40.31007751937983
2009-01-31,218.0,260.7,165.05,184.6,-15.321100917431195
2009-02-28,182.9,203.85,156.15,172.8,-5.522143247676323
2009-03-31,170.2,227.3,148.7,205.9,20.975323149236203
2009-04-30,207.05,299.0,202.95,238.1,14.996377686549133
2009-05-31,245.0,412.7,244.0,405.35,65.44897959183675
2009-06-30,420.0,498.8,379.3,390.65,-6.9880952380952435
2009-07-31,392.0,474.8,330.1,462.35,17.946428571428577
2009-08-31,465.15,492.0,418.65,424.25,-8.79286251746748
