Date,Open,High,Low,Close,Returns%
2000-01-31,22.0,22.0,16.5,17.3,-21.36363636363636
2000-02-29,16.0,20.75,14.0,16.65,4.062499999999991
2000-03-31,16.0,16.45,11.0,15.0,-6.25
2000-04-30,15.25,16.7,12.5,14.25,-6.557377049180328
2000-05-31,13.7,18.0,13.7,17.4,27.00729927007299
2000-06-30,17.25,19.25,16.5,17.6,2.028985507246385
2000-07-31,17.15,22.95,16.0,22.6,31.778425655976694
2000-08-31,21.8,24.5,20.2,23.35,7.110091743119268
2000-09-30,23.0,23.35,19.0,19.5,-15.217391304347826
2000-10-31,20.0,22.5,19.0,20.3,1.5000000000000036
2000-11-30,20.0,21.5,19.05,20.5,2.5
2000-12-31,20.5,21.9,18.5,19.0,-7.317073170731708
2001-01-31,19.65,19.65,16.2,17.7,-9.923664122137403
2001-02-28,17.5,22.0,15.55,19.4,10.857142857142849
2001-03-31,19.55,19.6,16.0,17.85,-8.69565217391304
2001-04-30,17.55,21.5,16.5,20.55,17.094017094017094
2001-05-31,21.05,22.5,20.0,21.95,4.275534441805219
2001-06-30,21.75,23.5,17.8,19.1,-12.183908045977006
2001-07-31,17.9,23.0,13.5,16.5,-7.821229050279323
2001-08-31,15.15,17.0,15.15,16.0,5.610561056105609
2001-09-30,15.6,16.0,14.5,14.85,-4.8076923076923075
2001-10-31,14.6,17.5,14.0,16.5,13.013698630136988
2001-11-30,16.35,19.5,16.35,18.1,10.703363914373087
2001-12-31,18.25,19.5,16.0,17.7,-3.0136986301369904
2002-01-31,17.95,20.4,15.5,15.9,-11.420612813370468
2002-02-28,16.0,17.95,15.8,16.15,0.9374999999999911
2002-03-31,16.3,17.9,15.8,16.2,-0.6134969325153461
2002-04-30,16.5,18.9,16.0,18.3,10.909090909090912
2002-05-31,18.2,29.5,18.2,24.35,33.7912087912088
2002-06-30,26.0,43.95,24.0,42.4,63.076923076923066
2002-07-31,42.95,48.0,33.3,36.05,-16.065192083818406
2002-08-31,37.7,42.0,34.65,34.95,-7.294429708222811
2002-09-30,35.4,36.25,31.1,33.05,-6.638418079096049
2002-10-31,32.7,35.95,26.4,31.7,-3.058103975535179
2002-11-30,31.75,33.4,28.5,31.35,-1.259842519685035
2002-12-31,32.0,37.4,31.0,35.5,10.9375
2003-01-31,36.8,42.5,34.35,35.15,-4.4836956521739095
2003-02-28,35.15,38.0,33.75,35.25,0.28449502133713067
2003-03-31,35.25,35.3,29.1,32.7,-7.234042553191482
2003-04-30,32.95,35.75,31.7,32.85,-0.3034901365705657
2003-05-31,34.85,48.5,33.5,46.35,32.998565279770446
2003-06-30,46.55,60.25,43.8,59.8,28.4640171858217
2003-07-31,59.5,63.0,49.0,56.35,-5.294117647058822
2003-08-31,55.0,98.4,54.0,81.1,47.454545454545446
2003-09-30,82.0,82.4,65.2,75.75,-7.621951219512195
2003-10-31,73.25,88.95,72.0,79.85,9.010238907849821
2003-11-30,84.1,104.9,77.0,103.65,23.246135552913213
2003-12-31,104.9,160.0,103.5,146.6,39.75214489990466
2004-01-31,148.3,154.5,107.0,115.0,-22.454484153742417
2004-02-29,115.0,125.65,102.5,113.6,-1.217391304347831
2004-03-31,116.4,118.0,82.75,88.3,-24.140893470790385
2004-04-30,89.8,117.85,89.8,105.1,17.037861915367483
2004-05-31,106.85,116.0,82.05,90.6,-15.208235844642022
2004-06-30,94.9,104.8,83.0,86.05,-9.325605900948375
2004-07-31,90.5,144.25,66.5,136.55,50.883977900552495
2004-08-31,137.7,151.95,127.25,141.75,2.941176470588244
