Date,Open,High,Low,Close,Returns%
2000-01-31,147.0,154.0,130.05,134.7,-8.367346938775517
2000-02-29,134.0,140.0,104.1,105.45,-21.305970149253728
2000-03-31,110.5,112.0,80.75,83.5,-24.43438914027149
2000-04-30,84.5,121.9,78.0,99.5,17.75147928994083
2000-05-31,98.05,107.8,88.0,99.3,1.2748597654258031
2000-06-30,98.2,121.8,92.55,95.1,-3.15682281059064
2000-07-31,99.0,105.0,85.0,89.15,-9.949494949494945
2000-08-31,89.85,90.85,78.4,85.1,-5.286588759042849
2000-09-30,85.0,86.5,73.15,75.0,-11.764705882352942
2000-10-31,74.25,75.4,58.9,63.6,-14.34343434343434
2000-11-30,63.0,80.9,60.5,72.95,15.793650793650798
2000-12-31,70.5,100.0,70.5,98.2,39.290780141843975
2001-01-31,100.0,114.95,87.1,94.9,-5.099999999999994
2001-02-28,95.0,116.0,88.45,91.8,-3.368421052631582
2001-03-31,93.9,97.9,56.6,58.35,-37.8594249201278
2001-04-30,57.55,65.35,46.55,58.85,2.2589052997393644
2001-05-31,61.9,68.25,51.25,62.0,0.16155088852988922
2001-06-30,62.85,62.9,42.05,43.8,-30.310262529832944
2001-07-31,44.5,48.5,41.15,42.1,-5.393258426966289
2001-08-31,42.0,51.3,42.0,47.15,12.26190476190476
2001-09-30,47.4,53.8,38.25,44.2,-6.7510548523206655
2001-10-31,44.05,51.5,41.6,45.8,3.9727582292849037
2001-11-30,47.25,74.95,45.95,72.5,53.439153439153436
2001-12-31,74.25,80.05,62.05,67.0,-9.764309764309765
2002-01-31,68.9,77.5,63.65,69.8,1.306240928882426
2002-02-28,70.0,92.5,68.15,76.65,9.500000000000009
2002-03-31,79.0,84.45,74.0,78.25,-0.9493670886075949
2002-04-30,79.0,112.4,79.0,107.45,36.01265822784811
2002-05-31,111.2,145.65,102.3,129.7,16.636690647482002
2002-06-30,130.15,143.2,128.0,128.45,-1.3061851709566017
2002-07-31,129.0,162.5,123.0,131.6,2.015503875968988
2002-08-31,130.0,145.0,129.05,136.8,5.23076923076924
2002-09-30,139.9,140.5,116.5,128.75,-7.969978556111511
2002-10-31,129.85,132.5,120.05,130.35,0.3850596842510589
2002-11-30,133.0,147.4,123.1,124.7,-6.240601503759397
2002-12-31,126.0,150.9,125.5,142.2,12.857142857142849
2003-01-31,142.4,159.0,134.3,148.25,4.108146067415726
2003-02-28,149.5,154.45,126.55,152.4,1.9397993311036827
2003-03-31,153.9,154.95,138.0,138.15,-10.23391812865497
2003-04-30,138.0,146.5,133.25,138.55,0.3985507246376894
2003-05-31,139.85,209.8,137.7,201.05,43.76117268501968
2003-06-30,202.0,275.0,202.0,272.7,34.99999999999999
2003-07-31,275.9,295.0,227.0,243.65,-11.689017760057983
2003-08-31,247.0,289.0,236.1,284.55,15.202429149797574
2003-09-30,290.0,303.0,251.0,283.9,-2.103448275862077
2003-10-31,286.95,321.1,250.0,313.2,9.147935180345009
2003-11-30,312.0,340.0,291.0,320.9,2.852564102564095
2003-12-31,324.95,450.0,315.1,414.7,27.61963378981382
2004-01-31,416.0,489.45,370.1,378.8,-8.94230769230769
2004-02-29,382.6,405.0,315.1,331.3,-13.40825927861997
2004-03-31,364.0,399.0,344.0,369.05,1.3873626373626404
2004-04-30,390.0,430.0,371.0,414.8,6.358974358974361
2004-05-31,408.0,425.0,340.1,377.7,-7.426470588235296
2004-06-30,371.05,398.0,340.0,380.65,2.587252391860926
2004-07-31,388.0,405.0,360.65,390.4,0.618556701030922
2004-08-31,399.0,450.0,370.1,428.8,7.468671679197997
2004-09-30,435.0,440.0,415.1,428.95,-1.390804597701152
2004-10-31,422.2,465.0,416.0,446.3,5.7081951681667515
2004-11-30,449.0,496.0,425.0,494.75,10.189309576837417
2004-12-31,495.0,560.0,475.0,546.55,10.414141414141405
2005-01-31,542.7,575.8,471.0,569.6,4.956697991523858
2005-02-28,570.0,619.9,550.0,560.9,-1.5964912280701795
