Date,Open,High,Low,Close,Returns%
2000-01-31,784.0,873.0,725.0,729.65,-6.9323979591836755
2000-02-29,730.0,1100.0,690.0,806.6,10.493150684931509
2000-03-31,850.0,864.8,680.25,739.65,-12.982352941176472
2000-04-30,743.0,775.0,616.55,642.85,-13.479138627187076
2000-05-31,633.0,725.05,565.0,684.75,8.175355450236967
2000-06-30,676.05,686.0,373.0,402.3,-40.49256711781672
2000-07-31,408.0,444.95,374.0,389.95,-4.42401960784314
2000-08-31,385.0,395.7,335.0,376.0,-2.3376623376623376
2000-09-30,375.0,392.0,303.4,317.2,-15.413333333333336
2000-10-31,312.0,323.85,255.05,268.7,-13.878205128205131
2000-11-30,271.0,350.0,271.0,335.7,23.87453874538745
2000-12-31,337.75,357.0,296.0,308.7,-8.601036269430054
2001-01-31,305.5,321.0,281.0,297.15,-2.7332242225859322
2001-02-28,297.0,329.9,261.0,265.45,-10.622895622895626
2001-03-31,262.0,279.8,210.0,210.25,-19.751908396946565
2001-04-30,200.0,226.0,192.0,198.5,-0.75
2001-05-31,205.0,274.0,186.9,262.8,28.195121951219516
2001-06-30,265.0,288.0,246.15,265.1,0.037735849056612356
2001-07-31,265.0,279.8,247.0,276.5,4.339622641509434
2001-08-31,276.8,327.0,270.05,288.05,4.0643063583815024
2001-09-30,294.0,294.0,230.0,252.8,-14.013605442176868
2001-10-31,248.0,290.0,247.0,288.8,16.45161290322581
2001-11-30,287.0,299.9,255.0,272.5,-5.052264808362369
2001-12-31,269.8,282.5,225.55,238.9,-11.4529280948851
2002-01-31,243.0,246.75,227.0,235.7,-3.0041152263374533
2002-02-28,235.95,270.1,234.6,255.75,8.391608391608397
2002-03-31,269.8,269.8,238.25,248.2,-8.005930318754642
2002-04-30,250.0,268.45,243.05,253.0,1.2
2002-05-31,252.25,306.95,250.0,276.0,9.415262636273539
2002-06-30,276.0,289.0,262.0,272.45,-1.2862318840579752
2002-07-31,269.5,287.9,238.25,246.7,-8.460111317254178
2002-08-31,249.0,252.5,228.0,237.5,-4.618473895582329
2002-09-30,242.0,248.45,224.1,226.5,-6.404958677685951
2002-10-31,225.5,229.65,219.0,222.75,-1.2195121951219512
2002-11-30,224.0,243.0,220.0,237.85,6.183035714285713
2002-12-31,244.95,260.0,226.05,227.2,-7.246376811594203
2003-01-31,227.0,249.0,210.0,217.1,-4.361233480176214
2003-02-28,218.0,239.0,210.25,225.05,3.2339449541284457
2003-03-31,227.05,232.0,195.1,195.7,-13.807531380753147
2003-04-30,202.1,208.5,184.5,185.15,-8.386937159821866
2003-05-31,188.0,220.0,185.1,198.9,5.797872340425534
2003-06-30,205.0,217.0,198.0,214.05,4.414634146341469
2003-07-31,214.0,244.85,211.35,229.4,7.196261682242993
2003-08-31,228.5,250.0,214.85,236.1,3.326039387308531
2003-09-30,241.9,241.9,210.75,226.3,-6.448945845390655
2003-10-31,232.0,293.9,224.0,263.25,13.469827586206897
2003-11-30,268.95,392.7,265.0,349.65,30.005577244841046
2003-12-31,350.0,500.0,341.1,461.45,31.842857142857138
2004-01-31,466.0,590.0,426.0,495.0,6.223175965665236
2004-02-29,500.0,524.0,451.55,466.45,-6.710000000000002
2004-03-31,467.0,489.9,328.05,464.0,-0.6423982869379015
2004-04-30,469.6,514.9,450.1,467.65,-0.4152470187393623
2004-05-31,460.0,508.9,345.0,407.5,-11.41304347826087
2004-06-30,415.0,429.9,354.0,371.9,-10.385542168674704
2004-07-31,376.4,424.0,367.5,399.15,6.044102019128587
2004-08-31,400.0,498.8,380.05,471.1,17.775000000000006
2004-09-30,476.95,512.5,471.1,494.3,3.6376978718943334
2004-10-31,494.0,581.0,466.0,470.05,-4.84817813765182
2004-11-30,474.0,529.95,466.55,490.4,3.459915611814341
2004-12-31,499.1,549.9,458.0,459.6,-7.914245642155881
2005-01-31,469.9,478.0,407.25,455.85,-2.9899978718876263
