Date,Open,High,Low,Close,Returns%
2000-01-31,40.4,45.0,34.0,35.15,-12.995049504950495
2000-02-29,34.15,37.55,28.8,28.85,-15.51976573938506
2000-03-31,28.8,29.95,21.0,24.25,-15.798611111111112
2000-04-30,25.9,31.8,22.65,28.6,10.424710424710437
2000-05-31,28.3,30.1,22.5,29.75,5.123674911660776
2000-06-30,29.5,41.95,28.25,35.8,21.355932203389823
2000-07-31,35.5,38.15,32.2,35.6,0.28169014084507443
2000-08-31,35.5,40.0,29.95,31.0,-12.67605633802817
2000-09-30,30.95,33.45,29.5,30.25,-2.2617124394184147
2000-10-31,29.35,35.8,25.35,34.85,18.739352640545142
2000-11-30,36.9,39.4,33.7,37.9,2.710027100271003
2000-12-31,37.2,38.85,32.6,35.45,-4.704301075268817
2001-01-31,35.0,41.95,34.0,36.5,4.285714285714286
2001-02-28,36.9,46.5,34.25,39.0,5.69105691056911
2001-03-31,38.55,39.65,27.75,30.0,-22.178988326848245
2001-04-30,29.5,31.95,26.25,27.35,-7.288135593220334
2001-05-31,28.0,35.0,27.5,31.95,14.107142857142856
2001-06-30,31.65,31.95,28.0,28.4,-10.268562401263823
2001-07-31,27.9,30.0,22.5,24.95,-10.573476702508959
2001-08-31,25.5,26.4,23.5,23.8,-6.666666666666664
2001-09-30,24.0,24.25,20.75,22.25,-7.291666666666667
2001-10-31,22.55,23.0,20.65,21.6,-4.2128603104212825
2001-11-30,21.8,27.6,21.0,26.9,23.394495412844027
2001-12-31,26.0,29.75,24.5,28.3,8.846153846153848
2002-01-31,28.95,30.1,25.0,25.0,-13.644214162348876
2002-02-28,25.0,33.75,23.5,27.1,8.400000000000006
2002-03-31,26.9,33.0,26.5,31.1,15.613382899628265
2002-04-30,31.0,44.65,29.55,37.2,20.000000000000007
2002-05-31,39.9,42.5,32.0,36.4,-8.771929824561404
2002-06-30,35.5,53.25,35.5,51.0,43.66197183098591
2002-07-31,52.25,56.0,41.5,42.9,-17.894736842105264
2002-08-31,43.9,48.9,43.1,45.95,4.669703872437368
2002-09-30,47.0,49.5,39.1,41.8,-11.063829787234047
2002-10-31,42.1,50.55,41.1,43.45,3.2066508313539224
2002-11-30,44.2,45.5,41.8,43.25,-2.149321266968332
2002-12-31,43.3,48.9,43.3,45.05,4.041570438799076
2003-01-31,45.0,52.0,43.0,43.75,-2.7777777777777777
2003-02-28,43.5,45.65,42.75,44.7,2.758620689655179
2003-03-31,44.7,45.25,36.75,37.85,-15.324384787472038
2003-04-30,37.5,42.75,37.3,38.55,2.7999999999999923
2003-05-31,38.25,52.7,38.2,50.35,31.63398692810458
2003-06-30,51.5,57.85,51.0,54.25,5.339805825242719
2003-07-31,56.9,64.95,47.6,59.0,3.690685413005275
2003-08-31,58.85,72.2,56.5,71.2,20.985556499575196
2003-09-30,70.5,97.75,61.9,95.55,35.531914893617014
2003-10-31,97.0,97.0,74.0,83.3,-14.123711340206189
2003-11-30,84.8,95.0,80.1,89.15,5.129716981132086
2003-12-31,90.0,103.95,85.75,95.55,6.166666666666664
2004-01-31,97.9,101.8,72.0,80.3,-17.97752808988765
2004-02-29,80.2,81.0,66.5,68.35,-14.775561097256869
