Date,Open,High,Low,Close,Returns%
2000-01-31,141.95,157.5,116.0,118.35,-16.625572384642478
2000-02-29,116.25,129.0,93.0,100.3,-13.720430107526884
2000-03-31,106.45,112.0,75.0,89.1,-16.29873179896666
2000-04-30,90.05,102.9,75.65,77.55,-13.8811771238201
2000-05-31,75.25,87.0,64.6,81.65,8.504983388704327
2000-06-30,78.5,86.75,75.0,77.15,-1.719745222929929
2000-07-31,79.9,90.0,71.5,72.4,-9.386733416770962
2000-08-31,73.0,75.0,65.0,69.65,-4.589041095890403
2000-09-30,69.2,80.0,65.6,66.0,-4.624277456647403
2000-10-31,66.0,71.0,61.05,64.0,-3.0303030303030303
2000-11-30,65.25,83.9,64.1,82.4,26.283524904214566
2000-12-31,82.0,90.0,73.3,81.85,-0.18292682926829962
2001-01-31,83.0,90.05,75.4,83.25,0.30120481927710846
2001-02-28,82.0,99.75,76.6,87.55,6.768292682926827
2001-03-31,89.45,92.0,57.2,69.2,-22.638345444382335
2001-04-30,67.0,72.9,63.75,66.9,-0.1492537313432751
2001-05-31,68.0,76.75,63.0,72.05,5.955882352941172
2001-06-30,71.15,72.95,59.55,63.55,-10.68165846802531
2001-07-31,62.05,72.25,55.6,59.55,-4.0290088638195005
2001-08-31,58.45,66.85,55.65,61.5,5.218135158254913
2001-09-30,61.55,66.5,54.35,62.95,2.2745735174654844
2001-10-31,62.0,67.1,61.0,63.7,2.7419354838709724
2001-11-30,63.5,83.95,63.0,72.45,14.094488188976381
2001-12-31,74.0,80.55,67.25,70.85,-4.256756756756764
2002-01-31,71.5,75.85,58.0,67.6,-5.454545454545462
2002-02-28,68.0,82.95,66.6,71.35,4.9264705882352855
2002-03-31,72.0,136.0,70.3,124.2,72.5
2002-04-30,125.9,187.7,117.0,171.55,36.25893566322479
2002-05-31,174.8,184.0,130.4,158.95,-9.067505720823812
2002-06-30,155.0,168.5,145.05,152.0,-1.935483870967742
2002-07-31,153.05,162.4,118.0,130.45,-14.766416203854963
2002-08-31,126.0,154.35,122.0,144.9,15.000000000000004
2002-09-30,145.0,175.5,142.3,158.45,9.275862068965509
2002-10-31,156.15,170.0,150.25,165.7,6.115914185078439
2002-11-30,163.0,165.0,141.25,145.55,-10.70552147239263
2002-12-31,148.0,173.8,148.0,167.9,13.44594594594595
2003-01-31,169.1,182.0,137.55,153.15,-9.43228858663512
2003-02-28,157.8,172.4,142.05,160.5,1.7110266159695744
2003-03-31,162.0,168.0,152.1,152.6,-5.802469135802473
2003-04-30,153.2,162.1,131.7,147.9,-3.4595300261096495
2003-05-31,139.0,167.45,129.7,163.7,17.769784172661865
2003-06-30,154.0,195.95,154.0,191.15,24.123376623376625
2003-07-31,186.0,232.0,180.0,218.5,17.473118279569892
2003-08-31,224.9,228.0,192.5,204.8,-8.937305469097375
2003-09-30,209.0,220.0,190.0,204.3,-2.248803827751191
2003-10-31,201.25,244.0,197.1,229.75,14.161490683229813
2003-11-30,230.0,261.85,208.0,245.65,6.804347826086959
2003-12-31,246.0,299.0,229.1,277.85,12.947154471544724
2004-01-31,293.0,293.0,223.4,233.35,-20.35836177474403
2004-02-29,231.25,239.95,209.5,223.6,-3.3081081081081107
2004-03-31,222.0,228.0,180.3,202.4,-8.828828828828827
2004-04-30,204.0,315.0,203.6,280.8,37.64705882352941
2004-05-31,281.05,308.0,209.3,236.95,-15.691158156911587
2004-06-30,241.0,291.0,232.0,268.5,11.410788381742739
2004-07-31,267.0,302.0,251.1,289.65,8.483146067415722
2004-08-31,290.35,374.4,280.0,347.0,19.510935078353704
2004-09-30,353.0,394.85,326.5,329.9,-6.543909348441932
2004-10-31,328.05,359.9,301.0,340.4,3.764670019814042
2004-11-30,341.0,637.0,341.0,560.55,64.38416422287389
2004-12-31,585.5,608.0,485.0,585.6,0.01707941929974769
2005-01-31,588.0,640.0,505.0,571.35,-2.8316326530612206
2005-02-28,571.0,611.75,535.0,575.4,0.7705779334500836
2005-03-31,579.0,713.9,515.5,532.2,-8.082901554404136
2005-04-30,534.0,615.0,516.1,554.6,3.857677902621727
2005-05-31,555.0,712.8,521.05,680.1,22.540540540540544
2005-06-30,685.0,725.0,652.0,657.1,-4.072992700729924
2005-07-31,670.0,693.95,647.0,672.0,0.29850746268656714
2005-08-31,664.0,987.0,655.0,911.45,37.26656626506025
2005-09-30,890.0,965.0,800.0,883.15,-0.7696629213483172
2005-10-31,885.0,927.0,712.0,755.3,-14.655367231638422
2005-11-30,788.9,924.9,750.0,869.2,10.178729877043995
2005-12-31,864.0,1000.0,826.0,906.05,4.866898148148143
2006-01-31,910.0,1048.0,867.0,915.3,0.5824175824175775
2006-02-28,930.0,955.0,861.55,890.05,-4.295698924731187
2006-03-31,905.0,970.0,835.0,914.85,1.088397790055251
2006-04-30,918.9,1015.0,801.25,854.5,-7.008379584285557
2006-05-31,860.0,958.05,721.0,882.45,2.610465116279075
2006-06-30,879.95,887.55,627.15,705.5,-19.8249900562532
2006-07-31,715.0,720.0,640.5,692.2,-3.1888111888111825
2006-08-31,682.0,841.0,682.0,835.25,22.470674486803517
2006-09-30,828.5,920.0,820.0,884.2,6.722993361496687
2006-10-31,935.55,935.55,829.7,849.85,-9.16038693816471
2006-11-30,855.0,896.9,755.55,891.3,4.245614035087714
2006-12-31,865.0,915.0,802.8,885.65,2.387283236994217
2007-01-31,899.9,900.0,795.0,811.25,-9.851094566062894
2007-02-28,812.1,850.5,721.05,731.0,-9.986454870089892
2007-03-31,745.0,790.0,630.9,683.4,-8.268456375838928
2007-04-30,689.0,740.0,672.15,722.0,4.78955007256894
2007-05-31,730.0,800.0,690.0,709.65,-2.7876712328767153
2007-06-30,707.1,771.0,656.9,716.65,1.3505869042568173
2007-07-31,711.1,790.0,690.0,692.7,-2.5875404303192204
2007-08-31,696.7,700.0,607.6,677.1,-2.813262523324246
2007-09-30,672.35,705.0,562.5,566.2,-15.787908083587414
2007-10-31,570.0,615.0,475.0,507.9,-10.894736842105265
2007-11-30,512.0,586.7,486.6,526.5,2.83203125
2007-12-31,526.1,828.0,526.1,783.2,48.86903630488501
