Date,Open,High,Low,Close,Returns%
2000-01-31,23.5,26.45,18.0,18.25,-22.340425531914892
2000-02-29,17.5,62.6,17.5,40.85,133.42857142857142
2000-03-31,38.3,51.55,24.1,24.1,-37.075718015665785
2000-04-30,22.2,31.75,14.9,15.05,-32.207207207207205
2000-05-31,14.1,18.3,10.55,15.05,6.737588652482278
2000-06-30,15.0,15.0,12.5,13.0,-13.333333333333334
2000-07-31,13.0,14.0,12.25,13.45,3.461538461538456
2000-08-31,13.5,21.5,12.0,20.6,52.5925925925926
2000-09-30,20.4,24.9,14.05,15.5,-24.01960784313725
2000-10-31,15.5,20.3,14.25,19.15,23.548387096774185
2000-11-30,20.05,27.0,18.0,26.25,30.922693266832912
2000-12-31,25.3,50.9,25.25,39.4,55.73122529644268
2001-01-31,39.8,40.8,25.6,36.0,-9.54773869346733
2001-02-28,36.5,41.5,32.1,35.75,-2.0547945205479454
2001-03-31,36.9,37.95,18.15,18.7,-49.32249322493225
2001-04-30,19.85,21.5,16.0,18.2,-8.312342569269532
2001-05-31,19.85,27.5,16.25,26.0,30.98236775818639
2001-06-30,25.95,26.75,18.1,20.5,-21.0019267822736
2001-07-31,21.0,22.0,18.6,20.6,-1.904761904761898
2001-08-31,20.15,22.45,16.5,16.55,-17.866004962779147
2001-09-30,16.25,17.0,10.95,11.8,-27.38461538461538
2001-10-31,12.5,17.0,12.1,16.25,30.0
2001-11-30,16.4,18.65,13.75,14.9,-9.146341463414625
2001-12-31,15.3,16.35,9.05,10.85,-29.084967320261445
2002-01-31,10.55,12.45,9.55,9.85,-6.635071090047403
2002-02-28,11.7,15.75,9.9,12.5,6.837606837606844
2002-03-31,12.45,15.4,12.0,13.65,9.63855421686748
2002-04-30,13.7,22.0,13.25,20.6,50.364963503649655
2002-05-31,21.0,23.2,16.0,16.65,-20.71428571428572
2002-06-30,17.25,26.45,17.1,23.8,37.97101449275363
2002-07-31,24.45,35.0,21.1,22.8,-6.7484662576687064
2002-08-31,23.9,24.9,21.5,21.8,-8.78661087866108
2002-09-30,22.75,24.0,19.6,19.7,-13.406593406593409
2002-10-31,21.0,21.9,18.65,21.25,1.1904761904761905
2002-11-30,21.6,21.6,18.0,20.2,-6.481481481481492
2002-12-31,20.2,22.9,16.95,19.8,-1.9801980198019733
2003-01-31,19.65,20.35,16.5,16.6,-15.521628498727722
2003-02-28,15.0,18.3,15.0,17.3,15.333333333333337
2003-03-31,17.8,17.8,12.7,16.35,-8.146067415730334
2003-04-30,16.0,19.0,14.5,17.25,7.8125
2003-05-31,17.8,24.7,17.25,22.65,27.24719101123594
2003-06-30,22.6,29.0,20.55,25.4,12.389380530973439
2003-07-31,25.5,31.45,25.25,28.5,11.764705882352942
2003-08-31,29.75,40.0,27.75,34.0,14.285714285714286
2003-09-30,34.75,39.9,30.5,39.45,13.525179856115116
2003-10-31,39.85,44.95,29.9,30.85,-22.58469259723965
2003-11-30,31.95,42.9,28.05,39.1,22.378716744913934
2003-12-31,40.0,59.65,38.5,51.8,29.499999999999993
2004-01-31,52.45,53.0,38.0,41.6,-20.68636796949476
2004-02-29,42.5,43.35,33.0,35.5,-16.470588235294116
2004-03-31,35.15,36.05,26.5,31.6,-10.099573257467986
