Date,Open,High,Low,Close,Returns%
2000-01-31,111.0,123.1,97.3,97.3,-12.342342342342345
2000-02-29,91.0,105.0,67.05,70.35,-22.692307692307697
2000-03-31,72.8,73.7,56.1,64.5,-11.401098901098898
2000-04-30,69.5,69.5,55.05,56.15,-19.208633093525183
2000-05-31,55.5,58.0,43.0,54.15,-2.432432432432435
2000-06-30,53.05,63.0,51.0,55.15,3.95852968897267
2000-07-31,55.6,67.0,49.1,49.65,-10.701438848920867
2000-08-31,52.2,52.2,41.0,44.95,-13.888888888888888
2000-09-30,45.8,58.0,43.0,44.1,-3.7117903930130915
2000-10-31,43.25,45.5,37.1,39.3,-9.132947976878619
2000-11-30,39.25,73.7,39.25,73.7,87.77070063694269
2000-12-31,75.5,98.7,68.7,73.85,-2.1854304635761665
2001-01-31,72.65,106.0,72.65,100.35,38.12801101169992
2001-02-28,97.95,114.0,80.0,83.4,-14.854517611026031
2001-03-31,84.85,89.45,52.0,52.9,-37.654684737772534
2001-04-30,52.3,72.0,46.0,61.7,17.973231357552592
2001-05-31,61.65,66.4,52.0,61.55,-0.16220600162206233
2001-06-30,62.45,63.6,46.65,50.7,-18.815052041633304
2001-07-31,52.0,54.9,48.0,52.25,0.4807692307692308
2001-08-31,52.1,55.8,49.8,55.05,5.662188099808053
2001-09-30,55.5,59.45,43.0,49.0,-11.711711711711711
2001-10-31,48.0,52.0,41.3,45.35,-5.520833333333331
2001-11-30,45.9,63.85,45.45,56.05,22.113289760348582
2001-12-31,56.05,63.0,45.5,50.05,-10.704727921498662
2002-01-31,51.0,53.0,46.5,47.75,-6.372549019607843
2002-02-28,48.0,55.0,46.1,48.05,0.10416666666666075
2002-03-31,47.3,53.9,45.1,48.3,2.1141649048625792
2002-04-30,46.0,62.7,46.0,57.85,25.760869565217398
2002-05-31,59.95,75.35,57.0,68.55,14.345287739783142
2002-06-30,70.0,122.65,69.85,119.05,70.07142857142857
2002-07-31,124.8,124.8,75.0,77.3,-38.06089743589744
2002-08-31,78.2,97.8,76.25,83.4,6.6496163682864475
2002-09-30,84.2,94.25,75.3,79.6,-5.463182897862243
2002-10-31,79.9,86.0,64.05,65.6,-17.897371714643317
2002-11-30,63.0,69.7,57.25,67.5,7.142857142857143
2002-12-31,68.9,74.0,64.8,68.95,0.07256894049346467
2003-01-31,70.9,79.8,60.75,65.35,-7.827926657263768
2003-02-28,66.5,77.7,65.5,71.45,7.443609022556395
2003-03-31,72.3,72.9,60.3,61.35,-15.145228215767629
2003-04-30,62.5,89.8,61.5,82.25,31.6
2003-05-31,81.5,147.85,81.4,133.4,63.680981595092035
2003-06-30,129.0,171.9,128.0,165.95,28.64341085271317
2003-07-31,169.0,203.5,157.55,171.65,1.5680473372781099
2003-08-31,174.0,230.0,151.5,210.6,21.034482758620687
2003-09-30,214.2,306.75,207.0,303.65,41.76003734827263
2003-10-31,302.05,316.9,257.45,311.0,2.9630855818573045
2003-11-30,310.25,453.7,302.0,441.5,42.30459307010475
2003-12-31,448.7,644.7,441.0,593.4,32.248718520169376
2004-01-31,604.2,700.0,567.75,604.7,0.08275405494869248
2004-02-29,605.0,725.0,550.1,583.65,-3.5289256198347143
2004-03-31,588.05,644.8,411.05,478.5,-18.62936825099906
2004-04-30,480.0,543.65,411.0,417.95,-12.927083333333336
2004-05-31,424.0,452.0,282.5,353.85,-16.54481132075471
2004-06-30,360.0,420.0,318.05,384.65,6.847222222222216
2004-07-31,385.1,544.5,335.2,538.0,39.70397299402752
2004-08-31,543.0,583.75,525.45,563.3,3.7384898710865477
2004-09-30,567.45,642.8,547.55,636.3,12.133227597145106
2004-10-31,635.0,790.0,625.05,752.0,18.4251968503937
2004-11-30,752.1,860.0,752.1,809.0,7.565483313389175
2004-12-31,813.0,1059.85,790.0,1032.8,27.035670356703562
2005-01-31,1039.0,1350.0,868.95,1317.9,26.84311838306064
2005-02-28,1330.0,1535.0,700.0,814.0,-38.796992481203006
2005-03-31,826.8,882.0,705.0,731.7,-11.502177068214793
2005-04-30,748.7,900.0,651.05,686.2,-8.347802858287698
2005-05-31,692.0,710.0,611.75,655.1,-5.332369942196529
2005-06-30,670.25,673.6,565.55,579.2,-13.584483401715772
2005-07-31,585.0,732.8,575.0,714.25,22.094017094017094
2005-08-31,714.9,774.45,667.3,726.8,1.664568471114838
2005-09-30,730.0,1089.85,676.65,1049.9,43.82191780821919
2005-10-31,1050.0,1094.8,810.0,943.65,-10.12857142857143
2005-11-30,950.1,1056.8,920.25,1026.25,8.014945795179452
2005-12-31,1015.0,1142.9,963.0,1010.8,-0.41379310344828035
2006-01-31,1049.0,1070.0,929.0,1059.0,0.9532888465204957
2006-02-28,1066.0,1138.8,965.0,1127.8,5.797373358348964
2006-03-31,1135.0,1294.0,1050.0,1284.7,13.189427312775333
2006-04-30,1294.0,1426.0,1051.0,1337.2,3.3384853168469895
2006-05-31,1325.0,1615.0,1025.1,1219.35,-7.973584905660384
2006-06-30,1265.0,1269.0,809.0,1116.9,-11.707509881422919
2006-07-31,1124.0,1141.0,845.0,969.0,-13.790035587188612
2006-08-31,964.0,1060.0,899.0,953.95,-1.0425311203319454
2006-09-30,957.0,1007.75,927.4,975.75,1.9592476489028212
2006-10-31,985.0,1258.0,985.0,1188.3,20.639593908629436
2006-11-30,1195.0,1323.0,1120.0,1264.15,5.7866108786610955
2006-12-31,1270.0,1599.0,1125.0,1411.0,11.10236220472441
2007-01-31,1415.0,1998.0,1400.1,1896.7,34.04240282685513
2007-02-28,1915.0,2024.0,1755.0,1782.95,-6.895561357702348
2007-03-31,1809.0,1845.0,1485.0,1703.45,-5.83471531232725
2007-04-30,1705.15,1850.0,1618.3,1781.8,4.495205700378258
2007-05-31,1795.0,1810.0,1622.05,1677.1,-6.568245125348194
2007-06-30,1688.0,1820.0,1550.1,1776.6,5.248815165876771
2007-07-31,1789.95,1964.7,1765.1,1801.1,0.6229224280007745
2007-08-31,1783.5,1955.0,1690.1,1944.3,9.015979814970562
2007-09-30,1940.6,2554.0,1929.0,2524.25,30.07574976811296
2007-10-31,2550.0,3940.0,2351.1,3732.35,46.36666666666666
2007-11-30,3849.0,3899.0,3201.0,3450.7,-10.348142374642768
