Date,Open,High,Low,Close,Returns%
2000-01-31,78.0,83.4,69.3,72.9,-6.538461538461531
2000-02-29,72.05,102.6,63.0,66.45,-7.772380291464254
2000-03-31,68.95,68.95,49.0,50.2,-27.193618564176937
2000-04-30,51.0,58.0,46.0,48.85,-4.215686274509801
2000-05-31,47.3,51.5,45.0,50.8,7.399577167019028
2000-06-30,50.9,57.95,48.25,49.4,-2.9469548133595285
2000-07-31,48.1,52.35,44.45,45.6,-5.197505197505198
2000-08-31,45.25,47.0,42.1,43.1,-4.7513812154696105
2000-09-30,43.05,46.5,37.0,38.6,-10.336817653890815
2000-10-31,37.9,41.45,34.5,37.4,-1.3192612137203166
2000-11-30,37.15,43.9,37.0,42.65,14.804845222072679
2000-12-31,42.7,50.25,40.0,41.4,-3.0444964871194475
2001-01-31,41.9,48.85,41.0,44.0,5.011933174224347
2001-02-28,43.2,55.5,40.2,46.15,6.828703703703693
2001-03-31,45.55,47.9,32.0,33.8,-25.79582875960483
2001-04-30,34.0,38.0,31.8,33.25,-2.2058823529411766
2001-05-31,34.0,40.75,33.5,36.45,7.205882352941185
2001-06-30,36.5,38.1,32.5,34.55,-5.342465753424666
2001-07-31,35.6,36.6,32.0,33.1,-7.022471910112359
2001-08-31,33.05,37.0,32.6,36.5,10.438729198184578
2001-09-30,37.05,41.5,30.5,33.3,-10.121457489878543
2001-10-31,33.9,39.0,31.65,37.0,9.14454277286136
2001-11-30,37.5,42.0,37.05,38.6,2.933333333333337
2001-12-31,40.0,42.0,33.65,37.1,-7.249999999999997
2002-01-31,35.0,40.0,34.0,38.5,10.0
2002-02-28,38.3,54.0,38.2,43.85,14.490861618798968
2002-03-31,43.85,52.0,42.8,46.55,6.157354618015953
2002-04-30,46.5,61.0,46.0,55.85,20.107526881720432
2002-05-31,55.2,65.15,48.3,55.15,-0.09057971014493525
2002-06-30,57.25,76.6,55.65,70.65,23.40611353711791
2002-07-31,70.05,85.9,62.5,66.85,-4.568165596002859
2002-08-31,67.0,69.5,60.25,63.7,-4.925373134328354
2002-09-30,67.0,68.0,58.1,60.0,-10.447761194029852
2002-10-31,59.05,64.3,54.5,55.25,-6.435224386113458
2002-11-30,56.5,62.75,54.5,60.1,6.3716814159292054
2002-12-31,62.0,70.9,56.2,70.4,13.548387096774203
2003-01-31,71.45,80.0,65.55,67.3,-5.808257522743185
2003-02-28,69.25,76.95,66.2,72.6,4.837545126353782
2003-03-31,73.0,73.85,60.15,60.9,-16.575342465753426
2003-04-30,62.6,66.95,59.5,63.25,1.0383386581469625
2003-05-31,61.6,84.0,51.1,83.4,35.3896103896104
2003-06-30,83.6,108.4,75.75,104.75,25.299043062200965
2003-07-31,104.0,107.5,90.1,98.3,-5.480769230769233
2003-08-31,100.0,126.45,95.1,110.4,10.400000000000004
2003-09-30,109.05,128.0,104.0,125.2,14.80972031178359
2003-10-31,127.95,143.8,111.5,123.8,-3.2434544744040683
2003-11-30,125.0,137.95,110.95,132.3,5.840000000000009
2003-12-31,132.7,159.9,129.0,143.8,8.364732479276581
2004-01-31,145.75,160.0,110.0,120.0,-17.667238421955403
2004-02-29,117.5,138.7,112.0,123.85,5.404255319148931
2004-03-31,124.9,126.5,96.55,113.4,-9.20736589271417
2004-04-30,119.0,140.0,112.0,112.5,-5.46218487394958
2004-05-31,108.5,116.9,77.0,91.3,-15.852534562211984
2004-06-30,77.85,105.0,77.85,92.1,18.30443159922929
2004-07-31,93.5,117.0,88.6,111.45,19.197860962566846
2004-08-31,114.9,123.9,105.35,122.75,6.832027850304607
2004-09-30,123.0,148.9,116.25,134.4,9.268292682926832
2004-10-31,136.0,163.35,132.0,151.9,11.691176470588239
2004-11-30,151.3,184.7,150.5,165.4,9.319233311302046
2004-12-31,169.45,190.0,158.55,174.75,3.1277663027441793
2005-01-31,177.5,194.5,171.25,188.75,6.338028169014085
2005-02-28,189.75,204.0,177.55,183.6,-3.241106719367592
2005-03-31,183.0,200.0,156.0,174.35,-4.726775956284156
2005-04-30,197.0,251.7,170.0,193.3,-1.8781725888324816
2005-05-31,196.4,224.0,191.1,203.3,3.5132382892057055
2005-06-30,203.65,217.9,186.55,202.7,-0.46648661919961554
2005-07-31,204.0,228.2,200.0,216.3,6.029411764705888
2005-08-31,223.7,284.9,209.0,255.35,14.148413053196247
2005-09-30,256.9,279.0,222.1,239.7,-6.695212144803421
2005-10-31,244.5,259.75,216.4,227.6,-6.912065439672803
2005-11-30,260.0,275.85,226.0,250.0,-3.8461538461538463
2005-12-31,251.1,273.0,245.0,258.35,2.8872958980485977
2006-01-31,260.0,299.0,255.0,256.4,-1.3846153846153935
2006-02-28,271.0,280.0,232.3,238.75,-11.900369003690036
2006-03-31,239.0,303.9,235.0,292.05,22.196652719665277
2006-04-30,292.05,318.85,266.3,296.25,1.4381099126861798
2006-05-31,286.05,314.95,275.5,300.2,4.946687642020618
2006-06-30,303.0,305.0,201.0,232.1,-23.399339933993403
2006-07-31,235.0,256.0,217.0,227.65,-3.127659574468083
2006-08-31,232.0,250.5,226.0,229.7,-0.9913793103448325
2006-09-30,231.0,291.0,228.3,265.15,14.783549783549773
2006-10-31,261.5,274.45,241.0,243.85,-6.749521988527726
2006-11-30,257.95,257.95,232.6,240.35,-6.823027718550105
2006-12-31,251.0,259.0,234.0,246.05,-1.972111553784856
2007-01-31,242.0,275.75,241.0,265.85,9.855371900826455
2007-02-28,262.5,273.0,209.0,224.4,-14.514285714285712
2007-03-31,214.0,235.0,198.0,220.0,2.803738317757009
2007-04-30,215.2,248.0,214.25,247.0,14.776951672862458
2007-05-31,250.0,279.4,226.0,227.75,-8.9
2007-06-30,235.8,248.4,210.0,219.1,-7.082273112807472
2007-07-31,220.25,228.0,198.0,200.4,-9.01248581157775
2007-08-31,201.0,239.8,195.2,222.2,10.547263681592035
2007-09-30,215.25,230.0,200.55,225.0,4.529616724738676
2007-10-31,222.0,258.25,211.9,229.95,3.581081081081076
2007-11-30,244.5,265.0,215.0,250.0,2.2494887525562373
2007-12-31,250.0,278.4,237.0,274.55,9.820000000000004
2008-01-31,268.0,330.0,200.0,217.95,-18.67537313432836
2008-02-29,220.0,244.0,182.0,234.0,6.363636363636363
2008-03-31,236.0,244.4,186.15,214.7,-9.025423728813562
2008-04-30,208.1,266.0,208.1,216.3,3.9404132628544053
2008-05-31,224.0,225.1,196.2,198.45,-11.406250000000004
2008-06-30,199.0,202.0,165.0,170.0,-14.57286432160804
2008-07-31,165.1,177.8,145.0,154.5,-6.420351302241063
2008-08-31,154.5,190.0,149.1,184.8,19.6116504854369
2008-09-30,180.25,188.0,151.1,155.05,-13.98058252427184
2008-10-31,156.05,163.75,82.1,97.25,-37.68023069528997
2008-11-30,105.5,111.45,77.2,84.5,-19.90521327014218
2008-12-31,88.0,102.7,83.0,90.05,2.3295454545454515
2009-01-31,92.9,98.0,76.5,77.85,-16.20021528525297
2009-02-28,77.0,88.0,74.0,74.0,-3.896103896103896
2009-03-31,75.0,82.0,67.8,79.0,5.333333333333333
2009-04-30,82.0,109.75,79.0,98.0,19.51219512195122
2009-05-31,98.1,135.35,94.0,121.25,23.598369011213055
2009-06-30,125.0,157.8,118.0,120.85,-3.3200000000000047
2009-07-31,124.75,145.0,102.0,140.2,12.384769539078148
2009-08-31,137.25,177.7,122.6,171.3,24.808743169398912
2009-09-30,163.55,201.7,149.0,189.05,15.5915622133904
2009-10-31,184.0,194.5,158.25,159.75,-13.179347826086957
2009-11-30,163.5,191.0,146.5,174.65,6.819571865443428
2009-12-31,179.2,225.9,175.4,217.35,21.289062500000004
2010-01-31,217.55,236.5,195.4,207.7,-4.52769478280856
2010-02-28,210.0,222.0,195.0,207.9,-0.9999999999999973
2010-03-31,212.85,246.9,212.2,233.15,9.537232793046751
2010-04-30,235.0,279.95,232.4,265.65,13.042553191489352
2010-05-31,261.0,268.0,222.0,230.05,-11.858237547892717
2010-06-30,230.0,261.05,221.15,250.15,8.760869565217392
2010-07-31,247.5,278.25,247.0,268.85,8.626262626262635
2010-08-31,270.0,293.9,258.0,271.8,0.6666666666666708
2010-09-30,284.7,328.7,270.2,279.3,-1.8967334035827108
2010-10-31,279.1,309.95,278.0,295.35,5.822285919025439
2010-11-30,300.0,345.0,294.0,310.55,3.5166666666666706
