Date,Open,High,Low,Close,Returns%
2000-01-31,66.0,74.0,54.1,54.75,-17.045454545454547
2000-02-29,55.0,58.0,38.3,40.95,-25.54545454545454
2000-03-31,41.9,42.15,33.2,42.15,0.5966587112171838
2000-04-30,42.0,44.8,33.9,35.65,-15.119047619047622
2000-05-31,33.6,35.45,28.25,33.6,0.0
2000-06-30,32.55,40.5,31.1,37.55,15.360983102918588
2000-07-31,38.5,41.7,34.3,35.3,-8.31168831168832
2000-08-31,35.1,37.9,30.5,31.5,-10.256410256410259
2000-09-30,31.4,34.7,28.1,28.5,-9.235668789808914
2000-10-31,28.7,30.4,26.0,29.8,3.832752613240423
2000-11-30,31.5,36.95,28.5,36.2,14.92063492063493
2000-12-31,36.75,47.9,35.6,44.1,20.000000000000004
2001-01-31,42.6,49.9,42.0,46.2,8.450704225352116
2001-02-28,45.1,58.9,42.0,43.7,-3.104212860310418
2001-03-31,44.4,46.75,30.65,39.5,-11.036036036036034
2001-04-30,38.0,43.7,35.55,40.0,5.2631578947368425
2001-05-31,40.5,47.85,37.1,43.7,7.901234567901241
2001-06-30,44.0,44.9,31.75,41.5,-5.681818181818182
2001-07-31,40.8,40.8,30.65,35.7,-12.499999999999988
2001-08-31,36.95,41.9,33.5,39.55,7.036535859269267
2001-09-30,38.2,47.0,38.2,42.8,12.04188481675391
2001-10-31,43.0,46.5,39.25,44.2,2.7906976744186114
2001-11-30,44.0,47.8,43.5,45.0,2.272727272727273
2001-12-31,44.55,48.8,41.1,47.6,6.846240179573524
2002-01-31,41.2,54.0,40.0,44.75,8.616504854368925
2002-02-28,45.0,51.0,42.0,44.25,-1.6666666666666667
2002-03-31,44.0,56.7,43.3,49.05,11.477272727272721
2002-04-30,47.0,51.8,43.15,46.8,-0.4255319148936231
2002-05-31,49.7,54.3,41.25,46.7,-6.036217303822937
2002-06-30,46.7,64.7,44.0,56.5,20.98501070663811
2002-07-31,57.0,65.3,45.1,46.95,-17.631578947368418
2002-08-31,47.0,48.1,44.75,44.95,-4.361702127659568
2002-09-30,44.65,48.3,44.0,47.35,6.047032474804038
2002-10-31,47.2,54.5,42.0,48.1,1.906779661016946
2002-11-30,49.0,50.5,47.0,48.45,-1.1224489795918309
2002-12-31,48.75,51.5,47.0,47.45,-2.6666666666666607
2003-01-31,47.35,57.9,46.4,51.1,7.9197465681098205
2003-02-28,51.45,58.85,49.05,55.95,8.746355685131196
2003-03-31,58.0,59.9,43.4,51.1,-11.896551724137929
2003-04-30,51.5,57.8,49.25,51.15,-0.6796116504854397
2003-05-31,51.7,65.1,51.1,58.3,12.7659574468085
2003-06-30,58.2,82.0,56.5,80.1,37.62886597938142
2003-07-31,82.0,87.0,71.9,84.9,3.5365853658536657
2003-08-31,85.0,102.4,84.15,100.1,17.764705882352935
2003-09-30,101.75,104.8,90.0,93.5,-8.108108108108109
2003-10-31,95.95,121.0,93.7,106.6,11.099531005732143
2003-11-30,109.9,145.25,105.15,140.15,27.525022747952683
2003-12-31,141.9,149.0,125.0,143.05,0.810429880197326
2004-01-31,144.0,158.0,110.0,115.45,-19.826388888888886
2004-02-29,116.0,127.0,101.0,121.05,4.353448275862067
2004-03-31,121.25,122.0,90.65,116.75,-3.711340206185567
2004-04-30,115.0,139.4,110.5,127.0,10.434782608695652
2004-05-31,125.0,136.85,90.5,102.3,-18.160000000000004
2004-06-30,106.0,113.0,96.0,104.7,-1.22641509433962
2004-07-31,105.8,124.0,100.1,117.8,11.342155009451796
2004-08-31,119.85,136.5,115.0,133.5,11.389236545682106
2004-09-30,134.75,160.95,130.55,152.2,12.949907235621513
2004-10-31,153.0,163.5,144.0,148.2,-3.137254901960792
2004-11-30,149.6,190.0,146.2,178.25,19.151069518716582
2004-12-31,180.0,225.0,177.15,199.95,11.083333333333327
2005-01-31,202.6,217.7,181.2,214.05,5.651530108588361
2005-02-28,214.5,245.15,204.1,224.95,4.871794871794867
2005-03-31,226.05,243.0,210.0,228.9,1.2607830126078277
2005-04-30,232.0,265.4,215.0,242.7,4.612068965517237
2005-05-31,260.0,262.0,228.5,249.05,-4.211538461538457
2005-06-30,252.05,254.25,223.1,232.75,-7.657210870858961
2005-07-31,234.0,262.0,218.6,245.75,5.021367521367521
2005-08-31,248.0,409.8,248.0,400.3,61.411290322580655
2005-09-30,406.0,517.5,371.55,475.2,17.044334975369456
2005-10-31,479.0,493.0,400.05,437.4,-8.684759916492697
