Date,Open,High,Low,Close,Returns%
2000-01-31,65.6,79.6,62.7,62.7,-4.420731707317061
2000-02-29,62.5,62.85,48.75,53.45,-14.479999999999997
2000-03-31,52.0,55.45,45.0,50.0,-3.8461538461538463
2000-04-30,49.0,51.75,45.75,47.0,-4.081632653061225
2000-05-31,47.1,50.0,42.0,45.0,-4.458598726114652
2000-06-30,45.0,51.1,42.0,44.95,-0.11111111111110479
2000-07-31,45.0,49.4,44.0,44.95,-0.11111111111110479
2000-08-31,45.75,48.0,42.0,44.15,-3.4972677595628445
2000-09-30,43.5,45.7,38.55,41.0,-5.747126436781609
2000-10-31,41.0,43.4,37.0,40.55,-1.097560975609763
2000-11-30,42.4,45.4,41.0,42.75,0.825471698113211
2000-12-31,42.0,48.45,41.1,42.5,1.1904761904761905
2001-01-31,43.25,46.45,42.0,43.55,0.6936416184971033
2001-02-28,43.6,49.0,43.0,46.75,7.224770642201832
2001-03-31,46.4,49.5,41.5,45.05,-2.9094827586206926
2001-04-30,46.0,47.7,42.0,43.4,-5.652173913043481
2001-05-31,45.0,48.8,43.05,46.6,3.555555555555559
2001-06-30,46.0,49.0,42.75,44.5,-3.260869565217391
2001-07-31,44.0,44.0,32.0,33.5,-23.863636363636363
2001-08-31,33.5,37.95,32.5,37.0,10.447761194029852
2001-09-30,37.0,37.85,29.6,31.4,-15.135135135135139
2001-10-31,32.0,34.75,30.25,31.6,-1.2499999999999956
2001-11-30,31.8,35.6,31.5,33.0,3.773584905660375
2001-12-31,33.0,37.55,32.9,34.9,5.757575757575753
2002-01-31,34.3,37.0,33.0,35.2,2.623906705539375
2002-02-28,34.95,37.0,33.0,35.0,0.14306151645206625
2002-03-31,36.0,43.8,34.1,36.0,0.0
2002-04-30,38.55,44.0,34.55,40.0,3.7613488975356755
2002-05-31,41.0,58.6,39.1,48.05,17.195121951219505
2002-06-30,48.0,77.0,45.0,66.4,38.33333333333334
2002-07-31,66.1,85.65,60.3,64.7,-2.1180030257185956
2002-08-31,66.7,69.9,52.1,52.9,-20.6896551724138
2002-09-30,52.7,58.9,51.75,55.5,5.313092979127129
2002-10-31,55.0,60.0,54.4,57.5,4.545454545454546
2002-11-30,59.6,66.0,56.2,62.05,4.110738255033549
2002-12-31,63.6,74.5,57.2,60.25,-5.267295597484279
2003-01-31,61.0,74.0,53.35,60.85,-0.24590163934425996
2003-02-28,55.3,67.0,53.05,60.55,9.49367088607595
2003-03-31,60.0,69.75,54.6,58.05,-3.250000000000005
2003-04-30,58.1,67.5,53.05,65.6,12.90877796901892
2003-05-31,61.5,92.9,61.5,91.25,48.3739837398374
2003-06-30,92.0,92.0,75.0,84.1,-8.586956521739136
