Date,Open,High,Low,Close,Returns%
2000-01-31,2724.0,4240.0,2405.0,3805.0,39.68428781204111
2000-02-29,3995.0,10350.0,3960.0,6616.75,65.62578222778473
2000-03-31,7128.0,7700.0,4228.5,5592.35,-21.543911335578
2000-04-30,5600.0,5924.0,3381.7,3381.7,-39.612500000000004
2000-05-31,3249.0,3529.0,1481.85,1867.85,-42.51000307787012
2000-06-30,1835.0,3098.0,1740.0,2930.85,59.719346049046315
2000-07-31,2970.0,3324.0,2132.0,2411.3,-18.811447811447806
2000-08-31,2430.0,3367.0,2110.0,3261.45,34.216049382716044
2000-09-30,3299.0,3470.0,2425.0,2656.45,-19.47711427705366
2000-10-31,2626.0,2749.8,1856.0,2348.5,-10.567402894135567
2000-11-30,2425.0,2634.9,2161.5,2577.6,6.2927835051546355
2000-12-31,2561.1,3099.7,2131.0,2399.25,-6.319550193276323
2001-01-31,2382.15,2991.0,2330.05,2790.3,17.13368175807569
2001-02-28,2771.0,3071.8,2224.0,2542.4,-8.249729339588594
2001-03-31,2550.0,2640.0,1327.1,1338.4,-47.51372549019607
2001-04-30,1311.15,1588.0,759.15,1417.05,8.076879075620626
2001-05-31,1523.4,1868.0,1451.0,1673.5,9.852960483129834
2001-06-30,1689.0,1774.0,1221.1,1405.8,-16.76731793960924
2001-07-31,1410.0,1459.4,1152.3,1443.3,2.361702127659571
2001-08-31,1460.0,1565.0,1362.0,1499.0,2.671232876712329
2001-09-30,1460.0,1525.0,802.0,1040.6,-28.726027397260278
2001-10-31,1079.0,1199.0,812.3,1071.55,-0.6904541241890682
2001-11-30,1090.0,1563.9,1010.1,1442.35,32.32568807339449
2001-12-31,1430.0,1974.0,1421.35,1610.45,12.618881118881122
2002-01-31,1628.8,1875.0,1461.1,1645.45,1.0222249508840922
2002-02-28,1671.2,1785.0,1562.15,1586.0,-5.098133078027766
2002-03-31,1550.0,1894.45,1549.9,1700.6,9.716129032258058
2002-04-30,1712.0,1874.9,1507.0,1540.55,-10.01460280373832
2002-05-31,1554.0,1688.0,1478.9,1520.9,-2.129987129987124
2002-06-30,1535.0,1600.0,1453.0,1480.65,-3.540716612377844
2002-07-31,1494.45,1498.45,1092.55,1135.85,-23.99544983104153
2002-08-31,1149.0,1282.45,1062.7,1267.7,10.330722367275895
2002-09-30,1285.0,1519.9,1195.0,1323.6,3.0038910505836505
2002-10-31,1296.1,1497.8,1285.0,1374.2,6.025769616541944
2002-11-30,1376.0,1705.0,1348.0,1685.5,22.492732558139537
2002-12-31,1693.0,1761.0,1518.3,1631.35,-3.641464855286479
2003-01-31,1636.6,1688.0,1356.25,1403.45,-14.245997800317724
2003-02-28,1348.0,1480.0,1348.0,1469.5,9.013353115727003
2003-03-31,1500.0,1500.0,1210.0,1233.45,-17.769999999999996
2003-04-30,1215.0,1307.0,832.1,866.7,-28.66666666666666
2003-05-31,871.8,948.95,797.4,806.15,-7.530396880018351
2003-06-30,817.85,960.1,815.25,947.8,15.88922173992785
2003-07-31,956.0,1020.9,841.35,947.6,-0.8786610878661064
2003-08-31,956.0,1132.0,903.1,1068.85,11.804393305439321
2003-09-30,1080.6,1333.0,1066.15,1255.75,16.20858782158061
2003-10-31,1247.0,1517.0,1180.0,1342.25,7.638331996792301
2003-11-30,1350.05,1548.0,1335.6,1537.95,13.918003036924564
2003-12-31,1555.0,1802.0,1407.0,1736.05,11.643086816720254
2004-01-31,1752.0,1870.0,1540.15,1558.8,-11.027397260273975
2004-02-29,1525.2,1649.0,1397.3,1454.55,-4.632179386309998
2004-03-31,1480.0,1535.0,1351.05,1361.2,-8.027027027027025
2004-04-30,1358.0,1675.0,1327.15,1545.2,13.784977908689251
2004-05-31,1600.0,1650.0,1190.0,1523.7,-4.768749999999997
2004-06-30,1541.65,1597.8,522.2,532.1,-65.48503227061914
2004-07-31,534.0,554.9,470.0,546.85,2.4063670411985063
2004-08-31,548.0,585.0,527.0,578.5,5.565693430656935
2004-09-30,577.0,611.8,537.0,596.8,3.4315424610051912
2004-10-31,600.0,728.0,593.1,657.5,9.583333333333334
2004-11-30,660.0,770.0,648.5,766.4,16.121212121212118
2004-12-31,766.0,774.8,733.0,748.8,-2.2454308093994837
2005-01-31,755.0,760.0,610.35,705.35,-6.576158940397349
2005-02-28,710.0,728.0,661.9,699.5,-1.4788732394366197
2005-03-31,700.0,734.95,624.15,670.95,-4.149999999999993
2005-04-30,674.0,696.0,570.0,630.8,-6.409495548961431
2005-05-31,639.0,734.0,544.0,715.75,12.01095461658842
2005-06-30,717.0,776.0,682.55,766.3,6.875871687587162
2005-07-31,750.0,765.0,690.4,736.35,-1.819999999999997
2005-08-31,730.0,749.5,350.3,364.65,-50.04794520547945
2005-09-30,369.0,384.95,351.0,371.45,0.6639566395663926
2005-10-31,375.2,413.8,355.0,364.6,-2.8251599147121444
2005-11-30,369.0,450.0,357.5,423.25,14.70189701897019
2005-12-31,424.8,470.0,385.0,463.35,9.074858757062149
2006-01-31,462.0,548.0,385.0,529.7,14.653679653679664
2006-02-28,530.0,545.4,488.25,520.45,-1.8018867924528217
2006-03-31,520.0,585.9,483.65,559.7,7.634615384615393
2006-04-30,565.0,599.0,461.0,538.55,-4.681415929203548
2006-05-31,536.4,555.15,400.0,449.7,-16.163310961968676
2006-06-30,452.0,519.0,381.25,513.35,13.573008849557526
2006-07-31,517.4,519.0,442.3,490.8,-5.141090065713175
2006-08-31,490.0,533.65,484.2,518.65,5.8469387755102
2006-09-30,519.0,529.9,489.0,524.9,1.1368015414258146
2006-10-31,524.9,594.7,505.1,538.3,2.5528672128024343
2006-11-30,541.0,670.0,449.5,599.9,10.887245841035117
2006-12-31,604.95,613.9,521.65,605.9,0.1570377717166595
2007-01-31,603.0,675.0,561.35,613.25,1.6998341625207296
2007-02-28,624.8,691.0,549.75,562.4,-9.987195902688859
2007-03-31,577.7,609.5,527.15,559.4,-3.1677341180543652
2007-04-30,559.6,604.8,515.0,571.6,2.144388849177984
2007-05-31,577.0,635.0,524.1,543.7,-5.7712305025996455
2007-06-30,548.4,627.3,505.0,518.45,-5.461342086068551
2007-07-31,515.0,532.0,486.2,497.35,-3.427184466019413
2007-08-31,491.1,509.9,435.0,482.35,-1.7817145184280188
2007-09-30,486.0,487.8,425.0,460.25,-5.29835390946502
2007-10-31,462.0,516.4,445.55,507.15,9.772727272727268
2007-11-30,509.95,513.0,426.15,460.65,-9.667614472007061
2007-12-31,465.0,552.0,450.0,525.65,13.043010752688168
2008-01-31,529.05,529.05,324.0,422.75,-20.0926188450997
2008-02-29,430.05,474.0,375.0,437.05,1.6277177072433437
2008-03-31,429.85,459.5,348.0,432.1,0.5234384087472373
2008-04-30,430.0,492.5,401.1,488.75,13.662790697674419
2008-05-31,490.0,520.0,470.2,509.25,3.9285714285714284
2008-06-30,509.25,535.0,431.0,439.95,-13.608247422680414
2008-07-31,438.0,449.0,332.35,415.4,-5.1598173515981784
2008-08-31,410.0,465.0,407.0,432.4,5.463414634146336
2008-09-30,430.0,458.0,320.1,339.9,-20.953488372093027
2008-10-31,321.6,364.4,180.4,272.65,-15.22077114427862
2008-11-30,284.0,286.0,206.8,242.65,-14.559859154929574
2008-12-31,235.55,265.0,214.0,233.4,-0.9127573763532183
2009-01-31,233.4,255.0,201.0,231.55,-0.7926306769494406
2009-02-28,229.0,232.0,204.05,207.5,-9.388646288209607
2009-03-31,204.5,263.8,196.5,245.9,20.244498777506116
2009-04-30,246.0,333.45,240.15,330.85,34.491869918699194
2009-05-31,330.2,459.95,330.2,382.25,15.763173834039979
2009-06-30,385.1,455.0,366.8,377.95,-1.8566606076343894
2009-07-31,378.0,496.0,365.5,490.15,29.669312169312164
2009-08-31,494.9,575.7,476.85,549.95,11.123459284703996
2009-09-30,551.0,605.9,538.1,602.1,9.274047186932853
2009-10-31,604.0,639.4,548.0,605.9,0.3145695364238373
2009-11-30,603.0,664.7,575.1,629.05,4.320066334991701
2009-12-31,631.25,699.9,630.0,680.0,7.7227722772277225
2010-01-31,685.0,755.85,631.5,647.95,-5.4087591240875845
2010-02-28,643.75,694.0,630.15,677.5,5.242718446601942
2010-03-31,675.0,750.0,675.0,706.95,4.7333333333333405
2010-04-30,711.0,734.4,670.0,671.5,-5.555555555555555
2010-05-31,668.9,692.7,626.4,669.65,0.11212438331589177
2010-06-30,673.9,675.9,380.0,384.5,-42.94405698174803
2010-07-31,384.0,430.45,372.1,412.3,7.369791666666669
2010-08-31,415.0,439.6,393.05,400.25,-3.5542168674698793
2010-09-30,400.25,454.4,398.25,449.45,12.292317301686444
2010-10-31,448.0,500.0,415.0,419.75,-6.305803571428571
2010-11-30,428.0,441.9,397.5,419.6,-1.9626168224299012
2010-12-31,421.0,496.25,412.15,491.25,16.68646080760095
2011-01-31,496.8,496.8,424.6,438.1,-11.815619967793879
2011-02-28,438.6,460.0,407.5,438.2,-0.09119927040584452
2011-03-31,440.0,484.7,431.4,480.2,9.136363636363635
2011-04-30,477.0,490.0,439.5,450.3,-5.597484276729558
2011-05-31,450.0,453.9,428.0,446.4,-0.800000000000005
2011-06-30,445.1,450.9,381.45,417.6,-6.178386879352954
2011-07-31,423.8,435.0,350.0,389.3,-8.140632373761209
2011-08-31,391.5,397.2,310.5,335.25,-14.367816091954023
2011-09-30,345.1,359.95,312.3,340.8,-1.2460156476383688
2011-10-31,335.0,390.0,323.6,366.6,9.432835820895528
2011-11-30,367.75,389.45,360.05,377.2,2.5696804894629475
2011-12-31,384.0,420.9,379.05,398.7,3.828124999999997
2012-01-31,399.0,425.0,382.5,413.9,3.734335839598992
2012-02-29,413.0,453.0,410.0,432.35,4.68523002421308
2012-03-31,433.0,448.05,416.25,440.1,1.6397228637413448
2012-04-30,437.6,451.7,398.5,405.05,-7.438299817184645
2012-05-31,406.2,420.5,378.7,410.0,0.935499753815857
2012-06-30,404.4,414.9,387.0,399.9,-1.112759643916914
2012-07-31,401.2,404.5,325.3,340.05,-15.24177467597208
2012-08-31,340.2,372.5,335.65,362.6,6.584362139917706
2012-09-30,362.9,395.95,357.7,381.05,5.00137779002481
2012-10-31,379.0,387.25,320.5,350.65,-7.480211081794201
2012-11-30,348.0,396.0,295.0,393.25,13.00287356321839
2012-12-31,393.1,399.95,366.4,394.5,0.35614347494275683
2013-01-31,396.05,439.6,391.15,411.55,3.9136472667592477
2013-02-28,410.0,425.8,385.1,416.4,1.560975609756092
2013-03-31,420.0,456.0,418.15,437.15,4.083333333333328
2013-04-30,437.3,463.0,327.2,348.35,-20.34072718957237
2013-05-31,348.0,361.45,314.85,327.65,-5.847701149425294
2013-06-30,330.1,352.0,319.9,349.0,5.725537715843677
2013-07-31,349.0,441.0,341.5,438.0,25.501432664756447
2013-08-31,438.0,495.0,427.5,483.6,10.410958904109593
2013-09-30,483.05,500.6,446.9,473.05,-2.0701790704895973
2013-10-31,475.9,519.75,467.7,477.7,0.3782307207396536
2013-11-30,477.25,497.7,468.4,470.8,-1.3514929282346755
2013-12-31,474.0,561.5,466.65,559.2,17.974683544303804
2014-01-31,564.0,587.0,531.6,575.05,1.9592198581560203
2014-02-28,563.2,611.0,544.0,597.25,6.0458096590909
2014-03-31,600.0,600.0,528.7,543.2,-9.46666666666666
2014-04-30,547.0,594.7,517.0,522.35,-4.506398537477144
2014-05-31,518.2,531.95,474.7,506.2,-2.3157082207641944
2014-06-30,506.7,553.0,485.2,546.4,7.835010854549041
2014-07-31,547.9,580.0,530.0,544.4,-0.6388027012228509
2014-08-31,544.0,568.05,535.0,565.25,3.90625
2014-09-30,566.0,599.0,556.0,596.8,5.4416961130741965
2014-10-31,598.1,621.9,547.15,563.7,-5.7515465641197085
2014-11-30,570.0,590.0,548.4,585.8,2.7719298245613957
2014-12-31,588.0,600.9,524.85,555.2,-5.578231292516999
2015-01-31,552.55,614.5,538.35,606.55,9.772871233372546
2015-02-28,612.0,671.0,609.0,659.2,7.712418300653602
2015-03-31,660.1,677.6,608.55,628.85,-4.734131192243599
2015-04-30,623.4,636.45,512.5,538.6,-13.602823227462299
2015-05-31,539.1,566.1,525.1,561.7,4.192172138749772
2015-06-30,560.0,577.75,529.0,546.7,-2.374999999999992
2015-07-31,544.05,593.8,541.25,569.85,4.74221119382411
2015-08-31,571.0,587.5,528.3,571.8,0.14010507880909887
2015-09-30,571.3,604.9,544.15,597.85,4.647295641519354
2015-10-31,598.05,613.3,564.65,572.85,-4.213694507148221
2015-11-30,573.5,579.65,542.25,573.3,-0.034873583260687964
2015-12-31,579.2,587.45,548.5,559.9,-3.3321823204420005
2016-01-31,559.8,565.7,530.75,562.8,0.5359056806002144
2016-02-29,565.6,573.9,507.9,520.25,-8.018033946251771
2016-03-31,525.0,570.0,523.45,564.25,7.476190476190476
2016-04-30,567.0,607.0,542.2,554.35,-2.2310405643738935
2016-05-31,551.0,552.95,531.5,545.45,-1.0072595281306633
2016-06-30,545.6,564.85,533.4,557.95,2.2635630498533765
2016-07-31,559.75,577.8,518.0,545.05,-2.6261723983921477
2016-08-31,545.05,561.75,477.1,491.65,-9.797266305843499
2016-09-30,489.7,489.75,470.0,478.95,-2.1952215642229937
2016-10-31,480.0,501.15,454.1,464.4,-3.250000000000005
2016-11-30,465.05,470.95,408.1,465.25,0.04300612837329075
2016-12-31,469.7,477.0,451.5,474.45,1.0112837981690441
2017-01-31,475.05,487.7,445.35,458.0,-3.589095884643724
2017-02-28,461.0,492.6,446.1,488.8,6.030368763557486
2017-03-31,488.0,518.7,483.35,515.7,5.67622950819673
2017-04-30,516.45,517.8,483.0,494.25,-4.298576822538492
2017-05-31,496.15,544.9,493.6,535.5,7.931069233094835
2017-06-30,535.45,568.0,252.0,258.35,-51.75086375945467
2017-07-31,260.0,293.5,252.0,288.45,10.942307692307688
2017-08-31,289.0,300.5,284.9,299.1,3.4948096885813227
2017-09-30,298.0,303.4,279.2,280.25,-5.956375838926174
2017-10-31,281.4,303.95,280.25,294.05,4.495380241648911
2017-11-30,296.0,308.75,289.35,291.9,-1.3851351351351429
2017-12-31,292.0,316.4,280.0,314.25,7.61986301369863
2018-01-31,311.5,334.0,301.55,304.7,-2.1829855537720744
2018-02-28,305.05,309.1,284.0,292.8,-4.015735125389281
2018-03-31,292.8,302.0,272.35,281.15,-3.9788251366120333
2018-04-30,283.5,301.0,274.0,278.75,-1.6754850088183422
2018-05-31,279.0,280.8,258.0,261.9,-6.129032258064524
2018-06-30,262.95,270.0,253.5,261.5,-0.551435634150975
2018-07-31,260.7,290.6,258.1,276.4,6.022247794399689
2018-08-31,276.0,306.5,273.7,301.25,9.148550724637682
2018-09-30,327.0,338.0,306.3,324.0,-0.9174311926605505
2018-10-31,324.0,334.65,296.0,331.2,2.2222222222222188
2018-11-30,332.95,335.4,302.65,324.65,-2.4928667968163425
2018-12-31,325.0,343.95,319.35,330.85,1.800000000000007
2019-01-31,330.75,371.4,311.35,369.2,11.625094482237337
2019-02-28,370.1,388.95,361.2,368.9,-0.32423669278574585
2019-03-31,370.9,378.35,253.4,254.8,-31.30223779994607
2019-04-30,256.0,299.45,254.95,298.55,16.621093750000004
2019-05-31,298.55,298.85,279.65,286.4,-4.069670072014749
2019-06-30,288.5,301.6,280.0,280.5,-2.7729636048526864
2019-07-31,281.6,285.6,255.9,265.3,-5.788352272727276
2019-08-31,271.5,276.15,245.05,254.4,-6.298342541436463
2019-09-30,254.1,258.9,235.75,239.8,-5.6277056277056206
2019-10-31,240.0,260.9,232.2,259.3,8.041666666666671
2019-11-30,260.2,261.0,236.5,237.7,-8.647194465795542
2019-12-31,238.25,254.7,235.4,245.8,3.1689401888772344
2020-01-31,246.5,258.35,235.0,236.8,-3.935091277890462
2020-02-29,236.5,248.55,219.7,221.45,-6.363636363636369
2020-03-31,225.8,233.9,159.4,196.7,-12.887511071744916
2020-04-30,195.7,202.95,173.8,190.95,-2.4271844660194177
2020-05-31,184.5,214.9,178.0,212.8,15.338753387533881
2020-06-30,215.5,230.0,206.3,219.65,1.9257540603248287
2020-07-31,221.0,290.8,218.35,280.95,27.12669683257918
2020-08-31,283.0,287.4,268.0,271.3,-4.134275618374554
2020-09-30,271.0,324.5,269.0,313.55,15.701107011070114
2020-10-31,316.4,381.7,312.05,340.7,7.680151706700383
2020-11-30,341.75,361.4,332.65,350.5,2.560351133869788
2020-12-31,352.7,390.5,346.25,386.25,9.512333427842362
