Date,Open,High,Low,Close,Returns%
2000-01-31,1175.0,1317.7,891.0,1213.1,3.242553191489354
2000-02-29,1220.0,1645.0,1213.1,1310.75,7.438524590163935
2000-03-31,1320.1,1634.0,958.65,1033.2,-21.733202030149222
2000-04-30,1050.0,1099.4,609.9,719.8,-31.447619047619053
2000-05-31,732.65,744.9,377.75,521.85,-28.772265065174363
2000-06-30,514.55,667.0,419.0,433.25,-15.800213779030214
2000-07-31,455.0,536.0,396.1,433.15,-4.802197802197807
2000-08-31,438.0,527.9,361.5,522.95,19.39497716894978
2000-09-30,525.1,569.4,391.1,448.2,-14.644829556275
2000-10-31,445.1,456.45,275.05,287.05,-35.50887441024489
2000-11-30,294.7,336.6,260.3,281.9,-4.34340006786563
2000-12-31,278.5,332.4,254.1,277.8,-0.25134649910232987
2001-01-31,276.0,294.3,211.1,263.6,-4.492753623188397
2001-02-28,262.3,262.7,150.5,169.7,-35.30308806709875
2001-03-31,172.45,177.95,98.0,120.9,-29.892722528269054
2001-04-30,118.3,144.5,71.05,98.5,-16.73710904480135
2001-05-31,104.7,149.75,88.0,132.95,26.981852913084992
2001-06-30,134.0,136.9,98.55,116.85,-12.79850746268657
2001-07-31,130.0,130.0,68.25,84.75,-34.80769230769231
2001-08-31,85.6,122.5,80.1,116.8,36.44859813084113
2001-09-30,117.05,139.85,77.9,86.75,-25.886373344724472
2001-10-31,86.0,99.0,69.65,94.0,9.30232558139535
2001-11-30,95.5,144.9,95.5,128.65,34.712041884816756
2001-12-31,129.0,154.9,95.15,111.6,-13.488372093023258
2002-01-31,114.85,138.4,104.5,123.15,7.226817588158478
2002-02-28,125.0,164.9,123.05,142.9,14.320000000000004
2002-03-31,142.0,182.5,138.1,167.5,17.95774647887324
2002-04-30,170.0,189.4,158.7,167.15,-1.6764705882352908
2002-05-31,168.1,173.9,113.6,132.85,-20.969660916121356
2002-06-30,134.1,162.0,121.35,126.9,-5.369127516778515
2002-07-31,127.2,133.7,96.3,104.2,-18.08176100628931
2002-08-31,105.0,111.7,96.85,110.45,5.1904761904761925
2002-09-30,112.05,114.95,83.5,89.0,-20.57117358322177
2002-10-31,88.0,92.95,77.1,81.85,-6.98863636363637
2002-11-30,83.8,100.4,82.85,97.8,16.706443914081145
2002-12-31,98.2,109.0,90.55,97.55,-0.6619144602851381
2003-01-31,98.6,104.25,78.1,83.3,-15.517241379310343
2003-02-28,83.75,90.4,80.2,84.25,0.5970149253731343
2003-03-31,85.2,85.2,60.1,62.3,-26.877934272300475
2003-04-30,62.0,77.45,61.2,76.65,23.629032258064523
2003-05-31,77.1,86.4,73.55,85.5,10.894941634241253
2003-06-30,85.95,95.0,79.15,88.2,2.6178010471204187
2003-07-31,88.9,123.9,88.1,121.35,36.50168728908885
2003-08-31,121.85,123.5,94.7,103.0,-15.469839967172751
2003-09-30,105.0,125.45,100.05,123.45,17.571428571428573
2003-10-31,124.0,148.2,120.65,137.15,10.604838709677423
2003-11-30,138.55,151.9,120.3,129.85,-6.279321544568759
2003-12-31,130.75,159.9,129.0,150.0,14.722753346080307
2004-01-31,151.45,174.8,141.0,151.55,0.06602839220866474
2004-02-29,152.7,157.95,122.55,133.4,-12.6391617550753
2004-03-31,133.9,138.4,113.1,133.95,0.03734129947720907
2004-04-30,134.55,152.3,126.15,127.45,-5.276848755109631
2004-05-31,127.2,137.85,100.0,128.0,0.6289308176100606
2004-06-30,129.5,142.7,119.7,126.05,-2.6640926640926663
2004-07-31,126.95,148.4,119.6,140.5,10.673493501378493
2004-08-31,140.5,156.9,131.1,152.85,8.790035587188608
2004-09-30,152.6,171.85,142.95,152.0,-0.3931847968545179
2004-10-31,151.1,165.0,146.05,149.65,-0.9596293845135597
2004-11-30,150.0,163.0,145.1,152.1,1.3999999999999961
2004-12-31,153.9,188.5,149.5,171.55,11.468486029889542
2005-01-31,171.3,182.3,145.0,154.75,-9.661412726211331
2005-02-28,155.45,162.0,141.0,142.3,-8.459311675779979
2005-03-31,143.0,146.8,128.0,138.9,-2.867132867132863
2005-04-30,138.9,153.2,128.0,131.2,-5.543556515478774
2005-05-31,131.1,163.45,131.1,139.2,6.178489702517158
2005-06-30,140.5,158.75,131.5,155.45,10.640569395017785
2005-07-31,156.0,199.95,150.35,189.35,21.378205128205124
2005-08-31,190.0,196.3,160.6,190.05,0.026315789473690194
2005-09-30,192.1,206.45,167.25,172.8,-10.046850598646529
2005-10-31,174.0,192.9,138.65,140.6,-19.195402298850578
2005-11-30,142.0,158.25,141.25,154.45,8.767605633802809
2005-12-31,155.4,190.0,149.05,156.8,0.9009009009009046
2006-01-31,157.5,175.5,146.65,164.7,4.571428571428564
2006-02-28,162.0,179.75,151.0,176.6,9.012345679012343
2006-03-31,176.0,259.45,169.0,239.0,35.79545454545455
2006-04-30,242.9,291.0,222.0,265.0,9.09839440098806
2006-05-31,266.0,307.7,200.05,232.05,-12.763157894736839
2006-06-30,240.0,245.0,188.45,240.55,0.2291666666666714
2006-07-31,241.5,277.95,234.35,263.15,8.96480331262939
2006-08-31,263.0,304.0,256.5,276.1,4.980988593155902
2006-09-30,277.0,328.75,259.45,306.0,10.469314079422382
2006-10-31,307.1,309.55,282.3,301.75,-1.7421035493324724
2006-11-30,302.5,378.4,302.5,373.25,23.388429752066116
2006-12-31,375.9,381.0,250.05,293.55,-21.907422186751788
2007-01-31,293.0,338.0,268.55,313.35,6.945392491467585
2007-02-28,316.0,371.9,210.5,235.35,-25.52215189873418
2007-03-31,235.0,255.95,208.0,250.7,6.680851063829782
2007-04-30,247.3,303.9,238.1,293.85,18.823291548726246
2007-05-31,296.5,325.0,270.05,313.65,5.7841483979763835
2007-06-30,317.0,317.0,275.25,297.3,-6.21451104100946
2007-07-31,298.2,361.85,290.55,328.3,10.093896713615031
2007-08-31,321.05,328.9,271.0,309.75,-3.519700981155587
2007-09-30,312.9,345.0,296.1,341.85,9.252157238734435
2007-10-31,345.0,410.0,293.0,330.6,-4.1739130434782545
2007-11-30,335.0,339.0,278.0,287.9,-14.059701492537318
2007-12-31,290.9,335.9,289.5,327.05,12.426950842213833
2008-01-31,328.4,333.85,217.85,284.5,-13.367844092570031
2008-02-29,287.0,289.0,231.0,242.15,-15.62717770034843
2008-03-31,238.5,272.8,226.15,246.05,3.1656184486373213
2008-04-30,248.0,254.9,205.0,213.75,-13.810483870967742
2008-05-31,216.0,244.9,213.1,228.3,5.69444444444445
2008-06-30,229.8,252.0,192.2,200.0,-12.96779808529156
2008-07-31,204.9,232.0,180.0,193.9,-5.36847242557345
2008-08-31,191.5,224.5,188.0,217.95,13.812010443864224
2008-09-30,214.0,254.8,187.55,196.5,-8.177570093457945
2008-10-31,198.0,210.0,91.1,153.9,-22.27272727272727
2008-11-30,159.5,163.0,100.0,109.0,-31.661442006269592
2008-12-31,109.0,146.2,102.2,139.85,28.302752293577978
2009-01-31,141.9,156.8,90.0,110.35,-22.233967582804798
2009-02-28,109.8,132.8,95.25,106.85,-2.6867030965391647
2009-03-31,106.5,110.25,88.0,106.35,-0.14084507042254055
2009-04-30,106.25,142.75,104.5,113.0,6.352941176470588
2009-05-31,116.7,187.45,114.75,168.3,44.21593830334191
2009-06-30,175.0,203.9,152.0,177.25,1.2857142857142858
2009-07-31,178.1,199.6,159.55,185.95,4.407636159460974
2009-08-31,187.8,224.9,174.75,210.6,12.140575079872194
2009-09-30,217.0,244.5,205.8,238.75,10.023041474654377
2009-10-31,238.1,261.85,224.1,231.55,-2.750944981100371
2009-11-30,230.0,275.45,223.0,254.25,10.543478260869565
2009-12-31,256.0,270.9,210.9,257.1,0.4296875000000089
2010-01-31,257.6,303.1,250.55,262.1,1.746894409937888
2010-02-28,259.6,269.75,243.9,247.0,-4.853620955315879
2010-03-31,250.0,283.85,249.5,268.25,7.3
2010-04-30,270.0,315.0,266.65,304.1,12.629629629629639
2010-05-31,301.0,307.95,270.0,282.8,-6.046511627906973
2010-06-30,283.3,318.0,274.2,304.85,7.606777267913875
2010-07-31,307.5,326.3,291.0,296.3,-3.642276422764224
2010-08-31,298.0,328.65,280.6,287.15,-3.6409395973154437
2010-09-30,292.1,312.25,277.2,300.2,2.7730229373502104
2010-10-31,300.2,309.0,266.1,276.2,-7.994670219853432
2010-11-30,281.0,300.0,132.5,143.9,-48.79003558718861
2010-12-31,144.5,152.45,134.55,147.25,1.9031141868512111
2011-01-31,148.85,148.85,105.8,115.15,-22.64024185421565
2011-02-28,114.85,120.4,107.5,118.75,3.3957335655202487
2011-03-31,120.0,127.85,116.3,123.6,2.999999999999995
2011-04-30,123.35,139.8,117.9,134.75,9.241994325091207
2011-05-31,133.3,143.2,127.75,137.1,2.8507126781695296
2011-06-30,135.2,145.7,124.55,134.9,-0.22189349112424775
2011-07-31,133.0,138.7,117.85,131.65,-1.015037593984958
2011-08-31,131.65,133.9,112.2,115.45,-12.305355108241551
2011-09-30,115.85,124.9,111.3,117.55,1.4674147604661225
2011-10-31,115.6,124.9,109.5,121.9,5.449826989619387
2011-11-30,117.65,128.3,112.0,124.7,5.992350191245217
2011-12-31,126.4,129.95,113.85,117.85,-6.764240506329123
2012-01-31,118.2,130.9,105.55,127.9,8.206429780033842
2012-02-29,128.0,140.4,123.15,127.15,-0.6640624999999956
2012-03-31,127.05,143.5,115.05,126.75,-0.23612750885477934
2012-04-30,128.6,141.0,120.15,126.3,-1.7884914463452546
2012-05-31,125.8,135.05,118.9,132.15,5.0476947535771135
2012-06-30,131.7,149.0,124.8,146.8,11.46545178435841
2012-07-31,148.0,169.7,140.25,168.4,13.783783783783786
2012-08-31,168.0,175.4,160.5,163.45,-2.70833333333334
2012-09-30,164.3,202.0,159.1,195.35,18.898356664637845
2012-10-31,195.35,208.25,173.7,189.3,-3.0970053749679973
2012-11-30,189.85,207.2,185.1,195.2,2.8180142217540136
2012-12-31,197.1,231.2,193.15,220.7,11.973617453069506
2013-01-31,221.0,239.0,216.4,230.1,4.117647058823527
2013-02-28,230.6,241.0,212.0,218.0,-5.464006938421507
2013-03-31,217.7,224.7,198.8,210.45,-3.330271015158475
2013-04-30,213.8,235.0,198.3,233.9,9.401309635173057
2013-05-31,232.05,255.2,225.05,226.1,-2.5641025641025714
2013-06-30,226.1,240.4,211.6,236.05,4.400707651481653
2013-07-31,236.2,267.5,233.75,247.1,4.614733276883999
2013-08-31,247.0,262.9,208.0,231.5,-6.275303643724697
2013-09-30,233.0,243.8,213.9,228.5,-1.9313304721030042
2013-10-31,229.05,273.5,225.05,266.05,16.15367823619297
2013-11-30,265.1,284.85,249.4,259.2,-2.2255752546209107
2013-12-31,260.45,292.0,260.2,276.6,6.200806296794024
2014-01-31,275.25,300.4,254.15,266.45,-3.1970935513169887
2014-02-28,265.2,279.4,255.55,268.7,1.3197586726998491
2014-03-31,259.0,295.6,257.9,271.35,4.768339768339777
2014-04-30,273.8,282.9,258.95,262.6,-4.0905770635500325
2014-05-31,262.5,302.0,260.6,266.75,1.619047619047619
2014-06-30,265.2,294.85,260.65,293.45,10.652337858220212
2014-07-31,294.15,310.85,282.0,290.7,-1.172870984191735
2014-08-31,288.0,300.0,265.05,273.7,-4.965277777777782
2014-09-30,275.55,316.9,274.1,314.15,14.008346942478665
2014-10-31,317.0,353.6,303.25,344.25,8.59621451104101
2014-11-30,344.9,402.4,343.4,381.95,10.742244128732969
2014-12-31,382.95,388.95,357.9,380.75,-0.5744875310092672
2015-01-31,381.0,400.05,354.05,376.75,-1.1154855643044619
2015-02-28,376.0,376.3,340.0,346.45,-7.859042553191491
2015-03-31,347.6,370.95,331.0,341.75,-1.6829689298043793
2015-04-30,341.6,358.1,311.0,312.05,-8.650468384074944
2015-05-31,314.0,326.0,299.5,323.75,3.105095541401274
2015-06-30,323.0,369.4,318.0,367.9,13.900928792569653
2015-07-31,367.9,409.3,350.0,398.8,8.39902147322643
2015-08-31,398.85,421.7,346.7,384.8,-3.5226275542183805
2015-09-30,380.0,406.8,357.85,392.45,3.2763157894736814
2015-10-31,392.45,440.65,380.6,408.65,4.127914383997958
2015-11-30,412.95,417.9,374.55,408.15,-1.1623683254631338
2015-12-31,409.9,439.35,387.45,437.25,6.672359111978538
2016-01-31,437.2,437.2,374.75,420.05,-3.9226898444647706
2016-02-29,421.0,422.6,350.1,372.35,-11.555819477434675
2016-03-31,375.0,407.7,372.55,386.95,3.1866666666666634
2016-04-30,384.0,416.8,382.5,414.9,8.046874999999995
2016-05-31,414.0,458.95,396.3,443.35,7.089371980676334
2016-06-30,445.7,466.4,433.5,456.5,2.4231545882880887
2016-07-31,459.5,500.35,446.5,497.3,8.226332970620241
2016-08-31,494.1,543.95,483.8,539.5,9.188423396073665
