Date,Open,High,Low,Close,Returns%
2000-01-31,77.1,87.5,52.45,52.45,-31.971465629053167
2000-02-29,56.5,56.5,35.1,46.2,-18.230088495575217
2000-03-31,46.2,48.25,34.5,39.9,-13.636363636363646
2000-04-30,39.9,42.0,34.0,34.95,-12.406015037593974
2000-05-31,35.0,36.25,27.5,35.75,2.142857142857143
2000-06-30,36.0,37.0,30.0,30.15,-16.250000000000004
2000-07-31,30.9,32.8,26.5,26.55,-14.077669902912614
2000-08-31,26.9,27.9,24.2,26.7,-0.743494423791819
2000-09-30,27.1,27.1,21.6,22.3,-17.71217712177122
2000-10-31,21.0,22.55,19.3,20.0,-4.761904761904762
2000-11-30,21.4,26.8,18.8,25.25,17.990654205607484
2000-12-31,25.0,30.0,23.0,26.6,6.400000000000006
2001-01-31,27.5,28.7,22.25,25.8,-6.18181818181818
2001-02-28,25.9,38.2,23.8,27.25,5.212355212355218
2001-03-31,27.5,29.25,17.6,20.25,-26.363636363636363
2001-04-30,19.5,21.6,14.8,17.85,-8.461538461538455
2001-05-31,22.0,23.3,18.4,22.45,2.0454545454545423
2001-06-30,22.75,22.75,17.75,20.0,-12.087912087912088
2001-07-31,19.4,20.4,15.0,16.1,-17.0103092783505
2001-08-31,16.2,19.4,15.65,18.2,12.345679012345679
2001-09-30,18.25,21.0,16.2,19.5,6.8493150684931505
2001-10-31,21.35,21.4,18.0,18.45,-13.583138173302117
2001-11-30,18.2,23.75,18.15,21.75,19.50549450549451
2001-12-31,21.1,26.45,18.25,20.35,-3.554502369668246
2002-01-31,20.5,22.35,18.75,19.1,-6.82926829268292
2002-02-28,19.0,24.5,18.55,20.3,6.842105263157897
2002-03-31,20.1,25.9,19.1,23.3,15.920398009950246
2002-04-30,22.85,29.2,21.6,23.0,0.6564551422319412
2002-05-31,22.45,27.5,19.8,22.0,-2.0044543429844066
2002-06-30,21.5,34.5,21.5,30.95,43.95348837209302
2002-07-31,37.15,37.5,21.0,22.5,-39.434724091520856
2002-08-31,23.7,24.5,20.7,20.9,-11.814345991561185
2002-09-30,21.5,22.0,18.95,19.15,-10.930232558139542
2002-10-31,20.0,20.0,17.25,17.85,-10.749999999999993
2002-11-30,18.0,21.4,18.0,20.45,13.611111111111107
2002-12-31,20.95,21.95,18.8,20.0,-4.5346062052505935
2003-01-31,20.35,25.8,19.0,21.75,6.879606879606873
2003-02-28,20.55,23.7,20.55,21.35,3.8929440389294436
2003-03-31,21.2,21.2,18.1,18.3,-13.679245283018863
2003-04-30,18.45,20.65,18.3,19.85,7.5880758807588204
2003-05-31,20.0,26.0,20.0,23.95,19.749999999999996
2003-06-30,23.5,31.35,21.55,30.05,27.87234042553192
2003-07-31,30.15,34.9,27.0,28.95,-3.98009950248756
2003-08-31,28.9,46.75,28.7,37.85,30.9688581314879
2003-09-30,37.0,44.5,31.0,37.15,0.40540540540540154
2003-10-31,37.5,41.0,31.1,35.2,-6.133333333333326
2003-11-30,35.5,47.9,33.3,45.4,27.88732394366197
2003-12-31,47.4,66.5,44.8,57.3,20.886075949367086
2004-01-31,58.9,68.45,41.75,42.25,-28.26825127334465
2004-02-29,43.0,44.25,35.85,36.5,-15.116279069767442
2004-03-31,36.3,38.5,28.7,36.2,-0.2754820936638962
2004-04-30,36.45,47.7,35.6,45.9,25.925925925925913
2004-05-31,45.95,54.45,33.55,41.25,-10.228509249183901
2004-06-30,42.2,45.0,34.5,40.65,-3.672985781990531
2004-07-31,41.8,45.0,36.1,40.85,-2.2727272727272627
2004-08-31,41.7,52.0,39.3,51.35,23.141486810551555
2004-09-30,51.95,55.0,47.15,51.6,-0.6737247353224282
2004-10-31,51.8,52.4,45.1,48.05,-7.239382239382239
2004-11-30,48.2,73.85,48.0,65.1,35.0622406639004
2004-12-31,66.25,76.9,62.55,73.4,10.792452830188688
2005-01-31,74.95,77.8,63.1,70.4,-6.070713809206134
2005-02-28,71.0,87.8,70.0,77.05,8.521126760563376
2005-03-31,78.45,85.5,70.65,76.95,-1.9120458891013383
2005-04-30,76.55,94.9,75.0,81.35,6.270411495754406
2005-05-31,84.6,96.75,79.25,90.05,6.442080378250594
2005-06-30,91.1,104.95,79.9,82.3,-9.659714599341381
2005-07-31,83.0,99.2,82.4,90.8,9.397590361445781
2005-08-31,90.0,130.95,87.5,129.35,43.722222222222214
2005-09-30,130.9,135.3,100.2,109.2,-16.577540106951876
2005-10-31,105.5,126.4,91.75,110.65,4.881516587677731
2005-11-30,112.0,128.0,109.0,118.9,6.160714285714291
2005-12-31,119.75,133.5,111.5,130.0,8.559498956158665
2006-01-31,132.0,151.4,129.85,141.0,6.818181818181818
2006-02-28,141.0,214.0,132.0,191.3,35.67375886524823
2006-03-31,191.0,232.5,178.6,223.75,17.146596858638745
2006-04-30,227.0,334.0,225.45,301.1,32.64317180616741
2006-05-31,304.3,364.0,215.0,217.75,-28.44232665133093
2006-06-30,220.15,222.0,128.5,153.3,-30.36565977742448
2006-07-31,159.0,171.8,135.0,156.55,-1.5408805031446469
2006-08-31,156.0,196.5,150.0,176.75,13.301282051282051
2006-09-30,177.05,188.4,163.45,170.95,-3.445354419655477
2006-10-31,172.9,203.5,169.2,179.5,3.817235396182761
2006-11-30,182.65,201.5,163.1,167.8,-8.130303859841224
2006-12-31,176.7,191.3,151.0,182.25,3.1409168081494125
2007-01-31,183.75,248.4,182.0,208.25,13.333333333333334
2007-02-28,209.5,223.0,155.1,160.6,-23.341288782816232
2007-03-31,164.9,165.7,130.55,139.1,-15.645845967252885
2007-04-30,138.0,173.9,134.25,164.8,19.420289855072472
