Date,P/E,P/B,Div Yield
2014-03-28,14.09,2.35,1.86
2014-03-31,14.14,2.36,1.86
2014-04-01,14.2,2.37,1.85
2014-04-02,14.31,2.39,1.84
2014-04-03,14.23,2.37,1.85
2014-04-04,14.15,2.36,1.86
2014-04-07,14.13,2.36,1.86
2014-04-09,14.33,2.39,1.83
2014-04-10,14.35,2.39,1.83
2014-04-11,14.28,2.38,1.84
2014-04-15,14.34,2.41,1.83
2014-04-16,14.17,2.38,1.85
2014-04-17,14.43,2.43,1.82
2014-04-21,14.55,2.45,1.81
2014-04-22,14.55,2.45,1.81
2014-04-23,14.61,2.46,1.8
2014-04-25,14.49,2.44,1.81
2014-04-28,14.46,2.43,1.82
2014-04-29,14.36,2.42,1.83
2014-04-30,14.32,2.41,1.83
2014-05-02,14.24,2.39,1.92
2014-05-05,14.29,2.39,1.91
2014-05-06,14.34,2.4,1.9
2014-05-07,14.23,2.38,1.92
2014-05-08,14.18,2.37,1.97
2014-05-09,14.65,2.45,1.91
2014-05-12,14.96,2.51,1.87
2014-05-13,15.26,2.56,1.84
2014-05-14,15.28,2.57,1.83
2014-05-15,15.34,2.57,1.83
2014-05-16,15.57,2.61,1.8
2014-05-19,15.87,2.65,1.77
2014-05-20,15.85,2.64,1.78
2014-05-21,15.7,2.64,1.78
2014-05-22,15.8,2.65,1.77
2014-05-23,16.09,2.7,1.74
2014-05-26,16.01,2.69,1.75
2014-05-27,15.83,2.66,1.77
2014-05-28,15.77,2.65,1.77
2014-05-29,15.24,2.61,1.8
2014-05-30,15.26,2.62,1.8
2014-06-02,15.71,2.67,1.76
2014-06-03,15.88,2.7,1.74
2014-06-04,15.89,2.7,1.74
2014-06-05,16.04,2.73,1.72
2014-06-06,16.35,2.78,1.69
2014-06-09,16.33,2.78,1.69
2014-06-10,16.29,2.78,1.69
2014-06-11,16.29,2.75,1.7
2014-06-12,16.26,2.75,1.7
2014-06-13,15.97,2.7,1.7
2014-06-16,15.99,2.7,1.7
2014-06-17,16.15,2.66,1.7
2014-06-18,15.94,2.62,1.73
2014-06-19,15.89,2.61,1.73
2014-06-20,15.82,2.6,1.74
2014-06-23,15.88,2.61,1.73
2014-06-24,16.1,2.65,1.71
2014-06-25,16.09,2.65,1.71
2014-06-26,15.85,2.61,1.74
2014-06-27,15.87,2.61,1.73
2014-06-30,16.1,2.65,1.71
2014-07-01,16.11,2.65,1.71
2014-07-02,16.23,2.67,1.7
2014-07-03,16.16,2.66,1.7
2014-07-04,16.25,2.67,1.69
2014-07-07,16.34,2.69,1.68
2014-07-08,15.92,2.62,1.73
2014-07-09,15.85,2.61,1.74
2014-07-10,15.73,2.59,1.75
2014-07-11,15.4,2.55,1.78
2014-07-14,15.3,2.5,1.77
2014-07-15,15.54,2.54,1.74
2014-07-16,15.79,2.58,1.71
2014-07-17,15.76,2.58,1.72
2014-07-18,15.72,2.58,1.71
2014-07-21,15.71,2.59,1.71
2014-07-22,15.86,2.61,1.7
2014-07-23,15.97,2.63,1.68
2014-07-24,16.05,2.65,1.67
2014-07-25,15.9,2.62,1.69
2014-07-28,15.78,2.61,1.7
2014-07-30,15.91,2.63,1.69
2014-07-31,15.78,2.61,1.7
2014-08-01,15.59,2.57,1.72
2014-08-04,15.79,2.61,1.7
2014-08-05,15.91,2.62,1.69
2014-08-06,15.74,2.59,1.68
2014-08-07,15.69,2.53,1.67
2014-08-08,15.52,2.51,1.69
2014-08-11,15.63,2.52,1.67
2014-08-12,15.77,2.55,1.66
2014-08-13,15.76,2.54,1.66
2014-08-14,15.88,2.56,1.65
2014-08-18,15.85,2.6,1.62
2014-08-19,15.91,2.61,1.62
2014-08-20,15.82,2.59,1.63
2014-08-21,15.88,2.6,1.62
2014-08-22,15.97,2.62,1.61
2014-08-25,15.96,2.61,1.61
2014-08-26,15.93,2.61,1.62
2014-08-27,16.03,2.63,1.61
2014-08-28,16.04,2.63,1.61
2014-09-01,16.25,2.66,1.58
2014-09-02,16.3,2.67,1.58
2014-09-03,16.4,2.68,1.57
2014-09-04,16.33,2.67,1.58
2014-09-05,16.35,2.68,1.58
2014-09-08,16.54,2.7,1.55
2014-09-09,16.44,2.69,1.56
2014-09-10,16.32,2.67,1.57
2014-09-11,16.34,2.67,1.57
2014-09-12,16.35,2.67,1.57
2014-09-15,16.2,2.65,1.59
2014-09-16,15.95,2.61,1.61
2014-09-17,16.08,2.63,1.6
2014-09-18,16.33,2.67,1.57
2014-09-19,16.3,2.67,1.58
2014-09-22,16.33,2.67,1.57
2014-09-23,16.03,2.62,1.6
2014-09-24,15.95,2.61,1.61
2014-09-25,15.68,2.56,1.64
2014-09-26,15.82,2.57,1.62
2014-09-29,15.85,2.57,1.62
2014-09-30,15.78,2.56,1.63
2014-10-01,15.79,2.56,1.62
2014-10-07,15.64,2.53,1.64
2014-10-08,15.65,2.53,1.64
2014-10-09,15.87,2.55,1.63
2014-10-10,15.83,2.54,1.63
2014-10-13,15.76,2.56,1.62
2014-10-14,15.74,2.54,1.61
2014-10-16,15.51,2.5,1.64
2014-10-17,15.52,2.5,1.64
2014-10-20,15.7,2.53,1.62
2014-10-21,15.74,2.54,1.61
2014-10-22,15.83,2.56,1.6
2014-10-23,15.89,2.57,1.6
2014-10-27,15.81,2.55,1.61
2014-10-28,15.87,2.56,1.6
2014-10-29,16.02,2.59,1.58
2014-10-30,16.2,2.62,1.57
2014-10-31,16.5,2.65,1.55
2014-11-03,16.49,2.65,1.55
2014-11-05,16.49,2.66,1.54
2014-11-07,16.44,2.66,1.54
2014-11-10,16.24,2.64,1.55
2014-11-11,16.33,2.66,1.54
2014-11-12,16.37,2.66,1.54
2014-11-13,16.29,2.65,1.55
2014-11-14,16.39,2.67,1.54
2014-11-17,16.51,2.68,1.52
2014-11-18,16.52,2.67,1.53
2014-11-19,16.33,2.65,1.54
2014-11-20,16.4,2.66,1.53
2014-11-21,16.55,2.68,1.52
2014-11-24,16.6,2.71,1.51
2014-11-25,16.52,2.7,1.51
2014-11-26,16.52,2.69,1.51
2014-11-27,16.64,2.71,1.5
2014-11-28,16.84,2.75,1.48
2014-12-01,16.76,2.73,1.49
2014-12-02,16.65,2.72,1.5
2014-12-03,16.76,2.73,1.49
2014-12-04,16.74,2.73,1.49
2014-12-05,16.63,2.71,1.5
2014-12-08,16.34,2.67,1.53
2014-12-09,16.16,2.64,1.55
2014-12-10,16.18,2.64,1.55
2014-12-11,15.97,2.61,1.57
2014-12-12,15.79,2.58,1.58
2014-12-15,15.68,2.56,1.6
2014-12-16,15.44,2.52,1.62
2014-12-17,15.5,2.53,1.61
2014-12-18,15.77,2.57,1.59
2014-12-19,15.95,2.6,1.57
2014-12-22,16.12,2.63,1.55
2014-12-23,16.01,2.61,1.56
2014-12-24,15.83,2.58,1.58
2014-12-26,15.88,2.59,1.57
2014-12-29,15.94,2.6,1.57
2014-12-30,15.93,2.6,1.57
2014-12-31,16.01,2.61,1.56
2015-01-01,16.02,2.61,1.56
2015-01-02,16.2,2.64,1.54
2015-01-05,16.15,2.63,1.55
2015-01-06,15.61,2.55,1.6
2015-01-07,15.61,2.55,1.6
2015-01-08,15.77,2.57,1.59
2015-01-09,15.95,2.6,1.57
2015-01-12,16.01,2.61,1.56
2015-01-13,15.89,2.59,1.57
2015-01-14,15.92,2.59,1.57
2015-01-15,16.28,2.65,1.53
2015-01-16,16.29,2.65,1.53
2015-01-19,16.28,2.66,1.53
2015-01-20,16.47,2.69,1.51
2015-01-21,16.58,2.72,1.5
2015-01-22,16.61,2.72,1.49
2015-01-23,16.67,2.73,1.49
2015-01-27,16.7,2.74,1.49
2015-01-28,16.79,2.75,1.48
2015-01-29,16.81,2.75,1.48
2015-01-30,16.45,2.7,1.51
2015-02-02,16.46,2.69,1.51
2015-02-03,16.37,2.67,1.52
2015-02-04,16.43,2.65,1.53
2015-02-05,16.38,2.64,1.54
2015-02-06,16.26,2.62,1.55
2015-02-09,16.19,2.58,1.57
2015-02-10,16.26,2.59,1.57
2015-02-11,16.39,2.61,1.56
2015-02-12,16.5,2.63,1.54
2015-02-13,16.72,2.67,1.52
2015-02-16,16.57,2.64,1.53
2015-02-18,16.53,2.65,1.53
2015-02-19,16.72,2.65,1.52
2015-02-20,16.56,2.63,1.54
2015-02-23,16.38,2.6,1.55
2015-02-24,16.36,2.6,1.56
2015-02-25,16.35,2.6,1.56
2015-02-26,16.21,2.57,1.57
2015-02-27,16.52,2.62,1.54
2015-02-28,16.78,2.67,1.52
2015-03-02,16.89,2.68,1.51
2015-03-03,17.01,2.7,1.5
2015-03-04,16.78,2.67,1.52
2015-03-05,16.74,2.66,1.52
2015-03-09,16.4,2.61,1.55
2015-03-10,16.35,2.6,1.56
2015-03-11,16.29,2.59,1.56
2015-03-12,16.43,2.61,1.55
2015-03-13,16.19,2.57,1.57
2015-03-16,16.19,2.57,1.57
2015-03-17,16.31,2.59,1.56
2015-03-18,16.28,2.59,1.56
2015-03-19,16.18,2.57,1.57
2015-03-20,15.97,2.54,1.6
2015-03-23,15.91,2.53,1.6
2015-03-24,15.86,2.52,1.61
2015-03-25,15.82,2.52,1.61
2015-03-26,15.47,2.46,1.65
2015-03-27,16.07,2.68,1.82
2015-03-30,16.32,2.72,1.8
2015-03-31,16.29,2.72,1.8
2015-04-01,16.37,2.73,1.79
2015-04-06,16.42,2.74,1.78
2015-04-07,16.44,2.74,1.78
2015-04-08,16.63,2.77,1.76
2015-04-09,16.86,2.81,1.74
2015-04-10,16.9,2.82,1.73
2015-04-13,16.97,2.84,1.73
2015-04-15,16.81,2.81,1.74
2015-04-16,16.79,2.81,1.75
2015-04-17,16.63,2.78,1.76
2015-04-20,16.29,2.72,1.8
2015-04-21,16.21,2.71,1.81
2015-04-22,16.3,2.73,1.8
2015-04-23,16.25,2.72,1.8
2015-04-24,16.03,2.68,2.02
2015-04-27,15.85,2.65,2.04
2015-04-28,16.04,2.68,2.02
2015-04-29,16.03,2.68,2.01
2015-04-30,15.93,2.65,2.11
2015-05-04,16.27,2.71,2.07
2015-05-05,16.26,2.7,2.07
2015-05-06,15.79,2.63,2.13
2015-05-07,15.76,2.62,2.14
2015-05-08,15.95,2.65,2.11
2015-05-11,16.3,2.73,2.07
2015-05-12,15.9,2.65,2.13
2015-05-13,16.1,2.7,2.1
2015-05-14,16.11,2.7,2.1
2015-05-15,16.15,2.7,2.09
2015-05-18,16.38,2.74,2.07
2015-05-19,16.37,2.73,2.07
2015-05-20,16.5,2.75,2.05
2015-05-21,16.49,2.75,2.05
2015-05-22,16.72,2.71,2.05
2015-05-25,16.55,2.69,2.07
2015-05-26,16.5,2.68,2.07
2015-05-27,16.54,2.69,2.07
2015-05-28,16.54,2.69,2.07
2015-05-29,16.72,2.72,2.05
2015-06-01,16.92,2.73,2.04
2015-06-02,16.53,2.66,2.09
2015-06-03,16.36,2.64,2.11
2015-06-04,16.32,2.63,2.11
2015-06-05,16.27,2.57,2.13
2015-06-08,16.14,2.55,2.15
2015-06-09,16.15,2.55,2.15
2015-06-10,16.4,2.59,2.12
2015-06-11,16.09,2.54,2.16
2015-06-12,16.1,2.52,2.18
2015-06-15,16.17,2.53,2.17
2015-06-16,16.29,2.55,2.15
2015-06-17,16.37,2.56,2.14
2015-06-18,16.54,2.59,2.12
2015-06-19,16.65,2.61,2.11
2015-06-22,16.95,2.65,2.07
2015-06-23,16.93,2.65,2.07
2015-06-24,16.88,2.64,2.08
2015-06-25,16.87,2.64,2.08
2015-06-26,16.92,2.64,2.08
2015-06-29,16.8,2.62,2.09
2015-06-30,16.79,2.62,2.1
2015-07-01,17.0,2.65,2.07
2015-07-02,17.02,2.66,2.07
2015-07-03,17.07,2.66,2.06
2015-07-06,17.12,2.67,2.06
2015-07-07,17.03,2.66,2.07
2015-07-08,16.78,2.62,2.1
2015-07-09,16.61,2.59,2.12
2015-07-10,16.62,2.56,2.13
2015-07-13,16.81,2.6,2.11
2015-07-14,16.84,2.6,2.1
2015-07-15,16.96,2.62,2.09
2015-07-16,17.1,2.64,2.07
2015-07-17,17.12,2.65,2.07
2015-07-20,17.09,2.64,2.07
2015-07-21,17.21,2.66,2.06
2015-07-22,17.43,2.69,2.03
2015-07-23,17.3,2.67,2.05
2015-07-24,17.08,2.63,2.07
2015-07-27,16.72,2.57,2.11
2015-07-28,16.53,2.57,2.12
2015-07-29,16.6,2.58,2.11
2015-07-30,16.67,2.58,2.11
2015-07-31,16.98,2.63,2.07
2015-08-03,17.01,2.64,2.06
2015-08-04,16.97,2.64,2.06
2015-08-05,17.08,2.65,2.05
2015-08-06,17.1,2.66,2.05
2015-08-07,17.05,2.63,2.04
2015-08-10,16.92,2.6,2.06
2015-08-11,16.77,2.57,2.07
2015-08-12,16.58,2.54,2.1
2015-08-13,16.69,2.55,2.09
2015-08-14,17.08,2.59,2.05
2015-08-17,16.96,2.59,2.05
2015-08-18,17.02,2.6,2.05
2015-08-19,17.04,2.6,2.05
2015-08-20,16.6,2.53,2.1
2015-08-21,16.53,2.52,2.03
2015-08-24,15.42,2.35,2.17
2015-08-25,15.69,2.39,2.13
2015-08-26,15.51,2.37,2.16
2015-08-27,15.73,2.4,2.13
2015-08-28,15.88,2.41,2.1
2015-08-31,15.77,2.4,2.12
2015-09-01,15.44,2.35,2.16
2015-09-02,15.29,2.33,2.19
2015-09-03,15.43,2.35,2.17
2015-09-04,15.08,2.29,2.22
2015-09-07,14.77,2.23,2.26
2015-09-08,15.05,2.28,2.21
2015-09-09,15.32,2.32,2.17
2015-09-10,15.25,2.31,2.19
2015-09-11,15.27,2.31,2.18
2015-09-14,15.46,2.34,2.16
2015-09-15,15.37,2.32,2.17
2015-09-16,15.49,2.34,2.15
2015-09-18,15.71,2.38,2.12
2015-09-21,15.7,2.37,2.12
2015-09-22,15.4,2.33,2.16
2015-09-23,15.47,2.34,2.15
2015-09-24,15.48,2.34,2.15
2015-09-28,15.36,2.32,2.17
2015-09-29,15.42,2.33,2.16
2015-09-30,15.65,2.37,2.13
2015-10-01,15.59,2.35,2.08
2015-10-05,15.96,2.41,2.03
2015-10-06,15.97,2.41,2.03
2015-10-07,15.97,2.41,2.03
2015-10-08,15.83,2.39,2.05
2015-10-09,15.98,2.41,2.03
2015-10-12,15.84,2.38,2.04
2015-10-13,15.38,2.37,2.05
2015-10-14,15.23,2.35,2.07
2015-10-15,15.32,2.37,2.06
2015-10-16,15.43,2.39,2.04
2015-10-19,15.57,2.41,2.02
2015-10-20,15.47,2.41,2.02
2015-10-21,15.48,2.41,2.02
2015-10-23,15.56,2.42,2.01
2015-10-26,15.53,2.42,2.01
2015-10-27,15.5,2.43,2.02
2015-10-28,15.29,2.4,2.05
