Date,P/E,P/B,Div Yield
2006-04-03,21.07,4.69,1.29
2006-04-04,21.19,4.72,1.28
2006-04-05,21.39,4.76,1.27
2006-04-07,21.07,4.69,1.29
2006-04-10,21.2,4.72,1.28
2006-04-12,20.68,4.61,1.32
2006-04-13,20.4,4.54,1.33
2006-04-17,20.77,4.64,1.3
2006-04-18,21.16,4.74,1.28
2006-04-19,21.21,4.76,1.27
2006-04-20,21.33,4.8,1.26
2006-04-21,21.3,4.79,1.26
2006-04-24,21.08,4.77,1.27
2006-04-25,20.64,4.67,1.3
2006-04-26,21.12,4.78,1.27
2006-04-27,20.81,4.73,1.28
2006-04-28,20.48,4.75,1.28
2006-04-29,20.74,4.83,1.26
2006-05-02,20.94,4.89,1.24
2006-05-03,21.09,4.92,1.23
2006-05-04,21.19,4.94,1.23
2006-05-05,21.29,4.96,1.22
2006-05-08,21.45,4.99,1.21
2006-05-09,21.55,5.02,1.21
2006-05-10,21.7,5.06,1.2
2006-05-11,21.42,4.99,1.21
2006-05-12,21.16,4.93,1.23
2006-05-15,20.32,4.73,1.28
2006-05-16,20.42,4.69,1.28
2006-05-17,21.02,4.83,1.25
2006-05-18,19.58,4.51,1.34
2006-05-19,18.78,4.32,1.39
2006-05-22,17.7,4.08,1.48
2006-05-23,18.37,4.23,1.42
2006-05-24,18.0,4.15,1.45
2006-05-25,18.39,4.19,1.44
2006-05-26,17.99,4.25,1.42
2006-05-29,18.02,4.27,1.41
2006-05-30,17.9,4.24,1.42
2006-05-31,17.33,4.1,1.47
2006-06-01,16.81,3.96,1.52
2006-06-02,17.29,4.0,1.52
2006-06-05,16.95,3.91,1.56
2006-06-06,16.48,3.8,1.6
2006-06-07,15.83,3.66,1.67
2006-06-08,14.97,3.46,1.76
2006-06-09,15.82,3.65,1.67
2006-06-12,15.44,3.55,1.72
2006-06-13,14.73,3.39,1.8
2006-06-14,14.51,3.24,1.86
2006-06-15,15.48,3.44,1.75
2006-06-16,16.05,3.57,1.68
2006-06-19,16.25,3.62,1.66
2006-06-20,16.03,3.57,1.69
2006-06-21,16.37,3.64,1.65
2006-06-22,16.77,3.73,1.61
2006-06-23,16.95,3.77,1.59
2006-06-25,17.01,3.78,1.59
2006-06-26,16.36,3.64,1.65
2006-06-27,16.47,3.66,1.64
2006-06-28,16.58,3.66,1.64
2006-06-29,16.61,3.67,1.64
2006-06-30,17.28,3.82,1.57
2006-07-03,17.86,3.9,1.49
2006-07-04,17.83,3.9,1.49
2006-07-05,18.15,3.97,1.46
2006-07-06,17.97,3.93,1.48
2006-07-07,17.57,3.84,1.51
2006-07-10,17.86,3.9,1.49
2006-07-11,17.74,3.88,1.5
2006-07-12,18.04,3.95,1.47
2006-07-13,17.92,3.8,1.52
2006-07-14,17.7,3.75,1.54
2006-07-17,17.04,3.62,1.6
2006-07-18,16.88,3.59,1.61
2006-07-19,16.37,3.5,1.65
2006-07-20,16.73,3.6,1.6
2006-07-21,16.24,3.51,1.65
2006-07-24,16.37,3.54,1.63
2006-07-25,16.75,3.61,1.6
2006-07-26,16.93,3.69,1.56
2006-07-27,17.15,3.62,1.59
2006-07-28,17.05,3.61,1.59
2006-07-31,16.83,3.63,1.58
2006-08-01,16.81,3.63,1.58
2006-08-02,17.02,3.68,1.56
2006-08-03,17.06,3.69,1.56
2006-08-04,16.97,3.67,1.56
2006-08-07,16.89,3.65,1.57
2006-08-08,17.18,3.71,1.54
2006-08-09,17.42,3.76,1.52
2006-08-10,17.53,3.79,1.51
2006-08-11,17.64,3.81,1.5
2006-08-14,17.87,3.86,1.49
2006-08-16,18.12,3.91,1.46
2006-08-17,18.08,3.88,1.48
2006-08-18,18.11,3.89,1.48
2006-08-21,18.19,3.9,1.47
2006-08-22,18.16,3.9,1.47
2006-08-23,17.99,3.86,1.49
2006-08-24,18.16,3.9,1.47
2006-08-25,18.28,3.92,1.46
2006-08-28,18.37,3.94,1.46
2006-08-29,18.5,3.97,1.45
2006-08-30,18.5,3.92,1.45
2006-08-31,18.41,3.9,1.46
2006-09-01,18.54,3.93,1.45
2006-09-04,18.79,3.98,1.43
2006-09-05,18.83,3.99,1.43
2006-09-06,18.89,4.01,1.42
2006-09-07,18.77,3.98,1.43
2006-09-08,18.89,4.01,1.42
2006-09-11,18.3,3.88,1.47
2006-09-12,18.47,3.92,1.45
2006-09-13,18.87,3.94,1.42
2006-09-14,18.98,3.97,1.41
2006-09-15,19.0,3.97,1.41
2006-09-18,19.07,3.99,1.4
2006-09-19,18.86,3.94,1.42
2006-09-20,19.08,3.99,1.4
2006-09-21,19.32,4.04,1.38
2006-09-22,19.25,4.02,1.39
2006-09-25,19.15,4.0,1.4
2006-09-26,19.59,4.09,1.36
2006-09-27,19.68,4.11,1.36
2006-09-28,19.69,4.12,1.36
2006-09-29,19.83,4.15,1.35
2006-10-03,19.8,4.14,1.35
2006-10-04,19.55,4.09,1.37
2006-10-05,19.85,4.15,1.35
2006-10-06,19.9,4.16,1.34
2006-10-09,19.9,4.16,1.34
2006-10-10,19.92,4.17,1.34
2006-10-11,19.75,4.01,1.38
2006-10-12,20.06,4.07,1.36
2006-10-13,20.27,4.12,1.34
2006-10-16,20.43,4.16,1.33
2006-10-17,20.25,4.14,1.34
2006-10-18,20.13,4.14,1.34
2006-10-19,19.86,4.1,1.35
2006-10-20,19.8,4.11,1.35
2006-10-21,19.86,4.13,1.34
2006-10-23,19.7,4.1,1.35
2006-10-26,19.71,4.12,1.34
2006-10-27,19.91,4.19,1.32
2006-10-30,19.23,4.21,1.31
2006-10-31,19.1,4.19,1.32
2006-11-01,18.9,4.21,1.31
2006-11-02,19.03,4.24,1.3
2006-11-03,19.1,4.26,1.3
2006-11-06,19.14,4.27,1.3
2006-11-07,19.1,4.26,1.3
2006-11-08,18.95,4.23,1.31
2006-11-09,19.04,4.21,1.28
2006-11-10,19.23,4.25,1.27
2006-11-13,19.4,4.29,1.26
2006-11-14,19.42,4.29,1.26
2006-11-15,19.5,4.31,1.25
2006-11-16,19.5,4.31,1.25
2006-11-17,19.36,4.28,1.26
2006-11-20,19.31,4.27,1.27
2006-11-21,19.64,4.34,1.24
2006-11-22,19.81,4.38,1.23
2006-11-23,19.83,4.39,1.23
2006-11-24,19.91,4.41,1.23
2006-11-27,19.98,4.42,1.22
2006-11-28,19.72,4.37,1.24
2006-11-29,19.75,4.37,1.24
2006-11-30,19.8,4.38,1.23
2006-12-01,20.04,4.44,1.22
2006-12-04,20.14,4.44,1.21
2006-12-05,20.19,4.45,1.21
2006-12-06,20.12,4.44,1.22
2006-12-07,20.15,4.44,1.21
2006-12-08,19.94,4.4,1.23
2006-12-11,19.32,4.26,1.27
2006-12-12,18.57,4.1,1.32
2006-12-13,18.92,4.17,1.29
2006-12-14,19.37,4.27,1.26
2006-12-15,19.57,4.32,1.25
2006-12-18,19.68,4.34,1.24
2006-12-19,19.23,4.24,1.27
2006-12-20,19.14,4.22,1.28
2006-12-21,19.21,4.24,1.27
2006-12-22,19.41,4.28,1.26
2006-12-26,19.73,4.35,1.24
2006-12-27,19.9,4.39,1.23
2006-12-28,19.9,4.39,1.23
2006-12-29,19.93,4.39,1.23
2007-01-02,20.68,4.57,1.18
2007-01-03,20.78,4.6,1.18
2007-01-04,20.68,4.57,1.18
2007-01-05,20.66,4.57,1.18
2007-01-08,20.4,4.51,1.2
2007-01-09,20.25,4.48,1.21
2007-01-10,19.95,4.41,1.23
2007-01-11,20.34,4.51,1.2
2007-01-12,20.82,4.59,1.17
2007-01-15,20.96,4.63,1.16
2007-01-16,20.88,4.63,1.16
2007-01-17,20.92,4.64,1.15
2007-01-18,21.0,4.67,1.15
2007-01-19,20.73,4.65,1.15
2007-01-22,20.64,4.65,1.15
2007-01-23,20.22,4.61,1.16
2007-01-24,20.23,4.63,1.16
2007-01-25,20.47,4.7,1.14
2007-01-29,20.05,4.69,1.14
2007-01-31,19.24,4.64,1.15
2007-02-01,19.33,4.7,1.14
2007-02-02,19.47,4.74,1.13
2007-02-05,19.56,4.76,1.12
2007-02-06,19.52,4.76,1.13
2007-02-07,19.64,4.78,1.12
2007-02-08,19.64,4.78,1.12
2007-02-09,19.41,4.72,1.13
2007-02-12,18.77,4.57,1.17
2007-02-13,18.7,4.55,1.18
2007-02-14,18.69,4.55,1.18
2007-02-15,19.14,4.66,1.15
2007-02-19,19.19,4.67,1.15
2007-02-20,18.97,4.62,1.16
2007-02-21,18.91,4.61,1.16
2007-02-22,18.67,4.55,1.18
2007-02-23,18.22,4.44,1.21
2007-02-26,18.24,4.44,1.2
2007-02-27,18.12,4.41,1.21
2007-02-28,17.46,4.25,1.26
2007-03-01,17.7,4.31,1.24
2007-03-02,17.37,4.23,1.27
2007-03-05,16.63,4.05,1.32
2007-03-06,16.9,4.12,1.3
2007-03-07,16.73,4.07,1.31
2007-03-08,17.33,4.22,1.27
2007-03-09,17.18,4.18,1.28
2007-03-12,17.28,4.21,1.27
2007-03-13,17.47,4.26,1.26
2007-03-14,16.94,4.13,1.3
2007-03-15,16.99,4.14,1.29
2007-03-16,16.85,4.1,1.3
2007-03-19,17.14,4.17,1.28
2007-03-20,17.25,4.2,1.27
2007-03-21,17.5,4.26,1.26
2007-03-22,17.93,4.37,1.23
2007-03-23,17.91,4.36,1.23
2007-03-26,17.75,4.32,1.24
2007-03-28,17.49,4.26,1.26
2007-03-29,17.62,4.29,1.25
2007-03-30,17.76,4.33,1.24
2007-04-02,16.96,4.13,1.3
2007-04-03,17.19,4.19,1.28
2007-04-04,17.4,4.24,1.26
2007-04-05,17.5,4.26,1.26
2007-04-09,17.92,4.36,1.23
2007-04-10,17.96,4.38,1.22
2007-04-11,18.02,4.37,1.23
2007-04-12,17.89,4.33,1.24
2007-04-13,18.2,4.42,1.22
2007-04-16,18.6,4.52,1.19
2007-04-17,18.44,4.49,1.2
2007-04-18,18.55,4.52,1.19
2007-04-19,18.47,4.51,1.2
2007-04-20,18.73,4.59,1.17
2007-04-23,18.68,4.59,1.17
2007-04-24,18.91,4.65,1.16
2007-04-25,19.01,4.68,1.15
2007-04-26,19.02,4.69,1.15
2007-04-27,18.54,4.61,1.17
2007-04-30,18.53,4.63,1.16
2007-05-03,18.74,4.7,1.15
2007-05-04,18.63,4.67,1.15
2007-05-07,18.56,4.66,1.16
2007-05-08,18.45,4.62,1.17
2007-05-09,18.48,4.64,1.16
2007-05-10,18.42,4.62,1.17
2007-05-11,18.49,4.64,1.16
2007-05-14,18.64,4.71,1.14
2007-05-15,18.62,4.69,1.15
2007-05-16,18.86,4.76,1.14
2007-05-17,19.15,4.83,1.12
2007-05-18,19.05,4.82,1.12
2007-05-21,19.11,4.87,1.11
2007-05-22,19.19,4.89,1.11
2007-05-23,19.06,4.85,1.12
2007-05-24,18.93,4.82,1.12
2007-05-25,19.2,4.86,1.12
2007-05-28,19.55,4.89,1.11
2007-05-29,19.61,4.92,1.1
2007-05-30,19.53,4.87,1.11
2007-05-31,19.66,4.9,1.11
2007-06-01,19.72,4.91,1.1
2007-06-04,19.6,4.79,1.11
2007-06-05,19.69,4.81,1.1
2007-06-06,19.29,4.71,1.12
2007-06-07,19.2,4.69,1.13
2007-06-08,19.03,4.65,1.14
2007-06-11,19.04,4.65,1.14
2007-06-12,19.02,4.65,1.14
2007-06-13,18.88,4.61,1.15
2007-06-14,19.18,4.69,1.13
2007-06-15,19.2,4.69,1.13
2007-06-18,19.09,4.66,1.14
2007-06-19,19.39,4.73,1.12
2007-06-20,19.56,4.78,1.11
2007-06-21,19.68,4.81,1.1
2007-06-22,19.65,4.7,1.13
2007-06-25,19.73,4.71,1.13
2007-06-26,19.88,4.74,1.12
2007-06-27,19.78,4.71,1.13
2007-06-28,19.84,4.73,1.12
2007-06-29,20.05,4.78,1.11
2007-07-02,20.23,4.92,1.09
2007-07-03,20.43,4.96,1.07
2007-07-04,20.44,4.97,1.07
2007-07-05,20.35,4.95,1.08
2007-07-06,20.55,4.99,1.07
2007-07-09,20.72,5.04,1.06
2007-07-10,20.65,5.02,1.06
2007-07-11,20.61,5.02,1.06
2007-07-12,20.91,5.09,1.05
2007-07-13,21.12,5.14,1.04
2007-07-16,21.19,5.18,1.03
2007-07-17,21.06,5.16,1.03
2007-07-18,21.04,5.16,1.03
2007-07-19,21.23,5.22,1.02
2007-07-20,21.13,4.94,1.04
2007-07-23,21.32,5.0,1.03
2007-07-24,21.19,5.0,1.03
2007-07-25,20.89,4.96,1.04
2007-07-26,20.87,4.99,1.03
2007-07-27,20.06,4.8,1.07
2007-07-30,19.64,4.8,1.07
2007-07-31,19.79,4.9,1.05
2007-08-01,18.97,4.7,1.1
2007-08-02,19.06,4.72,1.09
2007-08-03,19.31,4.78,1.08
2007-08-06,19.05,4.72,1.09
2007-08-07,19.15,4.75,1.09
2007-08-08,19.58,4.85,1.06
2007-08-09,19.29,4.78,1.08
2007-08-10,19.01,4.71,1.09
2007-08-13,19.17,4.75,1.08
2007-08-14,19.17,4.76,1.08
2007-08-16,18.35,4.55,1.13
2007-08-17,18.05,4.48,1.15
2007-08-20,18.44,4.58,1.13
2007-08-21,17.84,4.43,1.16
2007-08-22,18.09,4.33,1.16
2007-08-23,17.93,4.29,1.17
2007-08-24,18.24,4.37,1.15
2007-08-27,18.76,4.49,1.11
2007-08-28,18.88,4.52,1.11
2007-08-29,19.02,4.55,1.1
2007-08-30,19.17,4.59,1.09
2007-08-31,19.46,4.66,1.07
2007-09-03,19.66,4.71,1.06
2007-09-04,19.7,4.72,1.06
2007-09-05,19.7,4.72,1.06
2007-09-06,19.88,4.76,1.05
2007-09-07,19.83,4.75,1.05
2007-09-10,19.87,4.76,1.05
2007-09-11,19.87,4.76,1.05
2007-09-12,19.87,4.76,1.05
2007-09-13,20.05,4.8,1.04
2007-09-14,19.93,4.59,1.12
2007-09-17,19.88,4.58,1.13
2007-09-18,20.1,4.63,1.11
2007-09-19,20.79,4.79,1.08
2007-09-20,20.93,4.82,1.07
2007-09-21,21.23,4.89,1.05
2007-09-24,21.64,4.99,1.03
2007-09-25,21.66,4.99,1.03
2007-09-26,21.69,5.0,1.03
2007-09-27,21.83,5.03,1.02
2007-09-28,22.04,5.08,1.01
2007-10-01,22.32,5.14,1.0
2007-10-03,22.83,5.26,0.98
2007-10-04,22.87,5.27,0.98
2007-10-05,22.69,5.23,0.99
2007-10-08,22.14,5.1,1.01
2007-10-09,23.09,5.32,0.97
2007-10-10,23.57,5.43,0.95
2007-10-11,23.94,5.52,0.93
2007-10-12,23.52,5.43,0.95
2007-10-15,24.42,5.64,0.91
2007-10-16,24.47,5.45,0.93
2007-10-17,23.91,5.33,0.95
2007-10-18,23.1,5.16,0.98
2007-10-19,22.28,5.01,1.01
2007-10-22,22.14,4.99,1.02
2007-10-23,23.34,5.27,0.96
2007-10-24,23.48,5.31,0.96
2007-10-25,23.73,5.37,0.95
2007-10-26,24.25,5.5,0.92
2007-10-29,24.88,5.67,0.9
2007-10-30,24.58,5.66,0.9
2007-10-31,24.45,5.71,0.89
2007-11-01,24.23,5.66,0.9
2007-11-02,24.52,5.73,0.89
2007-11-05,24.33,5.68,0.89
2007-11-06,24.11,5.63,0.9
2007-11-07,24.07,5.63,0.9
2007-11-08,23.78,5.56,0.91
2007-11-09,23.68,5.53,0.92
2007-11-12,23.5,5.49,0.92
2007-11-13,23.89,5.58,0.91
2007-11-14,24.84,5.8,0.87
2007-11-15,24.91,5.82,0.87
2007-11-16,24.98,5.84,0.87
2007-11-19,25.17,5.88,0.86
2007-11-20,24.65,5.76,0.88
2007-11-21,23.57,5.51,0.92
2007-11-22,23.38,5.46,0.93
2007-11-23,23.79,5.56,0.91
2007-11-26,24.32,5.69,0.89
2007-11-27,24.26,5.68,0.89
2007-11-28,23.98,5.61,0.9
2007-11-29,23.98,5.61,0.9
2007-11-30,24.64,5.76,0.88
2007-12-03,25.14,5.88,0.86
2007-12-04,25.27,5.91,0.86
2007-12-05,25.65,6.0,0.85
2007-12-06,25.66,6.0,0.85
2007-12-07,25.7,6.01,0.84
2007-12-10,25.74,6.02,0.84
2007-12-11,26.21,6.13,0.83
2007-12-12,26.56,6.21,0.82
2007-12-13,26.28,6.15,0.83
2007-12-14,26.31,6.15,0.82
2007-12-17,25.07,5.83,0.87
2007-12-18,24.99,5.81,0.87
2007-12-19,25.0,5.81,0.87
2007-12-20,25.0,5.81,0.87
2007-12-24,25.83,6.0,0.84
2007-12-26,26.33,6.12,0.83
2007-12-27,26.34,6.12,0.83
2007-12-28,26.53,6.17,0.82
2007-12-31,26.85,6.24,0.81
2008-01-01,27.82,6.43,0.76
2008-01-02,28.08,6.5,0.75
2008-01-03,28.14,6.51,0.75
2008-01-04,28.5,6.59,0.74
2008-01-07,28.5,6.59,0.74
2008-01-08,28.36,6.56,0.75
2008-01-09,28.3,6.55,0.75
2008-01-10,27.62,6.39,0.77
2008-01-11,27.77,6.42,0.76
2008-01-14,27.94,6.47,0.76
2008-01-15,27.37,6.34,0.77
2008-01-16,26.73,6.2,0.79
2008-01-17,25.87,6.18,0.79
2008-01-18,24.61,5.91,0.83
2008-01-21,22.0,5.3,0.92
2008-01-22,20.47,4.95,0.99
2008-01-23,21.84,5.29,0.92
2008-01-24,21.11,5.11,0.96
2008-01-25,22.54,5.48,0.89
2008-01-28,22.27,5.41,0.9
2008-01-29,22.22,5.41,0.9
2008-01-30,21.46,5.28,0.93
2008-01-31,21.21,5.23,0.94
2008-02-01,21.69,5.36,0.91
2008-02-04,22.37,5.53,0.88
2008-02-05,22.53,5.57,0.88
2008-02-06,21.94,5.42,0.9
2008-02-07,21.18,5.24,0.93
2008-02-08,21.0,5.19,0.94
2008-02-11,19.87,4.91,1.0
2008-02-12,19.75,4.88,1.0
2008-02-13,20.06,4.96,0.99
2008-02-14,21.22,5.25,0.93
2008-02-15,21.66,5.35,0.91
2008-02-18,21.58,5.34,0.92
2008-02-19,21.6,5.34,0.92
2008-02-20,21.08,5.21,0.94
2008-02-21,21.23,5.25,0.93
2008-02-22,20.91,5.17,0.95
2008-02-25,21.18,5.24,0.93
2008-02-26,21.47,5.31,0.92
2008-02-27,21.48,5.31,0.92
2008-02-28,21.46,5.31,0.92
2008-02-29,21.26,5.26,0.93
2008-03-03,20.15,4.98,0.98
2008-03-04,19.7,4.87,1.0
2008-03-05,19.79,4.89,1.0
2008-03-07,19.09,4.72,1.04
2008-03-10,19.18,4.74,1.03
2008-03-11,19.65,4.86,1.01
2008-03-12,19.6,4.85,1.01
2008-03-13,18.47,4.47,1.09
2008-03-14,18.89,4.57,1.06
2008-03-17,17.79,4.3,1.13
2008-03-18,17.8,4.3,1.13
2008-03-19,17.89,4.33,1.12
2008-03-24,17.89,4.33,1.12
2008-03-25,19.0,4.59,1.06
2008-03-26,18.92,4.57,1.06
2008-03-27,18.88,4.57,1.06
2008-03-28,19.42,4.7,1.03
2008-03-31,18.66,4.52,1.08
2008-04-01,18.64,4.51,1.08
2008-04-02,18.73,4.53,1.07
2008-04-03,18.78,4.55,1.07
2008-04-04,18.32,4.43,1.1
2008-04-07,18.74,4.54,1.07
2008-04-08,18.61,4.5,1.08
2008-04-09,18.78,4.55,1.07
2008-04-10,18.73,4.53,1.07
2008-04-11,18.9,4.57,1.06
2008-04-15,19.28,4.67,1.04
2008-04-16,19.37,4.69,1.04
2008-04-17,19.7,4.77,1.02
2008-04-21,20.03,4.85,1.0
2008-04-22,20.01,4.88,1.0
2008-04-23,19.91,4.86,1.0
2008-04-24,19.8,4.84,1.01
2008-04-25,20.09,4.93,0.99
2008-04-28,19.99,4.92,0.99
2008-04-29,20.3,5.01,0.97
2008-04-30,20.27,5.0,0.97
2008-05-02,20.54,5.07,0.96
2008-05-05,20.43,5.05,0.96
2008-05-06,20.22,5.0,0.97
2008-05-07,20.11,4.98,0.98
2008-05-08,19.89,4.93,0.99
2008-05-09,19.42,4.81,1.01
2008-05-12,19.46,4.83,1.01
2008-05-13,19.3,4.79,1.02
2008-05-14,19.52,4.84,1.0
2008-05-15,19.86,4.93,0.99
2008-05-16,20.0,4.98,0.98
2008-05-20,19.74,4.93,0.99
2008-05-21,19.78,4.95,0.98
2008-05-22,19.41,4.86,1.0
2008-05-23,19.1,4.78,1.02
2008-05-26,18.7,4.46,1.09
2008-05-27,18.61,4.44,1.09
2008-05-28,18.97,4.49,1.08
2008-05-29,18.72,4.43,1.1
2008-05-30,18.79,4.45,1.09
2008-06-02,18.25,4.33,1.12
2008-06-03,18.18,4.32,1.12
2008-06-04,17.63,4.19,1.16
2008-06-05,17.92,4.26,1.14
2008-06-06,17.73,4.21,1.15
2008-06-09,17.2,4.08,1.19
2008-06-10,17.0,3.92,1.23
2008-06-11,17.28,3.98,1.21
2008-06-12,17.35,4.0,1.2
2008-06-13,17.28,3.98,1.21
2008-06-16,17.48,4.03,1.19
2008-06-17,17.88,4.11,1.17
2008-06-18,17.62,4.05,1.19
2008-06-19,17.3,3.97,1.21
2008-06-20,16.69,3.83,1.25
2008-06-23,16.27,3.74,1.29
2008-06-24,15.96,3.67,1.31
2008-06-25,16.19,3.72,1.29
2008-06-26,16.33,3.75,1.28
2008-06-27,15.68,3.61,1.33
2008-06-30,15.28,3.51,1.37
2008-07-01,15.3,3.51,1.36
2008-07-02,16.03,3.67,1.3
2008-07-03,15.38,3.52,1.36
2008-07-04,15.77,3.47,1.34
2008-07-07,15.86,3.49,1.33
2008-07-08,15.77,3.47,1.34
2008-07-09,16.46,3.62,1.29
2008-07-10,16.5,3.63,1.28
2008-07-11,16.03,3.53,1.32
2008-07-14,15.99,3.52,1.32
2008-07-15,15.3,3.37,1.38
2008-07-16,15.08,3.32,1.4
2008-07-17,15.52,3.42,1.36
2008-07-18,16.02,3.54,1.32
2008-07-21,16.18,3.58,1.3
2008-07-22,16.53,3.66,1.27
2008-07-23,17.47,3.75,1.23
2008-07-24,17.33,3.73,1.23
2008-07-25,16.83,3.65,1.26
2008-07-28,16.86,3.68,1.25
2008-07-29,16.22,3.56,1.29
2008-07-30,16.91,3.67,1.25
2008-07-31,17.01,3.68,1.25
2008-08-01,17.38,3.76,1.22
2008-08-04,17.49,3.78,1.22
2008-08-05,17.89,3.86,1.19
2008-08-06,17.86,3.86,1.19
2008-08-07,17.86,3.86,1.19
2008-08-08,17.92,3.87,1.19
2008-08-11,18.29,3.95,1.16
2008-08-12,18.05,3.9,1.18
2008-08-13,17.96,3.88,1.19
2008-08-14,17.54,3.79,1.21
2008-08-18,17.36,3.75,1.23
2008-08-19,17.25,3.73,1.23
2008-08-20,17.45,3.77,1.22
2008-08-21,16.93,3.66,1.26
2008-08-22,17.06,3.49,1.28
2008-08-25,17.07,3.49,1.28
2008-08-26,17.07,3.49,1.28
2008-08-27,16.9,3.46,1.29
2008-08-28,16.62,3.4,1.32
2008-08-29,17.19,3.52,1.27
2008-09-01,17.17,3.51,1.27
2008-09-02,17.73,3.63,1.23
2008-09-04,17.55,3.59,1.25
2008-09-05,17.18,3.52,1.27
2008-09-08,17.59,3.6,1.24
2008-09-09,17.53,3.59,1.25
2008-09-10,17.26,3.53,1.27
2008-09-11,16.88,3.46,1.3
2008-09-12,16.61,3.4,1.32
2008-09-15,15.96,3.27,1.37
2008-09-16,15.89,3.25,1.38
2008-09-17,15.6,3.19,1.4
2008-09-18,15.62,2.98,1.4
2008-09-19,16.36,3.12,1.33
2008-09-22,16.3,3.1,1.34
2008-09-23,15.97,3.04,1.37
2008-09-24,16.08,3.06,1.36
2008-09-25,15.91,3.03,1.37
2008-09-26,15.42,2.94,1.42
2008-09-29,14.85,2.83,1.47
2008-09-30,15.1,2.88,1.45
2008-10-01,15.23,2.9,1.43
2008-10-03,14.72,2.81,1.48
2008-10-06,13.86,2.64,1.57
2008-10-07,13.78,2.63,1.58
2008-10-08,13.32,2.54,1.64
2008-10-10,12.38,2.34,1.76
2008-10-13,13.12,2.48,1.66
2008-10-14,13.28,2.51,1.64
2008-10-15,12.62,2.39,1.73
2008-10-16,12.42,2.35,1.76
2008-10-17,11.76,2.22,1.85
2008-10-20,11.95,2.26,1.82
2008-10-21,12.36,2.34,1.76
2008-10-22,11.75,2.23,1.85
2008-10-23,11.27,2.14,1.93
2008-10-24,9.95,1.9,2.17
2008-10-27,9.6,1.84,2.24
2008-10-28,10.19,1.96,2.11
2008-10-29,10.22,1.96,2.1
2008-10-31,11.6,2.08,1.98
2008-11-03,12.52,2.2,1.88
2008-11-04,12.96,2.27,1.81
2008-11-05,12.46,2.18,1.89
2008-11-06,12.07,2.12,1.95
2008-11-07,12.39,2.17,1.9
2008-11-10,13.09,2.3,1.8
2008-11-11,12.34,2.16,1.91
2008-11-12,11.99,2.1,1.96
2008-11-14,11.8,2.07,1.99
2008-11-17,11.66,2.05,2.02
2008-11-18,11.22,1.97,2.1
2008-11-19,11.01,1.93,2.14
2008-11-20,10.65,1.87,2.21
2008-11-21,11.1,1.95,2.12
2008-11-24,11.14,1.95,2.11
2008-11-25,10.95,1.92,2.15
2008-11-26,11.24,1.97,2.1
2008-11-28,11.25,1.97,2.09
2008-12-01,11.0,1.93,2.14
2008-12-02,10.9,1.91,2.16
2008-12-03,10.96,1.92,2.15
2008-12-04,11.47,2.01,2.05
2008-12-05,11.18,1.94,2.11
2008-12-08,11.41,1.98,2.07
2008-12-10,11.92,2.07,1.98
2008-12-11,11.95,2.07,1.97
2008-12-12,11.98,2.08,1.97
2008-12-15,12.27,2.13,1.92
2008-12-16,12.57,2.18,1.87
2008-12-17,12.19,2.11,1.93
2008-12-18,12.62,2.19,1.87
2008-12-19,12.74,2.21,1.85
2008-12-22,12.6,2.18,1.87
2008-12-23,12.29,2.13,1.92
2008-12-24,12.12,2.1,1.94
2008-12-26,11.88,2.06,1.98
2008-12-29,12.15,2.11,1.94
2008-12-30,12.39,2.15,1.9
2008-12-31,12.33,2.14,1.91
2009-01-01,12.98,2.24,1.84
2009-01-02,13.07,2.26,1.83
2009-01-05,13.38,2.31,1.79
