Date,P/E,P/B,Div Yield
2012-11-19,21.4,4.16,0.83
2012-11-20,21.25,4.13,0.83
2012-11-21,21.4,4.16,0.83
2012-11-22,21.59,4.2,0.82
2012-11-23,21.65,4.21,0.82
2012-11-26,21.91,4.24,0.81
2012-11-27,22.22,4.28,0.8
2012-11-29,22.41,4.32,0.79
2012-11-30,23.03,4.25,0.81
2012-12-03,23.22,4.28,0.8
2012-12-04,23.42,4.32,0.79
2012-12-05,23.29,4.29,0.8
2012-12-06,23.35,4.31,0.8
2012-12-07,23.24,4.29,0.8
2012-12-10,23.27,4.29,0.8
2012-12-11,23.21,4.28,0.8
2012-12-12,23.27,4.29,0.8
2012-12-13,23.08,4.26,0.8
2012-12-14,23.19,4.28,0.8
2012-12-17,23.28,4.29,0.8
2012-12-18,23.54,4.34,0.79
2012-12-19,23.77,4.38,0.78
2012-12-20,23.81,4.39,0.78
2012-12-21,23.41,4.32,0.79
2012-12-24,23.55,4.34,0.79
2012-12-26,23.6,4.35,0.79
2012-12-27,23.43,4.33,0.79
2012-12-28,23.5,4.35,0.79
2012-12-31,23.62,4.37,0.79
2013-01-01,23.82,4.41,0.78
2013-01-02,23.95,4.43,0.78
2013-01-03,24.04,4.45,0.77
2013-01-04,23.99,4.44,0.77
2013-01-07,23.95,4.43,0.78
2013-01-08,23.99,4.44,0.78
2013-01-09,23.96,4.44,0.78
2013-01-10,24.0,4.44,0.77
2013-01-11,23.67,4.38,0.78
2013-01-14,25.17,3.7,0.64
2013-01-15,25.23,3.71,0.64
2013-01-16,24.87,3.68,0.64
2013-01-17,24.92,3.68,0.64
2013-01-18,24.71,3.68,0.64
2013-01-21,24.79,3.71,0.64
2013-01-22,24.45,3.68,0.64
2013-01-23,24.43,3.67,0.64
2013-01-24,23.86,3.6,0.66
2013-01-25,24.3,3.67,0.64
2013-01-28,24.36,3.68,0.64
2013-01-29,24.2,3.67,0.64
2013-01-30,24.14,3.67,0.64
2013-01-31,24.11,3.69,0.64
2013-02-01,23.9,3.69,0.64
2013-02-04,23.77,3.68,0.64
2013-02-05,23.62,3.66,0.65
2013-02-06,23.71,3.68,0.64
2013-02-07,23.36,3.64,0.65
2013-02-08,23.07,3.6,0.65
2013-02-11,22.71,3.6,0.65
2013-02-12,22.71,3.6,0.65
2013-02-13,22.51,3.56,0.66
2013-02-14,22.32,3.53,0.66
2013-02-15,22.39,3.55,0.66
2013-02-18,22.42,3.55,0.66
2013-02-19,22.74,3.6,0.65
2013-02-20,22.93,3.61,0.65
2013-02-21,22.58,3.55,0.66
2013-02-22,22.5,3.56,0.66
2013-02-25,22.38,3.54,0.66
2013-02-26,21.95,3.47,0.68
2013-02-27,22.1,3.5,0.67
2013-02-28,21.68,3.43,0.68
2013-03-01,21.96,3.44,0.68
2013-03-04,21.66,3.39,0.69
2013-03-05,22.07,3.45,0.68
2013-03-06,22.3,3.49,0.67
2013-03-07,22.51,3.52,0.67
2013-03-08,22.8,3.57,0.66
2013-03-11,22.86,3.58,0.66
2013-03-12,22.73,3.56,0.66
2013-03-13,22.43,3.51,0.67
2013-03-14,22.54,3.53,0.67
2013-03-15,22.53,3.53,0.67
2013-03-18,22.49,3.52,0.67
2013-03-19,21.92,2.99,0.62
2013-03-20,21.62,2.95,0.63
2013-03-21,21.48,2.93,0.63
2013-03-22,21.24,2.9,0.64
2013-03-25,21.2,2.89,0.64
2013-03-26,21.21,2.89,0.64
2013-03-28,21.59,2.94,0.63
2013-04-01,21.83,2.98,0.62
2013-04-02,22.03,3.01,0.62
2013-04-03,21.94,2.99,0.62
2013-04-04,21.44,2.92,0.64
2013-04-05,21.39,2.92,0.64
2013-04-08,26.45,4.22,0.56
2013-04-09,26.15,4.17,0.57
2013-04-10,26.35,4.2,0.56
2013-04-11,26.48,4.22,0.56
2013-04-12,26.22,4.18,0.57
2013-04-15,26.28,4.19,0.56
2013-04-16,26.44,4.22,0.56
2013-04-17,26.64,4.27,0.55
2013-04-18,26.72,4.29,0.55
2013-04-22,26.94,4.33,0.55
2013-04-23,27.0,4.34,0.54
2013-04-25,27.07,4.36,0.54
2013-04-26,26.86,4.32,0.55
2013-04-29,27.05,4.35,0.54
2013-04-30,27.29,4.39,0.54
2013-05-02,27.63,4.45,0.53
2013-05-03,27.61,4.44,0.53
2013-05-06,27.96,4.5,0.53
2013-05-07,28.18,4.53,0.52
2013-05-08,28.36,4.58,0.52
2013-05-09,27.92,4.55,0.52
