Date,P/E,P/B,Div Yield
2006-04-03,26.21,7.57,0.98
2006-04-04,26.22,7.57,0.97
2006-04-05,26.49,7.65,0.96
2006-04-07,25.95,7.49,0.98
2006-04-10,26.01,7.51,0.98
2006-04-12,25.17,7.27,1.02
2006-04-13,25.02,7.22,1.02
2006-04-17,25.56,7.38,1.0
2006-04-18,26.12,7.54,0.98
2006-04-19,25.85,7.46,0.99
2006-04-20,26.13,7.54,0.98
2006-04-21,26.41,7.63,0.97
2006-04-24,26.2,7.58,0.97
2006-04-25,25.48,7.37,1.0
2006-04-26,25.93,7.62,0.97
2006-04-27,25.59,7.52,0.98
2006-04-28,25.69,7.57,0.97
2006-04-29,25.95,7.72,0.96
2006-05-02,26.29,7.81,0.94
2006-05-03,26.51,7.88,0.94
2006-05-04,26.5,7.87,0.94
2006-05-05,26.55,7.89,0.93
2006-05-08,26.54,7.89,0.93
2006-05-09,27.02,8.04,0.92
2006-05-10,26.94,8.01,0.92
2006-05-11,26.52,7.89,0.94
2006-05-12,26.46,7.87,0.94
2006-05-15,25.4,7.55,0.98
2006-05-16,25.66,7.63,0.97
2006-05-17,26.53,7.89,0.94
2006-05-18,24.61,7.32,1.01
2006-05-19,23.59,7.02,1.05
2006-05-22,21.65,6.69,1.1
2006-05-23,22.07,6.88,1.07
2006-05-24,21.51,6.71,1.1
2006-05-25,21.75,6.78,1.09
2006-05-26,22.06,6.89,1.07
2006-05-29,21.64,6.92,1.07
2006-05-30,21.16,6.79,1.09
2006-05-31,20.57,6.64,1.11
2006-06-01,19.55,6.31,1.17
2006-06-02,20.48,6.52,1.12
2006-06-05,20.22,6.44,1.14
2006-06-06,19.72,6.28,1.16
2006-06-07,19.04,6.06,1.21
2006-06-08,18.33,5.83,1.25
2006-06-09,19.31,6.15,1.19
2006-06-12,18.72,5.96,1.23
2006-06-13,17.62,5.61,1.3
2006-06-14,17.37,5.53,1.32
2006-06-15,18.57,5.91,1.24
2006-06-16,19.21,6.12,1.2
2006-06-19,19.73,6.28,1.16
2006-06-20,19.45,6.19,1.18
2006-06-21,19.6,6.24,1.17
2006-06-22,20.14,6.41,1.14
2006-06-23,20.19,6.43,1.14
2006-06-25,20.27,6.45,1.13
2006-06-26,19.4,6.17,1.18
2006-06-27,19.33,6.15,1.19
2006-06-28,19.54,6.2,1.18
2006-06-29,19.79,6.28,1.16
2006-06-30,20.71,6.58,1.11
2006-07-03,20.63,6.55,1.12
2006-07-04,20.72,6.58,1.11
2006-07-05,20.95,6.65,1.1
2006-07-06,20.8,6.6,1.11
2006-07-07,20.26,6.43,1.14
2006-07-10,20.63,6.55,1.12
2006-07-11,20.03,6.39,1.14
2006-07-12,20.25,6.46,1.13
2006-07-13,20.05,5.8,1.31
2006-07-14,19.66,5.69,1.33
2006-07-17,18.69,5.45,1.39
2006-07-18,18.5,5.4,1.41
2006-07-19,17.87,5.21,1.46
2006-07-20,18.4,5.36,1.42
2006-07-21,18.02,5.26,1.44
2006-07-24,18.12,5.29,1.43
2006-07-25,18.46,5.37,1.41
2006-07-26,18.53,5.48,1.39
2006-07-27,17.99,5.34,1.43
2006-07-28,17.84,5.31,1.44
2006-07-31,18.04,5.38,1.42
2006-08-01,17.95,5.35,1.43
2006-08-02,18.27,5.44,1.41
2006-08-03,18.44,5.49,1.39
