Date,P/E,P/B,Div Yield
2000-01-03,11.4,1.27,2.31
2000-01-04,11.8,1.32,2.23
2000-01-05,11.41,1.27,2.31
2000-01-06,11.74,1.31,2.24
2000-01-07,12.18,1.36,2.16
2000-01-10,11.77,1.31,2.24
2000-01-11,11.17,1.25,2.36
2000-01-12,11.2,1.25,2.35
2000-01-13,11.18,1.25,2.36
2000-01-14,11.06,1.23,2.38
2000-01-17,11.2,1.25,2.35
2000-01-18,11.04,1.23,2.38
2000-01-19,11.43,1.28,2.3
2000-01-20,11.31,1.26,2.33
2000-01-21,11.44,1.28,2.3
2000-01-24,11.35,1.27,2.32
2000-01-25,11.47,1.28,2.29
2000-01-27,11.85,1.32,2.22
2000-01-28,12.46,1.39,2.11
2000-01-31,12.42,1.39,2.12
2000-02-01,12.7,1.42,2.07
2000-02-02,12.83,1.43,2.05
2000-02-03,12.81,1.43,2.06
2000-02-04,12.67,1.41,2.08
2000-02-07,12.52,1.4,2.1
2000-02-08,12.43,1.39,2.12
2000-02-09,12.47,1.39,2.11
2000-02-10,12.77,1.42,2.06
2000-02-11,12.5,1.39,2.11
2000-02-14,13.11,1.46,2.01
2000-02-15,12.41,1.38,2.12
2000-02-16,12.62,1.41,2.09
2000-02-17,12.74,1.42,2.07
2000-02-18,12.45,1.39,2.12
2000-02-21,12.35,1.38,2.13
2000-02-22,11.8,1.32,2.23
2000-02-23,11.81,1.32,2.23
2000-02-24,11.93,1.33,2.21
2000-02-25,11.99,1.34,2.2
2000-02-28,12.33,1.38,2.13
2000-02-29,11.62,1.3,2.27
2000-03-01,12.57,1.4,2.1
2000-03-02,12.58,1.4,2.09
2000-03-03,12.4,1.38,2.12
2000-03-06,12.42,1.39,2.12
2000-03-07,12.17,1.36,2.16
2000-03-08,11.66,1.3,2.26
2000-03-09,11.07,1.24,2.38
2000-03-10,10.89,1.22,2.42
2000-03-13,10.79,1.2,2.44
2000-03-14,10.98,1.23,2.4
2000-03-15,11.33,1.26,2.32
2000-03-16,11.63,1.3,2.26
2000-03-21,11.85,1.32,2.22
2000-03-22,12.0,1.34,2.19
2000-03-23,11.97,1.34,2.2
2000-03-24,11.98,1.34,2.2
2000-03-27,11.81,1.32,2.23
2000-03-28,11.81,1.32,2.23
2000-03-29,11.8,1.32,2.23
2000-03-30,12.14,1.35,2.17
2000-03-31,7.12,1.11,2.69
2000-04-03,7.14,1.12,2.69
2000-04-04,6.61,1.03,2.9
2000-04-05,6.44,1.01,2.98
2000-04-06,6.37,1.0,3.01
2000-04-07,6.75,1.06,2.84
2000-04-10,7.0,1.1,2.74
2000-04-11,7.11,1.11,2.7
2000-04-12,7.06,1.1,2.72
2000-04-13,6.8,1.06,2.82
2000-04-17,6.46,1.01,2.97
2000-04-18,6.64,1.04,2.89
2000-04-19,6.63,1.04,2.9
2000-04-20,6.6,1.03,2.91
2000-04-24,6.5,1.02,2.95
2000-04-25,6.54,1.02,2.94
2000-04-26,6.88,1.08,2.79
2000-04-27,6.77,1.06,2.83
2000-04-28,6.81,1.06,2.82
2000-05-02,6.5,1.03,3.02
2000-05-03,6.5,1.03,3.03
2000-05-04,6.56,1.04,3.0
2000-05-05,6.62,1.05,2.97
2000-05-08,6.56,1.04,3.0
2000-05-09,6.57,1.04,2.99
2000-05-10,6.72,1.06,2.93
2000-05-11,6.62,1.05,2.97
2000-05-12,6.51,1.03,3.02
2000-05-15,6.49,1.03,3.03
2000-05-16,6.47,1.02,3.04
2000-05-17,6.53,1.03,3.01
2000-05-18,6.44,1.02,3.06
2000-05-19,6.46,1.02,3.04
2000-05-22,6.32,1.0,3.11
2000-05-23,6.2,0.98,3.17
2000-05-24,6.22,0.98,3.16
2000-05-25,6.22,0.98,3.16
2000-05-26,6.24,0.99,3.15
2000-05-29,6.32,1.0,3.11
2000-05-30,6.45,1.02,3.05
2000-05-31,6.66,1.05,2.95
2000-06-01,6.56,1.04,3.0
2000-06-02,6.71,1.06,2.93
2000-06-05,6.89,1.09,2.86
2000-06-06,6.88,1.09,2.86
2000-06-07,6.85,1.08,2.87
2000-06-08,7.08,1.12,2.78
2000-06-09,7.12,1.13,2.76
2000-06-12,7.0,1.11,2.81
2000-06-13,7.05,1.12,2.79
2000-06-14,7.09,1.12,2.77
2000-06-15,7.13,1.13,2.76
2000-06-16,7.31,1.16,2.69
2000-06-19,7.23,1.15,2.72
2000-06-20,7.39,1.17,2.66
2000-06-21,7.28,1.15,2.7
2000-06-22,7.39,1.17,2.66
2000-06-23,7.48,1.19,2.63
2000-06-26,7.24,1.15,2.72
2000-06-27,7.24,1.15,2.72
2000-06-28,7.25,1.15,2.71
2000-06-29,7.3,1.16,2.69
2000-06-30,7.26,1.15,2.71
2000-07-03,7.48,1.18,2.63
2000-07-04,7.58,1.2,2.59
