Date,P/E,P/B,Div Yield
2006-04-03,15.82,3.16,1.87
2006-04-04,15.89,3.18,1.86
2006-04-05,16.03,3.21,1.85
2006-04-07,15.99,3.2,1.86
2006-04-10,16.33,3.27,1.82
2006-04-12,16.07,3.21,1.85
2006-04-13,15.87,3.17,1.88
2006-04-17,16.22,3.26,1.83
2006-04-18,16.39,3.29,1.82
2006-04-19,16.69,3.34,1.79
2006-04-20,16.94,3.38,1.77
2006-04-21,16.92,3.35,1.79
2006-04-24,16.96,3.35,1.79
2006-04-25,16.57,3.26,1.84
2006-04-26,17.08,3.37,1.77
2006-04-27,16.85,3.34,1.79
2006-04-28,16.24,3.36,1.79
2006-04-29,16.51,3.44,1.75
2006-05-02,16.65,3.47,1.73
2006-05-03,16.69,3.48,1.73
2006-05-04,16.69,3.48,1.73
2006-05-05,16.84,3.52,1.71
2006-05-08,17.07,3.56,1.69
2006-05-09,17.14,3.56,1.69
2006-05-10,17.39,3.6,1.66
2006-05-11,17.06,3.53,1.7
2006-05-12,16.74,3.47,1.72
2006-05-15,15.83,3.26,1.83
2006-05-16,15.93,3.28,1.82
2006-05-17,16.38,3.37,1.77
2006-05-18,15.11,3.08,1.94
2006-05-19,14.41,2.95,2.02
2006-05-22,13.45,2.76,2.16
2006-05-23,14.26,2.92,2.04
2006-05-24,13.95,2.85,2.1
2006-05-25,14.78,2.89,2.08
2006-05-26,13.33,2.94,2.04
2006-05-29,13.38,2.95,2.03
2006-05-30,13.29,2.93,2.05
2006-05-31,12.86,2.83,2.12
2006-06-01,12.49,2.72,2.21
2006-06-02,12.8,2.78,2.14
2006-06-05,12.52,2.68,2.21
2006-06-06,12.1,2.6,2.29
2006-06-07,11.35,2.44,2.44
2006-06-08,10.73,2.3,2.59
2006-06-09,11.43,2.45,2.42
2006-06-12,11.18,2.36,2.53
2006-06-13,10.65,2.25,2.65
2006-06-14,10.59,2.21,2.69
2006-06-15,11.36,2.36,2.51
2006-06-16,11.86,2.47,2.4
2006-06-19,12.09,2.52,2.35
2006-06-20,11.98,2.5,2.38
2006-06-21,12.23,2.56,2.33
2006-06-22,12.59,2.63,2.26
2006-06-23,12.8,2.67,2.23
2006-06-25,12.89,2.69,2.21
2006-06-26,12.29,2.56,2.32
2006-06-27,12.42,2.59,2.29
2006-06-28,12.44,2.57,2.31
2006-06-29,12.41,2.57,2.32
2006-06-30,12.96,2.68,2.22
2006-07-03,13.07,2.73,2.2
2006-07-04,13.05,2.72,2.2
2006-07-05,13.33,2.79,2.16
2006-07-06,13.21,2.76,2.18
2006-07-07,12.84,2.69,2.24
2006-07-10,13.04,2.73,2.2
2006-07-11,13.0,2.72,2.2
2006-07-12,13.17,2.76,2.17
2006-07-13,13.08,2.67,2.2
2006-07-14,12.93,2.64,2.23
2006-07-17,12.44,2.54,2.31
2006-07-18,12.25,2.51,2.35
2006-07-19,11.85,2.45,2.41
2006-07-20,12.02,2.51,2.34
2006-07-21,11.64,2.43,2.41
2006-07-24,11.66,2.42,2.42
2006-07-25,11.95,2.49,2.35
2006-07-26,12.14,2.55,2.3
2006-07-27,12.13,2.52,2.3
2006-07-28,11.95,2.52,2.3
2006-07-31,11.44,2.52,2.29
2006-08-01,11.36,2.51,2.3
2006-08-02,11.55,2.56,2.26
2006-08-03,11.54,2.56,2.26
2006-08-04,11.47,2.54,2.27
2006-08-07,11.37,2.52,2.29
2006-08-08,11.56,2.57,2.26
2006-08-09,11.72,2.6,2.23
2006-08-10,11.79,2.61,2.21
2006-08-11,11.92,2.64,2.19
2006-08-14,12.12,2.69,2.15
2006-08-16,12.4,2.75,2.11
2006-08-17,12.34,2.73,2.12
2006-08-18,12.4,2.75,2.11
2006-08-21,12.45,2.75,2.1
2006-08-22,12.41,2.74,2.11
2006-08-23,12.29,2.72,2.13
2006-08-24,12.46,2.76,2.1
2006-08-25,12.55,2.78,2.09
2006-08-28,12.68,2.81,2.07
2006-08-29,12.75,2.82,2.06
2006-08-30,12.72,2.8,2.07
2006-08-31,12.59,2.77,2.1
2006-09-01,12.69,2.79,2.08
2006-09-04,12.85,2.83,2.05
2006-09-05,12.97,2.85,2.04
2006-09-06,13.11,2.88,2.01
2006-09-07,13.05,2.87,2.02
2006-09-08,13.1,2.88,2.02
2006-09-11,12.64,2.78,2.09
2006-09-12,12.74,2.8,2.07
2006-09-13,12.98,2.8,1.99
2006-09-14,13.09,2.83,1.97
2006-09-15,13.09,2.83,1.97
2006-09-18,13.07,2.82,1.97
2006-09-19,12.85,2.77,2.01
2006-09-20,12.98,2.8,1.98
2006-09-21,13.11,2.83,1.96
2006-09-22,13.09,2.82,1.96
2006-09-25,13.04,2.81,1.98
2006-09-26,13.11,2.83,1.97
2006-09-27,13.16,2.84,1.96
2006-09-28,13.13,2.83,1.96
2006-09-29,13.27,2.86,1.94
2006-10-03,13.31,2.88,1.94
2006-10-04,13.17,2.85,1.96
2006-10-05,13.36,2.89,1.93
2006-10-06,13.5,2.92,1.91
2006-10-09,13.49,2.92,1.92
