Date,P/E,P/B,Div Yield
2014-02-17,10.18,1.75,3.87
2014-02-18,10.22,1.76,3.85
2014-02-19,10.06,1.76,3.84
2014-02-20,9.91,1.73,3.9
2014-02-21,9.54,1.75,3.87
2014-02-24,9.65,1.77,3.83
2014-02-25,9.57,1.75,3.86
2014-02-26,9.63,1.77,3.83
2014-02-28,9.8,1.8,3.77
2014-03-03,9.75,1.79,3.79
2014-03-04,9.93,1.82,3.72
2014-03-05,10.03,1.84,3.68
2014-03-06,10.3,1.89,3.59
2014-03-07,10.52,1.93,3.51
2014-03-10,10.49,1.92,3.52
2014-03-11,10.41,1.91,3.55
2014-03-12,10.33,1.89,3.58
2014-03-13,10.52,1.93,3.51
2014-03-14,10.43,1.92,3.54
2014-03-18,10.56,1.94,3.49
2014-03-19,10.32,1.9,3.57
2014-03-20,10.2,1.88,3.61
2014-03-21,10.11,1.86,3.65
2014-03-22,10.15,1.87,3.63
2014-03-24,10.51,1.93,3.51
2014-03-25,10.63,1.96,3.47
2014-03-26,10.78,1.98,3.42
2014-03-27,10.86,2.0,3.4
2014-03-28,11.04,2.03,3.34
2014-03-31,10.99,2.02,3.35
2014-04-01,10.98,2.02,3.36
2014-04-02,11.08,2.04,3.33
2014-04-03,10.88,2.0,3.39
2014-04-04,10.84,1.99,3.4
2014-04-07,10.85,2.0,3.4
2014-04-09,11.0,2.02,3.35
2014-04-10,11.09,2.04,3.33
2014-04-11,10.99,2.02,3.35
2014-04-15,10.94,2.01,3.37
2014-04-16,10.83,1.99,3.4
2014-04-17,11.01,2.03,3.35
2014-04-21,11.09,2.04,3.32
2014-04-22,11.19,2.06,3.3
2014-04-23,11.22,2.06,3.29
2014-04-25,11.16,2.05,3.3
2014-04-28,11.06,2.04,3.33
2014-04-29,11.02,2.03,3.34
2014-04-30,10.98,2.02,3.36
2014-05-02,11.09,2.04,3.32
2014-05-05,11.19,2.06,3.29
2014-05-06,11.26,2.07,3.27
2014-05-07,11.21,2.06,3.29
2014-05-08,11.2,2.06,3.29
2014-05-09,11.55,2.13,3.19
2014-05-12,12.04,2.21,3.06
2014-05-13,12.38,2.28,2.98
2014-05-14,12.52,2.3,2.95
2014-05-15,12.64,2.32,2.92
2014-05-16,13.04,2.4,2.83
2014-05-19,14.26,2.62,2.59
2014-05-20,13.82,2.54,2.67
2014-05-21,13.87,2.55,2.66
2014-05-22,14.17,2.6,2.6
2014-05-23,14.51,2.67,2.54
2014-05-26,14.34,2.64,2.57
2014-05-27,13.73,2.55,2.66
2014-05-28,13.36,2.52,2.69
2014-05-29,11.87,2.48,2.74
2014-05-30,11.84,2.47,2.75
2014-06-02,12.09,2.56,2.65
2014-06-03,11.17,2.59,2.62
2014-06-04,11.09,2.57,2.63
2014-06-05,11.32,2.63,2.58
2014-06-06,11.86,2.76,2.46
2014-06-09,12.09,2.81,2.41
2014-06-10,11.91,2.77,2.45
2014-06-11,11.63,2.71,2.51
2014-06-12,11.59,2.7,2.52
2014-06-13,11.27,2.62,2.59
2014-06-16,11.42,2.66,2.55
2014-06-17,11.72,2.73,2.49
2014-06-18,11.67,2.72,2.5
2014-06-19,11.35,2.64,2.57
2014-06-20,11.32,2.63,2.58
2014-06-23,11.5,2.68,2.53
2014-06-24,11.76,2.74,2.48
2014-06-25,11.9,2.77,2.45
2014-06-26,11.5,2.68,2.53
2014-06-27,11.41,2.66,2.55
2014-06-30,11.67,2.72,2.5
2014-07-01,11.68,2.72,2.5
2014-07-02,11.84,2.76,2.46
2014-07-03,11.8,2.75,2.47
2014-07-04,11.85,2.76,2.46
2014-07-07,11.88,2.77,2.45
2014-07-08,11.36,2.64,2.57
2014-07-09,11.3,2.63,2.58
2014-07-10,11.44,2.66,2.55
2014-07-11,11.03,2.57,2.64
2014-07-14,11.07,2.58,2.63
2014-07-15,11.32,2.64,2.57
2014-07-16,11.27,2.62,2.59
2014-07-17,11.31,2.63,2.58
2014-07-18,11.17,2.6,2.61
2014-07-21,11.12,2.59,2.62
2014-07-22,11.25,2.62,2.59
2014-07-23,11.19,2.61,2.6
2014-07-24,11.16,2.6,2.61
2014-07-25,10.98,2.56,2.65
2014-07-28,10.76,2.51,2.71
2014-07-30,10.9,2.54,2.67
2014-07-31,10.91,2.54,2.67
2014-08-01,10.71,2.49,2.72
2014-08-04,10.8,2.51,2.7
2014-08-05,10.88,2.53,2.68
2014-08-06,10.8,2.51,2.7
2014-08-07,10.85,2.53,2.68
2014-08-08,10.62,2.47,2.74
2014-08-11,10.6,2.47,2.75
2014-08-12,10.88,2.53,2.68
2014-08-13,10.61,2.48,2.73
2014-08-14,10.28,2.52,2.69
2014-08-18,10.8,2.59,2.62
2014-08-19,10.82,2.61,2.6
2014-08-20,10.64,2.58,2.63
2014-08-21,10.7,2.59,2.61
2014-08-22,10.66,2.58,2.63
2014-08-25,10.56,2.56,2.65
2014-08-26,10.47,2.54,2.67
2014-08-27,10.61,2.57,2.64
2014-08-28,10.68,2.59,2.62
2014-09-01,10.96,2.66,2.55
2014-09-02,10.98,2.66,2.55
2014-09-03,10.96,2.66,2.55
2014-09-04,10.92,2.65,2.56
2014-09-05,10.96,2.66,2.55
2014-09-08,11.14,2.7,2.51
2014-09-09,11.14,2.7,2.51
2014-09-10,10.99,2.66,2.55
