Date,P/E,P/B,Div Yield
2011-01-31,16.84,2.36,1.25
2011-02-01,16.5,2.31,1.27
2011-02-02,16.71,2.34,1.26
2011-02-03,17.0,2.38,1.23
2011-02-04,16.63,2.33,1.26
2011-02-07,16.74,2.35,1.25
2011-02-08,16.43,2.3,1.28
2011-02-09,16.29,2.28,1.29
2011-02-10,16.15,2.26,1.3
2011-02-11,16.33,2.29,1.29
2011-02-14,16.48,2.32,1.27
2011-02-15,16.81,2.36,1.25
2011-02-16,16.82,2.36,1.24
2011-02-17,16.88,2.37,1.24
2011-02-18,16.53,2.32,1.27
2011-02-21,16.77,2.36,1.25
2011-02-22,16.96,2.38,1.23
2011-02-23,17.01,2.39,1.23
2011-02-24,16.59,2.33,1.26
2011-02-25,16.56,2.33,1.26
2011-02-28,16.6,2.33,1.26
2011-03-01,17.04,2.39,1.23
2011-03-03,16.95,2.38,1.24
2011-03-04,17.05,2.4,1.23
2011-03-07,16.95,2.38,1.24
2011-03-08,17.06,2.4,1.23
2011-03-09,17.09,2.4,1.23
2011-03-10,17.0,2.39,1.23
2011-03-11,17.09,2.4,1.23
2011-03-14,17.49,2.46,1.2
2011-03-15,17.48,2.46,1.2
2011-03-16,17.64,2.48,1.19
2011-03-17,17.47,2.46,1.2
2011-03-18,17.06,2.4,1.23
2011-03-21,17.03,2.39,1.23
2011-03-22,17.17,2.41,1.22
2011-03-23,17.37,2.44,1.21
2011-03-24,17.35,2.44,1.21
2011-03-25,17.62,2.48,1.19
2011-03-28,17.64,2.48,1.19
2011-03-29,17.73,2.49,1.18
2011-03-30,17.84,2.51,1.17
2011-03-31,18.13,2.55,1.15
2011-04-01,18.02,2.53,1.16
2011-04-04,18.22,2.56,1.15
2011-04-05,18.15,2.55,1.15
2011-04-06,18.16,2.55,1.15
2011-04-07,18.06,2.54,1.16
2011-04-08,17.82,2.5,1.17
2011-04-11,17.53,2.46,1.19
2011-04-13,17.8,2.5,1.18
2011-04-15,17.71,2.49,1.18
2011-04-18,17.56,2.47,1.19
2011-04-19,17.64,2.48,1.19
2011-04-20,17.9,2.52,1.17
2011-04-21,18.1,2.54,1.16
2011-04-25,17.5,2.5,1.18
2011-04-26,17.43,2.5,1.18
2011-04-27,17.33,2.48,1.19
2011-04-28,17.22,2.47,1.19
2011-04-29,17.26,2.47,1.19
2011-05-02,17.07,2.44,1.2
2011-05-03,16.71,2.39,1.23
2011-05-04,16.87,2.41,1.22
2011-05-05,16.75,2.4,1.23
2011-05-06,16.77,2.4,1.23
2011-05-09,16.82,2.41,1.22
2011-05-10,16.79,2.4,1.22
2011-05-11,16.67,2.4,1.23
2011-05-12,16.55,2.38,1.23
2011-05-13,16.6,2.39,1.23
2011-05-16,16.35,2.38,1.25
2011-05-17,15.92,2.31,1.28
2011-05-18,15.68,2.28,1.3
2011-05-19,15.78,2.29,1.29
2011-05-20,15.87,2.31,1.29
2011-05-23,15.64,2.27,1.3
2011-05-24,15.69,2.28,1.3
2011-05-25,15.48,2.25,1.32
2011-05-26,15.87,2.31,1.28
2011-05-27,16.07,2.34,1.27
2011-05-30,15.99,2.33,1.27
2011-05-31,16.39,2.36,1.26
2011-06-01,16.42,2.36,1.26
2011-06-02,16.42,2.36,1.26
2011-06-03,16.25,2.34,1.27
2011-06-06,16.22,2.33,1.27
2011-06-07,16.4,2.36,1.26
2011-06-08,16.32,2.35,1.26
2011-06-09,16.33,2.35,1.26
2011-06-10,16.23,2.34,1.27
2011-06-13,16.14,2.32,1.28
2011-06-14,16.06,2.31,1.28
2011-06-15,15.88,2.29,1.3
2011-06-16,15.75,2.27,1.31
2011-06-17,15.58,2.24,1.32
2011-06-20,15.06,2.17,1.37
2011-06-21,15.19,2.19,1.36
2011-06-22,15.23,2.19,1.35
2011-06-23,15.5,2.23,1.33
2011-06-24,15.71,2.26,1.31
2011-06-27,15.9,2.29,1.3
2011-06-28,15.86,2.28,1.3
2011-06-29,15.94,2.29,1.29
2011-06-30,16.07,2.31,1.28
