Date,P/E,P/B,Div Yield
2011-01-31,28.65,9.37,2.33
2011-02-01,28.14,9.21,2.37
2011-02-02,28.11,9.2,2.38
2011-02-03,28.28,9.26,2.36
2011-02-04,27.35,8.97,2.44
2011-02-07,27.69,9.08,2.41
2011-02-08,27.45,9.01,2.43
2011-02-09,27.19,8.92,2.45
2011-02-10,27.24,8.94,2.45
2011-02-11,27.21,8.93,2.45
2011-02-14,27.89,9.18,2.38
2011-02-15,27.83,9.16,2.39
2011-02-16,27.95,9.2,2.38
2011-02-17,28.16,9.27,2.36
2011-02-18,27.94,9.2,2.38
2011-02-21,28.15,9.27,2.36
2011-02-22,27.99,9.21,2.37
2011-02-23,27.86,9.17,2.39
2011-02-24,27.1,8.92,2.45
2011-02-25,27.77,9.14,2.39
2011-02-28,29.01,9.55,2.29
2011-03-01,29.71,9.78,2.24
2011-03-03,29.82,9.82,2.23
2011-03-04,29.66,9.76,2.24
2011-03-07,29.51,9.72,2.25
2011-03-08,29.51,9.71,2.25
2011-03-09,29.42,9.69,2.26
2011-03-10,29.33,9.66,2.27
2011-03-11,29.37,9.67,2.26
2011-03-14,29.59,9.74,2.25
2011-03-15,29.14,9.59,2.28
2011-03-16,29.23,9.62,2.27
2011-03-17,28.81,9.48,2.31
2011-03-18,28.72,9.46,2.31
2011-03-21,28.64,9.43,2.32
2011-03-22,28.85,9.5,2.3
2011-03-23,29.08,9.57,2.29
2011-03-24,29.29,9.95,2.26
2011-03-25,29.27,10.03,2.2
2011-03-28,29.52,10.11,2.19
2011-03-29,29.6,10.14,2.18
2011-03-30,29.52,10.11,2.19
2011-03-31,30.12,10.32,2.14
2011-04-01,30.19,10.34,2.14
2011-04-04,30.43,10.43,2.12
2011-04-05,30.4,10.42,2.12
2011-04-06,30.35,10.41,2.13
2011-04-07,30.33,10.4,2.13
2011-04-08,30.44,10.44,2.12
2011-04-11,30.44,10.44,2.12
2011-04-13,31.16,10.68,2.07
2011-04-15,31.12,10.67,2.07
2011-04-18,30.99,10.63,2.08
