Date,P/E,P/B,Div Yield
1997-01-01,10.38,2.17,1.95
1997-01-02,10.33,2.16,1.96
1997-01-03,10.4,2.17,1.95
1997-01-06,10.55,2.21,1.92
1997-01-07,10.45,2.18,1.94
1997-01-08,10.51,2.2,1.93
1997-01-09,10.71,2.24,1.89
1997-01-10,11.03,2.31,1.84
1997-01-13,11.11,2.32,1.82
1997-01-14,11.17,2.34,1.81
1997-01-15,11.74,2.45,1.72
1997-01-16,11.4,2.38,1.77
1997-01-17,11.21,2.34,1.81
1997-01-20,11.11,2.32,1.82
1997-01-21,10.93,2.29,1.85
1997-01-22,10.99,2.3,1.84
1997-01-24,10.99,2.3,1.84
1997-01-27,11.17,2.33,1.81
1997-01-28,11.16,2.33,1.81
1997-01-29,11.08,2.32,1.83
1997-01-30,11.05,2.31,1.83
1997-01-31,10.89,2.28,1.86
1997-02-03,10.12,2.29,1.86
1997-02-04,10.19,2.31,1.85
1997-02-05,10.26,2.32,1.84
1997-02-06,10.3,2.33,1.83
1997-02-07,10.39,2.35,1.81
1997-02-10,10.42,2.36,1.81
1997-02-11,10.48,2.37,1.8
1997-02-12,10.54,2.39,1.79
1997-02-13,10.58,2.4,1.78
1997-02-14,10.57,2.4,1.78
1997-02-17,10.79,2.45,1.75
1997-02-18,10.82,2.45,1.74
1997-02-19,10.91,2.47,1.73
1997-02-20,10.95,2.48,1.72
1997-02-21,10.77,2.44,1.75
1997-02-24,10.75,2.44,1.75
1997-02-25,10.74,2.43,1.76
1997-02-26,10.79,2.45,1.75
1997-02-27,10.96,2.48,1.72
1997-02-28,11.53,2.61,1.64
1997-03-01,12.17,2.89,1.46
1997-03-03,12.61,2.99,1.41
1997-03-04,12.57,2.99,1.42
1997-03-05,12.68,3.01,1.4
1997-03-06,12.38,2.94,1.44
1997-03-10,12.05,2.86,1.48
1997-03-11,11.91,2.83,1.49
1997-03-12,12.05,2.86,1.48
1997-03-13,12.11,2.87,1.47
1997-03-14,12.05,2.86,1.48
1997-03-17,12.02,2.85,1.48
1997-03-18,11.81,2.8,1.51
1997-03-19,11.72,2.78,1.52
1997-03-20,11.67,2.77,1.53
