Date,P/E,P/B,Div Yield
2011-07-12,13.88,2.18,0.93
2011-07-13,14.03,2.21,0.92
2011-07-14,14.14,2.22,0.91
2011-07-15,14.01,2.2,0.92
2011-07-18,14.09,2.22,0.91
2011-07-19,14.19,2.23,0.91
2011-07-20,14.05,2.21,0.92
2011-07-21,13.97,2.2,0.92
2011-07-22,14.29,2.22,0.91
2011-07-25,14.44,2.24,0.9
2011-07-26,14.33,2.22,0.91
2011-07-27,14.27,2.23,0.91
2011-07-28,13.95,2.18,0.93
2011-07-29,13.73,2.14,0.95
2011-08-01,13.65,2.12,0.96
2011-08-02,13.46,2.09,0.97
2011-08-03,13.45,2.09,0.97
2011-08-04,13.27,2.06,0.99
2011-08-05,12.92,2.0,1.01
2011-08-08,12.45,1.93,1.05
2011-08-09,12.09,1.88,1.08
2011-08-10,12.29,1.91,1.06
2011-08-11,12.29,1.91,1.06
2011-08-12,12.15,1.89,1.08
2011-08-16,11.92,1.85,1.1
2011-08-17,11.16,1.86,1.09
2011-08-18,10.84,1.69,1.17
2011-08-19,10.8,1.68,1.17
2011-08-22,11.01,1.72,1.15
2011-08-23,11.07,1.73,1.15
2011-08-24,10.81,1.69,1.17
2011-08-25,10.6,1.65,1.2
2011-08-26,10.22,1.59,1.24
2011-08-29,10.68,1.67,1.19
2011-08-30,11.09,1.73,1.14
2011-09-02,11.43,1.78,1.11
2011-09-05,11.42,1.78,1.11
2011-09-06,11.53,1.8,1.1
2011-09-07,11.77,1.84,1.08
2011-09-08,11.66,1.82,1.09
2011-09-09,11.26,1.76,1.13
2011-09-12,10.87,1.7,1.17
2011-09-13,10.9,1.7,1.16
2011-09-14,11.08,1.73,1.15
2011-09-15,11.13,1.74,1.14
2011-09-16,11.15,1.74,1.14
2011-09-19,11.04,1.72,1.15
2011-09-20,11.25,1.75,1.13
2011-09-21,11.23,1.75,1.13
2011-09-22,10.76,1.68,1.18
2011-09-23,10.52,1.64,1.21
2011-09-26,10.25,1.6,1.24
2011-09-27,10.51,1.64,1.21
2011-09-28,10.32,1.61,1.23
2011-09-29,10.35,1.61,1.23
2011-09-30,10.06,1.57,1.26
2011-10-03,9.66,1.5,1.31
2011-10-04,9.5,1.48,1.34
2011-10-05,9.45,1.47,1.34
2011-10-07,9.95,1.55,1.28
2011-10-10,10.13,1.58,1.25
2011-10-11,10.23,1.6,1.24
2011-10-12,10.46,1.63,1.21
2011-10-13,10.38,1.62,1.22
2011-10-14,10.29,1.6,1.23
2011-10-17,10.27,1.6,1.24
2011-10-18,10.12,1.58,1.25
2011-10-19,10.32,1.6,1.23
2011-10-20,10.26,1.59,1.24
2011-10-21,10.12,1.57,1.26
2011-10-24,10.28,1.58,1.25
2011-10-25,10.54,1.61,1.23
2011-10-26,10.6,1.62,1.22
2011-10-28,11.44,1.73,1.14
2011-10-31,11.22,1.69,1.17
2011-11-01,11.06,1.67,1.18
2011-11-02,11.03,1.67,1.19
2011-11-03,11.0,1.66,1.19
2011-11-04,11.29,1.68,1.17
2011-11-08,11.3,1.68,1.17
2011-11-09,10.99,1.63,1.2
2011-11-11,10.69,1.59,1.23
2011-11-14,10.81,1.55,1.27
2011-11-15,10.77,1.52,1.29
2011-11-16,10.77,1.52,1.29
2011-11-17,10.54,1.49,1.32
2011-11-18,10.4,1.47,1.34
2011-11-21,10.03,1.42,1.39
2011-11-22,10.2,1.46,1.38
2011-11-23,10.0,1.43,1.4
2011-11-24,10.03,1.43,1.4
2011-11-25,9.84,1.41,1.43
2011-11-28,10.32,1.48,1.36
2011-11-29,10.18,1.45,1.34
2011-11-30,10.19,1.45,1.34
2011-12-01,10.6,1.51,1.28
2011-12-02,10.88,1.55,1.25
2011-12-05,10.78,1.53,1.26
2011-12-07,10.82,1.54,1.26
2011-12-08,10.48,1.49,1.3
2011-12-09,10.39,1.48,1.31
2011-12-12,9.97,1.42,1.36
2011-12-13,10.19,1.45,1.34
2011-12-14,9.97,1.42,1.36
2011-12-15,9.98,1.42,1.36
2011-12-16,9.7,1.38,1.4
2011-12-19,9.64,1.37,1.41
2011-12-20,9.29,1.32,1.46
2011-12-21,9.54,1.35,1.43
2011-12-22,9.57,1.36,1.42
2011-12-23,9.51,1.35,1.43
2011-12-26,9.64,1.37,1.41
2011-12-27,9.5,1.35,1.43
2011-12-28,9.32,1.32,1.46
2011-12-29,9.35,1.33,1.46
