Date,P/E,P/B,Div Yield
2015-11-09,24.8,2.23,1.49
2015-11-10,24.38,2.19,1.52
2015-11-11,24.65,2.21,1.5
2015-11-13,25.5,2.2,1.52
2015-11-16,25.79,2.2,1.52
2015-11-17,26.23,2.21,1.51
2015-11-18,26.06,2.19,1.52
2015-11-19,26.32,2.22,1.5
2015-11-20,26.49,2.23,1.49
2015-11-23,26.55,2.23,1.49
2015-11-24,26.57,2.24,1.49
2015-11-26,26.69,2.25,1.48
2015-11-27,26.78,2.25,1.48
2015-11-30,26.83,2.26,1.47
2015-12-01,27.05,2.28,1.46
2015-12-02,27.05,2.28,1.46
2015-12-03,26.9,2.26,1.47
2015-12-04,26.93,2.25,1.48
2015-12-07,26.92,2.25,1.48
2015-12-08,26.59,2.22,1.5
2015-12-09,26.12,2.18,1.53
2015-12-10,26.35,2.2,1.51
2015-12-11,26.15,2.18,1.52
2015-12-14,26.27,2.19,1.52
2015-12-15,26.42,2.21,1.51
2015-12-16,26.53,2.21,1.5
2015-12-17,27.0,2.25,1.48
2015-12-18,26.91,2.22,1.48
2015-12-21,27.12,2.24,1.47
2015-12-22,27.01,2.23,1.48
2015-12-23,27.12,2.24,1.47
2015-12-24,27.23,2.25,1.46
2015-12-28,27.25,2.25,1.46
2015-12-29,27.38,2.26,1.45
2015-12-30,27.37,2.26,1.45
2015-12-31,27.43,2.26,1.45
2016-01-01,27.72,2.29,1.43
2016-01-04,27.5,2.27,1.44
2016-01-05,27.74,2.29,1.43
2016-01-06,27.67,2.28,1.44
2016-01-07,26.89,2.22,1.48
2016-01-08,27.21,2.25,1.46
2016-01-11,27.03,2.23,1.47
2016-01-12,26.84,2.22,1.48
2016-01-13,26.64,2.2,1.49
2016-01-14,26.38,2.17,1.51
2016-01-15,25.65,2.11,1.55
2016-01-18,24.82,2.04,1.61
2016-01-19,25.12,2.07,1.58
2016-01-20,24.67,2.04,1.61
2016-01-21,24.54,2.03,1.62
2016-01-22,25.08,2.07,1.59
2016-01-25,25.14,2.08,1.58
2016-01-27,25.2,2.09,1.58
2016-01-28,25.09,2.08,1.58
2016-01-29,25.43,2.11,1.56
2016-02-01,25.34,2.12,1.55
2016-02-02,27.43,2.09,1.57
2016-02-03,27.05,2.06,1.59
2016-02-04,26.98,2.06,1.6
2016-02-05,27.45,2.1,1.57
2016-02-08,27.11,2.09,1.57
2016-02-09,26.75,2.06,1.59
2016-02-10,22.53,2.04,1.61
2016-02-11,21.7,1.96,1.67
2016-02-12,21.54,1.94,1.69
2016-02-15,22.26,2.02,1.63
2016-02-16,21.71,1.97,1.67
2016-02-17,21.92,1.99,1.65
2016-02-18,22.05,2.0,1.64
2016-02-19,21.98,2.0,1.64
2016-02-22,22.12,2.01,1.63
2016-02-23,21.82,1.99,1.65
2016-02-24,21.63,1.97,1.67
