Date,P/E,P/B,Div Yield
2011-01-31,22.41,5.67,1.03
2011-02-01,22.14,5.6,1.04
2011-02-02,22.12,5.59,1.04
2011-02-03,22.23,5.62,1.04
2011-02-04,21.85,5.52,1.06
2011-02-07,21.8,5.45,1.06
2011-02-08,21.66,5.43,1.06
2011-02-09,21.34,5.35,1.08
2011-02-10,21.34,5.34,1.08
2011-02-11,21.43,5.37,1.07
2011-02-14,21.86,5.46,1.05
2011-02-15,21.9,5.47,1.05
2011-02-16,21.84,5.47,1.05
2011-02-17,21.89,5.48,1.05
2011-02-18,21.9,5.48,1.05
2011-02-21,21.91,5.48,1.05
2011-02-22,21.77,5.45,1.06
2011-02-23,22.23,5.42,1.06
2011-02-24,22.01,5.35,1.07
2011-02-25,21.81,5.31,1.08
2011-02-28,21.86,5.31,1.08
2011-03-01,22.39,5.44,1.06
2011-03-03,22.56,5.49,1.05
2011-03-04,22.5,5.48,1.05
2011-03-07,22.25,5.42,1.06
2011-03-08,22.33,5.44,1.06
2011-03-09,22.29,5.43,1.06
2011-03-10,22.23,5.41,1.06
2011-03-11,22.13,5.39,1.07
2011-03-14,22.16,5.39,1.07
2011-03-15,21.83,5.31,1.08
2011-03-16,21.78,5.3,1.09
2011-03-17,21.67,5.27,1.09
2011-03-18,21.53,5.24,1.1
2011-03-21,21.31,5.19,1.11
2011-03-22,21.53,5.24,1.1
2011-03-23,21.67,5.19,1.13
2011-03-24,21.75,5.21,1.12
2011-03-25,21.89,5.24,1.11
2011-03-28,22.08,5.29,1.11
2011-03-29,22.27,5.34,1.1
2011-03-30,22.38,5.36,1.09
2011-03-31,22.6,5.41,1.08
2011-04-01,22.66,5.43,1.08
2011-04-04,22.82,5.47,1.07
2011-04-05,22.99,5.51,1.06
2011-04-06,22.97,5.5,1.06
2011-04-07,22.8,5.46,1.07
2011-04-08,22.76,5.45,1.07
2011-04-11,22.5,5.39,1.08
2011-04-13,22.95,5.5,1.06
2011-04-15,22.59,5.41,1.08
2011-04-18,22.52,5.4,1.08
2011-04-19,22.5,5.39,1.08
2011-04-20,22.88,5.48,1.07
2011-04-21,23.07,5.53,1.06
2011-04-25,23.21,5.56,1.05
2011-04-26,22.72,5.54,1.05
2011-04-27,22.82,5.57,1.05
2011-04-28,22.56,5.53,1.06
2011-04-29,22.7,5.56,1.05
2011-05-02,22.6,5.54,1.06
2011-05-03,22.3,5.46,1.07
2011-05-04,22.31,5.47,1.07
2011-05-05,21.89,5.28,1.11
2011-05-06,22.03,5.32,1.1
2011-05-09,22.3,5.37,1.09
2011-05-10,22.5,5.43,1.08
2011-05-11,23.92,5.49,1.07
2011-05-12,23.74,5.46,1.07
2011-05-13,23.85,5.53,1.06
2011-05-16,23.14,5.61,1.1
2011-05-17,23.07,5.59,1.1
2011-05-18,23.04,5.59,1.1
2011-05-19,23.01,5.58,1.1
2011-05-20,23.09,5.6,1.1
2011-05-23,22.74,5.51,1.11
2011-05-24,22.76,5.52,1.11
2011-05-25,22.69,5.5,1.12
2011-05-26,22.93,5.57,1.1
2011-05-27,22.95,5.58,1.1
2011-05-30,22.97,5.31,1.13
2011-05-31,23.14,5.35,1.12
2011-06-01,23.31,5.4,1.11
2011-06-02,23.34,5.41,1.11
2011-06-03,23.35,5.41,1.11
2011-06-06,23.27,5.39,1.12
2011-06-07,23.22,5.38,1.12
2011-06-08,23.25,5.35,1.12
2011-06-09,23.16,5.33,1.12
2011-06-10,23.15,5.33,1.12
2011-06-13,23.18,5.34,1.12
2011-06-14,23.28,5.36,1.12
2011-06-15,23.3,5.37,1.11
2011-06-16,23.25,5.36,1.12
2011-06-17,22.94,5.28,1.13
2011-06-20,22.64,5.21,1.15
2011-06-21,22.62,5.21,1.15
2011-06-22,22.37,5.14,1.16
2011-06-23,22.36,5.14,1.16
2011-06-24,22.86,5.25,1.14
2011-06-27,23.04,5.29,1.13
2011-06-28,23.04,5.28,1.16
2011-06-29,23.44,5.37,1.14
2011-06-30,23.56,5.4,1.13
2011-07-01,23.52,5.39,1.13
2011-07-04,23.63,5.42,1.13
2011-07-05,23.54,5.4,1.13
2011-07-06,23.45,5.38,1.14
2011-07-07,23.76,5.45,1.12
2011-07-08,23.67,5.43,1.12
2011-07-11,23.58,5.41,1.13
2011-07-12,23.45,5.38,1.14
2011-07-13,23.56,5.4,1.13
2011-07-14,23.67,5.43,1.12
2011-07-15,23.58,5.41,1.13
2011-07-18,23.58,5.41,1.13
2011-07-19,23.61,5.41,1.13
2011-07-20,23.43,5.37,1.14
2011-07-21,23.42,5.37,1.14
2011-07-22,24.28,5.41,1.13
2011-07-25,24.35,5.42,1.13
2011-07-26,24.13,5.37,1.14
2011-07-27,23.97,5.37,1.14
2011-07-28,23.88,5.35,1.14
2011-07-29,23.56,5.33,1.15
2011-08-01,23.54,5.32,1.15
2011-08-02,23.54,5.32,1.15
2011-08-03,23.45,5.3,1.15
2011-08-04,23.19,5.24,1.16
2011-08-05,22.66,5.14,1.19
2011-08-08,22.37,5.1,1.2
2011-08-09,21.96,5.07,1.21
2011-08-10,22.12,5.11,1.2
2011-08-11,22.05,5.09,1.2
2011-08-12,21.98,5.07,1.21
2011-08-16,21.67,5.0,1.23
2011-08-17,21.81,5.02,1.22
2011-08-18,21.61,4.58,1.29
2011-08-19,21.43,4.55,1.3
2011-08-22,21.54,4.57,1.29
2011-08-23,21.6,4.58,1.29
2011-08-24,21.46,4.55,1.3
2011-08-25,21.41,4.54,1.3
2011-08-26,21.05,4.46,1.32
2011-08-29,21.28,4.51,1.31
2011-08-30,21.65,4.59,1.29
2011-09-02,21.76,4.62,1.28
2011-09-05,21.72,4.61,1.28
2011-09-06,21.72,4.61,1.28
2011-09-07,21.94,4.65,1.27
2011-09-08,22.13,4.69,1.26
2011-09-09,22.03,4.67,1.26
2011-09-12,21.91,4.65,1.27
2011-09-13,21.96,4.66,1.27
2011-09-14,22.17,4.7,1.26
2011-09-15,22.19,4.71,1.25
2011-09-16,22.04,4.68,1.26
2011-09-19,22.03,4.67,1.26
2011-09-20,22.32,4.74,1.25
2011-09-21,22.19,4.71,1.25
2011-09-22,21.62,4.59,1.29
2011-09-23,21.47,4.55,1.3
2011-09-26,21.2,4.5,1.31
2011-09-27,21.61,4.58,1.29
2011-09-28,21.45,4.55,1.3
2011-09-29,21.65,4.59,1.29
