Date,P/E,P/B,Div Yield
1999-01-01,12.12,1.98,1.77
1999-01-04,12.26,2.01,1.74
1999-01-05,12.41,2.03,1.72
1999-01-06,12.57,2.06,1.7
1999-01-07,12.69,2.08,1.69
1999-01-08,13.13,2.15,1.61
1999-01-11,13.25,2.17,1.59
1999-01-12,12.97,2.12,1.63
1999-01-13,13.19,2.16,1.6
1999-01-14,13.11,2.15,1.61
1999-01-15,12.86,2.1,1.64
1999-01-18,13.02,2.13,1.62
1999-01-19,12.8,2.1,1.65
1999-01-21,13.28,2.17,1.59
1999-01-22,13.27,2.17,1.59
1999-01-25,13.22,2.16,1.6
1999-01-27,13.61,2.23,1.55
1999-01-28,13.33,2.18,1.59
1999-01-29,13.37,2.19,1.56
1999-02-01,13.13,2.15,1.59
1999-02-02,12.89,2.11,1.62
1999-02-03,13.73,2.25,1.47
1999-02-04,13.53,2.22,1.49
1999-02-05,13.53,2.22,1.49
1999-02-08,13.34,2.19,1.51
1999-02-09,13.52,2.22,1.49
1999-02-10,13.96,2.29,1.44
1999-02-11,14.08,2.31,1.43
1999-02-12,14.26,2.34,1.41
1999-02-15,14.05,2.3,1.43
1999-02-16,14.22,2.33,1.42
1999-02-17,14.63,2.4,1.38
1999-02-18,14.67,2.4,1.37
1999-02-19,14.56,2.39,1.37
1999-02-22,14.09,2.31,1.41
1999-02-23,13.93,2.28,1.43
1999-02-24,14.03,2.3,1.42
1999-02-25,13.89,2.28,1.43
1999-02-26,13.79,2.26,1.44
1999-02-27,14.56,2.39,1.37
1999-03-01,15.21,2.49,1.31
1999-03-03,15.62,2.56,1.28
1999-03-04,15.43,2.53,1.3
1999-03-05,15.66,2.57,1.27
1999-03-08,15.74,2.58,1.26
1999-03-09,15.76,2.58,1.26
1999-03-10,16.21,2.66,1.27
1999-03-11,15.77,2.58,1.31
1999-03-12,16.05,2.63,1.26
1999-03-15,16.29,2.67,1.24
1999-03-16,16.15,2.65,1.25
1999-03-17,16.32,2.67,1.26
1999-03-18,16.73,2.74,1.23
1999-03-19,16.4,2.69,1.23
1999-03-20,16.39,2.69,1.23
1999-03-22,16.55,2.71,1.22
1999-03-23,16.59,2.72,1.22
1999-03-24,16.55,2.71,1.22
1999-03-25,16.5,2.7,1.22
1999-03-26,16.24,2.66,1.24
1999-03-30,16.43,2.69,1.23
1999-03-31,18.92,3.19,1.18
1999-04-01,18.95,3.19,1.18
1999-04-05,17.87,3.01,1.25
1999-04-06,17.84,3.01,1.25
1999-04-07,17.95,3.03,1.24
1999-04-08,17.68,2.98,1.26
1999-04-09,17.1,2.88,1.31
1999-04-12,17.14,2.89,1.3
1999-04-13,16.9,2.85,1.32
1999-04-15,16.25,2.74,1.37
1999-04-16,17.35,2.92,1.27
1999-04-17,16.03,2.7,1.37
1999-04-19,16.3,2.75,1.35
1999-04-20,16.49,2.78,1.34
1999-04-21,16.84,2.84,1.31
1999-04-22,16.52,2.78,1.33
1999-04-23,16.36,2.76,1.33
1999-04-26,15.39,2.6,1.41
1999-04-28,15.66,2.64,1.51
1999-04-29,16.21,2.73,1.46
1999-04-30,16.54,2.79,1.43
1999-05-03,16.37,2.76,1.45
1999-05-04,17.03,2.87,1.39
1999-05-05,17.16,2.89,1.38
1999-05-06,17.37,2.93,1.36
1999-05-07,17.55,2.96,1.35
1999-05-10,17.87,3.01,1.32
1999-05-11,18.08,3.05,1.31
1999-05-12,17.57,2.96,1.35
1999-05-13,18.06,3.04,1.31
1999-05-14,18.22,3.07,1.3
1999-05-17,17.92,3.02,1.32
1999-05-18,18.02,3.04,1.31
1999-05-19,18.48,3.12,1.32
1999-05-20,18.54,3.13,1.31
1999-05-21,18.13,3.07,1.34
1999-05-24,18.1,3.06,1.34
1999-05-25,18.15,3.07,1.33
1999-05-26,17.45,2.97,1.47
1999-05-27,17.0,2.87,1.51
1999-05-28,16.56,2.8,1.55
1999-05-31,17.22,2.91,1.49
1999-06-01,17.03,2.88,1.5
1999-06-02,17.04,2.88,1.56
