Date,P/E,P/B,Div Yield
2011-01-31,17.96,2.65,1.91
2011-02-01,17.73,2.62,1.93
2011-02-02,17.53,2.61,1.94
2011-02-03,17.76,2.64,1.92
2011-02-04,17.58,2.61,1.94
2011-02-07,17.63,2.62,1.93
2011-02-08,17.26,2.57,1.97
2011-02-09,16.84,2.5,2.02
2011-02-10,16.77,2.49,2.03
2011-02-11,16.88,2.51,2.02
2011-02-14,16.91,2.57,1.97
2011-02-15,16.94,2.57,1.97
2011-02-16,16.87,2.56,1.98
2011-02-17,16.91,2.57,1.97
2011-02-18,16.61,2.52,2.01
2011-02-21,16.73,2.54,1.99
2011-02-22,16.5,2.51,2.02
2011-02-23,16.4,2.49,2.03
2011-02-24,16.09,2.44,2.07
2011-02-25,16.07,2.44,2.08
2011-02-28,16.15,2.45,2.06
2011-03-01,16.66,2.53,2.0
2011-03-03,16.72,2.54,1.99
2011-03-04,16.68,2.53,2.0
2011-03-07,16.41,2.49,2.03
2011-03-08,16.53,2.51,2.02
2011-03-09,16.52,2.51,2.02
2011-03-10,16.6,2.52,2.01
2011-03-11,16.51,2.51,2.02
2011-03-14,16.72,2.54,1.99
2011-03-15,16.37,2.49,2.04
2011-03-16,16.5,2.51,2.02
2011-03-17,16.49,2.5,2.02
2011-03-18,16.34,2.48,2.04
2011-03-21,16.32,2.48,2.04
2011-03-22,16.42,2.49,2.03
2011-03-23,16.59,2.52,2.01
2011-03-24,16.69,2.53,2.0
2011-03-25,14.55,2.76,1.94
2011-03-28,14.61,2.77,1.93
2011-03-29,14.71,2.79,1.92
2011-03-30,14.79,2.81,1.91
2011-03-31,14.95,2.83,1.89
2011-04-01,15.05,2.86,1.88
2011-04-04,15.19,2.88,1.86
2011-04-05,15.23,2.89,1.85
2011-04-06,15.34,2.91,1.84
2011-04-07,15.27,2.9,1.85
2011-04-08,15.09,2.86,1.87
2011-04-11,14.92,2.83,1.89
2011-04-13,15.21,2.88,1.86
2011-04-15,15.11,2.87,1.87
2011-04-18,14.95,2.84,1.89
2011-04-19,14.95,2.84,1.89
2011-04-20,15.11,2.87,1.87
2011-04-21,15.06,2.86,1.87
2011-04-25,15.06,2.86,1.87
2011-04-26,15.06,2.86,1.87
2011-04-27,15.09,2.86,1.87
2011-04-28,15.04,2.85,1.88
2011-04-29,14.93,2.83,1.89
2011-05-02,14.86,2.82,1.9
2011-05-03,14.61,2.77,1.93
2011-05-04,14.82,2.81,1.91
2011-05-05,14.68,2.78,1.93
2011-05-06,14.78,2.8,1.91
2011-05-09,14.72,2.79,1.92
2011-05-10,14.79,2.8,1.91
2011-05-11,14.66,2.8,1.91
2011-05-12,14.5,2.77,1.93
2011-05-13,14.56,2.78,1.92
2011-05-16,14.44,2.76,1.94
2011-05-17,14.08,2.69,1.99
2011-05-18,13.93,2.66,2.01
2011-05-19,13.91,2.66,2.01
2011-05-20,13.98,2.67,2.01
2011-05-23,13.66,2.61,2.05
2011-05-24,13.34,2.59,2.07
2011-05-25,13.16,2.57,2.08
2011-05-26,13.32,2.61,2.05
2011-05-27,13.49,2.64,2.03
2011-05-30,13.5,2.62,2.05
2011-05-31,13.57,2.64,2.03
2011-06-01,13.72,2.67,2.01
2011-06-02,13.66,2.66,2.01
2011-06-03,13.56,2.64,2.03
2011-06-06,13.49,2.63,2.03
2011-06-07,13.52,2.63,2.02
2011-06-08,13.5,2.63,2.07
2011-06-09,13.49,2.63,2.08
2011-06-10,13.42,2.61,2.09
2011-06-13,13.51,2.63,2.07
2011-06-14,13.57,2.64,2.06
2011-06-15,13.44,2.62,2.08
2011-06-16,13.37,2.6,2.09
2011-06-17,13.36,2.6,2.1
2011-06-20,13.08,2.55,2.14
2011-06-21,13.03,2.54,2.15
2011-06-22,13.1,2.55,2.14
2011-06-23,13.12,2.55,2.14
2011-06-24,13.46,2.62,2.08
2011-06-27,13.78,2.68,2.03
2011-06-28,13.76,2.56,2.09
2011-06-29,13.78,2.56,2.09
2011-06-30,13.72,2.55,2.1
2011-07-01,13.84,2.57,2.08
2011-07-04,13.9,2.58,2.07
2011-07-05,13.8,2.56,2.09
2011-07-06,13.77,2.56,2.09
2011-07-07,13.97,2.6,2.06
2011-07-08,13.89,2.58,2.07
2011-07-11,13.85,2.57,2.08
2011-07-12,13.75,2.56,2.09
2011-07-13,13.92,2.59,2.07
2011-07-14,13.92,2.59,2.07
2011-07-15,13.87,2.58,2.08
2011-07-18,13.91,2.58,2.07
2011-07-19,13.93,2.59,2.07
2011-07-20,13.82,2.57,2.08
2011-07-21,13.74,2.55,2.09
2011-07-22,13.86,2.58,2.07
2011-07-25,13.92,2.59,2.07
2011-07-26,13.61,2.54,2.11
2011-07-27,13.41,2.51,2.13
2011-07-28,13.25,2.49,2.14
2011-07-29,13.07,2.47,2.16
2011-08-01,13.13,2.48,2.16
2011-08-02,13.13,2.48,2.16
2011-08-03,13.14,2.48,2.15
2011-08-04,13.09,2.47,2.16
2011-08-05,12.91,2.44,2.19
2011-08-08,12.88,2.43,2.2
2011-08-09,12.82,2.42,2.21
2011-08-10,12.92,2.44,2.19
2011-08-11,12.86,2.43,2.2
2011-08-12,12.81,2.42,2.21
2011-08-16,12.68,2.4,2.23
2011-08-17,13.4,2.39,2.24
2011-08-18,13.28,2.37,2.26
2011-08-19,13.17,2.34,2.29
2011-08-22,13.37,2.37,2.25
2011-08-23,13.32,2.36,2.26
2011-08-24,13.27,2.36,2.27
2011-08-25,13.2,2.34,2.28
2011-08-26,12.98,2.3,2.32
2011-08-29,13.16,2.34,2.29
2011-08-30,13.06,2.32,2.31
2011-09-02,13.06,2.32,2.31
2011-09-05,12.94,2.3,2.33
2011-09-06,13.04,2.32,2.31
2011-09-07,13.22,2.35,2.28
2011-09-08,13.15,2.33,2.29
2011-09-09,12.99,2.31,2.32
2011-09-12,12.83,2.28,2.35
2011-09-13,12.81,2.27,2.35
2011-09-14,12.96,2.3,2.32
2011-09-15,13.08,2.32,2.3
2011-09-16,13.29,2.36,2.27
2011-09-19,13.16,2.34,2.29
2011-09-20,13.15,2.33,2.29
2011-09-21,13.17,2.34,2.29
2011-09-22,12.85,2.28,2.34
2011-09-23,12.77,2.27,2.36
2011-09-26,12.61,2.24,2.39
2011-09-27,12.85,2.28,2.34
2011-09-28,12.89,2.29,2.34
2011-09-29,13.02,2.31,2.31
2011-09-30,12.9,2.29,2.33
2011-10-03,12.79,2.27,2.35
2011-10-04,12.69,2.25,2.37
2011-10-05,12.58,2.23,2.39
2011-10-07,12.81,2.27,2.35
2011-10-10,13.68,2.55,2.17
2011-10-11,13.7,2.55,2.17
2011-10-12,13.81,2.58,2.15
2011-10-13,13.65,2.54,2.18
2011-10-14,13.59,2.53,2.19
2011-10-17,13.42,2.5,2.22
2011-10-18,13.35,2.49,2.23
2011-10-19,13.58,2.53,2.19
2011-10-20,13.46,2.51,2.21
2011-10-21,13.4,2.5,2.22
2011-10-24,13.49,2.52,2.2
2011-10-25,13.5,2.53,2.19
2011-10-26,13.59,2.55,2.18
2011-10-28,13.83,2.6,2.13
2011-10-31,13.6,2.56,2.17
2011-11-01,19.19,2.55,2.17
2011-11-02,19.13,2.55,2.18
2011-11-03,19.32,2.57,2.16
2011-11-04,19.51,2.58,2.15
2011-11-08,18.62,2.58,2.15
2011-11-09,18.3,2.53,2.15
2011-11-11,20.54,2.5,2.17
2011-11-14,20.33,2.44,2.2
2011-11-15,20.34,2.39,2.24
2011-11-16,20.1,2.36,2.26
2011-11-17,19.63,2.31,2.32
2011-11-18,19.48,2.29,2.34
2011-11-21,19.0,2.23,2.4
2011-11-22,19.13,2.25,2.38
2011-11-23,18.76,2.19,2.44
2011-11-24,19.0,2.22,2.41
2011-11-25,19.07,2.23,2.4
2011-11-28,19.62,2.29,2.33
2011-11-29,19.43,2.26,2.33
2011-11-30,19.63,2.28,2.3
2011-12-01,19.76,2.29,2.29
2011-12-02,20.2,2.34,2.24
2011-12-05,20.25,2.34,2.23
2011-12-07,20.17,2.33,2.24
2011-12-08,19.66,2.27,2.3
2011-12-09,19.44,2.25,2.33
2011-12-12,18.98,2.2,2.38
2011-12-13,19.12,2.21,2.37
2011-12-14,18.7,2.16,2.42
2011-12-15,18.79,2.17,2.41
2011-12-16,18.45,2.13,2.45
2011-12-19,18.23,2.11,2.48
2011-12-20,18.03,2.09,2.51
2011-12-21,18.46,2.14,2.45
2011-12-22,18.64,2.16,2.43
2011-12-23,18.53,2.14,2.44
2011-12-26,18.64,2.16,2.43
2011-12-27,18.46,2.13,2.45
2011-12-28,18.49,2.14,2.45
2011-12-29,18.23,2.11,2.48
2011-12-30,18.36,2.12,2.46
2012-01-02,18.37,2.12,2.46
2012-01-03,18.8,2.09,2.51
2012-01-04,18.97,2.11,2.49
2012-01-05,18.74,2.08,2.53
2012-01-06,18.55,2.05,2.56
2012-01-07,18.66,2.07,2.54
2012-01-09,18.68,2.07,2.54
2012-01-10,18.95,2.1,2.51
2012-01-11,19.04,2.11,2.49
2012-01-12,19.12,2.12,2.48
2012-01-13,19.39,2.15,2.45
2012-01-16,19.26,2.13,2.47
2012-01-17,19.63,2.13,2.45
2012-01-18,19.45,2.1,2.49
2012-01-19,19.73,2.13,2.46
2012-01-20,19.94,2.15,2.43
2012-01-23,19.9,2.15,2.44
2012-01-24,19.85,2.15,2.43
2012-01-25,20.12,2.13,2.43
2012-01-27,20.25,2.15,2.42
2012-01-30,19.66,2.08,2.49
2012-01-31,19.87,2.11,2.46
2012-02-01,19.84,2.1,2.47
2012-02-02,20.11,2.13,2.44
2012-02-03,20.35,2.16,2.4
2012-02-06,20.34,2.19,2.37
2012-02-07,20.09,2.16,2.4
2012-02-08,20.24,2.18,2.38
2012-02-09,20.43,2.2,2.36
2012-02-10,16.58,2.19,2.37
2012-02-13,16.62,2.2,2.36
2012-02-14,16.27,2.2,2.36
2012-02-15,16.55,2.23,2.32
2012-02-16,16.69,2.24,2.32
2012-02-17,16.9,2.27,2.29
2012-02-21,17.05,2.28,2.27
2012-02-22,16.74,2.24,2.31
2012-02-23,16.78,2.25,2.31
2012-02-24,16.63,2.23,2.33
2012-02-27,16.31,2.19,2.37
2012-02-28,16.62,2.23,2.33
2012-02-29,16.86,2.26,2.3
2012-03-01,16.65,2.23,2.32
2012-03-02,16.54,2.22,2.34
2012-03-03,16.56,2.22,2.34
2012-03-05,16.26,2.18,2.38
2012-03-06,16.17,2.17,2.39
2012-03-07,15.91,2.13,2.43
2012-03-09,16.24,2.18,2.38
2012-03-12,15.83,2.2,2.42
2012-03-13,16.13,2.24,2.37
2012-03-14,16.34,2.27,2.34
2012-03-15,16.02,2.22,2.39
2012-03-16,15.56,2.16,2.46
2012-03-19,15.37,2.13,2.49
2012-03-20,15.4,2.14,2.49
2012-03-21,15.6,2.17,2.45
2012-03-22,15.34,2.13,2.5
2012-03-23,15.39,2.14,2.49
2012-03-26,15.08,2.09,2.54
2012-03-27,15.11,2.1,2.53
2012-03-28,14.89,2.07,2.57
2012-03-29,14.92,2.07,2.57
2012-03-30,15.37,2.13,2.49
2012-04-02,15.49,2.15,2.47
2012-04-03,15.71,2.18,2.44
2012-04-04,15.72,2.18,2.44
2012-04-09,15.33,2.13,2.5
2012-04-10,15.15,2.1,2.53
2012-04-11,15.12,2.1,2.53
2012-04-12,15.18,2.11,2.52
2012-04-13,15.19,2.11,2.52
2012-04-16,15.18,2.11,2.52
2012-04-17,15.55,2.16,2.46
2012-04-18,15.6,2.17,2.45
2012-04-19,15.61,2.17,2.45
2012-04-20,15.44,2.14,2.48
2012-04-23,15.25,2.12,2.51
2012-04-24,15.28,2.12,2.51
2012-04-25,15.05,2.09,2.54
2012-04-26,14.94,2.07,2.56
2012-04-27,14.86,2.06,2.58
2012-04-28,14.94,2.07,2.56
2012-04-30,15.04,2.09,2.55
2012-05-02,14.89,2.07,2.57
2012-05-03,14.72,2.04,2.6
2012-05-04,14.42,2.0,2.66
2012-05-07,14.54,2.02,2.63
2012-05-08,14.45,2.0,2.65
2012-05-09,14.28,1.98,2.68
2012-05-10,14.3,1.98,2.68
2012-05-11,14.17,1.96,2.71
2012-05-14,14.13,1.95,2.72
2012-05-15,14.11,1.95,2.72
2012-05-16,13.94,1.93,2.76
2012-05-17,13.94,1.93,2.76
2012-05-18,13.98,1.93,2.75
2012-05-21,14.02,1.94,2.74
2012-05-22,13.94,1.93,2.76
2012-05-23,13.95,1.93,2.76
2012-05-24,14.16,1.96,2.72
2012-05-25,14.22,1.97,2.7
2012-05-28,14.24,1.97,2.7
2012-05-29,14.17,1.98,2.69
2012-05-30,14.0,1.95,2.72
2012-05-31,14.03,1.96,2.72
2012-06-01,14.0,1.93,2.75
2012-06-04,11.97,1.95,2.73
2012-06-05,12.02,1.95,2.73
2012-06-06,11.63,1.99,2.67
2012-06-07,11.74,2.0,2.66
2012-06-08,11.01,2.0,2.65
2012-06-11,11.0,2.0,2.66
2012-06-12,11.14,2.03,2.62
2012-06-13,11.19,2.04,2.61
2012-06-14,11.06,2.01,2.64
2012-06-15,11.11,2.02,2.63
2012-06-18,11.01,2.0,2.65
2012-06-19,11.15,2.03,2.62
2012-06-20,11.25,2.05,2.6
