Date,P/E,P/B,Div Yield
2007-09-11,11.42,1.88,1.65
2007-09-12,11.43,1.88,1.65
2007-09-13,11.67,1.92,1.61
2007-09-14,11.49,1.89,1.64
2007-09-17,11.45,1.89,1.64
2007-09-18,11.75,1.94,1.6
2007-09-19,12.24,2.02,1.54
2007-09-20,12.16,2.0,1.55
2007-09-21,12.41,2.04,1.52
2007-09-24,12.72,2.1,1.48
2007-09-25,12.52,2.06,1.5
2007-09-26,12.73,2.1,1.48
2007-09-27,12.77,2.1,1.47
2007-09-28,13.19,2.17,1.43
2007-10-01,13.09,2.16,1.44
2007-10-03,13.05,2.15,1.44
2007-10-04,12.96,2.13,1.45
2007-10-05,12.63,2.08,1.49
2007-10-08,12.07,1.99,1.56
2007-10-09,12.66,2.08,1.49
2007-10-10,12.84,2.12,1.47
2007-10-11,13.03,2.15,1.44
2007-10-12,12.64,2.08,1.49
2007-10-15,13.1,2.16,1.44
2007-10-16,12.98,2.14,1.45
2007-10-17,12.38,2.04,1.52
2007-10-18,11.54,1.9,1.63
2007-10-19,11.28,1.86,1.67
2007-10-22,11.5,1.9,1.63
2007-10-23,12.39,2.04,1.52
2007-10-24,12.72,2.11,1.47
2007-10-25,12.9,2.14,1.45
2007-10-26,13.42,2.23,1.39
2007-10-29,12.99,2.26,1.37
2007-10-30,12.94,2.25,1.38
2007-10-31,13.03,2.27,1.36
2007-11-01,13.18,2.3,1.35
2007-11-02,13.87,2.42,1.28
2007-11-05,13.91,2.43,1.28
2007-11-06,13.66,2.38,1.3
2007-11-07,13.82,2.41,1.29
2007-11-08,13.47,2.35,1.32
2007-11-09,13.37,2.33,1.33
2007-11-12,13.58,2.37,1.31
2007-11-13,13.99,2.44,1.27
2007-11-14,14.48,2.53,1.23
2007-11-15,14.34,2.5,1.24
2007-11-16,14.48,2.53,1.23
2007-11-19,14.58,2.54,1.22
2007-11-20,14.28,2.49,1.24
2007-11-21,13.47,2.35,1.32
2007-11-22,13.68,2.39,1.3
2007-11-23,13.73,2.39,1.29
2007-11-26,13.85,2.42,1.28
2007-11-27,13.97,2.44,1.27
2007-11-28,13.83,2.41,1.28
2007-11-29,13.84,2.41,1.28
2007-11-30,14.21,2.48,1.25
2007-12-03,14.44,2.52,1.23
2007-12-04,14.47,2.52,1.23
2007-12-05,14.94,2.61,1.19
2007-12-06,14.85,2.59,1.2
2007-12-07,14.97,2.61,1.19
2007-12-10,15.1,2.63,1.18
2007-12-11,15.3,2.67,1.16
2007-12-12,15.38,2.68,1.16
2007-12-13,15.31,2.67,1.16
2007-12-14,15.29,2.67,1.16
2007-12-17,14.62,2.55,1.22
2007-12-18,14.5,2.53,1.23
2007-12-19,14.28,2.49,1.24
2007-12-20,14.24,2.48,1.25
2007-12-24,14.72,2.57,1.21
2007-12-26,15.08,2.63,1.18
2007-12-27,14.93,2.6,1.19
2007-12-28,15.12,2.64,1.17
2007-12-31,15.15,2.64,1.17
2008-01-01,15.45,2.69,1.15
2008-01-02,16.0,2.79,1.11
2008-01-03,15.93,2.78,1.12
2008-01-04,15.85,2.77,1.12
2008-01-07,15.85,2.76,1.12
2008-01-08,15.85,2.76,1.12
2008-01-09,15.82,2.76,1.12
2008-01-10,15.46,2.7,1.15
2008-01-11,15.56,2.71,1.14
2008-01-14,15.85,2.77,1.12
2008-01-15,15.7,2.74,1.13
2008-01-16,15.62,2.72,1.14
2008-01-17,15.6,2.73,1.13
2008-01-18,14.92,2.61,1.19
2008-01-21,13.6,2.38,1.3
