Date,P/E,P/B,Div Yield
2007-01-02,128.31,66.24,0.06
2007-01-03,132.35,68.33,0.06
2007-01-04,134.97,69.68,0.06
2007-01-05,133.12,68.73,0.06
2007-01-08,128.7,66.44,0.06
2007-01-09,124.78,64.42,0.06
2007-01-10,119.04,61.46,0.06
2007-01-11,122.2,63.09,0.06
2007-01-12,102.98,53.34,0.07
2007-01-15,103.35,53.53,0.07
2007-01-16,96.02,53.2,0.07
2007-01-17,100.98,55.95,0.07
2007-01-18,102.74,56.93,0.07
2007-01-19,100.05,55.44,0.07
2007-01-22,103.53,59.53,0.06
2007-01-23,100.61,57.85,0.06
2007-01-24,98.71,58.06,0.06
2007-01-25,99.35,58.44,0.06
2007-01-29,97.96,57.62,0.07
2007-01-31,56.74,57.47,0.07
2007-02-01,57.71,57.81,0.06
2007-02-02,57.84,57.95,0.06
2007-02-05,57.48,57.59,0.06
2007-02-06,58.75,58.86,0.06
2007-02-07,58.79,58.9,0.06
2007-02-08,57.98,57.17,0.07
2007-02-09,56.63,55.84,0.07
2007-02-12,51.72,51.0,0.07
2007-02-13,50.94,50.23,0.08
2007-02-14,47.59,46.92,0.08
2007-02-15,49.7,49.0,0.08
2007-02-19,50.34,49.64,0.08
2007-02-20,50.79,50.08,0.08
2007-02-21,50.02,49.33,0.08
2007-02-22,48.98,48.3,0.08
2007-02-23,47.1,46.44,0.08
2007-02-26,45.92,45.28,0.08
2007-02-27,47.75,47.08,0.08
2007-02-28,45.35,44.72,0.08
2007-03-01,44.71,44.09,0.09
2007-03-02,43.63,43.03,0.09
2007-03-05,41.42,40.85,0.09
2007-03-06,42.33,41.74,0.09
2007-03-07,41.94,39.69,0.11
2007-03-08,42.76,40.46,0.1
2007-03-09,42.51,40.23,0.1
2007-03-12,44.11,41.75,0.1
2007-03-13,46.92,44.4,0.09
2007-03-14,47.9,45.33,0.09
2007-03-15,49.45,46.8,0.09
2007-03-16,49.66,47.0,0.09
2007-03-19,48.48,45.87,0.09
2007-03-20,48.8,46.18,0.09
2007-03-21,48.73,46.12,0.09
2007-03-22,48.72,46.1,0.09
2007-03-23,47.22,44.69,0.09
2007-03-26,45.59,43.14,0.1
2007-03-28,45.83,43.37,0.1
2007-03-29,46.44,43.95,0.1
2007-03-30,46.1,43.62,0.1
2007-04-02,43.8,41.45,0.1
2007-04-03,42.36,40.09,0.1
2007-04-04,41.75,39.51,0.11
2007-04-05,41.99,39.74,0.11
2007-04-09,43.87,41.52,0.1
2007-04-10,44.17,41.8,0.1
2007-04-11,43.02,40.71,0.1
2007-04-12,42.53,40.25,0.1
2007-04-13,43.99,41.63,0.1
2007-04-16,44.19,41.82,0.1
2007-04-17,43.36,41.03,0.1
2007-04-18,43.62,41.28,0.1
2007-04-19,44.82,42.42,0.1
2007-04-20,47.38,44.84,0.09
2007-04-23,59.63,58.22,0.07
2007-04-24,64.03,62.51,0.07
2007-04-25,67.05,65.47,0.06
2007-04-26,67.02,64.79,0.06
2007-04-27,64.57,62.42,0.07
2007-04-30,66.19,62.11,0.07
2007-05-03,65.45,62.94,0.07
2007-05-04,67.24,64.65,0.07
2007-05-07,66.67,64.1,0.07
2007-05-08,66.99,64.42,0.07
2007-05-09,69.21,66.55,0.06
2007-05-10,68.99,66.34,0.06
2007-05-11,69.34,66.68,0.06
2007-05-14,67.45,68.6,0.06
2007-05-15,68.35,69.52,0.06
2007-05-16,72.94,74.18,0.06
2007-05-17,75.44,76.73,0.06
2007-05-18,75.09,76.37,0.06
2007-05-21,63.66,76.19,0.06
2007-05-22,63.4,75.88,0.06
2007-05-23,63.98,74.38,0.06
