Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-11-24,AARTISURF,EQ,862.45,841.25,905.55,841.25,905.55,905.55,881.31,36513,3217931670000.0,670,29189,0.7994
2020-11-25,AARTISURF,EQ,905.55,950.8,950.8,861.05,950.8,950.2,924.13,103729,9585877225000.0,4911,45907,0.4426
2020-11-26,AARTISURF,EQ,950.2,988.0,997.7,954.5,997.7,997.7,991.24,56785,5628773240000.0,1758,44077,0.7762000000000001
2020-11-27,AARTISURF,EQ,997.7,1047.55,1047.55,1020.0,1047.55,1047.55,1046.05,35220,3684199690000.0,918,27478,0.7802
2020-12-01,AARTISURF,EQ,1047.55,1099.9,1099.9,1068.5,1099.9,1099.9,1098.2,33915,3724542429999.9995,831,22674,0.6686
2020-12-02,AARTISURF,EQ,1099.9,1154.85,1154.85,1068.0,1154.85,1154.85,1136.12,150119,17055277519999.998,6375,66626,0.44380000000000003
2020-12-03,AARTISURF,EQ,1154.85,1182.0,1209.6,1097.15,1127.0,1122.45,1155.18,154545,17852679530000.0,9605,89773,0.5809000000000001
2020-12-04,AARTISURF,EQ,1122.45,1140.0,1140.0,1066.35,1066.35,1075.0,1088.83,57114,6218724270000.0,5248,35915,0.6288
2020-12-07,AARTISURF,EQ,1075.0,1031.05,1089.05,1021.25,1021.25,1021.25,1038.89,58120,6038016340000.0,4150,36868,0.6343
2020-12-08,AARTISURF,EQ,1021.25,980.0,1031.25,970.2,982.3,995.95,988.35,95009,9390212200000.0,5889,45125,0.47500000000000003
2020-12-09,AARTISURF,EQ,995.95,1000.0,1029.0,975.0,990.0,989.4,997.68,40455,4036097479999.9995,4043,20955,0.518
2020-12-10,AARTISURF,EQ,989.4,985.0,985.0,944.8,966.0,966.45,961.46,23408,2250591395000.0,2728,13126,0.5607
2020-12-11,AARTISURF,EQ,966.45,970.0,1014.75,940.1,1014.75,1014.75,999.13,12195,1218443735000.0,760,10358,0.8494
2020-12-14,AARTISURF,EQ,1014.75,1065.45,1065.45,1065.45,1065.45,1065.45,1065.45,4298,457930409999.99994,246,4298,1.0
2020-12-15,AARTISURF,EQ,1065.45,1118.7,1118.7,1040.1,1118.7,1118.7,1093.87,92864,10158146495000.0,4822,49069,0.5284000000000001
2020-12-16,AARTISURF,EQ,1118.7,1129.8,1174.6,1081.2,1119.0,1124.55,1154.35,93999,10850789460000.0,7170,39670,0.42200000000000004
2020-12-17,AARTISURF,EQ,1124.55,1125.0,1146.95,1080.0,1095.45,1096.35,1110.3,42408,4708573565000.0,3973,24279,0.5725
2020-12-18,AARTISURF,EQ,1096.35,1122.0,1122.0,1041.55,1041.55,1044.1,1053.38,42993,4528796870000.0,3292,28482,0.6625
2020-12-21,AARTISURF,EQ,1044.1,1023.0,1050.0,991.9,991.9,991.9,1007.25,26670,2686323730000.0,2784,19802,0.7425
2020-12-22,AARTISURF,EQ,991.9,1000.0,1020.0,942.35,980.0,972.55,961.3,47876,4602341490000.0,4331,22883,0.478
2020-12-23,AARTISURF,EQ,972.55,1003.95,1021.15,990.3,1021.15,1021.15,1016.55,10111,1027837805000.0001,687,7641,0.7556999999999999
2020-12-24,AARTISURF,EQ,1021.15,1072.2,1072.2,1014.8,1050.0,1049.5,1053.68,70016,7377430505000.0,4472,26386,0.3769
2020-12-28,AARTISURF,EQ,1049.5,1059.0,1067.35,1023.0,1039.0,1044.7,1052.84,21422,2255393600000.0,2280,13752,0.642
2020-12-29,AARTISURF,EQ,1044.7,1044.7,1045.0,1002.1,1018.0,1014.7,1019.42,18584,1894493789999.9998,2469,11042,0.5942000000000001
2020-12-30,AARTISURF,EQ,1014.7,1018.0,1028.95,990.0,1004.7,1002.55,1006.75,12751,1283705625000.0,1723,8087,0.6342
2020-12-31,AARTISURF,EQ,1002.55,1002.55,1052.65,1002.55,1030.0,1029.65,1040.24,44919,4672673615000.0,2761,17309,0.38530000000000003
