Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-12-11,ACCURACY,EQ,29.8,31.25,31.25,31.25,31.25,31.25,31.25,1105,3453125000.0,5,1105,1.0
2020-12-14,ACCURACY,EQ,31.25,32.8,32.8,32.8,32.8,32.8,32.8,250,820000000.0,1,250,1.0
2020-12-15,ACCURACY,EQ,32.8,34.4,34.4,34.4,34.4,34.4,34.4,350,1204000000.0,3,350,1.0
2020-12-16,ACCURACY,EQ,34.4,36.1,36.1,36.1,36.1,36.1,36.1,400,1444000000.0,2,400,1.0
2020-12-17,ACCURACY,EQ,36.1,37.9,37.9,37.9,37.9,37.9,37.9,10,37900000.0,1,10,1.0
2020-12-18,ACCURACY,EQ,37.9,39.75,39.75,37.0,37.0,37.75,39.08,67100,262210925000.0,272,47583,0.7091
2020-12-21,ACCURACY,EQ,37.75,37.5,39.3,35.9,35.9,35.9,36.3,17991,65306255000.00001,154,15734,0.8745
2020-12-22,ACCURACY,EQ,35.9,35.9,36.0,34.15,35.85,35.7,34.74,3850,13373085000.0,66,3183,0.8268000000000001
2020-12-23,ACCURACY,EQ,35.7,34.0,37.45,34.0,37.45,37.45,36.77,3557,13080105000.0,30,3239,0.9106000000000001
2020-12-24,ACCURACY,EQ,37.45,39.3,39.3,36.8,36.8,37.2,37.23,15960,59426290000.0,72,14275,0.8944
2020-12-28,ACCURACY,EQ,37.2,37.2,39.0,36.15,37.5,37.35,37.83,58458,221151170000.00003,110,35268,0.6033
2020-12-29,ACCURACY,EQ,37.35,39.0,39.0,35.6,37.3,35.65,37.02,14287,52889465000.0,87,13084,0.9158
2020-12-30,ACCURACY,EQ,35.65,36.95,36.95,35.45,36.8,36.8,36.69,818,3001395000.0,15,816,0.9976
2020-12-31,ACCURACY,EQ,36.8,38.0,38.0,36.0,36.8,36.8,36.8,5512,20283550000.0,66,2928,0.5312
