Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-10-05,ANGELBRKG,EQ,306.0,275.0,296.7,257.0,274.25,275.8,280.43,8546238,239660610915000.0,257439,2078844,0.2432
2020-10-06,ANGELBRKG,EQ,275.8,274.0,274.15,261.55,266.9,266.25,267.14,2721384,72698477605000.0,55430,957528,0.3519
2020-10-07,ANGELBRKG,EQ,266.25,262.9,270.0,262.5,265.5,265.55,265.7,820136,21791279745000.0,21649,365739,0.4459
2020-10-08,ANGELBRKG,EQ,265.55,267.05,273.35,264.55,270.4,270.85,268.35,738241,19810773025000.0,19664,251474,0.3406
2020-10-09,ANGELBRKG,EQ,270.85,270.85,276.0,270.0,275.0,274.85,273.59,556877,15235658869999.998,14608,241307,0.4333
2020-10-12,ANGELBRKG,EQ,274.85,275.0,276.9,265.0,265.9,269.45,271.84,440911,11985887915000.0,16161,242514,0.55
2020-10-13,ANGELBRKG,EQ,269.45,266.35,272.0,263.0,269.9,269.8,267.76,369077,9882227785000.0,8960,122296,0.33140000000000003
2020-10-14,ANGELBRKG,EQ,269.8,267.15,269.0,260.6,262.3,261.8,262.65,231804,6088294060000.0,6282,99242,0.42810000000000004
2020-10-15,ANGELBRKG,EQ,261.8,263.0,266.15,255.0,256.0,257.25,261.9,215948,5655766390000.0,6788,106685,0.494
2020-10-16,ANGELBRKG,EQ,257.25,257.1,260.5,243.0,244.5,245.1,249.7,229542,5731679940000.0,10117,109773,0.4782
2020-10-19,ANGELBRKG,EQ,245.1,247.0,248.3,234.3,235.9,235.85,238.0,309611,7368838975000.0,10637,141161,0.4559
2020-10-20,ANGELBRKG,EQ,235.85,235.85,236.85,223.8,223.95,224.65,228.47,297360,6793905525000.0,10056,130907,0.44020000000000004
2020-10-21,ANGELBRKG,EQ,224.65,222.2,243.8,222.2,239.9,238.95,238.93,1258953,30079708180000.0,22011,461331,0.3664
2020-10-22,ANGELBRKG,EQ,238.95,238.5,244.6,233.05,238.4,238.95,239.39,392676,9400282640000.0,10666,137160,0.3493
2020-10-23,ANGELBRKG,EQ,238.95,241.45,242.95,235.6,239.55,240.05,239.82,383393,9194646325000.0,9461,151725,0.3957
2020-10-26,ANGELBRKG,EQ,240.05,241.0,251.2,240.2,248.0,248.75,245.83,320284,7873439670000.0,8436,102368,0.3196
2020-10-27,ANGELBRKG,EQ,248.75,267.0,298.5,267.0,298.5,298.5,288.57,4710027,135915234420000.0,75274,1063464,0.2258
2020-10-28,ANGELBRKG,EQ,298.5,305.9,335.9,278.85,310.45,315.85,309.18,7045997,217851162544999.97,139521,1206238,0.17120000000000002
2020-10-29,ANGELBRKG,EQ,315.85,300.0,329.95,296.95,325.0,325.75,320.87,1977364,63448554229999.99,44288,681668,0.3447
2020-10-30,ANGELBRKG,EQ,325.75,327.95,379.0,327.0,354.0,353.35,358.44,4462994,159972447085000.0,96461,1185950,0.2657
2020-11-02,ANGELBRKG,EQ,353.35,353.65,354.0,314.3,314.3,315.9,336.32,933339,31390259505000.0,23676,375715,0.4025
2020-11-03,ANGELBRKG,EQ,315.9,312.5,328.9,296.5,297.0,298.9,308.16,848752,26154992265000.0,21871,253879,0.29910000000000003
2020-11-04,ANGELBRKG,EQ,298.9,299.05,322.8,290.65,308.5,309.7,311.02,768906,23914351715000.0,20793,197383,0.25670000000000004
2020-11-05,ANGELBRKG,EQ,309.7,315.2,320.0,304.8,311.5,311.2,311.01,288705,8979044945000.0,6451,109443,0.3791
2020-11-06,ANGELBRKG,EQ,311.2,311.9,317.45,309.05,310.85,311.55,312.27,359419,11223667185000.0,9646,129868,0.3613
2020-11-09,ANGELBRKG,EQ,311.55,312.05,342.7,309.15,336.0,334.5,333.77,2120253,70767510460000.0,44552,454302,0.2143
2020-11-10,ANGELBRKG,EQ,334.5,339.9,345.9,323.0,325.25,327.85,332.48,721991,24004545165000.0,19479,241538,0.3345
