Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-02-12,ASALCBR,EQ,273.9,281.0,291.8,242.55,269.0,268.35,264.23,231338,6112673190000.0,6592,77191,0.3337
2020-02-13,ASALCBR,EQ,268.35,269.95,269.95,257.6,263.5,263.75,263.51,48266,1271852330000.0,1139,20801,0.43100000000000005
2020-02-14,ASALCBR,EQ,263.75,265.05,284.4,265.0,272.0,272.75,275.62,79240,2183980700000.0,1418,45642,0.5760000000000001
2020-02-17,ASALCBR,EQ,272.75,280.7,297.75,265.0,266.0,267.7,279.14,58283,1626930765000.0,1369,31768,0.5451
2020-02-18,ASALCBR,EQ,267.7,269.0,269.9,247.5,264.25,260.2,256.41,38558,988657625000.0,1223,21452,0.5564
2020-02-19,ASALCBR,EQ,260.2,264.95,269.45,260.45,261.55,261.95,264.9,33961,899636090000.0,659,23781,0.7001999999999999
2020-02-20,ASALCBR,EQ,261.95,263.0,265.0,254.95,258.9,256.3,261.94,17903,468957615000.00006,423,12607,0.7042
2020-02-24,ASALCBR,EQ,256.3,261.4,261.4,246.05,248.7,248.65,252.75,15553,393106950000.0,666,9127,0.5868
2020-02-25,ASALCBR,EQ,248.65,248.0,255.0,245.0,246.45,245.2,249.01,15006,373661540000.0,651,9606,0.6401000000000001
2020-02-26,ASALCBR,EQ,245.2,244.95,244.95,227.15,235.1,235.8,237.62,34277,814476985000.0,918,25311,0.7384000000000001
2020-02-27,ASALCBR,EQ,235.8,235.0,236.9,191.0,234.9,232.6,225.62,42244,953097825000.0,1789,22568,0.5342
2020-02-28,ASALCBR,EQ,232.6,221.35,225.85,215.1,221.0,217.9,220.25,24073,530207484999.99994,1075,15920,0.6613
2020-03-02,ASALCBR,EQ,217.9,225.0,229.0,210.15,214.95,213.65,221.87,17135,380180915000.0,647,13073,0.7629000000000001
2020-03-03,ASALCBR,EQ,213.65,215.1,229.95,199.8,205.0,204.9,209.0,23245,485814750000.0,967,14100,0.6066
2020-03-04,ASALCBR,EQ,204.9,206.0,208.0,197.0,197.1,198.2,200.3,16976,340026905000.0,598,10439,0.6149
2020-03-05,ASALCBR,EQ,198.2,199.7,204.55,191.0,200.45,200.55,199.13,28153,560621975000.0,935,20012,0.7108
2020-03-06,ASALCBR,EQ,200.55,186.75,200.0,180.15,197.0,197.85,194.74,24519,477481870000.0,1013,14033,0.5723
2020-03-09,ASALCBR,EQ,197.85,190.35,190.35,176.45,183.0,184.25,184.8,23270,430029975000.0,1033,17374,0.7465999999999999
2020-03-11,ASALCBR,EQ,184.25,184.0,198.0,180.05,187.6,187.15,188.82,21416,404374030000.0,977,11757,0.549
2020-03-12,ASALCBR,EQ,187.15,183.0,183.05,161.25,163.0,164.05,169.5,24941,422759659999.99994,1511,16949,0.6796
2020-03-13,ASALCBR,EQ,164.05,151.05,177.0,131.3,164.0,161.05,156.04,40487,631773350000.0,1565,25034,0.6183
2020-03-16,ASALCBR,EQ,161.05,159.0,160.05,149.0,149.0,149.8,153.75,20133,309541020000.0,939,16724,0.8307
2020-03-17,ASALCBR,EQ,149.8,154.95,154.95,139.2,148.9,145.1,147.65,17006,251089650000.0,1220,12274,0.7217
2020-03-18,ASALCBR,EQ,145.1,145.1,151.95,138.1,142.55,146.35,145.81,16189,236056610000.0,922,9646,0.5958
2020-03-19,ASALCBR,EQ,146.35,145.95,151.0,131.55,136.5,140.15,138.59,19449,269539704999.99997,1195,11705,0.6018
2020-03-20,ASALCBR,EQ,140.15,142.0,158.0,138.0,148.15,147.1,148.25,15993,237103075000.0,826,13808,0.8634000000000001
2020-03-23,ASALCBR,EQ,147.1,130.15,149.0,125.0,129.0,129.15,130.27,23553,306825865000.0,1033,18305,0.7772
2020-03-24,ASALCBR,EQ,129.15,129.15,140.0,126.0,132.0,135.0,133.16,10255,136555439999.99998,548,6787,0.6618
2020-03-25,ASALCBR,EQ,135.0,123.05,140.0,123.05,140.0,137.05,129.95,29885,388340920000.0,1424,20559,0.6879000000000001
2020-03-26,ASALCBR,EQ,137.05,130.0,160.8,130.0,147.7,146.75,149.22,33106,494014845000.0,1861,20823,0.629
2020-03-27,ASALCBR,EQ,146.75,159.95,160.0,138.0,147.0,146.6,147.5,28873,425884184999.99994,1420,21077,0.73
2020-03-30,ASALCBR,EQ,146.6,146.6,164.4,135.15,150.7,149.0,149.15,33299,496671084999.99994,1271,20176,0.6059
2020-03-31,ASALCBR,EQ,149.0,155.0,160.0,149.8,159.8,157.9,154.73,15980,247251840000.0,838,12537,0.7845000000000001
2020-04-01,ASALCBR,EQ,157.9,160.0,162.9,152.1,155.45,155.35,157.53,8214,129396189999.99998,517,5908,0.7193
2020-04-03,ASALCBR,EQ,155.35,156.9,156.9,125.55,147.9,146.6,146.54,24117,353406230000.0,949,16483,0.6835
2020-04-07,ASALCBR,EQ,146.6,158.5,167.7,146.0,163.0,162.9,160.8,38548,619855060000.0,1098,23741,0.6159
2020-04-08,ASALCBR,EQ,162.9,164.9,175.0,158.0,165.0,165.7,164.86,31033,511610205000.0,970,22751,0.7331000000000001
2020-04-09,ASALCBR,EQ,165.7,173.55,174.9,166.1,171.45,170.55,171.02,32507,555925705000.0,999,21196,0.652
2020-04-13,ASALCBR,EQ,170.55,175.1,177.4,160.05,167.9,168.25,168.25,21334,358942760000.0,658,14504,0.6799
2020-04-15,ASALCBR,EQ,168.25,172.95,174.0,160.0,162.0,162.1,166.03,35936,596652485000.0,1840,24089,0.6703
2020-04-16,ASALCBR,EQ,162.1,164.0,170.5,159.1,170.0,169.55,167.45,30078,503667270000.0,1017,20327,0.6758
2020-04-17,ASALCBR,EQ,169.55,174.0,174.0,165.3,173.0,172.95,169.91,37894,643843110000.0,1386,20495,0.5409
2020-04-20,ASALCBR,EQ,172.95,176.4,178.2,172.3,176.45,175.8,175.05,28142,492618950000.0,1138,15747,0.5596
2020-04-21,ASALCBR,EQ,175.8,179.0,180.0,166.0,168.0,167.85,174.31,49012,854324369999.9999,1981,21911,0.4471
2020-04-22,ASALCBR,EQ,167.85,168.0,173.45,164.3,171.5,171.15,168.76,14754,248991325000.0,937,7563,0.5126
2020-04-23,ASALCBR,EQ,171.15,174.95,180.0,172.0,173.05,173.1,174.92,17781,311022145000.0,717,12476,0.7016
2020-04-24,ASALCBR,EQ,173.1,167.3,174.0,165.2,168.0,167.3,168.98,19546,330282540000.0,914,14558,0.7448
2020-04-27,ASALCBR,EQ,167.3,167.3,172.8,160.6,170.0,168.05,169.43,32604,552402855000.0,995,21564,0.6614
2020-04-28,ASALCBR,EQ,168.05,171.5,172.5,166.75,169.75,168.55,169.19,17299,292690270000.0,644,9657,0.5582
2020-04-29,ASALCBR,EQ,168.55,172.5,172.5,161.25,168.25,169.1,169.39,26702,452296075000.0,1033,17782,0.6659
2020-04-30,ASALCBR,EQ,169.1,169.15,171.6,165.0,169.95,169.6,169.38,25550,432773315000.00006,1001,16263,0.6365
2020-05-04,ASALCBR,EQ,169.6,185.0,202.45,179.0,202.0,198.6,192.57,503041,9687296540000.0,13903,147068,0.2924
2020-05-05,ASALCBR,EQ,198.6,211.0,211.65,190.0,191.0,191.5,202.96,374289,7596481450000.0,11497,131596,0.35159999999999997
2020-05-06,ASALCBR,EQ,191.5,188.8,189.95,171.5,182.25,181.35,179.31,145853,2615279035000.0,4499,54571,0.37420000000000003
2020-05-07,ASALCBR,EQ,181.35,187.5,194.35,185.25,192.5,190.6,190.26,102549,1951094505000.0,3305,33429,0.326
2020-05-08,ASALCBR,EQ,190.6,192.5,194.95,184.55,187.0,187.05,187.97,62594,1176602525000.0,2869,18897,0.3019
2020-05-11,ASALCBR,EQ,187.05,189.0,194.0,185.1,186.8,185.8,188.6,38248,721346530000.0,1302,22143,0.5789
2020-05-12,ASALCBR,EQ,185.8,189.85,189.85,176.15,189.45,188.4,184.22,47131,868242085000.0,2496,22885,0.48560000000000003
2020-05-13,ASALCBR,EQ,188.4,192.0,199.5,187.0,189.3,189.55,192.67,77087,1485211180000.0,2979,35619,0.4621
2020-05-14,ASALCBR,EQ,189.55,190.0,206.0,183.95,194.3,194.2,197.76,230151,4551542860000.0,4862,41655,0.18100000000000002
2020-05-15,ASALCBR,EQ,194.2,194.2,198.0,189.0,190.0,190.35,193.62,46022,891056160000.0,2003,20827,0.4525
2020-05-18,ASALCBR,EQ,190.35,194.5,194.5,180.45,183.0,182.75,184.28,36816,678452325000.0,1354,20912,0.568
2020-05-19,ASALCBR,EQ,182.75,185.5,189.95,182.3,184.25,183.55,184.88,33430,618047170000.0,925,18752,0.5609000000000001
2020-05-20,ASALCBR,EQ,183.55,185.35,189.8,184.3,188.0,187.1,186.72,31926,596123955000.0,806,15803,0.495
2020-05-21,ASALCBR,EQ,187.1,186.5,197.9,186.5,196.0,195.1,194.05,61389,1191235235000.0,1415,40356,0.6574
2020-05-22,ASALCBR,EQ,195.1,196.0,206.9,193.2,200.95,201.6,202.73,154794,3138206735000.0,3119,77311,0.4994
2020-05-26,ASALCBR,EQ,201.6,201.6,204.7,192.65,199.9,198.65,198.57,37768,749949570000.0,1544,17101,0.45280000000000004
2020-05-27,ASALCBR,EQ,198.65,197.2,202.75,194.7,196.9,196.55,196.2,31305,614210780000.0,868,20783,0.6639
2020-05-28,ASALCBR,EQ,196.55,196.55,201.0,195.1,199.0,200.05,199.01,53959,1073829285000.0,1706,24678,0.4573
2020-05-29,ASALCBR,EQ,200.05,196.15,223.9,196.15,221.5,219.25,212.8,280003,5958399355000.0,6321,94130,0.3362
2020-06-01,ASALCBR,EQ,219.25,220.0,228.0,213.55,216.0,215.05,219.88,214694,4720593585000.0,6052,93940,0.4376
2020-06-02,ASALCBR,EQ,215.05,216.0,228.0,216.0,227.0,225.65,223.16,124268,2773210160000.0,2875,70351,0.5661
2020-06-03,ASALCBR,EQ,225.65,227.6,229.75,211.1,221.05,217.25,222.5,78851,1754404160000.0002,2662,42175,0.5349
2020-06-04,ASALCBR,EQ,217.25,217.3,222.0,211.6,214.8,214.3,216.16,49547,1071023715000.0,1684,23207,0.46840000000000004
2020-06-05,ASALCBR,EQ,214.3,215.0,226.35,215.0,224.0,223.85,222.1,78930,1753071964999.9998,2121,49971,0.6331
2020-06-08,ASALCBR,EQ,223.85,240.0,243.85,228.0,232.0,229.4,234.18,152843,3579223095000.0005,5109,76246,0.4989
2020-06-09,ASALCBR,EQ,229.4,230.25,233.35,212.25,219.9,216.75,224.18,77315,1733249380000.0,3000,45562,0.5893
2020-06-10,ASALCBR,EQ,216.75,221.0,223.5,215.6,217.95,217.15,219.04,38739,848538569999.9999,1618,16210,0.41840000000000005
2020-06-11,ASALCBR,EQ,217.15,220.4,221.4,211.0,215.5,214.65,216.77,37998,823672945000.0,1570,21619,0.569
2020-06-12,ASALCBR,EQ,214.65,202.2,222.55,202.0,220.9,219.75,213.91,50691,1084315569999.9999,2103,23414,0.4619
2020-06-15,ASALCBR,EQ,219.75,221.9,228.5,218.0,222.9,222.7,223.32,63493,1417910100000.0,1626,34578,0.5446
2020-06-16,ASALCBR,EQ,222.7,222.7,226.75,213.65,220.1,219.45,221.44,79675,1764339825000.0,2359,33305,0.418
2020-06-17,ASALCBR,EQ,219.45,220.1,229.5,220.1,224.0,223.95,225.19,63620,1432662650000.0,2225,29524,0.46409999999999996
2020-06-18,ASALCBR,EQ,223.95,223.95,240.2,223.95,236.0,235.8,234.81,170729,4008961620000.0005,4135,100196,0.5869
2020-06-19,ASALCBR,EQ,235.8,231.55,249.0,231.55,247.0,246.35,244.64,119036,2912117010000.0,3549,66299,0.557
2020-06-22,ASALCBR,EQ,246.35,253.25,257.5,245.0,252.9,250.6,250.05,97452,2436801070000.0,2895,59288,0.6084
2020-06-23,ASALCBR,EQ,250.6,251.0,251.0,245.4,249.65,249.0,247.88,43424,1076407019999.9999,1953,13950,0.6434000000000001
2020-06-24,ASALCBR,EQ,249.0,249.9,256.95,246.7,248.85,248.35,252.42,108490,2738529505000.0,2910,66634,0.6142000000000001
2020-06-25,ASALCBR,EQ,248.35,245.0,254.8,245.0,253.4,251.0,250.47,41429,1037674065000.0,1312,22938,0.5537
2020-06-26,ASALCBR,EQ,251.0,252.0,261.0,252.0,259.9,258.9,257.2,86793,2232306895000.0,2305,52661,0.6067
2020-06-29,ASALCBR,EQ,258.9,259.8,274.95,254.0,274.9,272.85,267.04,192266,5134218085000.0,6631,98121,0.5103
2020-06-30,ASALCBR,EQ,272.85,268.4,268.5,245.4,254.15,254.6,258.33,194074,5013532260000.0,6135,94433,0.4866
2020-07-01,ASALCBR,EQ,254.6,255.0,259.0,250.0,252.0,252.0,253.6,58755,1490047870000.0,2192,24420,0.4156
2020-07-02,ASALCBR,EQ,252.0,250.0,256.0,250.0,252.45,251.45,252.89,35317,893144800000.0,1387,19291,0.5462
2020-07-03,ASALCBR,EQ,251.45,253.9,255.0,247.0,248.0,247.6,250.67,38658,969027469999.9999,1333,23330,0.6035
2020-07-06,ASALCBR,EQ,247.6,248.0,250.35,245.4,246.0,247.0,247.8,29466,730168915000.0,1151,16297,0.5531
2020-07-07,ASALCBR,EQ,247.0,245.0,265.0,244.4,258.0,257.55,255.68,100150,2560647270000.0,3704,38956,0.389
2020-07-08,ASALCBR,EQ,257.55,263.8,263.8,252.0,254.0,254.85,258.59,66331,1715273055000.0,1946,32860,0.4954
2020-07-09,ASALCBR,EQ,254.85,253.05,259.8,253.05,255.1,255.5,256.74,32976,846618335000.0,866,22095,0.67
2020-07-10,ASALCBR,EQ,255.5,254.95,254.95,248.25,253.0,252.05,251.76,35485,893380725000.0,1132,16944,0.47750000000000004
2020-07-13,ASALCBR,EQ,252.05,259.7,259.7,248.6,251.3,252.65,253.64,38098,966320469999.9999,1082,21070,0.5529999999999999
2020-07-14,ASALCBR,EQ,252.65,253.05,253.35,242.5,245.75,244.75,246.96,31834,786165750000.0,1138,19537,0.6137
2020-07-15,ASALCBR,EQ,244.75,244.75,249.55,240.0,245.0,241.6,244.99,32166,788037775000.0,1177,18838,0.5856
2020-07-16,ASALCBR,EQ,241.6,245.85,249.5,235.25,238.4,238.3,240.17,39217,941879830000.0001,1670,21090,0.5378000000000001
2020-07-17,ASALCBR,EQ,238.3,240.95,245.0,238.55,240.8,240.7,240.76,24568,591489875000.0,1027,11412,0.4645
2020-07-20,ASALCBR,EQ,240.7,244.5,244.5,239.0,239.8,240.05,241.22,21387,515891900000.0,868,9484,0.4434
2020-07-21,ASALCBR,EQ,240.05,240.2,242.95,237.8,239.45,238.45,240.15,22427,538579795000.0,935,10179,0.4539
2020-07-22,ASALCBR,EQ,238.45,240.0,240.0,227.0,235.6,234.05,233.47,42643,995599419999.9999,1708,20542,0.4817
2020-07-23,ASALCBR,EQ,234.05,234.5,254.45,230.0,242.0,239.7,239.9,37587,901698400000.0,1205,19581,0.521
2020-07-24,ASALCBR,EQ,239.7,241.7,241.7,235.05,237.0,237.25,238.13,17988,428350045000.0,816,7541,0.4192
2020-07-27,ASALCBR,EQ,237.25,237.25,241.0,230.05,231.6,232.4,234.73,34699,814486295000.0,1943,15590,0.44930000000000003
2020-07-28,ASALCBR,EQ,232.4,230.15,234.85,224.5,228.0,228.2,227.95,37912,864221110000.0,1973,20898,0.5512
2020-07-29,ASALCBR,EQ,228.2,228.2,233.3,224.6,230.45,230.75,227.83,28113,640494520000.0,1179,12834,0.4565
2020-07-30,ASALCBR,EQ,230.75,231.6,234.7,220.05,222.95,221.4,227.1,65181,1480282675000.0,2366,38161,0.5855
2020-07-31,ASALCBR,EQ,221.4,224.0,226.05,220.05,225.5,224.5,223.51,31268,698865485000.0,1242,17561,0.5616
2020-08-03,ASALCBR,EQ,224.5,225.95,226.0,218.1,224.85,222.85,221.24,21548,476733984999.99994,905,11605,0.5386
2020-08-04,ASALCBR,EQ,222.85,225.0,235.9,224.95,230.05,230.5,230.97,34063,786751630000.0,1215,16972,0.4983
2020-08-05,ASALCBR,EQ,230.5,231.75,251.0,230.6,250.0,247.65,241.86,120799,2921611910000.0,4092,65761,0.5444
2020-08-06,ASALCBR,EQ,247.65,252.25,261.0,250.05,254.3,255.55,255.1,117910,3007914375000.0,4695,78304,0.6641
2020-08-07,ASALCBR,EQ,255.55,260.0,271.45,260.0,266.0,265.15,266.92,592940,15826675775000.0,13193,145895,0.2461
2020-08-10,ASALCBR,EQ,265.15,264.0,269.85,258.65,265.55,265.9,264.52,130357,3448222340000.0,3715,72837,0.5588000000000001
2020-08-11,ASALCBR,EQ,265.9,265.95,268.75,260.55,262.0,261.85,263.6,41202,1086093285000.0,1659,23018,0.5587
2020-08-12,ASALCBR,EQ,261.85,260.0,269.7,259.05,265.75,263.6,264.76,47864,1267233740000.0,2051,23944,0.5003
2020-08-13,ASALCBR,EQ,263.6,265.5,267.95,263.0,265.85,266.0,265.34,62829,1667123550000.0,1657,28900,0.46
2020-08-14,ASALCBR,EQ,266.0,268.7,269.5,243.65,260.55,259.05,261.75,116582,3051566910000.0,4580,45163,0.3874
2020-08-17,ASALCBR,EQ,259.05,263.0,265.25,256.0,261.75,261.4,260.73,52727,1374758585000.0,1807,27062,0.5132
2020-08-18,ASALCBR,EQ,261.4,264.25,264.8,260.45,263.0,263.05,262.67,39027,1025129244999.9999,1376,17946,0.4598
2020-08-19,ASALCBR,EQ,263.05,265.75,267.8,260.1,263.7,263.1,264.89,48091,1273873125000.0,1350,25185,0.5236999999999999
