Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-03-17,BAFNAPH,EQ,6.9,7.55,7.55,7.55,7.55,7.55,7.55,972,733860000.0,9,972,1.0
2020-03-18,BAFNAPH,EQ,7.55,8.3,8.3,8.3,8.3,8.3,8.3,1326,1100580000.0,8,1326,1.0
2020-03-19,BAFNAPH,EQ,8.3,9.1,9.1,9.1,9.1,9.1,9.1,1052,957320000.0000001,11,1052,1.0
2020-03-20,BAFNAPH,EQ,9.1,9.55,9.55,9.55,9.55,9.55,9.55,313,298915000.0,7,313,1.0
2020-03-23,BAFNAPH,EQ,9.55,10.0,10.0,10.0,10.0,10.0,10.0,1573,1573000000.0,15,1573,1.0
2020-03-24,BAFNAPH,EQ,10.0,10.5,10.5,10.5,10.5,10.5,10.5,110,115500000.0,9,110,1.0
2020-03-25,BAFNAPH,EQ,10.5,11.0,11.0,11.0,11.0,11.0,11.0,285,313500000.0,3,285,1.0
2020-03-26,BAFNAPH,EQ,11.0,11.55,11.55,11.55,11.55,11.55,11.55,2,2310000.0,2,2,1.0
2020-03-27,BAFNAPH,EQ,11.55,12.1,12.1,12.1,12.1,12.1,12.1,131,158510000.0,5,131,1.0
2020-03-30,BAFNAPH,EQ,12.1,12.7,12.7,12.7,12.7,12.7,12.7,54,68580000.0,4,54,1.0
2020-03-31,BAFNAPH,EQ,12.7,13.3,13.3,13.3,13.3,13.3,13.3,197,262010000.0,9,197,1.0
2020-04-01,BAFNAPH,EQ,13.3,13.95,13.95,13.95,13.95,13.95,13.95,224,312480000.0,6,224,1.0
2020-04-03,BAFNAPH,EQ,13.95,14.6,14.6,14.6,14.6,14.6,14.6,225,328500000.0,8,225,1.0
2020-04-07,BAFNAPH,EQ,14.6,15.3,15.3,15.3,15.3,15.3,15.3,109,166770000.0,7,109,1.0
2020-04-08,BAFNAPH,EQ,15.3,16.05,16.05,16.05,16.05,16.05,16.05,272,436560000.00000006,8,272,1.0
2020-09-15,BAFNAPH,EQ,23.5,24.65,24.65,24.65,24.65,24.65,24.65,285,702525000.0,5,285,1.0
2020-09-16,BAFNAPH,EQ,24.65,25.85,25.85,25.85,25.85,25.85,25.85,931,2406635000.0,7,931,1.0
2020-09-17,BAFNAPH,EQ,25.85,25.9,27.1,25.9,27.1,27.1,27.07,207,560250000.0,9,207,1.0
2020-09-18,BAFNAPH,EQ,27.1,28.45,28.45,28.45,28.45,28.45,28.45,51,145095000.0,6,51,1.0
2020-09-21,BAFNAPH,EQ,28.45,29.85,29.85,29.85,29.85,29.85,29.85,149,444764999.99999994,9,149,1.0
2020-09-22,BAFNAPH,EQ,29.85,31.3,31.3,31.3,31.3,31.3,31.3,118,369340000.0,4,118,1.0
2020-09-23,BAFNAPH,EQ,31.3,32.85,32.85,32.85,32.85,32.85,32.85,1193,3919005000.0000005,7,1193,1.0
2020-09-24,BAFNAPH,EQ,32.85,34.45,34.45,34.45,34.45,34.45,34.45,975,3358875000.0,8,975,1.0
2020-09-25,BAFNAPH,EQ,34.45,36.15,36.15,36.15,36.15,36.15,36.15,247,892904999.9999999,5,247,1.0
2020-09-28,BAFNAPH,EQ,36.15,37.95,37.95,37.95,37.95,37.95,37.95,4430,16811850000.0,10,4430,1.0
2020-09-29,BAFNAPH,EQ,37.95,39.8,39.8,39.8,39.8,39.8,39.8,246,979079999.9999999,6,246,1.0
2020-09-30,BAFNAPH,EQ,39.8,41.75,41.75,41.75,41.75,41.75,41.75,314,1310950000.0,6,314,1.0
2020-10-01,BAFNAPH,EQ,41.75,43.8,43.8,43.8,43.8,43.8,43.8,1255,5496900000.0,10,1255,1.0
2020-10-05,BAFNAPH,EQ,43.8,45.95,45.95,45.95,45.95,45.95,45.95,177,813315000.0,4,177,1.0
2020-10-06,BAFNAPH,EQ,45.95,48.2,48.2,48.2,48.2,48.2,48.2,152,732640000.0,7,152,1.0
2020-10-07,BAFNAPH,EQ,48.2,50.6,50.6,50.6,50.6,50.6,50.6,202,1022120000.0000001,12,202,1.0
