Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-02-25,BIRLATYRE,EQ,9.15,8.25,8.25,8.25,8.25,8.25,8.25,26280,21681000000.0,96,26270,0.9995999999999999
2020-02-26,BIRLATYRE,EQ,8.25,7.45,7.45,7.45,7.45,7.45,7.45,902307,672218715000.0,411,848519,0.9404000000000001
2020-02-27,BIRLATYRE,EQ,7.45,6.75,6.75,6.75,6.75,6.75,6.75,18546,12518550000.0,82,18546,1.0
2020-02-28,BIRLATYRE,EQ,6.75,6.45,6.45,6.45,6.45,6.45,6.45,7615,4911675000.0,42,7615,1.0
2020-03-02,BIRLATYRE,EQ,6.45,6.15,6.15,6.15,6.15,6.15,6.15,13638,8387370000.0,41,13638,1.0
2020-03-03,BIRLATYRE,EQ,6.15,5.95,5.95,5.85,5.85,5.85,5.85,4999,2925415000.0,37,4999,1.0
2020-03-04,BIRLATYRE,EQ,5.85,5.6,5.6,5.6,5.6,5.6,5.6,3126,1750559999.9999998,30,3126,1.0
2020-03-05,BIRLATYRE,EQ,5.6,5.35,5.35,5.35,5.35,5.35,5.35,5033,2692655000.0,41,5033,1.0
2020-03-06,BIRLATYRE,EQ,5.35,5.1,5.1,5.1,5.1,5.1,5.1,2492,1270920000.0,26,2492,1.0
2020-03-09,BIRLATYRE,EQ,5.1,4.85,4.85,4.85,4.85,4.85,4.85,18081,8769285000.0,52,18081,1.0
2020-03-11,BIRLATYRE,EQ,4.85,4.65,4.65,4.65,4.65,4.65,4.65,8515,3959475000.0,56,8515,1.0
2020-03-12,BIRLATYRE,EQ,4.65,4.45,4.45,4.45,4.45,4.45,4.45,6894,3067830000.0,26,6894,1.0
2020-03-13,BIRLATYRE,EQ,4.45,4.25,4.25,4.25,4.25,4.25,4.25,13053,5547525000.0,40,13053,1.0
2020-03-16,BIRLATYRE,EQ,4.25,4.05,4.05,4.05,4.05,4.05,4.05,20579,8334495000.0,73,20579,1.0
2020-03-17,BIRLATYRE,EQ,4.05,3.9,3.9,3.85,3.85,3.85,3.85,9044,3483990000.0,78,9044,1.0
2020-03-18,BIRLATYRE,EQ,3.85,3.7,3.7,3.7,3.7,3.7,3.7,14632,5413840000.0,60,14632,1.0
2020-03-19,BIRLATYRE,EQ,3.7,3.55,3.55,3.55,3.55,3.55,3.55,7827,2778585000.0,47,7827,1.0
2020-03-20,BIRLATYRE,EQ,3.55,3.4,3.4,3.4,3.4,3.4,3.4,16301,5542340000.0,76,16301,1.0
2020-03-23,BIRLATYRE,EQ,3.4,3.25,3.25,3.25,3.25,3.25,3.25,10487,3408275000.0,63,10487,1.0
2020-03-24,BIRLATYRE,EQ,3.25,3.1,3.1,3.1,3.1,3.1,3.1,35226,10920060000.0,78,35226,1.0
2020-03-25,BIRLATYRE,EQ,3.1,2.95,2.95,2.95,2.95,2.95,2.95,18280,5392600000.0,92,18280,1.0
2020-03-26,BIRLATYRE,EQ,2.95,2.85,2.85,2.85,2.85,2.85,2.85,64402,18354570000.0,159,64402,1.0
2020-03-27,BIRLATYRE,EQ,2.85,2.75,2.95,2.75,2.95,2.8,2.88,353497,101962165000.0,644,299127,0.8462000000000001
2020-03-30,BIRLATYRE,EQ,2.8,2.85,2.9,2.7,2.9,2.9,2.87,65762,18889720000.0,181,58711,0.8928
2020-03-31,BIRLATYRE,EQ,2.9,3.0,3.0,2.95,3.0,3.0,3.0,117933,35378400000.0,250,108471,0.9198000000000001
2020-04-01,BIRLATYRE,EQ,3.0,3.15,3.15,3.15,3.15,3.15,3.15,32941,10376415000.0,41,32941,1.0
2020-04-03,BIRLATYRE,EQ,3.15,3.3,3.3,3.3,3.3,3.3,3.3,11365,3750450000.0,50,11365,1.0
2020-04-07,BIRLATYRE,EQ,3.3,3.45,3.45,3.45,3.45,3.45,3.45,7553,2605785000.0,35,7553,1.0
2020-04-08,BIRLATYRE,EQ,3.45,3.6,3.6,3.6,3.6,3.6,3.6,162951,58662360000.0,163,161450,0.9908
2020-04-09,BIRLATYRE,EQ,3.6,3.75,3.75,3.75,3.75,3.75,3.75,11441,4290375000.0,43,11441,1.0
2020-04-13,BIRLATYRE,EQ,3.75,3.9,3.9,3.9,3.9,3.9,3.9,31316,12213240000.0,69,31316,1.0
2020-04-15,BIRLATYRE,EQ,3.9,4.05,4.05,4.05,4.05,4.05,4.05,12179,4932495000.0,40,12179,1.0
2020-04-16,BIRLATYRE,EQ,4.05,4.25,4.25,4.25,4.25,4.25,4.25,6544,2781200000.0,25,6544,1.0
2020-04-17,BIRLATYRE,EQ,4.25,4.45,4.45,4.45,4.45,4.45,4.45,6564,2920980000.0,33,6564,1.0
2020-04-20,BIRLATYRE,EQ,4.45,4.65,4.65,4.65,4.65,4.65,4.65,2990,1390350000.0,19,2990,1.0
2020-04-21,BIRLATYRE,EQ,4.65,4.85,4.85,4.85,4.85,4.85,4.85,14594,7078089999.999999,33,14594,1.0
2020-04-22,BIRLATYRE,EQ,4.85,5.05,5.05,5.05,5.05,5.05,5.05,10189,5145445000.0,35,10189,1.0
2020-04-23,BIRLATYRE,EQ,5.05,5.3,5.3,5.3,5.3,5.3,5.3,7819,4144069999.9999995,30,7819,1.0
2020-04-24,BIRLATYRE,EQ,5.3,5.55,5.55,5.55,5.55,5.55,5.55,15022,8337210000.000001,32,15022,1.0
2020-04-27,BIRLATYRE,EQ,5.55,5.8,5.8,5.8,5.8,5.8,5.8,7738,4488040000.0,23,7738,1.0
2020-04-28,BIRLATYRE,EQ,5.8,6.05,6.05,6.05,6.05,6.05,6.05,15535,9398675000.0,28,15535,1.0
2020-04-29,BIRLATYRE,EQ,6.05,6.35,6.35,6.35,6.35,6.35,6.35,10611,6737985000.000001,38,10611,1.0
2020-04-30,BIRLATYRE,EQ,6.35,6.65,6.65,6.65,6.65,6.65,6.65,318817,212013304999.99997,337,317813,0.9969
2020-05-04,BIRLATYRE,EQ,6.65,6.95,6.95,6.95,6.95,6.95,6.95,70804,49208780000.0,92,70804,1.0
2020-05-05,BIRLATYRE,EQ,6.95,7.25,7.25,7.25,7.25,7.25,7.25,20749,15043025000.0,58,20749,1.0
2020-05-06,BIRLATYRE,EQ,7.25,7.6,7.6,7.6,7.6,7.6,7.6,16680,12676800000.0,41,16680,1.0
2020-05-07,BIRLATYRE,EQ,7.6,7.95,7.95,7.95,7.95,7.95,7.95,17164,13645379999.999998,40,17164,1.0
2020-05-08,BIRLATYRE,EQ,7.95,8.3,8.3,8.3,8.3,8.3,8.3,77074,63971419999.99999,69,77074,1.0
2020-05-11,BIRLATYRE,EQ,8.3,8.7,8.7,8.7,8.7,8.7,8.7,17188,14953560000.0,54,17188,1.0
2020-05-12,BIRLATYRE,EQ,8.7,9.1,9.1,9.1,9.1,9.1,9.1,32300,29393000000.0,47,32300,1.0
2020-05-13,BIRLATYRE,EQ,9.1,9.55,9.55,9.55,9.55,9.55,9.55,71011,67815505000.00001,55,71011,1.0
2020-05-14,BIRLATYRE,EQ,9.55,10.0,10.0,10.0,10.0,10.0,10.0,52155,52155000000.0,73,52155,1.0
2020-05-15,BIRLATYRE,EQ,10.0,10.5,10.5,10.5,10.5,10.5,10.5,31067,32620350000.0,64,31067,1.0
2020-05-18,BIRLATYRE,EQ,10.5,11.0,11.0,11.0,11.0,11.0,11.0,33752,37127200000.0,78,33752,1.0
2020-05-19,BIRLATYRE,EQ,11.0,11.55,11.55,11.55,11.55,11.55,11.55,8163,9428265000.0,52,8163,1.0
2020-06-01,BIRLATYRE,EQ,16.05,16.85,16.85,16.85,16.85,16.85,16.85,46428,78231180000.0,126,46428,1.0
2020-06-02,BIRLATYRE,EQ,16.85,17.65,17.65,17.65,17.65,17.65,17.65,21095,37232675000.0,77,21095,1.0
2020-06-03,BIRLATYRE,EQ,17.65,18.5,18.5,18.5,18.5,18.5,18.5,20629,38163650000.0,79,20629,1.0
2020-06-04,BIRLATYRE,EQ,18.5,19.4,19.4,19.4,19.4,19.4,19.4,23827,46224380000.0,82,23826,1.0
2020-06-05,BIRLATYRE,EQ,19.4,20.35,20.35,20.35,20.35,20.35,20.35,14287,29074045000.0,82,14287,1.0
2020-06-08,BIRLATYRE,EQ,20.35,21.35,21.35,21.35,21.35,21.35,21.35,22823,48727105000.0,104,22823,1.0
2020-06-22,BIRLATYRE,EQ,32.85,34.45,34.45,31.25,34.45,34.45,33.47,2211668,7401763850000.0,8520,1753155,0.7927
